group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0	0	0		0	1.05654	0.58052	0	0.14202	0.50664	0.00235	0	0	0.00602
Healthy	0	0	0		40.4897	0.01073	0.47482	0	0.01375	0.089	0	0	0	0
Healthy	0	0	0		0	0.14766	0.04264	0.0539	0	0	0	0	0.23778	0.00226
Healthy	0	0.00235	0		0	0.83505	0.00963	0	0.13383	0.00253	0	0	0	0
Healthy	0	0.01801	0		3.81452	0.00071	0.14049	0	0.24	0.01153	0	0.00354	0	0
Healthy	0	0	0		6.31915	0	0.30085	0	0	0	0	0	0.04874	0
Healthy	0.25302	0	0		0	0	0.30949	0	0.23481	0.3205	0.07551	0	0	0.03483
Healthy	0	0	0		2.16791	0	0.36316	3.7275	0.17433	0	0	0	0	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0		44.60152	10.5195	0.04387	0	0.24373	0	0	0	0	0
Healthy	0	0	0		44.6447	0	0.37487	0.09708	0.63218	0	0	0	0	0
Healthy	1.2947	0	0		0	0	0.28899	0	0.3371	0.59193	0	1.16392	0.0586	0.0955
Healthy	0	0.59191	0		0	6.51919	1.12486	0	1.97032	1.72021	0.98862	0	0	0.40741
Healthy	0.05609	0.07364	0.00033		0	0.00699	0.98337	1.62145	0	0.74149	0	0.28618	0	0.15492
Healthy	0	0	0		0	0	0.41058	0	0.31569	0.15794	0.0152	0.05986	0.1002	0.01904
Healthy	0	0	0		56.7831	0	0.07476	0	0	0	0	0	0	0
Healthy	0	0	0		2.96841	0	2.01212	3.06148	3.24867	2.42031	0	0	0	0.51527
Healthy	6.23289	0.07394	0		0	0	0.44703	0	0	0	0	0.01366	0	0
Healthy	1.20495	0.00254	0.0396		0	0	1.09541	0	0	0	0	0.17413	0	0
Healthy	0	0.02371	0		0	0.13239	0.08203	0	0.6914	0.00936	0.13644	0	0.01275	0
Healthy	0	0	0		8.03986	0	0.19451	0	2.27129	0	0	0	0	0
Healthy	0.05662	0	0		0.04001	0	0.11559	0	0	2.43132	0	0	0	0.11806
Healthy	0	0	0		0	0.03307	0.05055	0	1.0791	0	0	0	0.0234	0
Healthy	0.0363	0.00403	0.04553		5.62645	0	3.12286	0	4.32512	0.40929	0	0.25	0	0
Healthy	0	0.10487	0		0	43.9894	0.08032	0	1.19682	0	0.02241	0	0.00705	0
Healthy	0	0	0		44.97245	10.41	0.04111	0	0.28366	0	0	0	0	0
Healthy	0	0	0		13.0904	0.10078	0.28181	0	0.7939	0.37965	0	0	0	0.04004
Healthy	0	0.02247	0		0	0	0.01072	0	0	0	0.17536	0	0.11666	0.00233
Healthy	0.02424	0	0		0	7.09147	0.17447	0	0.67999	0	0.06151	0.00258	0.27735	0
Healthy	0.00465	0.00342	0		16.1089	0	0.4664	0.02465	0.05868	0.01932	0.01567	0	0.00491	0.00077
Healthy	0	0	0		0	0	0.66465	0	1.71217	0	0	0.92052	0	0
Healthy	0	0	0		29.5744	0	0.79934	0	0	0.52611	0	0	0	0
Healthy	0	0	0		0	0	0.02036	0	0.20882	0	0	0	0	0.02643
Healthy	0	0	0		68.4668	0.55019	0.61109	0	0	0	0	0	0	0
Healthy	0	0	0		0	0.38836	0.14405	0	0.12154	0.14366	0.01418	0	0.01433	0.00714
Healthy	0.52418	0	0		0	0	0.45248	0	0	0	0.25985	0	0.01751	0
Healthy	0	0	0		0	0	1.99695	0	0	0	0	0	0.34626	0
Healthy	0	0	0		0	0	0.07968	0	0	0.14314	0	0	0	0
Healthy	0.00396	0	0		0	0.09373	0.36575	0.18137	0.15766	0.0218	0.00856	0	0.00946	0.00932
Healthy	0.46112	0	0		0	8.71159	0	0	0.09721	0	0	0	0	0.15579
Healthy	0	0	0		0	0	2.0934	0.11191	0	0	0	0	0	1.41636
Healthy	0	0	0		0	0	0	0	1.31584	0	0	0	0	0
Healthy	0	0	0		0	0	0.14842	0	0	0.04991	0	0	0	0
Healthy	0	0.00069	0		0	19.023	1.267	0	3.60873	0.00606	0.55688	0	0.00056	0.04992
Healthy	0.03501	0	0.11153		0	0.00039	0	0	0	0	0	0	0	0
Healthy	0	0	0		2.12059	11.9695	1.22495	0	0.78351	0	0	0	0	0
Healthy	0.46493	0	0.00583		6.79792	2.81759	5.10983	0.20726	0.41707	1.0676	0	4.42379	0.06954	0.00383
Healthy	0	0	0		0	0	0.4649	0	0.00433	0.10545	0	0	0	0
Healthy	0	0	0		0	0.49181	0.27615	2.44739	0	0.32253	0	0	0	0
Healthy	0	0	0		31.28285	0	0.6479	0.00825	0.64273	0	0	0	0	0
