group	Bacteroidales	Enterobacterales	Burkholderiales	Acidaminococcales	Pseudomonadales	Selenomonadales	Desulfovibrionales		Lachnospirales	Actinomycetales	Enterobacterales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	26.51604	0	0	0	0	0	0		32.47023	10.94462	0	0	0	0	0	0	0	0
Healthy	14.1769	0.09698	0.63021	1.31009	0	0	0.08154		51.48479	0.53641	0.09698	0.20263	0.63021	0.18576	1.34631	1.31009	0	0
Healthy	58.04866	0.02507	0.51464	0	0	0	0.55816		4.28305	0.49856	0.02507	0	0.51464	0	0	0	0	0
Healthy	22.14347	1.49435	0	1.07483	0.22899	0	0		38.09029	0.40697	1.49435	0.34649	0	0.11191	0	1.07483	0.22899	0
D014607	86.33148	0.16906	0.00661	0	0.35775	0.0546	0.01529		6.5321	0.00237	0.16906	0.00729	0.00661	0	0	0	0.35775	0.00499
Healthy	0.35748	0	0	0	0	0	0		6.73804	25.6546	0	0.45334	0	0	0	0	0	0
Healthy	80.38068	0	0	0	0	0	0		12.91336	0	0	0	0	0	0.53907	0	0	0
Healthy	20.33218	0	0.00056	0	0	0	0.19041		21.6924	0.19456	0	0	0.00056	0	0.1903	0	0	0
Healthy	28.87276	55.0788	0	0	0	0	0		0.0105	7.18306	55.0788	0.00765	0	0	0	0	0	0.23549
Healthy	38.75978	0.57325	0	0.01608	0	0	0		14.063	10.5799	0.57325	0	0	0	1.18442	0.01608	0	0
Healthy	29.53286	0.91179	0.06954	0	0	0	0		41.68406	0.58931	0.91179	0.7126	0.06954	0.20726	1.65472	0	0	4.42379
Healthy	33.23081	33.3132	0	0	1.74985	0	0		11.91339	0	33.3132	0	0	0	0.73283	0	1.74985	0
Healthy	41.87328	5.37164	0	0	2.00314	0	0		26.02128	0.13293	5.37164	0.02733	0	2.44739	1.85933	0	2.00314	0
Healthy	69.54234	0	2.99685	0	0	0	1.21704		3.89694	0.74931	0	0.04903	2.99685	0.00825	0.17372	0	0	0
Healthy	28.72289	0.09139	0.03267	0	0	0	0		57.26534	0	0.09139	0.34273	0.03267	0.21268	0	0	0	0
Healthy	65.70584	1.15581	0	0	0	0	0		2.30841	0.1845	1.15581	0	0	0	0	0	0	0
Healthy	7.75441	0.05193	0	0.00015	0	0	0		64.4011	0.0008	0.05193	0.0318	0	0	0.02408	0.00015	0	0
