group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	8.84801	0	0	0.18363	0.10937	0.11517	0	0.02301	0.00323	0	0	0.34378	5.25385	0.63907	0	1.15443	0.18363	0	0.18042	0.00226
Healthy	6.17339	0	0.00528	0	0.09002	0.06959	0	0	0	0.00493	0	4.89497	0.04984	0	2.24124	2.09009	0	0	0	0
Healthy	0	0	0.60085	0	0	0	0	0	0	0.05192	0	6.61528	0	0	0	0	0	0	0.04446	0
Healthy	0	0	0	0	0	0	0	0	0.06359	0	0	0	0	0	0.04965	0	0	0.00168	0	0
Healthy	0	0	0.51752	0	0.14111	0.06242	0.00215	0.03831	0	0.01993	0	0	1.4135	1.52762	1.83111	0	0	0.13072	0	0
Healthy	0	0	0	0.95987	0	0.71643	0	0	0	0	3.61042	0	0	0	0	0	0.95987	0	0.01528	0
Healthy	4.34157	4.35461	0.02657	0	0.07677	0.019	0	0.0039	0	0	0	1.2667	4.84302	1.80075	0	1.03624	0	0.00564	0.00829	0.00268
Healthy	0	1.26699	0	0.44937	0	0.09073	0	0	0	0	0	2.69889	0.77316	0.18038	0	1.48318	0.44937	0	0.19327	0
Healthy	0	0	0.0408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652
Healthy	3.8003	0	0	0.60782	0	0	0	0	0	0.01763	0	4.11204	2.9041	0.08119	0	0	0.60782	0	0.002	0.06212
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	4.30761	0	0	0	0	0
Healthy	0	0	0	0	0.23996	0	0	0	0	0	2.47331	0	0	0	0	1.4674	0	0	0.00901	0
Healthy	0	0	19.5045	0	0	0	0	0	0.00104	0.03312	0	4.59745	0	0	0	0	0	0	0	0.04847
