group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	8.53065	27.22336	0.02581	0	0.02478	0	0.01631	0.14253	0	0	36.05486	8.53065	0	1.28454	0	0.14253	1.39468	0	0.00061	0
Healthy	4.60479	3.58402	1.03234	0	20.014	0.54614	0	0.21411	0	0	18.8565	4.60479	6.37382	0.03316	0.54614	0.21411	0	1.00509	0.05876	0
Healthy	3.30342	0.69262	0.20168	0	0	0	0.102	0	0	0	24.95525	3.30342	0	0.1002	0	0	0	0	0	0
Healthy	24.13931	1.051	0.15905	0.09522	1.13725	15.6428	0.06941	0	0	0	31.29799	24.13931	0	0	15.6428	0	1.03345	0.01163	0	0
Healthy	12.86415	1.09293	2.6742	0	0	0.32705	0	0	0.35363	0	31.97894	12.86415	16.4109	0.04035	0.32705	0	0	0	0.14265	0
Healthy	4.04901	2.47447	0.15275	0.22191	0	0	0	0.06243	0	0	73.8556	4.04901	1.67377	0.08025	0	0.06243	0	0	0.04	0
Healthy	58.92111	2.97284	6.37254	0	0.00932	3.21156	0	0.11515	0	0	11.09524	58.92111	0	0	3.21156	0.11515	0	0	0	0
Healthy	2.98722	2.20024	0.9626	0.6206	0	0	0.19064	0	0	0	55.62337	2.98722	0.02833	0.29889	0	0	0.99432	0	0.14147	0
Healthy	15.91284	2.60289	6.10013	22.56278	0	1.04718	2.82554	15.69812	0	2.57172	7.9325	15.91284	1.75061	0	1.04718	15.69812	0	0	0	0
Healthy	15.08024	2.1367	1.98987	5.05257	0	0	1.73487	0.33687	0.04743	0	35.33617	15.08024	6.48387	8.98905	0	0.33687	0.59341	2.16701	1.6957	0.13116
Healthy	2.94694	2.03873	0.6039	0.38779	0	0	0	0	0	0	55.27272	2.94694	0	0.12857	0	0	0	0	0.24099	0
Healthy	3.31311	2.08575	0	0.49252	0	0	0.31594	0	0	0	48.31908	3.31311	0	5.95389	0	0	0.77418	0	0.09705	0
Healthy	4.67955	5.16023	1.94348	0	0.54368	0.60936	0	0	0	0	21.6074	4.67955	12.8542	0.37574	0.60936	0	2.25825	0	0.2213	0
Healthy	4.47133	7.83113	11.74687	0	1.91855	0.01981	0.14616	0.0109	0	0	23.01477	4.47133	0.00825	1.42197	0.01981	0.0109	2.31492	0	0.0032	0
Healthy	4.96469	8.98741	0	5.15639	0	0	0	0.25644	0.09932	0.00715	50.28392	4.96469	0.00409	0.0035	0	0.25644	0	0	0.03527	0
Healthy	26.02253	8.82855	4.72778	9.82654	0	0	0	0.54071	0.0908	0.06233	12.62376	26.02253	0.02165	0.00678	0	0.54071	0	0	0.02503	0
Healthy	15.93214	17.63019	0.10521	0.73193	0.87446	0	0.73212	2.28461	0	0	21.2982	15.93214	0	0.0093	0	2.28461	0.58748	2.25084	0.08713	0.003
Healthy	13.86684	4.71969	2.58589	2.58432	1.83608	0.54243	0.38165	0	0.12217	0	23.61452	13.86684	0	1.16431	0.54243	0	1.88591	0	0	0
D015179	16.67653	10.2081	0	0	0	0	0.30709	0.52403	0	0	3.0982	16.67653	35.12293	0	0	0.52403	0	1.62517	0.17032	0.14326
Healthy	13.69074	3.75877	0	0.50518	0	0	0	0.19801	0	0	53.80599	13.69074	0	1.07698	0	0.19801	0	0	0	0
Healthy	5.4809	4.47824	0	0	7.69718	0	0	0	0	0	52.2867	5.4809	0	0.10417	0	0	0	0	0	0
Healthy	5.82858	2.57906	0	0.00669	0	0	0.3144	0.06404	0.0709	0	75.92255	5.82858	1.37665	0	0	0.06404	0	0	0	0
Healthy	7.62617	8.38082	0.08852	0.13549	5.35516	0	0.14095	0	0	0	12.59197	7.62617	0.04487	0.39005	0	0	0.03503	0	0	0
D015179	2.48522	1.23981	0	0	0	0	0	0.05413	0	0	23.77277	2.48522	0.41711	0	0	0.05413	0	2.39782	0	0
D015179	13.59745	5.19777	3.2123	3.75308	0	1.34134	1.00398	0.12717	0	0.04178	7.07943	13.59745	0.02186	0.0045	1.34134	0.12717	0	0	0	0
D015179	4.90438	7.94807	0.08688	0	0.00181	0	0	1.02711	0.00377	0	75.02943	4.90438	0.02953	0	0	1.02711	0	0	0.10632	0.04479
Healthy	2.05337	4.26482	2.07785	0	0	0	0	0.00291	0	0	36.92951	2.05337	0.36631	0.013	0	0.00291	2.06682	0	0	0
Healthy	17.42598	4.45408	0.02277	8.07662	4.75004	0.00715	0.71644	1.47116	0.13647	0	29.16371	17.42598	2.12948	0.00433	0.00715	1.47116	1.36225	0	0.08093	0.90454
D015179	6.38144	0	0	38.34232	0	0	0	0	0	0	8.69272	6.38144	4.98875	0	0	0	0	0	0.09818	0.08783
Healthy	0.82468	4.01289	0.57939	0.02207	7.16262	0	0.68097	0	0	0	50.26182	0.82468	1.06216	0.2712	0	0	0	0	0.35675	0
Healthy	13.15289	38.17465	0.04283	2.3021	0.03189	0.05897	0.35797	0.02683	0	0	25.14316	13.15289	0	1.85847	0.05897	0.02683	1.54784	0.19254	0	0
Healthy	29.97117	22.10912	32.4931	0	0	2.07917	3.68311	0	0.26971	1.12381	2.1963	29.97117	0	0	2.07917	0	0	0.2624	1.933	0
D015179	11.06878	9.04457	7.0717	16.99132	1.62298	2.8888	0	0	0	0	17.89242	11.06878	0	0	2.8888	0	0	0	0	0
Healthy	1.15799	0.89925	0.37289	0	0	0	0.14868	0.21585	0	0	85.81464	1.15799	0.42965	0.11156	0	0.21585	0	0	0.02708	0
Healthy	16.08956	4.91281	3.02639	1.87214	0	0	0.23323	0.04828	0.26029	0	51.51814	16.08956	0	0.03569	0	0.04828	0	0	0.43867	0
Healthy	2.66517	8.9483	0	0	0	0	0	0	0	0	62.86016	2.66517	0	5.7003	0	0	0.9632	0	0.01705	0
Healthy	3.20391	11.35242	0	0	0	0	0	0.00451	0	0	49.18147	3.20391	0	7.09637	0	0.00451	1.07873	0	0.01215	0
Healthy	22.52399	12.27917	2.56626	1.19003	0	0	0	0	0	0	37.50399	22.52399	0.04705	0	0	0	0.587	0	0.0136	0.0073
Healthy	23.50672	3.55185	0.27637	0	0	0	0.07736	0	0	0	31.8271	23.50672	0	2.9757	0	0	0.79485	0	0.05412	0
Healthy	5.27636	4.86156	0	0.23312	0	0	0.03571	0.5783	0	0	56.57897	5.27636	0	6.33312	0	0.5783	1.04245	0	0	0
Healthy	0.74218	7.68045	2.04324	2.71886	17.199	0	0	0	0	0	13.35822	0.74218	0.04178	0.0632	0	0	0	0	0	0
Healthy	4.66382	0.47981	0.05402	5.45435	3.52859	0	1.46902	0.10271	0	0.00448	1.71228	4.66382	78.76377	0.02799	0	0.10271	0	0	0.00569	0
Healthy	20.07617	6.64148	1.5587	0.74589	0	0	0	0.01597	0.25312	0.14062	63.27551	20.07617	1.82617	0.17411	0	0.01597	0	0	0.00545	0.02608
D015179	9.80984	1.42643	0	0.23563	0	0	0	0	0	0	43.63415	9.80984	0	0.9587	0	0	0	2.19898	1.91982	0
Healthy	20.8232	9.53526	0.07901	0.01296	0	0	0	0	0.16683	0	50.98894	20.8232	2.4214	5.90439	0	0	0	0	0	0
Healthy	18.86342	25.28152	11.9056	2.57185	0	0	3.88243	0.78156	0	0	17.48899	18.86342	0	0	0	0.78156	0	1.40591	11.3576	0
Healthy	8.09311	18.29438	17.15839	4.99535	0	0	0.00219	0.60443	0.01342	0.00243	6.53995	8.09311	0	0	0	0.60443	0	0	0.5723	0
Healthy	18.30054	2.75889	0.55983	0	0.06765	0	0.10638	0	0	0	67.63594	18.30054	0	0	0	0	0	0	0	0
D015179	13.85351	8.27708	0.9045	4.76446	0.55299	0.05827	0.1889	0.25847	0.51504	0	30.3451	13.85351	1.51813	0.0071	0.05827	0.25847	1.16708	0	0.48458	0
Healthy	9.47397	8.58561	3.29959	0	3.04604	0.57278	0	0.00195	0	0	25.70038	9.47397	0	8.78787	0.57278	0.00195	1.80602	1.52523	0	0
Healthy	11.74589	28.78528	0.47797	0.3126	1.83008	0.1514	0.07817	0.03976	0.39724	0.55065	12.94768	11.74589	0.71302	0.08859	0.1514	0.03976	0.70656	6.00307	0.11145	0
