group	Faecalibacterium_sp900539885	Enterocloster_aldenensis	Mediterraneibacter_torques	Blautia_A_wexlerae	Bariatricus_comes	Dorea_formicigenerans	Streptococcus_thermophilus	Coprococcus_A_catus	Muricomes_sp000509105	Lactococcus_lactis_E	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	4.29314	0.03017	0.17702	0.33867	0	0	0	0.09662	0	0	0	0	9.67282	0.87265	0	0	0	0.03569	0	0
Healthy	6.5334	0	0.04256	0.06136	0.0036	0	0	0	0.06952	0	1.26659	0	0	0	0	2.89763	0.2033	0	0	0
Healthy	8.03705	0	0.0511	0.08017	0	0	0.00451	0	0.08949	0	1.57628	0	0	0	0	3.27437	0.27776	0	0	0
Healthy	12.2367	0.04344	0.00397	0.27957	0.07222	0.17733	0	0.03205	0	0	0	0	0	0.08798	0	0	0.01163	0	0	0.07704
Healthy	3.55185	0	0.00558	0.08851	0	0.07619	0	0.01057	0	0	0	0	0	0.02841	0	3.49666	0	0.38392	0	0
Healthy	4.68188	0	0.10783	0.04586	0.0202	0	0.5783	0	0	0	0	7.51156	0	0	0	0	0	0.05957	0	0
Healthy	4.42579	0	0.08284	0	0	0	0	0	0	0	1.35819	0.2573	0	0	0	0	0.34518	0.02873	0	0
Healthy	0	0	0.37972	0.09467	0	0	0.10271	0	0.0059	0	0	0	0	0.46926	0	0	0.03654	0.02799	0.00113	0.03246
Healthy	6.63595	0	0.00667	0.0048	0	0	0	0	0.00265	0	0	0	0	0.12008	0	0	0.03955	0.17411	0.08828	0.04607
D015179	1.15632	0.18056	0.27796	0.17941	0.08049	0	0	0	0	0	0	0	0	0	2.19898	0.80501	0.02187	0	0	0
Healthy	9.28592	0	0.03479	0	0	0	0	0	0.56096	0	0	0	0	0	0	0	0.8906	0.04242	1.87455	0.1339
Healthy	24.6591	2.16324	0.89391	0.72437	0.49361	0.9074	0	0.28184	0	0.78156	0.22843	3.92234	0	0.57718	1.40591	0	0	0	0	0
Healthy	16.0886	0	0.01181	0.43377	0	1.48147	0.09817	0	0	0	0	0	0	0.60249	0	0	0.09151	0	0.05149	0
