group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phytobacter_ursingii	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Bacteroides_salyersiae	Parasutterella_excrementihominis	Ruminococcus_C_callidus	Enterocloster_citroniae	Bacteroides_uniformis	Lachnospira_eligens_B	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Mediterraneibacter_torques	Blautia_A_wexlerae	Streptococcus_thermophilus	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	6.71157	0	0	0.88276	0	0	0	0	0.02732	0	15.5854	2.07854	0.91499	0.15216	0.0162	0.99415	0.1143	0.04649	0	0.15492
Healthy	5.37472	0	0	0	0	0	0	0.1002	0	0	8.13883	1.62764	0.11463	0.39885	0.15385	0.12754	0	0.26009	0	0.01904
Healthy	0.53665	56.7831	0.43226	0	0	0	0	0	0	0	0	1.74379	0.28389	0	3.84915	0	0	0	0	0
Healthy	2.67302	2.96841	0	0	0	0	0	0	0	0	3.64648	0.65336	0.88619	5.83452	0.11555	2.84013	0	0	0.59075	0.51527
Healthy	0	0	0	3.66846	0	0	0	0	0	0	0	0	0	0	0.35605	0	0	0	0	0
Healthy	8.95456	0	0	0.121	0	0	0	0	0	0	8.62807	0	0	0	1.25114	2.43898	0	0	0	0
Healthy	2.46552	0	1.41999	0.34649	0	0	0	0.01275	0.07178	0	10.5373	0.20448	0	0.08323	0.02691	0.13568	0	0.18828	0	0
Healthy	0.77987	7.32897	0	2.66719	0	0	0	0	0.15842	0	1.35836	0.04834	0	0.86242	0.36132	0.40834	0.06187	0	0	0
Healthy	8.27035	0.04001	0.0127	0.07952	0	0	1.66759	0	0	0.00869	2.95367	4.07745	1.08465	0.27006	1.07663	0.23099	0	0.1986	0.05872	0.11806
Healthy	0.71987	0	2.22179	0.08088	7.30243	0	0	0.0234	0	0	3.79497	0	1.58347	0.02937	0.99917	0	0	0	0	0
Healthy	13.8765	5.62645	1.05686	0.03375	0	0	0	0	3.95234	0	0.31265	1.03158	0.08101	3.90154	0.50233	1.28674	0	0.18705	0.07321	0
Healthy	0.11471	0	2.80913	10.2181	0	0	0	0.00705	0	0	4.90998	0.00667	0	0	0.00737	0.15075	0	0	0	0
Healthy	3.3535	36.9097	0.73478	0	0	0	0	0	0	0	1.55725	0.81608	0.44748	0	0.08777	0	0	0.01799	0.02139	0
Healthy	16.6374	13.0904	1.08373	0.06381	0	0.03225	0	0	0.27903	0.01527	1.57502	2.07597	1.0055	0.48446	0.20555	0.20733	0.37988	1.35444	0.22769	0.04004
Healthy	1.67666	0	0	0.06157	0	0	0	0.11666	0	0	24.553	0	0	0	0	0	0	0.2643	0	0.00233
Healthy	0.82745	0	0	0	0	0	0	0.27735	0	0.00955	17.7519	0	0.13488	0.07101	0.1428	0.08157	0	0.12613	0.02476	0
Healthy	3.30743	16.1089	0.01236	0	0	0	0	0.00491	0	0	4.63722	2.14127	0.23326	0.36709	0.18777	0.25761	0	0.00065	0.17589	0.00077
Healthy	9.70149	0	0	0	0	0	0	0	2.72606	0	2.32854	0	1.7945	2.07775	0.4069	0.53567	0	0	0	0
Healthy	0.23802	29.5744	0	0	0	0	0	0	0	0	0.1535	2.0898	1.30835	1.01417	0.08099	0.43257	0	0	0.0507	0
Healthy	1.4141	0	0	0	0	0	0	0	0.01323	0	23.7456	0	1.87986	0	1.01673	0	0	0.01592	0	0.02643
Healthy	1.45529	68.4668	0	4.2841	0	0	0	0	0	0	1.22766	0	0	0	0	0	0.01292	0	0	0
