group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	31.91916	28.18338	0.5133	0.06149	0.64482	0.01007	0	0	0.57755		31.91916	0.21427	0.0006	0	0.02629	0.09203	0	0.00173	0.06149	0.64482
Healthy	18.14348	3.47915	6.48238	0	0	0	0	0	0		18.14348	8.62297	1.81602	0	0.04911	0.54221	0	0.79294	0	0
Healthy	12.98109	4.89424	0	0	0	0	0.39169	0	1.96503		12.98109	0.68295	0.82088	3.47983	0	0	0.22406	0	0	0
Healthy	0.00116	0	7.46327	0.22815	0	0.66857	0	0.04783	0.23515		0.00116	0	0	0	0.88337	0	0	1.79372	0.22815	0
Healthy	29.94081	5.1328	0	0	0.09129	0.4766	0	0	0		29.94081	3.20901	0.18134	0.99085	0.0283	0	0.9083	0	0	0.09129
Healthy	19.56969	7.2462	0.01636	0.01122	0.01104	0.00332	0.59566	0	0		19.56969	0.44777	0.93182	0	3.89876	0.00083	0	0.00115	0.01122	0.01104
Healthy	56.5229	0.47242	0.1043	0	0	0	0	0	0		56.5229	2.36904	8.30208	0	0.32161	0	0	0	0	0
Healthy	67.73399	3.59579	0.17344	0	0.06532	0.00384	0	0	0		67.73399	9.39716	0.90677	0	0.15155	0	0.93324	0.00058	0	0.06532
Healthy	83.19387	0.98283	0.06106	0	0	0	0	0	0		83.19387	1.61042	5.52009	0	0.50884	0	0	0.05427	0	0
Healthy	24.27551	0.86701	0	0.14734	0	0	0	0	0		24.27551	0.60937	4.21557	0	0	7.54448	0	0	0.14734	0
Healthy	41.90442	19.7024	0.09972	0.21193	0	0	0	0.05886	0		41.90442	1.665	2.16565	0	0.01507	0	0.3977	0.17117	0.21193	0
Healthy	20.65804	2.6487	0	0	0	0	0	0	0.06515		20.65804	0.29281	0.22304	3.15007	0	0	0	0.21477	0	0
Healthy	26.51697	10.85128	0.09298	0.06374	0.10937	0.02211	0	0.00168	0		26.51697	4.17386	6.60174	0	0.19046	0.63907	1.15443	0.10316	0.06374	0.10937
Healthy	19.26815	10.43843	7.65476	0.01761	0.09002	0.07496	0.13683	0.13295	0		19.26815	8.58898	2.63163	0	2.24124	0	2.09091	0.30207	0.01761	0.09002
Healthy	7.77903	9.16534	0.21745	0.30547	0	0	0	0.23851	0		7.77903	7.48688	0.39655	0	0.04446	0	0	0	0.30547	0
Healthy	0.03436	0	87.6699	0	0	0	0	0	0		0.03436	0	0.00378	0	0.04965	0	0	0	0	0
Healthy	38.21478	8.07146	0.87742	0.05289	0.14111	0.28323	0.007	0.21191	0.31268		38.21478	6.38575	0.6642	0	1.83111	1.70994	0	0.05845	0.05289	0.14111
Healthy	63.87995	1.95808	0	0	0	0	0	0	0		63.87995	2.77726	4.40354	3.61042	0.01528	0	0	0	0	0
Healthy	26.42138	11.5235	0.08761	0.03405	0.07677	0.09703	0	0.05825	0		26.42138	7.64732	0.36746	0	0.03217	1.80075	1.03671	0.04466	0.03405	0.07677
