group	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	20.4524	0.72326	2.39212	0.41664	0.02308	0.21496	0.83536	0	0	0	8.54674	0	0.72326	0.84303	0	0.41664	0	0	0	0
Healthy	3.43614	0.93902	0	0.43427	0.71639	0.33129	0.10008	0.33534	0	0	12.0682	0.08538	0.93902	0.75911	1.64596	0.43427	0.01369	0	0	0
D015179	4.0103	0.29034	2.83513	1.24296	1.23282	0.06674	0.66238	0	0	0	0	3.03664	0.29034	0.33256	0.3895	1.24296	0	0	0	0
Healthy	3.09011	0.45191	1.00528	1.97453	0.41155	0.2432	0.08232	0.30125	0	0	0	0.12072	0.45191	0.62297	0	1.97453	0	0	0	0
Healthy	3.28848	0.33644	0.46561	0.24614	0.34471	0.26598	0.25493	0	0	0	0	0.15845	0.33644	0.61245	0	0.24614	0.02746	0	0	0
D015179	0.16401	0.50342	0	0	0	0	0	0	0.23363	0	0	4.90898	0.50342	0	0	0	0	0	0.23363	0
Healthy	0.09232	0.09096	1.3244	0.12584	0	0	0	0	0.0429	0	0	0.86523	0.09096	0	0	0.12584	0.01138	0.03023	0.0429	0
Healthy	1.97362	0	0.1382	0.01394	0.5091	0	0.00825	0	0	0	0	0.15985	0	0	0	0.01394	0.02676	0	0	0
Healthy	0.0239	0.42442	1.59323	0.69689	0	0.05913	0.01221	0.58023	0.30646	0	0	1.27752	0.42442	0.13098	0	0.69689	0	0.35151	0.30646	0
Healthy	5.12633	0.217	0.56058	0.0697	0.02591	0.05368	0	0	0	0.01869	0	0.03746	0.217	0.00738	0	0.0697	0.13863	0	0	0.04363
Healthy	9.57351	0.22357	0.13055	0.41019	0.10251	0.03537	0.01229	0.0299	0	0	0	0.24472	0.22357	0.2484	0	0.41019	0.001	0	0	0.01869
Healthy	3.64692	0.33649	0.3873	0.22889	0.03025	0.03834	0	0	0	0	0	0.28642	0.33649	0.0145	0	0.22889	0.00914	0	0	0.00412
Healthy	3.69876	0.15023	0.06499	0.14208	0.38314	0.04189	0.06627	0.11512	0	0	0.01457	0.1708	0.15023	1.46696	0	0.14208	0.21045	0	0	0.09409
Healthy	2.24153	2.06466	1.12872	0.12659	0.89498	0.81248	0.09873	0.12511	0	0	3.90542	2.17986	2.06466	0.35864	0	0.12659	0	0	0	0
Healthy	14.965	0.65556	0	1.2803	1.54417	1.16976	0.76008	0	0	0	0	1.92473	0.65556	3.07329	0	1.2803	0.03671	0	0	0
Healthy	4.37319	0	0.48966	0.62061	0	0	0	0	0	0	0	5.39598	0	0	0	0.62061	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.65375	0	0	0	0	0	0	0	0
Healthy	11.7147	0.00158	0	0.32718	1.71157	0	0.3026	0.17613	0	0	0	0.0508	0.00158	2.4886	0	0.32718	0.06502	0	0	0
Healthy	3.73173	0.00667	0.06336	0.12119	0	0.03815	0.0235	0.0028	0	0	0	0.14119	0.00667	0.00317	0	0.12119	0.32427	0	0	0
Healthy	8.32672	1.30728	1.65829	0.41478	0.99168	0.85831	0.15317	0.16233	0.03447	0.01749	0.94241	0.27342	1.30728	1.21352	1.26509	0.41478	0.00522	0.08027	0.03447	0.00696
Healthy	1.34419	0	0.40818	0	0	0	0	0	0	0	3.75622	0.13709	0	0	10.4298	0	0	0	0	0
D015179	1.13822	3.96207	4.4082	5.17086	2.0636	3.3691	0.59794	1.9889	0	0	0	0.65637	3.96207	6.95776	0	5.17086	0	0	0	0
D015179	9.7287	1.63007	3.37506	0.1484	1.44155	0.93431	0.12774	0.32003	0	0	0.76891	1.18614	1.63007	0.39671	0	0.1484	0	0	0	0
Healthy	2.05002	0.64293	0.23014	0.02785	0.15137	0.10795	0	0.00852	0	0	39.4271	0.2843	0.64293	0.05333	0	0.02785	0	0	0	0
Healthy	28.3134	0.04203	0	0.02029	0	0.01056	0	0	0	0	0	0.04855	0.04203	0	0	0.02029	0.01458	0.11586	0	0
D015179	11.5651	2.90485	0.98983	0.25655	0.70515	0.1795	0.68971	0.21895	0	0	0	4.82414	2.90485	0	0	0.25655	0	0	0	0
Healthy	1.35902	0.09347	1.69284	0.2272	0.3322	0.35944	0.0251	0.96393	0	0	0	0.01133	0.09347	0.35937	0	0.2272	0	0	0	0
Healthy	1.79194	0.01232	0.16479	0.01032	0.02457	0.00159	0	0	0	0	0	0.26128	0.01232	0.03764	0	0.01032	0.30531	0	0	0.04601
D015179	9.30362	0.43968	1.82146	1.66048	0	0.27098	0	0.23158	0	0.51564	4.9978	0.09791	0.43968	0.75231	3.46223	1.66048	0	0	0	0
Healthy	3.59007	0	0	0.07024	1.43737	0	0.04717	0.01127	0	0	0	0.09281	0	0	0	0.07024	1.12334	0	0	0
Healthy	3.35929	1.90963	0	0	0	0	0	0	0	0	7.20773	3.16967	1.90963	0	1.02321	0	0.01139	0	0	0
D015179	5.99592	1.38475	1.81129	0.09254	0.43836	1.18433	0.31922	0.03732	0	0	47.47265	0.25464	1.38475	0.5539	4.05204	0.09254	0	0	0	0
Healthy	2.14193	1.26308	0	0.65202	0.38827	0.15235	0.02719	0.12147	0	0	20.0487	0.04735	1.26308	0.61543	1.48895	0.65202	0.00564	0	0	0
Healthy	0.01213	2.21108	0	0	0	0	0	0	0	0	0	0.52431	2.21108	0	0	0	0	0	0	0
Healthy	1.9246	11.05109	1.19512	1.20418	2.81085	3.96675	0.11064	0.51863	0	0.01038	1.24701	0.11694	11.05109	0.57543	0.05673	1.20418	0	0.00253	0	0
Healthy	11.9636	0.5801	0.00473	0.23504	0.03997	0.04429	0.00991	0.0317	0.32188	0	0	0.79795	0.5801	0.12482	0	0.23504	0.51855	0	0.32188	0.00915
Healthy	6.06382	0.49279	0.20174	0.46773	0.13434	0.12167	0.04801	0.19783	0	0.00709	5.26314	2.15233	0.49279	1.26933	1.66935	0.46773	0.00746	0	0	0
Healthy	3.40794	6.13222	0	0.01989	0.00756	0.03295	0	0	0.00236	0	0	0.02969	6.13222	0	0	0.01989	0.07291	0.03792	0.00236	0.00185
Healthy	0.09042	0.03897	0	0	0.01548	0	0	0	0	0	0	0.13645	0.03897	0	0	0	0	0	0	0
Healthy	2.2066	2.65	0.58754	0.33421	0.63447	0.802	0.25512	0.23466	0	0	0	0.11564	2.65	0.68065	0	0.33421	0.00838	0	0	0.02647
Healthy	15.3821	0	0	0	0	0	0.02647	0	0	0	43.2318	0.23774	0	0	0	0	0	0	0	0
Healthy	2.79504	0.77393	2.41086	1.22957	0.97141	0.622	0.00747	0.36821	0	0	0.19939	0.41266	0.77393	1.2024	0	1.22957	0	0	0	0
Healthy	5.40603	1.02578	0.39077	0.1457	1.1488	0.36349	0	0.04469	0	0	0.01637	1.12399	1.02578	0.25733	0	0.1457	0.11329	0	0	0
Healthy	3.41262	1.80701	0	0	0	0	0	0	0	0	7.11611	1.83974	1.80701	0	0.98952	0	0.00432	0	0	0
Healthy	5.90258	0.03833	0	0.0295	0.07813	0	0	0	0	0	0	0.12185	0.03833	0	0.90074	0.0295	0	0	0	0
Healthy	4.04919	0.52508	0	0	0	0	0	0	0	0	0	0.11359	0.52508	0	0	0	0.02597	0	0	0
Healthy	22.9263	4.08053	2.27388	4.49978	1.23067	5.50623	0.67416	1.14109	0	0	10.31152	1.00391	4.08053	3.78053	4.42928	4.49978	0	0	0	0
Healthy	5.27516	0.43046	0.52018	0.37801	0.30505	0	0.11571	0	0	0	0	0.18272	0.43046	1.14941	0	0.37801	0.06939	0	0	0
Healthy	0.91597	0.03693	0.8744	0.03604	0	0.2065	0.19158	0	0	0	0	0.07466	0.03693	0	0	0.03604	0	0	0	0
Healthy	4.35743	0	0	0	0	0	0	0	0	0	0	5.13208	0	0	0	0	0	0	0	0
Healthy	3.33876	1.40097	0.1718	0.39328	0.67735	0.18894	0.00833	0.08257	0	0	1.38738	0.43624	1.40097	0.36299	0	0.39328	0	0	0	0
Healthy	1.83291	0.3666	0.62314	0.004	0.04049	0.00336	0	0	0	0	44.27986	0.39232	0.3666	0	0.07464	0.004	0	0	0	0
Healthy	0.0085	0.47723	0	0.12503	0.07631	0.04546	0.00986	0	0	0.56549	0	0.04683	0.47723	0.00059	0	0.12503	0.01148	0	0	0
Healthy	3.42272	0.0287	0.15678	0.14383	0.28179	0.07595	0	0.03617	0	0	0	0.31066	0.0287	0.02357	0	0.14383	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	5.39934	0.4392	0.06393	0.04293	0	0	0	0	0	0	0	0.07725	0.4392	0.00522	0	0.04293	0.0046	0.0552	0	0.0363
D015179	8.52502	3.098	0.45138	0.07271	0.12438	0.30021	0	0	0.00158	0.49874	1.19485	0.12628	3.098	0.01008	1.86956	0.07271	0	0.02435	0.00158	0
Healthy	5.21392	0.065	0	0.1763	0.10432	0.02904	0.04757	0	0	0	0	0.14912	0.065	0	3.22968	0.1763	0	0	0	0
Healthy	0.01441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.12055	0.03523	0.87928	0.04224	0	0.00713	0	0	0.03099	0	0.02981	0.05233	0.03523	0	0	0.04224	0.02796	0	0.03099	0.00928
Healthy	0.83261	0.00501	1.23037	0.32072	0	0.08761	0	0	0.02447	0	0	0.03719	0.00501	0.15364	0	0.32072	0	0.05592	0.02447	0.02688
D015179	4.11433	0.22615	3.13711	1.3805	1.49332	0.13762	0.70565	0	0	0	0	2.31462	0.22615	0.35171	0.70523	1.3805	0	0	0	0
Healthy	3.43351	0.06514	0.25629	0	0.09057	0	0	0	0	0	45.48352	0.33813	0.06514	0	0.87273	0	0	0	0	0
Healthy	4.80433	0	0.06449	0.07273	0.0588	0	0	0	0	0	0	0.69605	0	0	0	0.07273	0.0694	0	0	0
Healthy	2.73645	2.62476	0	0	0	0	0	0	0.09756	0	0	0.90323	2.62476	0	0	0	0.08782	0.13466	0.09756	0
Healthy	20.6986	2.18281	0.96879	0.61855	1.83693	0.08359	0	0	0	0	6.1196	0.83593	2.18281	1.12834	0	0.61855	0	0	0	0
D015179	7.63173	0.87746	0	0.794	0	0.08046	0	0.64844	0.31664	0	0	0.06208	0.87746	2.38751	0	0.794	0.07868	0.10191	0.31664	0.11267
Healthy	12.7081	1.43792	0	0.33537	0.85952	0.22928	0.05348	0.35713	0	0	0	0.62572	1.43792	0.37633	4.4505	0.33537	0	0.00092	0	0
Healthy	3.12753	5.82719	0	0.05177	0.00761	0.0591	0	0	0.01114	0	0	0.01705	5.82719	0	0	0.05177	0.0779	0.02999	0.01114	0.01212
Healthy	0.79783	0	0	0	0.06172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.82926	0.43911	0.62736	0.00771	0.0358	0.0162	0	0	0	0	45.29351	0.87272	0.43911	0	0.09942	0.00771	0	0	0	0
Healthy	2.33699	0.43429	0.05146	0	0	0	0	0	0	0	0	0.14861	0.43429	0	0	0	0.03435	0	0	0
Healthy	26.4823	0	0	0	0	0	0	0	0	0	0	0.90614	0	0	0	0	0	0	0	0
Healthy	3.82684	0.18403	0.15093	0.21271	0.47015	0.19583	0.03469	0.03208	0	0	0	2.44021	0.18403	0.04745	0	0.21271	0	0	0	0
Healthy	0.54416	1.72355	0	0.19254	0.90124	0.16462	0	0	0	0	0.30701	0.83374	1.72355	0.40827	0	0.19254	0	0	0	0
Healthy	6.04891	0.32614	0	0.04859	0	0	0	0	0.08336	0	0	0.14718	0.32614	0	0	0.04859	0	0	0.08336	0
Healthy	0.88195	1.0404	0	0	0	0	0	0	0.06681	0	0	0	1.0404	0	0	0	0.53767	0.36607	0.06681	0
Healthy	4.19247	0	0	0	0	0	0	0	0	0	0	1.06246	0	0	0	0	0	0	0	0
Healthy	6.64619	0.21122	0.12703	0.13088	0	0.76885	0.29838	0.18507	0.07644	0	0	0.96816	0.21122	0.12647	0	0.13088	0	0.00716	0.07644	0.02294
Healthy	3.46	0	0.05682	0	0	0.01066	0	0	0	0.02128	0	1.92338	0	0	0	0	0.02375	0	0	0
Healthy	2.26209	2.10665	0.38686	0.04545	0.79965	0.00776	0	0.0058	0.09358	0	0	0.06451	2.10665	0.36476	0	0.04545	0.217	0.02873	0.09358	0.01871
D015179	3.0591	1.23231	0	1.97105	1.84302	0.36711	0	0	0	0	0	9.46793	1.23231	0	0	1.97105	0	0	0	0
Healthy	6.00909	2.21972	1.57506	2.30091	0.8766	0.74617	0.51717	0.23622	0	0.17425	0	2.36659	2.21972	1.99371	0	2.30091	0	0	0	0
Healthy	1.02062	0.08815	0	0.22304	0.22612	0.10688	0	0.0894	0	0	0	2.69736	0.08815	0.0184	0	0.22304	0	0	0	0
Healthy	7.96359	0.16406	0	0.63778	0.15533	0.20179	0	0	0	0.16372	0	3.20991	0.16406	0.30953	1.51484	0.63778	0	0	0	0
Healthy	3.38914	0	0.05066	0	0	0.0065	0	0	0	0.03968	0	1.93705	0	0	0	0	0.03274	0	0	0
Healthy	7.34815	0.49866	0.03277	0.71598	0.28721	0.04421	0.14787	0.17973	0.01617	0	0	0.01549	0.49866	0.81508	0	0.71598	0.05912	0.00782	0.01617	0.01398
Healthy	1.71916	0.07287	0.13565	0.00937	0	0	0	0.00832	0	0	0	0.25555	0.07287	0.00471	0	0.00937	0.00428	0	0	0
Healthy	3.57882	0.36195	0.31625	0.19704	0	0.02796	0	0	0	0	0	0.38041	0.36195	0	0	0.19704	0.01829	0	0	0.02036
Healthy	8.77666	0.34925	0	0.26608	0	0.29756	0	0	0.61297	0	0.26179	0.01208	0.34925	0.17742	0	0.26608	0	0.01227	0.61297	0.03502
Healthy	0.00229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	7.41557	1.70161	0.85144	1.14231	2.44092	0.30889	0.89653	0.1774	0.00208	0	0	4.3484	1.70161	1.94708	0	1.14231	0.05055	0	0.00208	0.00341
Healthy	1.01892	0	0	0.00993	0	0	0	0	0	0	0	0.16469	0	0	0	0.00993	0.10547	0	0	0
Healthy	3.17657	1.72905	0	0	0	0	0	0	0	0	7.02305	1.94538	1.72905	0	1.01667	0	0.00765	0	0	0
Healthy	4.95921	0.24887	0.55112	0.13005	0.01138	0.04875	0	0	0	0.06511	0	0.04926	0.24887	0.00482	0	0.13005	0.00803	0	0	0.04355
Healthy	4.47128	0.11173	0.15977	0.17574	0.22636	0.0987	0.01048	0	0	0	0	0.13176	0.11173	0.25316	0	0.17574	0.04009	0	0	0
Healthy	1.75266	0.40587	0.69124	0.00757	0.01368	0	0	0	0	0	44.32041	0.90959	0.40587	0	0.10397	0.00757	0	0	0	0
Healthy	1.38263	0.17382	0	0.02794	0.21032	0	0.15537	0	0.02512	0	0	0.02781	0.17382	0	0	0.02794	0	0.19603	0.02512	0.13551
Healthy	1.93983	0.09102	0	0.22717	0	0.10468	0	0	0	0	0	0.36137	0.09102	0	0	0.22717	0.13784	0.00219	0	0
Healthy	3.44547	0.08819	0.02457	0.05001	0.04898	0.07355	0	0.00447	0	0	0	0.02993	0.08819	0.0142	0	0.05001	0	0	0	0
Healthy	8.32142	0	0.10036	0	0.00263	0.04422	0	0	0	0	0	1.56281	0	0	0	0	0.0074	0	0	0
Healthy	3.79835	2.59467	0.94643	1.75379	1.22832	0.58303	0.19466	0.58094	0	0	21.90152	1.696	2.59467	0.75408	0	1.75379	0.00699	0	0	0
Healthy	2.39296	6.71522	0.0155	0.18193	0	0	0	0	0.11848	0	0	3.50073	6.71522	0	0	0.18193	0.14393	1.80928	0.11848	0
Healthy	10.5711	0.71224	0.35061	0.22363	0.98521	0.34005	0.07432	0.28078	0	0	13.96248	1.30552	0.71224	0.1994	0	0.22363	0.01793	0	0	0
Healthy	33.4338	0.46012	0	0.00971	0	0.03866	0	0	0.01615	0	0.01086	0.00796	0.46012	0	0	0.00971	0.02427	0.09782	0.01615	0
Healthy	9.45053	0.4467	0	0	0	0	0	0	0	0	0	0	0.4467	0	0	0	0	0	0	0
Healthy	0	4.64414	0	0	1.14042	0	0	4.38345	0	0	0	0	4.64414	4.58507	0	0	0	0	0	0
Healthy	5.67047	0.39614	0.18724	0.13302	0.32208	0.1214	0.01266	0.15606	0	0.00758	47.3312	0.49315	0.39614	0.19574	0	0.13302	0	0	0	0
Healthy	7.91107	1.67928	0.53754	0.98152	1.43145	0.5249	0	0.42195	0	0	0.09853	0.04064	1.67928	2.31136	0	0.98152	0.05352	0	0	0
Healthy	7.54477	1.92255	0	0	0	0	0	0	0	0	0	1.47331	1.92255	0	0	0	0.26009	0	0	0
Healthy	0.39224	0.00084	0	0.15349	0.4072	0.13509	0.02282	0.05481	0	0	64.5871	0.52102	0.00084	0.18748	3.30314	0.15349	0	0	0	0
Healthy	6.88421	0.45866	1.20997	2.13147	3.39231	0.31371	0.45511	0.24896	0.00701	0	0.4199	0.00683	0.45866	2.62803	0	2.13147	0	0	0.00701	0
Healthy	0.1088	0.4079	0	0.22012	2.08425	1.09828	0	0	0.17327	0	0.00052	0.11603	0.4079	14.8345	4.03805	0.22012	0	0.0789	0.17327	0.43065
Healthy	0	0.27573	0	1.98183	0	0.13863	0	0.05979	2.52336	0.02323	0	0.00803	0.27573	0	0	1.98183	0.02623	0.50411	2.52336	0.07456
Healthy	1.65953	0.04455	0.15255	0.00163	0	0	0	0.00999	0	0	0	0.20399	0.04455	0.00978	0	0.00163	0.01684	0	0	0
Healthy	7.0697	0.06747	0.08698	0.02851	0	0	0	0	0.02028	0	0	0.05932	0.06747	0	0	0.02851	0.00319	0	0.02028	0
Healthy	1.41439	0.44785	0	0.39655	0.45548	0.12751	0	0.10025	0	0	0	0.88148	0.44785	0.0473	0	0.39655	0.00148	0	0	0
Healthy	1.27455	2.40405	0	1.43085	0.9164	0.25722	1.02922	0.02161	0	0	0	0.59487	2.40405	2.60154	0	1.43085	0	0	0	0
Healthy	7.35373	0.47031	0.80581	0.57118	0.07514	1.09577	0.0495	0.05275	0.00147	0	0	0.07459	0.47031	0.744	0	0.57118	0.02092	0.01096	0.00147	0.00289
D015179	2.34062	0.76064	1.89751	1.25907	1.97957	0.50345	1.08369	0.17546	0.10943	0.216	0	2.11069	0.76064	0.83055	0.9267	1.25907	0	0.00166	0.10943	0.00473
Healthy	3.5326	0.13626	0.99048	1.24323	0.22741	0.16809	0.14204	0.70046	0	0.02263	0.01329	0.30259	0.13626	0.76613	0	1.24323	0	0.00139	0	0.01196
D015179	27.3976	0	0.1585	1.4164	0.21297	0.41159	0	0.20632	0	0	9.44596	4.67189	0	0.08843	5.08544	1.4164	0	0	0	0
Healthy	0.00717	0	0	0	0	0	0	0	0	0	0.00189	1.60255	0	0	0	0	0	0	0	0
Healthy	0	0	0.83133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.48679	0.12247	0.14886	0.01809	0.01559	0	0	0	0.00829	0	0	0.04684	0.12247	0.01562	0	0.01809	0.10605	0.42559	0.00829	0.3832
Healthy	1.41366	0	0.40593	0.00782	0.1233	0.06396	0.39526	0.07304	0.01692	0	0.00696	0.13523	0	0.01972	0	0.00782	0.01269	0	0.01692	0
Healthy	2.25483	0.08071	0.68067	0.11886	0	0.02101	0	0	0	0	0	0.10229	0.08071	0.09069	0	0.11886	0.0514	0.01253	0	0.05759
Healthy	5.92255	0.3478	0.07106	0.1358	0.51451	0.09531	0.10933	0.17561	0	0	0	1.03872	0.3478	0.32634	0	0.1358	0.04211	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015179	8.05668	0.3426	0	0.18687	1.90519	0.64131	0	0.30025	0.02785	0	0	0.05949	0.3426	0.40684	0	0.18687	0.00055	0	0.02785	0.0051
Healthy	1.43355	0.50352	0.57258	0.04681	0.07347	0.02997	0.03698	0	0	0	32.35583	0.39788	0.50352	0	0	0.04681	0	0	0	0
Healthy	3.23646	0.36701	0.11939	0.60867	0.49979	0.25236	0.06577	0.14898	0	0.40681	0	1.72117	0.36701	0.49026	1.37859	0.60867	0.00249	0	0	0
Healthy	0.95934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57382
Healthy	1.46929	0.10964	0	0.15714	0	0.05871	0	0	0	0	0	0.26201	0.10964	0.06016	0	0.15714	0	0	0	0
Healthy	1.57438	0	0	0.05043	0	0.02357	0	0	0	0	0	0.2571	0	0	0	0.05043	0.27294	0	0	0.02776
Healthy	0.56909	0.08997	0	0.00623	0	0	0	0	0	0	0.0459	0.00928	0.08997	0	0	0.00623	0.00139	0	0	0
Healthy	4.73852	2.63483	3.91151	0.4628	1.29352	1.10206	0.53723	0.30591	0	0	0	2.40753	2.63483	1.44689	3.0651	0.4628	0.71365	0	0	0
Healthy	6.92244	1.02855	1.19242	1.34854	0.39931	0.53885	0.05615	0.28062	0.00433	0	6.71216	1.08996	1.02855	1.61132	2.02303	1.34854	0	0	0.00433	0
Healthy	3.64784	0	8.07396	1.54898	3.09567	0.4917	0	0	0	0	0	3.33748	0	0.65432	0	1.54898	0	0.31213	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.29535	0.38452	0.00653	0	0.02527	0.00792	0	0	0	0	0	0.27551	0.38452	0	0	0	0	0	0	0
Healthy	6.92127	0.12226	0.09496	0.03535	0.02489	0.01933	0	0	0.05388	0	0	0.07276	0.12226	0	0	0.03535	0.02131	0	0.05388	0
Healthy	0.64758	1.79054	0	0	0	0	0	0	0	0	0	0.02901	1.79054	0	0	0	0.33648	0.60132	0	0
Healthy	2.68884	0.95265	0.43562	0.72149	0.07164	0.36605	0.29486	0.21887	0.021	0.17536	0	0.07625	0.95265	1.13597	0	0.72149	0.33276	0.001	0.021	0.02861
Healthy	10.7056	0.67915	0.18546	0.56984	0.27732	0.21141	0.14638	0	0	0	0	2.28741	0.67915	0.88881	0	0.56984	0	0.02028	0	0
Healthy	3.52931	0	0	0.08343	1.36978	0.02209	0.02453	0	0	0	0	0.42781	0	0	0	0.08343	1.34498	0	0	0
Healthy	17.8385	0.00741	0	0	0	0	0.03562	0	0	0	0	0.13755	0.00741	0	0	0	0	0	0	0
Healthy	3.62159	0.70374	0	0.30499	0.54786	0.27393	0	0.10927	0	0	0	0.9731	0.70374	0.27156	0	0.30499	0.11116	0.0017	0	0
Healthy	25.6386	0.0099	0.95473	0.94119	0.65662	0.42065	1.02849	0.22407	0	0	10.05104	0.59747	0.0099	1.38983	30.9145	0.94119	0	0	0	0
Healthy	2.95742	0	1.05088	0.33446	0	0.39779	0.02796	0	0	0	0	0.24852	0	0.88429	2.25693	0.33446	0	0	0	0
Healthy	2.04914	0.39686	2.79408	0.44033	0	0.11086	0	0	0.04196	1.68353	0	0.12449	0.39686	0.24945	0	0.44033	0.0513	0.13292	0.04196	0.08002
Healthy	10.5953	1.2324	0	0.4218	0.93931	0	0.07907	0.57328	0	0	8.90353	0.17713	1.2324	1.35625	0.92544	0.4218	0.0517	0	0	0
Healthy	1.71266	1.74283	0	0.95731	2.39375	0	0	0	0	0	0	1.3753	1.74283	0.21971	0	0.95731	0	0	0	0
D015179	5.46842	0.50434	0.43364	0.6515	1.00856	0.39501	0	0.60665	0.27033	0	0	1.47845	0.50434	0.37298	0	0.6515	0.07438	0.24665	0.27033	0.2887
Healthy	9.69365	0.04792	0	0.11705	0.27856	0.09402	0	0.30803	0.00765	0	0	0.29736	0.04792	0.22783	0	0.11705	0	0	0.00765	0
Healthy	4.9751	0.69794	0.55142	0.28329	0.16818	0.21763	0.10282	0.52198	0	0	55.8483	0.06039	0.69794	0.11749	0	0.28329	0.00026	0	0	0
Healthy	45.6278	0	2.04615	0	0	0	0	0	0	0	0	0.80755	0	0	0	0	0.19324	0	0	0
Healthy	0.96581	0.12932	0	0.12093	0.25267	0.10665	0	0	0	0	8.26867	0.12507	0.12932	0.28134	0	0.12093	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015179	1.05109	0.09344	0	0.01441	0.42169	0.04253	0	0	0.00331	0	0	0.01637	0.09344	0.58188	0	0.01441	0	0	0.00331	0.03938
Healthy	0	0.36578	0	0.13061	0.10479	0.16076	0	0	0.2842	0	0	0.99151	0.36578	0.4263	0	0.13061	0	0.39421	0.2842	0
D015179	6.78014	0.27572	0	1.16416	0.18368	0.27577	0.02453	0	0	0	0	2.7945	0.27572	1.23755	0	1.16416	0	0	0	0
D015179	1.31173	15.19746	1.17262	0	0	0	0	0	0	0	0	3.44799	15.19746	0.29006	0	0	0	0.23702	0	0
Healthy	4.62895	2.84767	1.12483	0.54876	0.91284	1.97697	0.54501	0	0.00326	2.11792	0	2.62093	2.84767	3.14218	0	0.54876	0.03821	0.09322	0.00326	0.07006
D015179	16.0946	0.78973	0.65198	0.15033	1.64977	0.5342	0.62742	0.16326	0	0	0	0.8018	0.78973	0	0	0.15033	0	0	0	0
Healthy	1.06426	0	0	0	0	0	0	0	0	0	0	0	0	2.63855	0	0	0	0	0	0
Healthy	9.97333	1.86496	0	0.22425	0.33161	0	0.00943	0.25736	0	0	22.6101	0.05642	1.86496	0.74748	1.24666	0.22425	0.01578	0	0	0
Healthy	0.2403	5.58976	0.75056	0.14579	0	0.52977	0	0	0.0384	0.01261	11.4038	0.09697	5.58976	0.86308	0	0.14579	0.00049	0.07555	0.0384	0.20603
Healthy	1.79676	0.09186	0	0.20394	0	0.10167	0	0	0.00606	0	0	0.25434	0.09186	0	0	0.20394	0.14996	0	0.00606	0
Healthy	1.62245	0.00267	0	0	0	0.00415	0	0	0	0	0	0.15125	0.00267	0	0	0	0.17531	0	0	0
D015179	0	0	0	0	0	0	0	0	0	0	2.3102	0	0	0	0	0	0	0	0	0
Healthy	1.62754	0	0	0	0	0.01433	0	0	0	0	0	0.19733	0	0	0	0	0.13742	0	0	0
Healthy	4.70666	0.01418	0.22265	0.09705	0.08054	0	0	0.01526	0	0	0	0.12017	0.01418	0.04057	0	0.09705	0.01683	0	0	0.04877
D015179	8.23304	7.44206	5.27312	3.73124	0	5.02503	0	0.56425	0	0	0	0.17771	7.44206	3.35825	0	3.73124	0	0	0	0
Healthy	4.87308	2.4429	0.41176	0.54442	0.73294	0.35703	0.32539	0.35546	0	0	0	2.48504	2.4429	0.86436	0	0.54442	0.04007	0	0	0
Healthy	0.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015179	0.06323	0.55006	0.31558	0.06655	0.17364	0.10512	0.3004	0	0.02055	0	0	0.05035	0.55006	0.02546	0	0.06655	0.0851	0.089	0.02055	0.0192
Healthy	7.63655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	10.2581	0.89815	0	0.2151	0.71316	0.05786	0.21397	0.13408	0	0	0	0.31529	0.89815	0.52926	0	0.2151	0	0	0	0
Healthy	0	0	0.68492	0	0	0	0	0	0	0	0	0.26401	0	0	0	0	0	0	0	0
Healthy	1.97641	0.11429	0	0.13837	0.27323	0.09434	0.01135	0.05346	0	0	7.34701	0.19689	0.11429	0.3707	0	0.13837	0.00282	0	0	0
Healthy	0.59619	0.19173	0.94487	1.10363	0.15909	0.10788	0	0.16101	0	0	0	0.01134	0.19173	0.14344	0	1.10363	0	0	0	0
Healthy	7.37514	1.28746	0.2099	1.30232	1.35017	0.55255	0.68793	0.23982	0	0	1.95919	0.95629	1.28746	1.24667	2.83403	1.30232	0	0	0	0
