group	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	17.91	0.14049	0.24	0.29976	0.19765	0.27478	0.03984	0.11152	0	0	3.81452	0.00798	0.14049	0.42331	0	0.29976	0	0.01224	0	0
Healthy	0.12429	0.30085	0	0.13302	0.50109	0.1677	0	0	0	0	6.31915	0.31804	0.30085	0.4936	0	0.13302	0.04874	0	0	0
Healthy	5.23795	0.30949	0.23481	0.42806	0.62476	0.51624	0.10661	0.23379	0	0.13	0	1.24791	0.30949	0.32437	0	0.42806	0	0	0	0
Healthy	2.62326	0.36316	0.17433	0.21301	0.5826	0.2229	0	0.07185	0.01663	0	2.16791	0.67365	0.36316	0.18274	8.28949	0.21301	0	0	0.01663	0
Healthy	62.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.43183	0.04387	0.24373	0	0.05664	0	0	0	0	0	44.60152	0.27629	0.04387	0	0.86272	0	0	0	0	0
D015179	4.17588	1.82089	0.71634	1.09097	1.12859	1.17863	0.58782	0.29121	0.00669	0.15108	0	1.74651	1.82089	0.57546	0	1.09097	0.00152	0	0.00669	0
Healthy	1.84929	0.37487	0.63218	0	0.04993	0.00989	0	0	0	0	44.6447	1.10457	0.37487	0	0.06803	0	0	0	0	0
Healthy	5.51072	0.28899	0.3371	0.2328	0	0.01748	0	0.19834	0	0	0	0.03261	0.28899	1.40782	0	0.2328	0.0586	0	0	0
Healthy	0.17685	1.12486	1.97032	0.39242	0.79959	0.04477	2.57306	0	0.00591	0	0	0.04471	1.12486	3.00802	0	0.39242	0	0.00579	0.00591	0.16946
Healthy	6.71157	0.98337	0	1.00121	0.81399	0	1.21381	0	0.06166	0	0	0.11433	0.98337	0.15216	1.22966	1.00121	0	0	0.06166	0
Healthy	5.37472	0.41058	0.31569	0.12754	0.51643	0.13158	0.14387	0	0	0	0	0.15385	0.41058	0.39885	0	0.12754	0.1002	0	0	0
Healthy	0.53665	0.07476	0	0	0.02666	0	0	0	0	0	56.7831	5.77681	0.07476	0	3.19845	0	0	0	0	0
Healthy	2.67302	2.01212	3.24867	2.84013	0.26241	2.54844	0.55361	0.59075	0	0.20201	2.96841	0.25898	2.01212	5.83452	0	2.84013	0	0	0	0
Healthy	0	0.44703	0	0	0	0	0	0	4.07451	0	0	0.35605	0.44703	0	0	0	0	0.17018	4.07451	0
D015179	0.61855	1.04071	1.67098	0.5622	0	0.02307	0	0	0.01039	0	0	0.11711	1.04071	0.02855	0	0.5622	0	0.04993	0.01039	0.32159
Healthy	8.95456	1.09541	0	2.43898	0	0	0	0	0	0.02047	0	1.25114	1.09541	0	0	2.43898	0	0.92036	0	0
D015179	7.30561	0.52934	0.9625	0.74938	0.52682	0.06444	0.0354	0.5446	0.1609	0	0	0.09119	0.52934	0.08271	0.0392	0.74938	0	0.00574	0.1609	0
Healthy	2.46552	0.08203	0.6914	0.13568	0	0.01852	0	0	0	0	0	0.1005	0.08203	0.08323	0	0.13568	0.01275	0.02305	0	0.05211
D015179	1.9523	0	0.73701	0.22191	0	0	0	0	0	0	9.63375	4.45246	0	0	0	0.22191	0	0	0	0
Healthy	0.77987	0.19451	2.27129	0.40834	0	0.79977	0.26117	0	0	0	8.03986	0.36132	0.19451	0.86242	1.01512	0.40834	0	0	0	0
Healthy	8.27035	0.11559	0	0.23597	0.33604	0.17601	0.33744	0.05872	0.00123	0	0.04001	1.07663	0.11559	0.27006	0	0.23597	0	0	0.00123	0
Healthy	0.71987	0.05055	1.0791	0	2.12341	0	0	0	0	0	0	2.25541	0.05055	0.02937	0	0	0.0234	0	0	0
Healthy	13.8765	3.12286	4.32512	1.28674	0.98779	1.05475	0.55074	0.07321	0.00189	0.01771	5.62645	0.50233	3.12286	3.90154	0	1.28674	0	0	0.00189	0.03246
Healthy	0.11471	0.08032	1.19682	0.15744	0	0	0	0	0.04164	0	0	0.00737	0.08032	0	0	0.15744	0.00705	0.01988	0.04164	0
Healthy	3.3535	0.04111	0.28366	0	0.09443	0	0	0.02139	0	0	44.97245	0.31177	0.04111	0	0.80514	0	0	0	0	0
D015179	6.28907	0.33416	0.59857	0.68948	1.00622	0.03931	0	0.14126	0.04195	0	0.00962	0.82531	0.33416	0.03064	0	0.68948	0	0	0.04195	0
Healthy	16.6374	0.28181	0.7939	0.20733	0.36895	0.22893	0.10424	0.22769	0	0	13.0904	0.41848	0.28181	0.48446	0	0.20733	0	0	0	0
Healthy	1.67666	0.01072	0	0	0	0.00637	0	0	0	0	0	0.03975	0.01072	0	0	0	0.11666	0	0	0
Healthy	0.82745	0.17447	0.67999	0.08157	0.07025	0.01205	0	0.02476	0.01123	0	0	0.17169	0.17447	0.07101	0	0.08157	0.27735	0	0.01123	0.20305
Healthy	3.30743	0.4664	0.05868	0.25761	0.7908	0.36276	0.0803	0.17589	0	0	16.1089	0.60007	0.4664	0.36709	0	0.25761	0.00491	0	0	0
D015179	4.1418	8.42779	1.86908	3.67126	0	5.62523	0	0.56293	0	0	0	0.16136	8.42779	4.27327	0	3.67126	0.0101	0	0	0
Healthy	9.70149	0.66465	1.71217	0.53567	2.37879	0	0	0	0	0	0	0.4069	0.66465	2.07775	0	0.53567	0	0	0	0
Healthy	0.23802	0.79934	0	0.43257	0.70173	0.42913	0	0.0507	0	0	29.5744	0.08099	0.79934	1.01417	2.18475	0.43257	0	0	0	0
Healthy	1.4141	0.02036	0.20882	0	0.20999	0.01714	0.06746	0	0.02943	0	0	1.01673	0.02036	0	0	0	0	0	0.02943	0
Healthy	1.45529	0.61109	0	0	0	0	0	0	0	0	68.4668	0	0.61109	0	0	0	0	0.03436	0	0
Healthy	11.1457	0.14405	0.12154	0.32221	0.26633	0.10267	0.07386	0.15632	0	0	0	0.41924	0.14405	0.16832	0.00113	0.32221	0.01433	0	0	0
Healthy	31.1106	0.45248	0	0	0	0.00131	0	0	0.14875	0	0	0.10179	0.45248	0	0	0	0.01751	0.40084	0.14875	0.00167
