c	Clostridia	Methanobacteria	Actinomycetia	Gammaproteobacteria	Bacilli	Coriobacteriia	Desulfovibrionia
Healthy	1.45331895172898	-0.194444773478747	-0.215925022521303	-0.366460851072662	0.213326465927919	-1.02447628703967	-1.10941133229451
Healthy	1.6692777272002	-5	1.38646596861784	-0.581831337932134	-0.74816718137136	-0.0468639369858433	-5
Healthy	1.41584323663477	-0.743787541434838	0.530503213925169	-0.713813083058962	-2.57348873863542	-0.341330501793832	-1.12644690648638
Healthy	1.14208867249843	-1.09044397075882	0.750233691942234	-2.69680394257951	-1.43004118190341	-0.0893435844122668	-0.986109939671561
Healthy	1.34703771974518	-5	-0.687653360969147	0.63423738469509	-0.885355661097721	0.163846875794205	-1.09642170633695
Healthy	1.31590278328254	-5	1.40112833208387	-0.0375264840391993	-0.529736553034922	0.759851342542993	-1.81958736716168
Healthy	1.15252805770336	-0.726790316599669	-0.299330889371745	0.186603221792895	-1.75300930075845	-0.683903790324869	-0.812310106474816
Healthy	1.41352674519155	-1.15187248943213	-0.587875593826683	0.345965457886395	-0.235375602149019	-1.06068046892176	-1.03123695180275
Healthy	1.49291480841852	-5	-0.328716051374985	-0.530929447968747	0.0460149508590078	-0.423336216585005	-5
Healthy	1.24379901006385	-5	0.768325030057909	-0.341635584312928	-0.0923522065996969	-0.0285803382281341	-2.91721462968355
Healthy	1.36879806566854	-0.276363751548955	0.749569366032057	-1.95233580539844	-1.03607057797344	0.234745000628051	-1.23121395309199
Healthy	0.821560034071882	-5	-0.181859917724294	-0.410351941664339	-0.787785752580059	-0.844998163768747	-1.10325338439259
Healthy	-0.476006549684386	-5	1.7298044975577	1.44376241272035	0.544609953795997	-0.920782564253433	-0.879919865870547
Healthy	1.40206921838821	0.459439232218998	-0.00137890022102005	-5	0.0811419957201863	-5	-1.05276239212933
Healthy	0.409082289950506	-5	-5	-0.334353353872193	-0.612450012609767	-0.81121208736253	-2.59859945921846
Healthy	1.55513678720214	-5	-5	0.108751013469221	-0.844208647642382	-1.78727984558216	-1.43168091490489
Healthy	0.995212978021115	-0.262688062010375	-5	0.806654046147595	-0.564028293600659	-5	-0.183427303973897
Healthy	0.767879087701276	-5	-5	-0.999088937868777	-5	-0.991357252434715	-1.24123945609002
Healthy	1.40436788267485	1.19431477032722	-1.02122621566988	-5	-5	-1.15851539066461	-1.57528166266843
Healthy	1.2300635056576	-0.48537256758866	-5	1.21619916612133	-0.845697780315335	-5	-5
Healthy	0.883333177521008	-5	-0.65380355627079	0.244037017036314	-0.989530430203608	-5	-1.0073581301216
Healthy	1.83420763729357	0.506717392419689	-5	-5	-0.938698343793955	-5	-5
Healthy	0.835315711892788	-5	-0.207181230830761	-0.471276076739006	-0.849304948857286	-0.719763190390311	-0.998699066979582
Healthy	1.39121518967295	0.0200254863257827	1.35339280128144	0.243191885767495	1.2620379575553	0.451102996833693	-5
Healthy	1.28459404298254	-5	0.704108458618344	1.19097649680895	0.335205073740825	0.239269440429388	-1.43937612545007
Healthy	0.865290568604777	-5	-0.411392195257313	-0.890826578574528	-0.617982957425132	-5	-5
Healthy	0.73434690347996	-5	-0.30756731148585	0.776060890414528	-1.01295971302073	-0.500381640299993	-0.69216179584344
Healthy	1.07126582915093	-0.21511893041391	-5	1.12155820285983	-0.654998961821958	-5	-5
Healthy	1.38189538704128	-1.70289634985074	-5	0.155405883408257	-1.85047298624565	-0.674217602484195	-1.03428102975578
Healthy	1.14788152240164	-5	0.714166239729455	0.361376481869873	-0.498803757972911	-2.43297363384094	-5
Healthy	1.60449356953884	-5	0.992401068294658	-0.652923803930265	-0.201985035648513	-0.690433704106227	-1.17947015147648
Healthy	1.52805960109978	-5	-0.135524518308971	-2.03105031901866	0.376981866455769	0.045334716316743	-0.548014111051091
Healthy	1.33111923301633	-0.265648292705235	0.412347969086344	0.0660723575773765	-5	-0.35269528819389	-5
Healthy	1.24428503948943	-5	-0.29654525468797	0.585749411171379	-0.703290943824397	-5	-1.70929775671215
Healthy	0.998936849760302	-5	-5	-0.641284886197868	-5	-5	-5
Healthy	0.934940600473388	-5	-2.17392519729917	0.138826693810669	-1.19348086591929	-0.502144659868822	-1.35872424276809
Healthy	1.20670501205503	-5	-0.868060704789575	-0.361580635137367	-5	-0.63520519282589	-0.488584592791225
Healthy	0.924075016220443	-5	-5	-0.21175383062718	-2.53461714855158	-5	-2.14146280243036
Healthy	1.34583072467652	-2.14508697769214	0.907689155879493	0.329157781394064	0.390341518926754	0.00338297259828993	-1.04793440981495
Healthy	0.857495929293535	-5	-1.65600093094284	0.124950679542338	-0.447623844747437	-0.160239219038679	-0.747244028911427
Healthy	1.71085495437172	-1.22929523178422	0.362126071357915	0.272560963861557	-1.57121748850305	-0.386433001228715	-0.829591588274682
Healthy	1.92861657958856	0.317892088957648	-5	-5	0.485269866168583	0.566215868865457	-5
Healthy	0.420922339593397	-5	-5	-0.266626163055293	-0.614500972847943	-0.827718238544999	-5
Healthy	1.3854107076947	-5	0.272340642245293	-1.11025022473596	-0.312506711255048	-0.632196967250993	-5
Healthy	1.07077166602148	-5	-5	0.761782798918629	-1.7680209731685	-0.291324207273463	-5
Healthy	1.23613552968257	-5	-5	0.855023401569893	-1.77806440017199	-0.133411418224968	-5
Healthy	1.57366723433078	-5	0.0755615592810349	-1.1253442674019	-1.67964596718233	-1.4386600585411	-5
Healthy	1.44068479603106	-5	-5	0.473590604448907	-1.26656197290894	-1.1114274031424	-0.258422985219577
Healthy	1.01115709631296	-5	-0.632401836320167	0.801618402870708	-0.237839297913818	-1.44708854978349	-5
Healthy	1.03464409575721	-5	0.434388442735579	-0.978852064279005	-5	-0.833066905128846	0.209152951593855
Healthy	0.720720628024159	-5	0.736743798962006	1.89967569522853	-0.869827111107464	0.169395196975156	-5
Healthy	1.45599459811076	-5	-0.12731939284807	0.310674198718182	-0.526542227184554	-1.98171569157347	-5
Healthy	1.48797178851542	-5	-1.88706002391592	0.954119441900728	-5	-5	-5
Healthy	1.74857987849733	-5	0.410247323940247	-5	1.08418899343258	0.58910475277915	-5
Healthy	1.63908099170895	-5	0.698566791937309	-1.15645578805436	0.0754119076576232	-0.662820374590166	-5
Healthy	1.33484102540248	-5	-5	-5	-5	-0.973099191109745	-5
Healthy	1.3597381818911	-0.242004572723122	-5	0.94718709417019	-2.70774392864352	-5	-1.3763372926438
Healthy	1.61706736835744	-0.819845440546652	-0.504997133561376	0.276783384700269	-0.153743320221921	-1.10690433390377	-1.49039429538844
Healthy	0.642475402199867	-5	-0.485691374343224	0.00609363020820083	-0.465237994969973	-0.0108217012429983	-0.394608750110711
Healthy	0.903364048891955	-5	0.080749110907479	-0.951519352526498	-0.0678104461845136	0.0936807835974929	-0.093761957868654
Healthy	1.56021985014056	-5	0.723572234494289	-5	-0.0862603017850711	-1.07644514193245	-5
Healthy	1.19586009384911	-1.57823159879308	0.138754129723719	-1.74836177955179	-1.63413778459744	-0.41999931041096	-1.03198428600636
Healthy	1.26322169366765	-0.299469343021408	0.508095881195523	0.246786537772904	0.102519458368337	-0.645833914968581	-0.525710873834504
Healthy	-3.02227639471115	-5	-1.64282774227697	1.9366017988212	-0.640297291725886	-5	-5
Healthy	1.40732273783472	-5	-5	0.724212769403576	-0.793470948317269	-0.749604396942884	-0.791881259261723
D050177	1.78567613575031	-5	-1.64130390042619	-0.827718238544999	0.0634234366239274	-1.32111758532926	-1.02031507617297
Healthy	-0.560398916165654	-5	1.95902530881005	0.65769916511523	0.559402646841045	-2.65757731917779	-5
D050177	1.79615079369642	-5	-5	-5	-5	-5	-5
Healthy	0.4591194599369	-5	-0.926831737734898	-0.162676764352586	-5	-5	-5
Healthy	0.525187387787583	-5	-5	-0.945885099489414	-5	-0.935317433771488	-1.497163361379
Healthy	0.723788859050945	-5	-0.361390954192885	-0.534498180058329	-0.601625913848644	-0.243356285962926	-1.94846160948467
Healthy	1.379915458851	-5	0.122301089961987	-0.222551427179631	-0.97802554488994	-0.829591588274682	-0.677801386448108
Healthy	1.45827727272622	-5	-1.77211329538633	-0.930516906065389	-2.35457773065091	-1.86138156610051	-5
Healthy	1.01247361443207	-1.26833066817136	0.637994778390935	-0.41002807048314	-2.2572748686953	-2.64397414280688	-1.12592425477697
Healthy	0.488405457367657	-5	-1.20802879897923	0.185063118628386	-1.26560025747943	-0.873414072045662	-5
Healthy	1.6775069439896	-5	-1.66534523311676	0.449094075274832	-1.14721513131945	-0.531327808853853	-1.24703013497092
Healthy	1.66913940664896	-5	-5	-1.31202537996544	1.051093840473	-5	-5
Healthy	1.50651274410758	-5	-0.471443219398817	-0.265152184721705	0.582984408651994	-0.569199575375819	-1.75870261289001
Healthy	1.82704989750399	0.577774343999618	0.100821838946951	-1.33320131633383	0.0569048513364726	-0.758602958350354	-1.8153085691824
Healthy	1.87591343904048	-5	1.32709541653146	-5	-5	-5	-5
Healthy	0.887815275486838	-5	-0.833658708016502	-0.939906816175532	-1.13153190097901	-0.613073193204431	-0.504608316733061
Healthy	0.994225179864961	-1.01282549891246	-5	-5	-0.522227791650743	-0.199152378124986	0.176233105419458
Healthy	1.3453164744199	-5	1.55509928748709	0.592966876255435	0.271353622102484	-0.363903445843243	-5
Healthy	1.71787046537739	-5	-1.35961795529043	-0.379947270905605	0.376482058819104	0.39167242839155	-2.44855000202712
Healthy	1.5841822493836	0.260731872147808	-0.601140261595739	0.459898869322942	-0.0564411855707237	-0.729344451047015	-1.9515581964496
Healthy	1.60943496080477	-5	-5	-0.529648320654182	-5	-0.475292388205987	-5
Healthy	1.42360430573151	-5	-5	-0.0902675076251021	0.416265954074958	-5	-5
Healthy	1.61380631605831	0.485932845201798	-0.572156994294466	-0.169789980446389	1.146950244924	0.575643845661616	-5
Healthy	1.54674409485113	-5	-5	0.624558470873253	0.215629633457334	-1.40837896178668	-5
Healthy	1.49694057445299	-5	-0.644491011975566	0.414679264466649	-0.536584848478778	-0.871213141357402	-5
Healthy	0.822281216656299	-5	0.0824586292715335	-0.444603223193737	-0.26085504067402	-0.146478218173163	-0.177773059405061
Healthy	0.962872011646389	-5	0.211318145691329	0.433228828459711	1.32789385998954	0.356274500903909	-5
Healthy	1.26968452668662	-5	-0.358664727273591	-1.09946901754724	-0.747316838067802	-0.92786043676026	-1.15620680167409
Healthy	1.1086857570507	-5	1.54657535771273	-0.98175733254209	-1.61834351741421	0.0330657171185611	-2.12090412049993
Healthy	1.54941111098063	-5	0.743686895664305	-0.496658819638013	0.70645576145229	0.636777663647943	-5
Healthy	0.806771975129058	-5	-1.98674133471648	1.02127904398954	-0.867996607013368	0.130005510862396	-0.341931337516564
Healthy	0.89347657602406	-5	-0.873414072045662	-1.01963297381522	-1.16304326294045	-0.547186591322146	-0.470454157138276
Healthy	1.42169044813617	-5	0.386456158235409	0.410654095544502	-0.0665886443976464	-0.0788599869822159	-2.90308998699194
Healthy	0.516286756742558	-5	-0.557786847277181	-0.748994826506365	-1.64820369310298	-2.63078414258986	-5
Healthy	1.04352810361786	-5	0.72775265980976	-0.55695617135166	-0.758055266755733	-0.149390519078651	-0.960942981966556
Healthy	1.62673639063625	-1.60800692774029	-0.700035331375845	-1.64936439174105	0.716771865592201	-1.22577509513108	-5
Healthy	1.74560717886567	-5	0.773395111234869	-5	-5	0.233549419743861	-5
Healthy	1.61067634238685	-5	-5	-5	0.292838433016156	-5	-5
Healthy	1.21357804935372	-5	-0.0318206967250459	-0.759026648159996	-1.33236029394359	-0.62845190731615	-1.29713882942707
Healthy	0.33969584950589	-5	-5	0.631860613368897	-1.88840147511961	-5	-5
Healthy	1.51071574552102	-5	-0.209510758477563	0.408553697586891	-0.293982431100993	-0.890455199121653	-0.970291637485105
D050177	1.52641553073813	-5	-5	-5	-5	-5	-5
Healthy	1.64177295694328	-5	-1.94195376960472	0.411840163863845	-0.984305011473482	-5	-5
Healthy	0.539787206963553	-5	-5	0.387935910763123	-5	-5	-1.50265561898242
Healthy	1.66372004899893	-5	1.0392010841612	-5	-5	-5	-5
Healthy	1.84136516505698	-0.731024418902193	-0.27049503818861	-0.138346129786089	0.190037398989312	-0.777309535288659	-1.08857603462371
Healthy	0.942225394038726	-5	-0.302273857453656	-0.267831488311101	-5	-0.596862313373619	-0.253233509274442
Healthy	1.77264422665499	-0.951092298516229	-0.390426932551334	0.236373488494027	-0.460296761052174	0.187811093428112	-5
