c	Clostridia	Bacilli	Coriobacteriia	Desulfovibrionia
Healthy	0.33969584950589	-1.88840147511961	-5	-5
Healthy	1.51071574552102	-0.293982431100993	-0.890455199121653	-0.970291637485105
Healthy	1.64177295694328	-0.984305011473482	-5	-5
Healthy	0.539787206963553	-5	-5	-1.50265561898242
Healthy	1.66372004899893	-5	-5	-5
Healthy	1.84136516505698	0.190037398989312	-0.777309535288659	-1.08857603462371
Healthy	0.942225394038726	-5	-0.596862313373619	-0.253233509274442
Healthy	1.77264422665499	-0.460296761052174	0.187811093428112	-5
Healthy	0.853369020778802	-0.34356637993405	0.119206384805907	-5
Healthy	1.16590402368497	-0.268346780304104	-5	-5
Healthy	1.67775710506271	-0.720538390742327	0.567358139248078	-0.720287439179074
Healthy	-0.601487100636577	-1.69550947222651	-2.58335949266172	-5
Healthy	1.29462822967002	0.0735093989447644	-0.105949913325857	-5
Healthy	1.72806664688125	0.374258801735391	-0.375810756140244	-5
Healthy	1.18056740329026	-0.13499083395651	-2.36251027048749	-5
Healthy	1.48141123776671	0.275695943772669	-5	-5
Healthy	1.03803448288161	-0.652162790782278	-0.191964671555741	0.0853084206935297
Healthy	1.7636263758975	-0.465035207605334	-5	-5
Healthy	0.383240712265224	-5	-5	-5
Healthy	1.89740598462153	-1.25266589038409	-0.32176395860447	-5
Healthy	1.31392160918484	0.192826614678094	0.0459758857632826	-1.40660315769979
Healthy	0.745483117577596	-2.75696195131371	-0.788318923700861	-1.82073553566097
Healthy	1.75178633158743	-0.30019694972716	-0.226945306635737	-5
Healthy	0.892972326282529	-1.2185318571582	-0.652026339721962	-0.481038835550238
Healthy	1.66820619715723	0.919402906871174	0.0167743557683439	-1.10757145305477
Healthy	1.77721404573176	-5	0.254809010414806	-5
Healthy	0.938137297650076	-1.13170831198214	-1.44745345204434	-2.79317412396815
Healthy	1.36596264140317	-1.16583371605738	-0.91388942619868	-0.388223603002689
Healthy	1.09462169057043	0.0255802854362789	-0.184820869860581	-0.722184573429135
Healthy	0.405878868331657	-0.63537397104496	-0.880117542015017	-2.59516628338006
Healthy	1.0933519823094	-1.07618627890881	-5	-1.41668784801692
Healthy	1.13265153073686	-1.5054280157698	-0.739427791876507	-0.859272037155817
Healthy	1.07610425239176	-0.274586622650022	-1.22687207596667	-0.449820584291501
Healthy	0.732929862907847	-5	-0.947652400775336	-1.54683460747414
Healthy	1.29993941694529	0.256277457032671	-0.528869712156724	-0.4315987810515
Healthy	1.40153649503355	0.953170410062659	-1.42181939037222	-5
Healthy	1.49570595381986	-5	0.00158228893511219	-1.26696331706642
Healthy	1.16768706622592	-0.363742852536496	-5	-5
Healthy	1.39345533900023	-0.295772243975001	-0.37333121254548	-1.45892023222337
Healthy	1.09161948151491	-0.997488368715092	-5	-1.33629907461035
Healthy	1.52914432399509	-0.119701008574247	-5	-5
Healthy	1.42053414725031	-0.682103733507044	-0.555018887912055	-5
Healthy	0.795370377864658	-0.247436853219887	-0.827192811630913	0.217452358012074
Healthy	0.958802703399502	-1.26865302445405	-1.28266241727614	-2.80966830182971
Healthy	1.42670494278751	-1.79290445958078	-5	-5
Healthy	1.07685007757803	-0.521404648588605	0.209077819246674	-0.95436412892178
Healthy	1.52648272598072	-0.499091465490491	-1.09033701484598	-5
Healthy	0.685083081773877	-1.69336055897574	-1.18197215814074	-1.48678239993206
Healthy	0.529733125569346	-5	-5	-1.28567024025477
Healthy	1.01612538353125	-5	-5	-5
Healthy	1.76962948341265	1.11050890380876	0.349681515137003	-5
Healthy	1.39733331000103	-1.0268721464003	-0.791236267338363	-0.831237424377643
Healthy	1.39453643002807	-0.994219100045348	-0.707478115425859	-0.82929834418393
Healthy	0.547050688176596	-5	-1.62543493927723	-0.476253533188435
Healthy	1.14563607374448	-0.255128343264855	-5	-5
Healthy	0.772601120532011	-5	-2.03338901331807	-5
Healthy	1.19668730668016	0.993012752319757	-5	-5
Healthy	1.84684893146272	-0.23051928278377	0.0849228603025243	-5
Healthy	0.56260449277382	-5	-5	-5
Healthy	1.40552427687326	-1.02890978686288	-0.87445367632881	-0.688627638196451
Healthy	0.878078658061945	-0.929112855981459	-5	-0.989742457001699
Healthy	1.46293334758363	-1.15720360482442	-0.675450052297445	-1.89517159634634
Healthy	0.856096619470512	-2.10679324694015	-0.8837908741966	-0.0116506608530314
Healthy	0.981531397830807	-5	-5	-1.2098556349571
Healthy	0.818556438818155	-0.216053564833748	-0.11595836882574	-0.181760906146476
Healthy	1.58449281066138	-0.27574051917945	-5	-1.18708664335714
Healthy	1.39267321586803	-1.71354353025302	-5	-1.24902901556268
Healthy	1.86976856311412	-5	-5	-5
Healthy	1.00932084295081	-0.831767770486579	-5	-0.422289958839038
Healthy	1.53079794617608	-0.482553366080614	-0.153057030617722	-0.604324214730064
Healthy	0.339564720744175	-5	-5	-5
Healthy	1.55568318976661	-1.21296481797378	-0.784415305818385	-0.608906033729366
Healthy	1.38127486445892	-1.34524606674707	-5	-5
Healthy	1.64651380543217	0.179683897698728	-0.311963024208862	-5
Healthy	1.14116338956612	-0.36897246014147	-5	-5
Healthy	1.44949814640934	-0.734403976912408	-0.219437881042936	-5
Healthy	1.7652327007658	0.885516701288187	-5	-5
Healthy	1.58329424022553	-1.1786175002527	-2.26760624017703	-5
Healthy	0.99279026086462	-0.558037929911472	0.484658518107889	-1.73471037413917
Healthy	0.853379368841177	-0.855456925727212	0.176068096065628	-0.145918756170271
Healthy	1.02171922850814	-2.65955588515988	-1.39512622944736	-1.82739706879014
Healthy	1.73679515299428	0.629334151724093	-0.91750186149422	-5
Healthy	1.60981683481143	-0.0889703004937882	-0.852138251512761	-2.33254704711005
Healthy	1.58392127862756	0.868222280049216	-0.563551099308166	-1.0519784668589
Healthy	1.00281550518044	-0.284255639895637	-1.10980261378997	-5
Healthy	1.74514188333472	-0.63712186421107	-0.70898654603462	-2.42365864979421
Healthy	1.211817363788	0.304886726880107	-0.974571238592759	-1.73025362686923
Healthy	1.23204928215509	-1.51541547071716	-1.38689848303309	-5
Healthy	1.54576406064084	0.228043433509841	-5	-5
Healthy	1.52333108790772	-0.527902071630646	-2.53610701101409	-5
Healthy	0.782800013240915	-0.279973073180271	-0.89925047431014	0.154998796858298
Healthy	1.56648663481458	-0.175796039171376	-0.608376922453023	-0.988810312390009
Healthy	1.80334968959274	1.01701788816255	0.0829719691745995	-1.55924829952081
Healthy	1.01211983580451	-0.365563037462101	-1.60032627851896	-5
Healthy	1.06435764063349	-0.595371510358081	0.241845204314783	-1.06722192993945
Healthy	1.42992386507408	0.106109268076676	-0.416778548060462	-5
Healthy	1.79709524343957	1.2402641177506	0.323250037010103	-5
Healthy	0.852264622895017	-5	-0.839711586868712	-0.090652610581442
Healthy	0.914887667414394	-1.3058337040668	-5	-1.32002730572258
Healthy	1.56276497736574	-0.718625697644953	0.0939677122427931	-2.29929628285498
Healthy	1.74267258870357	-1.69940451611004	-5	-5
Healthy	1.71019058793031	-0.420856888356185	0.25605834925405	-5
Healthy	1.35017802148473	-0.0835460514500749	-1.72978714510376	-0.857986167015641
Healthy	0.872297905435093	-0.684323479651987	-0.233215484502141	0.189296564480904
Healthy	1.56002995672657	0.415989409775816	-5	-5
Healthy	1.76396341803372	-0.720241827197527	-1.29456395341475	-1.33828194230534
