group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Burkholderiaceae	Coriobacteriaceae	Desulfovibrionaceae	Micrococcaceae		Lachnospiraceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Methanobacteriaceae	Streptococcaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	50.26182	4.01289	1.06216	0.2712	0.68097	0.17895	0		0.82468	1.75228	0.57939	0	0	0	0.68097	1.78574	0.17895	0.01047
Healthy	25.14316	38.17465	0	1.85847	0.35797	0.14804	0		13.15289	1.40721	0.04283	0.51114	0.05897	0.02683	0.35797	0.01682	0.14804	0.05276
Healthy	2.1963	22.10912	0	0	3.68311	0	0		29.97117	0	32.4931	0	2.07917	0	3.68311	0	0	0
Healthy	85.81464	0.89925	0.42965	0.11156	0.14868	0	0		1.15799	3.17839	0.37289	0	0	0.21585	0.14868	0.20572	0	0
Healthy	51.51814	4.91281	0	0.03569	0.23323	0	0		16.08956	0.27114	3.02639	0	0	0.04828	0.23323	0	0	0
Healthy	62.86016	8.9483	0	5.7003	0	0	0		2.66517	5.80673	0	0	0	0	0	0.15639	0	0.51129
Healthy	49.18147	11.35242	0	7.09637	0	0	0		3.20391	6.68856	0	0	0	0.00451	0	2.66772	0	0.7355
Healthy	37.50399	12.27917	0.04705	0	0	0	0		22.52399	0.00304	2.56626	1.24513	0	0	0	0.09915	0	0.03641
Healthy	31.8271	3.55185	0	2.9757	0.07736	0.55153	0		23.50672	6.3337	0.27637	1.10334	0	0	0.07736	0.2508	0.55153	0
Healthy	56.57897	4.86156	0	6.33312	0.03571	0	0		5.27636	6.04427	0	3.76568	0	0.5783	0.03571	0.1223	0	0
Healthy	13.35822	7.68045	0.04178	0.0632	0	1.61864	0		0.74218	5.2338	2.04324	6.29834	0	0	0	0.18747	1.61864	0.14686
Healthy	1.71228	0.47981	78.76377	0.02799	1.46902	0	0		4.66382	0.02172	0.05402	0	0	0.10271	1.46902	0.05913	0	0.00802
Healthy	63.27551	6.64148	1.82617	0.17411	0	0	0		20.07617	0	1.5587	0	0	0.01597	0	0.04607	0	0.01042
Healthy	50.98894	9.53526	2.4214	5.90439	0	0	0		20.8232	0	0.07901	0	0	0	0	0.1339	0	0
Healthy	17.48899	25.28152	0	0	3.88243	0	0		18.86342	0	11.9056	1.08835	0	0.78156	3.88243	0	0	0
Healthy	6.53995	18.29438	0	0	0.00219	0	0		8.09311	0.26959	17.15839	0	0	0.60443	0.00219	0	0	0.21516
Healthy	67.63594	2.75889	0	0	0.10638	0	0		18.30054	0	0.55983	0	0	0	0.10638	0	0	0
Healthy	25.70038	8.58561	0	8.78787	0	0.04203	0		9.47397	0.73403	3.29959	0.10558	0.57278	0.00195	0	1.53569	0.04203	0
Healthy	12.94768	28.78528	0.71302	0.08859	0.07817	0.03232	0		11.74589	0.84661	0.47797	0.16735	0.1514	0.03976	0.07817	0	0.03232	0
Healthy	37.01449	1.26394	1.00992	0.0042	0.96563	0.40307	0		0.2867	6.32032	0.68619	2.88154	0	0.04975	0.96563	2.15327	0.40307	0.00975
Healthy	10.67673	0.82616	0.1118	0	1.24073	0.80581	0		1.01616	3.97953	5.62385	1.9336	0	0.29215	1.24073	0.53887	0.80581	0
Healthy	18.87722	10.02603	0	0	0	0	0		25.34291	1.06739	0.68543	0	0	0.22287	0	0.27181	0	0.08385
Healthy	46.32682	5.53352	0	0.01784	0.38018	0.09289	0		9.43879	4.96493	0.63357	0	0.0264	0.02321	0.38018	0.09268	0.09289	0
Healthy	27.71683	4.09189	0.61563	0.67731	0.22602	0.29804	0		6.33331	0.96468	7.85793	3.19204	0.50179	0	0.22602	0.03116	0.29804	0
Healthy	0.05164	0	86.41751	0	0	0	0		0.00094	0	0	0	0	0	0	0	0	0
Healthy	34.59584	3.79106	0	5.18226	0.02688	0.16147	0		21.55607	3.1482	0	2.48727	0	0.09358	0.02688	0.19885	0.16147	0.1511
Healthy	0.00012	0	3.966	0	0	0	0		0	0	0	0	0	0.00367	0	0.25159	0	0.00219
Healthy	83.77259	1.07413	0.09795	0.58962	0	0	0		1.72277	5.73289	0	1.99692	0	0	0	0.08128	0	0
Healthy	23.28354	0.74249	0	0.11326	0.11605	0.03182	0		1.17854	0	0.1764	3.44508	0	0	0.11605	1.25366	0.03182	0
Healthy	28.01658	0.81966	0	0.26844	0.571	0.01125	0		4.22058	0	0	12.6988	0	0.25024	0.571	0.25381	0.01125	0
Healthy	39.59788	10.96303	0.08321	0.51581	0.14202	0.20998	0		12.86174	2.04418	0.07202	4.55688	0	0	0.14202	0.08686	0.20998	0.00602
Healthy	57.95917	2.1399	0	0.11734	0.01375	0	0		26.41081	2.14848	0.07529	0.04919	0	0.00441	0.01375	0.10013	0	0
Healthy	45.98027	3.55799	0.15123	0.23778	0	0.07482	0		5.7435	4.49613	0.96809	3.20915	0.0539	0.00552	0	0.02179	0.07482	0.00226
Healthy	64.4191	0.93393	0	1.5313	0.13383	0	0		1.35877	8.71279	0.65772	4.11412	0	0.04713	0.13383	0.12854	0	0
Healthy	28.08373	18.12004	2.8125	0	0.24	0.05661	0		26.62906	2.61407	2.3538	0.52356	0	0.04653	0.24	0.48259	0.05661	0.05421
Healthy	16.79646	0.12429	0	0.04874	0	0	0		46.55662	3.81604	0	0.15386	0	0	0	0	0	0
Healthy	21.19058	5.30787	0	0.46186	0.23481	0.01742	0		25.0635	1.74419	1.70945	5.44263	0	2.29794	0.23481	0.01974	0.01742	0.03483
Healthy	6.09663	4.28916	0	0.04642	0.17433	0.01529	0		56.88681	0.57618	5.97462	0.24568	3.78245	0	0.17433	0	0.01529	0
Healthy	3.61561	62.9997	0	0	0	0	0		12.1476	0	0	0	0	0	0	0	0	0
Healthy	52.81819	3.43183	0	0.11483	0.24373	0.31288	0		2.9794	0.92557	0	0.74068	0	0.04301	0.24373	1.31228	0.31288	0
Healthy	60.23069	2.17847	0	0	0.63218	1.50048	0		4.23484	3.21554	0.00984	3.25057	0.09708	0	0.63218	3.44475	1.50048	0
Healthy	21.04416	5.66478	0	0.0586	0.3371	0	0		13.98492	0.10385	1.33345	0	0	0.9221	0.3371	0	0	0.0955
Healthy	3.37515	14.94631	0	0.09116	1.97032	0.00355	0		22.45504	0.98259	14.60672	0.62205	0	0.15545	1.97032	0.12738	0.00355	0.49385
Healthy	37.40606	8.10271	0.88276	1.77066	0	0.01117	0.00033		25.21853	0.57341	4.71234	0	1.82276	0.38092	0	0.06706	0.01117	0.18648
