c	Negativicutes	Coriobacteriia	Actinomycetia	Gammaproteobacteria
Healthy	0.0313438202620874	0.187811093428112	-0.390426932551334	0.236373488494027
Healthy	-5	0.119206384805907	1.41013957536425	-5
Healthy	-5	-5	-5	-5
Healthy	-5	0.567358139248078	-0.71092412110178	-3.24412514432751
Healthy	-1.45568385825257	-2.58335949266172	0.856310098713071	1.74098454857805
Healthy	-1.79344395590097	-0.105949913325857	1.02448197330695	-0.241648360659185
Healthy	-0.332603088723377	-0.375810756140244	-0.229648819820771	-0.00818049869410116
Healthy	-5	-2.36251027048749	-5	1.54484981487026
Healthy	-5	-5	-0.876344325561878	0.867749658122785
Healthy	-5	-0.191964671555741	-0.125332675551212	0.476666455108599
Healthy	-0.409760221691033	-5	-5	-0.906333217772097
Healthy	1.04397967690349	-5	-0.733980091146502	0.0628902051108873
Healthy	-0.663660364179217	-0.32176395860447	-3.09151498112135	-1.28449805470672
Healthy	-1.81901441921327	0.0459758857632826	0.445336383611427	1.52283713787594
Healthy	-5	-0.788318923700861	0.0832624731640772	-0.128129464579834
Healthy	-0.867580201902385	-0.226945306635737	0.309698286707962	0.0640234774529008
Healthy	-0.0562186872401727	-0.652026339721962	-0.921361961630327	-0.926831737734898
Healthy	-0.649345021321921	0.0167743557683439	0.0150410440855053	0.363041946961852
Healthy	-5	0.254809010414806	-5	-5
Healthy	-5	-1.44745345204434	-0.918760739088303	-0.785076715105102
Healthy	-5	-0.91388942619868	-5	0.0307534989344725
Healthy	-0.644625115568388	-0.184820869860581	0.845592234018708	1.17143946128151
Healthy	0.555024278341712	-0.880117542015017	-5	-0.295652121429059
Healthy	-5	-5	-5	0.474740598479892
Healthy	-0.41491168253253	-0.739427791876507	-0.244010871341215	0.184029550144605
Healthy	0.309242535683534	-1.22687207596667	-1.92811799269387	0.734362115377894
Healthy	-5	-0.947652400775336	0.0282580248289713	-0.151023091657112
Healthy	1.35289398495645	-0.528869712156724	0.196863987186564	-0.049839682214073
Healthy	0.167656956106924	-1.42181939037222	-5	-1.07899019850297
Healthy	-5	0.00158228893511219	1.46381224150908	0.514394992263783
Healthy	-0.404404585179866	-5	-5	-5
Healthy	-5	-0.37333121254548	0.0485156040340487	0.308030554266106
Healthy	-5	-5	-5	0.448853120627996
Healthy	0.827994413772519	-5	-1.24519314464558	-0.451107165863582
Healthy	-0.55211358549957	-0.555018887912055	-0.295429124810496	0.180561672034769
Healthy	-5	-0.827192811630913	-0.939528807202321	-1.20474581741912
Healthy	-5	-1.28266241727614	-1.01700554534134	-0.940058111938045
Healthy	-1.70818731253288	-5	-2.30189945437661	-0.407689975744221
Healthy	-2.66958622665081	0.209077819246674	1.08420223045863	-0.85390298646413
Healthy	0.276567492614683	-1.09033701484598	-0.686491325953927	-0.470377181866557
Healthy	-5	-1.18197215814074	-5	-0.926025180133341
Healthy	-5	-5	-5	0.421390017067081
Healthy	-0.504608316733061	-5	0.533834313810089	-5
Healthy	0.266222286089953	0.349681515137003	-5	-0.0220021900412603
Healthy	-2.09745322068601	-0.791236267338363	-5	0.71531126204077
Healthy	-5	-0.707478115425859	-5	0.725062622575211
Healthy	0.975085613689644	-1.62543493927723	-1.74448628718047	0.901621219386529
Healthy	-0.369500934993356	-5	-0.131661262040936	0.493807855234094
Healthy	-0.62182020961905	-2.03338901331807	-0.264584756281166	0.434639151871673
Healthy	-0.245751074050475	-5	-5	0.485428959845251
Healthy	-5	0.0849228603025243	-5	-0.723814025929329
Healthy	1.00602125104217	-5	-5	-5
Healthy	-2.08777794346758	-0.87445367632881	-2.31247103878537	0.71119625733534
Healthy	-5	-5	-0.666371387481309	0.270487844301513
Healthy	-0.666472121478908	-0.675450052297445	-0.568330728686255	-2.44009337496389
Healthy	-5	-0.8837908741966	0.178991327667069	-0.826318510271541
Healthy	-0.525375865581386	-5	-5	1.05315530296188
Healthy	0.486852524143322	-0.11595836882574	0.0327959877382654	-0.296313206970355
Healthy	0.990982713978623	-5	-5	-0.774716569905557
Healthy	0.226146043037372	-5	-5	0.809585300223161
Healthy	-5	-5	-5	-5
Healthy	0.881186582455558	-5	0.576207700571901	-0.500051869424349
Healthy	1.00037246490087	-0.153057030617722	0.593200750796251	-0.0644222048359064
Healthy	1.02170476943826	-5	-0.810818602819263	-0.110082316563794
Healthy	-2.69897000433602	-0.784415305818385	-1.0706832732465	-0.633091651478627
Healthy	-5	-5	-5	-1.47521455067878
Healthy	0.585353552711389	-0.311963024208862	0.192461514933312	0.330275751303548
Healthy	-0.460422116654691	-5	-0.0753744504618983	0.493729835674895
Healthy	-5	-0.219437881042936	-0.044504670815873	0.381573511428956
Healthy	-0.865440422577375	-5	-5	-5
Healthy	-1.44297427761362	-2.26760624017703	-0.630209175969224	-0.41054190953502
Healthy	-5	0.484658518107889	-0.673951032053259	-0.966616458826881
Healthy	0.44715027601437	0.176068096065628	-1.67468962828894	1.02447088994175
Healthy	-1.47638358094563	-1.39512622944736	-0.231754198668122	0.465747089582431
Healthy	0.410804217827063	-0.91750186149422	-1.0764969330579	-0.654371453543694
Healthy	-1.23150989482875	-0.852138251512761	0.612124499940247	-0.17532757261464
Healthy	0.424515760887521	-0.563551099308166	0.23145684686103	-0.105351696206483
Healthy	-0.445692591194441	-1.10980261378997	0.09191304667608	-0.18894807088368
Healthy	-1.30891850787703	-0.70898654603462	0.240282099986837	-0.319356328457753
Healthy	0.559891071511696	-0.974571238592759	-5	-0.0792351019025129
Healthy	1.10412880717098	-1.38689848303309	-0.924562538414387	0.349205624890484
Healthy	-0.550614177886614	-5	-5	-1.42250820016277
Healthy	0.0322721538792363	-2.53610701101409	-5	0.625943879895748
Healthy	-5	-0.89925047431014	-0.896504155890234	-1.06454311928839
Healthy	-5	-0.608376922453023	-0.840102098965903	0.279872181802656
Healthy	0.755196216792059	0.0829719691745995	-0.517598110544707	-0.388861099604354
Healthy	0.683102898251826	-1.60032627851896	-0.715298621475822	0.779484656852121
Healthy	-5	0.241845204314783	1.09037657692384	-0.519317693674513
Healthy	-0.919193195665638	-0.416778548060462	-0.616453908275526	0.216498426045241
Healthy	-0.38344047112217	0.323250037010103	-2.14266750356873	-1.12314735239866
Healthy	-5	-0.839711586868712	0.207017354983476	-0.637781499673948
Healthy	0.109247722726692	-5	-0.582129901923355	0.469963322716831
Healthy	0.585561113253916	0.0939677122427931	1.1319174998113	0.175192788386603
Healthy	-5	-5	-5	-1.21275211966805
Healthy	1.09307235793528	0.25605834925405	1.06342043433584	-5
Healthy	0.595127907424166	-1.72978714510376	-0.0290165632744154	-1.47391930819797
Healthy	-1.03268608171292	-0.233215484502141	-5	-5
Healthy	0.25020280076303	-5	-5	0.493842680869723
Healthy	-1.54485047882017	-1.29456395341475	-0.129900558737797	-0.156007715296637
