group	Blautia_A_wexlerae	Streptococcus_sp001556435	Ruminococcus_B_gnavus	Anaerostipes_hadrus	Streptococcus_parasanguinis_D	Clostridium_A_leptum	Adlercreutzia_equolifaciens	Eisenbergiella_tayi	Gordonibacter_pamelaeae	Eggerthella_lenta	Faecalibacterium_sp900539885	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Bacteroides_thetaiotaomicron	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Dorea_formicigenerans
Healthy	0.23815	0.02321	0	0	0	0	0	0	0	0	3.84259	5.39703	0.63357	0	0	0.39147	0.02105	0.74578	0.23815	0.04307
Healthy	0.38828	0	0	0.07293	0	0	0	0.032	0	0	3.94491	1.25286	7.85793	0.74556	0.31153	1.36094	0.59005	0.07929	0.38828	0.13667
Healthy	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.1208	0.08143	0	0	0.01215	0	0.1511	0	0	0	3.79106	2.91598	0	0.27085	0	0	0	0.1845	0.1208	0.02254
Healthy	0	0.00092	0	0	0	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.07413	0	0	6.2434	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.1764	0	0	0	0	0.74249	0.04479	0	0	0	0	0	0.01772	0	0
Healthy	0.0369	0	0	0.081	0	0	0	0.26045	0	0	0.81966	3.07213	0	0	0	0.02608	0	0.03468	0.0369	0.18785
Healthy	0.57222	0	0	0.02282	0	0.00235	0.00602	0	0	0	10.6545	2.7855	0.06967	0.82111	0.9071	0.58052	0.27043	0.43797	0.57222	0.16507
Healthy	0.1772	0	0	0.03739	0.00441	0	0	0	0	0	2.10815	8.97331	0.07529	0.72737	0.22621	0.47482	0.15252	0.58787	0.1772	0.09942
Healthy	0.03083	0.00552	0	0	0	0	0.00226	0	0	0	2.37578	3.48417	0.96809	2.34357	0.02999	0.04264	0.01423	0	0.03083	0
Healthy	0.00565	0	0.00185	0.00253	0	0	0	0	0	0	0.93393	0.796	0.65772	0.45567	0	0	0.08845	0.0951	0.00565	0.06279
Healthy	0.29976	0.02941	0.0157	0.00428	0	0	0	0	0.00348	0	17.91	12.8683	2.3538	0.26903	0.42331	0.08359	0.19765	0.00798	0.29976	0.27478
Healthy	0.13302	0	0	0	0	0	0	0	0	0	0.12429	0.30974	0	1.24191	0.4936	0.30085	0.50109	0	0.13302	0.1677
Healthy	0.42806	1.16054	0	0.09527	0.89689	0.07551	0.03483	0	0	0	5.23795	5.80391	1.63394	0	0.32437	0.30949	0.62476	0.65831	0.42806	0.51624
Healthy	0.21301	0	0	0	0	0	0	0.08333	0	0	2.62326	3.5014	5.97462	0	0.18274	0.36316	0.5826	0.28385	0.21301	0.2229
Healthy	0	0	0	0	0	0	0	0	0	0	62.9997	12.1476	0	0	0	0	0	0	0	0
Healthy	0	0.04301	0	0	0	0	0	0	0	0	3.43183	0.33691	0	0.09863	0	0.04387	0.05664	0.03624	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.84929	1.98558	0.00984	0	0	0.37487	0.04993	0.70411	0	0.00989
D008545	1.56549	2.5427	0	0.422	0.6181	0	0	0	0	0	3.1451	3.56229	0	0.05204	1.83087	1.26926	0.905	0.60965	1.56549	0.62424
Healthy	0.2328	0.9221	0	0.33099	0	0	0.0955	0	0	0	5.51072	7.84389	1.33345	0.255	1.40782	0.28899	0	0.03261	0.2328	0.01748
D008545	1.02349	4.35218	2.12803	0	0.23933	0	0	0	0	0.13635	0	24.3499	8.27991	0	0.36727	0	0	0.43245	1.02349	0.35047
Healthy	0.31212	0.10711	0.8993	1.69309	0.00625	0.98862	0.40741	0.05218	0.08424	0.0022	0.17685	0.41305	13.6181	0.31007	3.00802	0	0.79959	0.04471	0.31212	0
Healthy	0.99415	0.07806	0.57964	0.30021	0.11801	0	0.15492	0	0.01546	0.0161	6.71157	8.17556	4.71234	0.81429	0.15216	0.89985	0.81399	0.0162	0.99415	0
Healthy	0.12754	0	0	0.15794	0	0.0152	0.01904	0	0	0	5.37472	23.3399	6.0794	0	0.39885	0.41058	0.51643	0.15385	0.12754	0.13158
Healthy	0	0.8025	0	0	0	0	0	0	0	0	0.53665	0.96796	4.21521	0	0	0.07476	0.02666	3.84915	0	0
D008545	0.01909	0.05305	0.30292	1.33806	0.01874	1.02693	0	0	0.2675	0.0794	1.35237	0.01106	15.9396	1.14141	0.25935	0	0	0.00553	0.01909	0
Healthy	2.84013	0	0	1.84722	0	0	0.51527	0	0	0	2.67302	0	0	0.11595	5.83452	2.01212	0.26241	0.11555	2.84013	2.54844
Healthy	0	1.21683	27.9887	0	0.06322	0	0	0	0	0.03904	0	0	0	0	0	0	0	0.35605	0	0
Healthy	2.43898	0.1784	16.5662	0	0.03145	0	0	0	0	0.13451	8.95456	0	0	0	0	0	0	1.25114	2.43898	0
Healthy	0.13568	0.0244	0	0	0.0338	0.13644	0	0	0	0	2.46552	0	2.11964	0.37574	0.08323	0.06701	0	0.02691	0.13568	0.01852
Healthy	0.40834	13.6904	0	0	1.6941	0	0	0	0	0	0.77987	2.0672	1.28553	0	0.86242	0.19451	0	0.36132	0.40834	0.79977
Healthy	0.23099	0.17355	0.0303	2.37608	0.00537	0	0.11806	0	0	0	8.27035	0.02483	0	1.63044	0.27006	0.08633	0.33604	1.07663	0.23099	0.17601
Healthy	0	0	0	0	0	0	0	0	0	0	0.71987	0	5.52631	0.13731	0.02937	0.05055	2.12341	0.99917	0	0
Healthy	1.28674	0.07373	0	0.39887	0.14081	0	0	0	0	0.00776	13.8765	0.12807	0.00231	5.01086	3.90154	3.12286	0.98779	0.50233	1.28674	1.05475
Healthy	0.15075	0	0	0	0	0.02241	0	0.05134	0.14118	0.01097	0.11471	0	1.95838	0	0	0	0	0.00737	0.15075	0
Healthy	0	0.05589	0	0	0	0	0	0	0	0	3.3535	0.33764	0	0.08855	0	0.04111	0.09443	0.08777	0	0
Healthy	0.20733	0.07129	0	0.17231	0	0	0.04004	0	0	0	16.6374	1.35048	0.07926	0	0.48446	0.26654	0.36895	0.20555	0.20733	0.22893
Healthy	0	0	0.55343	0	0	0.17536	0.00233	0	0	0	1.67666	0.81193	0	0	0	0.01072	0	0	0	0.00637
Healthy	0.08157	0	0.00856	0	0	0.06151	0	0.00761	0.02894	0	0.82745	3.22329	4.46956	0	0.07101	0.07853	0.07025	0.1428	0.08157	0.01205
Healthy	0.25761	0.01052	0	0.00777	0.00351	0.01567	0.00077	0	0	0	3.30743	0.68407	0.09014	1.64671	0.36709	0.4664	0.7908	0.18777	0.25761	0.36276
Healthy	0.53567	0	0	0	0	0	0	0	0	0	9.70149	9.75385	11.7396	0	2.07775	0.66465	2.37879	0.4069	0.53567	0
Healthy	0.43257	0	0	0.19982	0	0	0	0	0	0	0.23802	0	3.13501	0	1.01417	0.79934	0.70173	0.08099	0.43257	0.42913
Healthy	0	0	0.0593	0	0	0	0.02643	0.16766	0	0	1.4141	5.10639	0	0.47329	0	0	0.20999	1.01673	0	0.01714
Healthy	0	0	0	0	0	0	0	0	0	0	1.45529	0	0	0	0	0	0	0	0	0
Healthy	0.32221	0.09743	0.01544	0.04337	0.01745	0.01418	0.00714	0	0	0	11.1457	12.82	0.48557	0.8246	0.16832	0.14405	0.26633	0.00203	0.32221	0.10267
Healthy	0	0.08615	0.00425	0	0.01752	0.25985	0	0	0	0	31.1106	9.55614	0	0	0	0	0	0.10179	0	0.00131
Healthy	0	0	0	0	0	0	0	0	0	0	0.55691	0	0	8.09659	0	0	0	0.02376	0	0
Healthy	0.88487	0	0	0.14314	0	0	0	0	0	0	7.30624	22.3249	6.32555	1.42431	0.82993	0.07968	0.05153	2.98779	0.88487	0.89458
Healthy	0.26133	0.01797	0	0.01909	0	0.00856	0.00932	0	0	0	3.13912	7.50067	1.72462	0.22103	0.1047	0.36575	0.40466	0.2029	0.26133	0.09499
Healthy	0.01581	0	0	0	0	0	0.15579	0	0	0	4.21366	2.17687	0.12041	0.13154	0	0	0.05616	0	0.01581	0.01103
Healthy	0.83816	0	0	0	0	0	1.41636	0	0.12466	0	10.2684	11.9018	10.8039	1.50928	0	2.0934	1.21033	1.06834	0.83816	0
Healthy	0	0	6.73804	0	0	0	0	0	0	0	0.39654	0	0	0	0	0	0	0	0	0
Healthy	0.02511	0	0.05485	0	0	0	0	0.01003	0	0	1.37565	0.09504	0	0	0	0	0.21317	0.10634	0.02511	0
Healthy	0.00858	0	0.03057	0.00066	0	0.55688	0.04992	0.00771	0.01123	0.02293	22.7591	18.3483	0	0.20379	0.03732	0	0.05127	0.02141	0.00858	0
