p	Proteobacteria	Desulfobacterota	Verrucomicrobiota	Firmicutes	Methanobacteriota
Healthy	-0.399953279937726	-5	-5	0.265341492897072	-5
Healthy	-0.0618606992343694	-0.613875741599688	0.0115366121349332	0.0289980178526349	0.272836788075656
Healthy	-0.39293118799967	-1.53298418156156	0.581709644077633	0.223412864138172	0.740505588348039
Healthy	0.904611691591412	-5	-1.6267201067225	-0.190824250172143	-5
Healthy	0.799950890078026	-5	-5	-0.588161518597088	-5
Healthy	-0.246961107423735	-1.37479047461812	-5	-5	-5
Healthy	-2.08830984124614	-5	-5	0.739321504536218	0.995675990041851
Healthy	1.4136282950715	-5	-5	1.18838253195074	-5
Healthy	-5	-1.39750593119272	-1.07042782092345	-0.282013458945676	-1.33254704711005
Healthy	-1.17842097208799	-5	-5	-5	-5
Healthy	-0.377931111609964	-1.0841782123796	0.602357381203658	0.0873838422408987	-0.979804510246805
Healthy	0.514387020681097	0.143810797622609	-5	-0.572627510450518	-1.48306819113199
Healthy	0.519880473321659	-5	-5	-0.566806408285155	0.633237106909516
Healthy	1.15529989537147	-5	-5	-0.159517512786558	-5
Healthy	-1.01264661126421	-5	0.787044401112345	0.628974066836396	1.14443128720157
Healthy	-1.67427914198059	-5	-5	-0.0918207033383124	-2.86012091359876
Healthy	-1.20300960945431	-2.2518119729938	-1.54136215097435	-0.792069562487029	-5
Healthy	-0.293495577766724	-0.904865533060163	-0.778951088307104	0.486414892149611	-5
