group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	37.48533	5.02245	2.88264	3.051	3.06931		23.00519	2.08862	0	
Healthy	9.97554	0	0	7.69718	0		65.39898	0.2284	0	
Healthy	27.95041	0	0.0405	0	0		64.06188	3.18134	0.24434	
Healthy	17.55031	0.50518	0.19801	0	0		66.122	3.85255	0.01952	
Healthy	27.79906	0.06704	0.07771	0	0		64.13532	3.01158	0.33779	
Healthy	50.32821	2.8568	18.58702	0.00566	0		18.69823	0.07615	0	
Healthy	47.65975	0.3515	0.47803	1.18295	0		14.14777	0.29008	0.04101	
Healthy	8.60875	0.32135	0.06404	0	0		76.52103	1.37665	0.04377	
Healthy	16.09551	0.36711	0	5.35516	0		53.00535	0.43492	0.32464	
D000236	21.08152	0.82483	59.12607	1.33242	5.9841		3.74524	0.3437	0.05246	
Healthy	60.43685	1.28228	2.72725	0.02702	1.70278		12.99612	0.20592	0	
Healthy	47.10592	2.28523	8.36331	0	0.81474		24.87301	2.52419	0.09504	
Healthy	37.85585	0.6947	0.57303	0	9.23471		28.73911	0	0	
Healthy	32.19718	0.39939	3.20524	14.9065	0		24.27956	11.58286	0.00212	
Healthy	15.38875	0.99055	0.12222	0.28653	0		75.23177	0.04317	0	
Healthy	23.36519	0.06475	0.07644	0	0		62.65267	8.85477	0.02153	
D000236	59.96738	7.23816	2.74074	0	0		23.4415	0	0	
Healthy	51.20299	0.15815	1.26624	0	0.89622		33.92343	0.529	0	
Healthy	13.88628	0.87671	0.50458	5.74457	0		60.8361	3.13255	0	
Healthy	8.39604	0	0.00291	0	0		75.97442	0.6141	0.00721	
Healthy	52.75611	5.93184	0.80012	0	0		22.48595	0.65702	0	
Healthy	22.17331	9.09297	2.45663	4.75004	0.00715		43.89442	2.13381	0.08954	
Healthy	7.23406	0.2826	0.05079	10.3129	0		67.57311	0.08094	0.19444	
Healthy	7.2027	0.71351	0.35675	7.16262	0		54.50736	1.33336	0.17895	
Healthy	51.38719	2.71283	0.02683	0.03189	0.05897		36.60204	1.87309	0.14804	
Healthy	84.8431	3.68311	3.05681	0	2.07917		2.1963	0	0	
D000236	31.24531	9.27395	1.11391	0	0.78294		24.27107	0	0	
Healthy	35.81923	1.00994	3.87859	0	0.71531		40.07286	0.24052	0	
Healthy	20.68332	0.47592	1.06094	0	0		57.19092	0.41712	0	
Healthy	2.63585	0.14868	0.24293	0	0		88.99303	0.54121	0	
Healthy	0.09445	0.25315	0.32245	0	0		0.0487	15.84624	0	
Healthy	1.3669	0	1.26078	0	0		85.92767	1.31886	0	
Healthy	24.28905	2.10537	0.48695	0	0		55.54238	0.07757	0	
Healthy	51.16439	3.40006	5.52076	0	0.49771		26.65492	2.63804	0	
Healthy	11.76986	0.51129	0.01705	0	0		70.48564	5.77806	0	
Healthy	36.05002	0	0	0	0		56.2617	0	0	
Healthy	17.22405	0.7355	0.01666	0	0		58.09122	7.16181	0	
Healthy	21.97814	0.2026	13.79911	0	0		51.67547	1.01497	0	
Healthy	37.46857	1.22644	0.0209	0	0		40.21055	0.07492	0	
Healthy	39.34834	5.29912	0.03143	0	0		20.97575	1.03159	0.14777	
Healthy	27.58574	0.07736	0.05412	0	0		64.56848	2.9757	0.55153	
Healthy	10.26022	0.26883	0.5783	0	0		69.88918	6.33312	0	
Healthy	0.00731	92.88663	5.73863	0	0		0.04408	1.28372	0	
Healthy	25.13019	0.30291	0.16256	0.95693	0		58.29294	0.08661	0.02767	
