group	Veillonellales	Coriobacteriales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales
Healthy	0	0	0		43.75014	9.47397	0.06709	3.04604	8.78787	0.57278	0	0	1.52523	0
Healthy	0	0.07817	0.39724		17.56695	11.74589	0.8398	1.83008	0.08859	0.1514	0.6621	0.07817	6.00307	0.39724
Healthy	0.03571	0.97538	0		67.09431	0.2867	1.00992	0.00437	0.0042	0	0.29282	0.97538	0.02808	0
Healthy	0.61502	1.24073	0		31.28267	1.01616	0.1118	0.51673	0	0	0.56328	1.24073	0.02259	0
Healthy	4.75712	0.08385	0		20.36905	25.34291	0	25.358	0	0	0.59698	0.08385	0	0
Healthy	0.01308	0.38018	0		67.23166	9.43879	0	0.53875	0.01784	0.0264	0	0.38018	0	0
Healthy	0.49436	0.22602	0.0182		42.56931	6.33331	1.08785	5.195	0.67731	0.50179	1.26624	0.22602	0	0.0182
Healthy	0	0	0		0.05164	0.00094	86.41751	0	0	0	0	0	0	0
Healthy	0	0.17798	0		61.38019	21.55607	0.11696	0	5.18226	0	0.0673	0.17798	0	0
Healthy	0.04244	0.00219	0.02357		0.01931	0	3.9748	0.00841	0	0	0.02798	0.00219	0	0.02357
Healthy	0	0	0		92.92764	1.72277	0.09795	1.66666	0.58962	0	0	0	0	0
Healthy	0	0.11605	0		43.38378	1.17854	0	0	0.11326	0	0	0.11605	0	0
Healthy	15.1182	0.571	0		56.61767	4.22058	0	0	0.26844	0	0	0.571	0	0
Healthy	0	0.14804	0		52.15726	12.86174	0.08321	1.05654	0.51581	0	0.10518	0.14804	0	0
Healthy	3.44835	0.01375	0		61.05334	26.41081	0	0.01073	0.11734	0	0	0.01375	0	0
Healthy	2.88164	0.00226	0		70.56182	5.7435	0.15123	0.14766	0.23778	0.0539	0	0.00226	0	0
Healthy	0	0.13383	0		83.56988	1.35877	0	0.83505	1.5313	0	0.00711	0.13383	0	0
Healthy	0	0.29421	0.00354		37.34462	26.62906	2.8125	0.00071	0	0	0.02471	0.29421	0	0.00354
Healthy	0	0	0		20.76636	46.55662	0	0	0.04874	0	11.24847	0	0	0
Healthy	0.25302	0.26964	0		49.42088	25.0635	0.08119	0	0.46186	0	1.00134	0.26964	0	0
Healthy	0	0.17433	0		7.28498	56.88681	0	0	0.04642	3.78245	1.13999	0.17433	8.81102	0
Healthy	0	0	0		3.61561	12.1476	0	0	0	0	0	0	0	0
