c	Bacteroidia	Actinomycetia	Gammaproteobacteria	Coriobacteriia	Verrucomicrobiae	Methanobacteria
Healthy	1.72075193832482	-5	0.155405883408257	-0.674217602484195	0.282975385635692	-1.70289634985074
Healthy	1.75082293228829	0.714166239729455	0.361376481869873	-2.43297363384094	-5	-5
Healthy	1.30595723893257	0.992401068294658	-0.652923803930265	-0.690433704106227	-5	-5
Healthy	1.54381968098756	-0.135524518308971	-2.03105031901866	0.045334716316743	-0.0582550850508751	-5
Healthy	1.73847446323237	0.412347969086344	0.0660723575773765	-0.35269528819389	0.263893965288644	-0.265648292705235
Healthy	1.82034604693572	-0.29654525468797	0.585749411171379	-5	-5	-5
Healthy	1.81557104127818	-5	-0.641284886197868	-5	0.886332206961341	-5
Healthy	1.88378086390612	-2.17392519729917	0.138826693810669	-0.502144659868822	-5	-5
Healthy	1.72431978848234	-0.868060704789575	-0.361580635137367	-0.63520519282589	0.728773262075445	-5
Healthy	1.88066745045934	-5	-0.21175383062718	-5	-5	-5
Healthy	1.64240941377882	0.907689155879493	0.329157781394064	0.00338297259828993	0.676698181121668	-2.14508697769214
Healthy	1.73645522766992	-1.65600093094284	0.124950679542338	-0.160239219038679	0.855072517386656	-5
Healthy	1.56350540995057	0.362126071357915	0.272560963861557	-0.386433001228715	-1.49620931694282	-1.22929523178422
Healthy	0.341693638960031	-5	-5	0.566215868865457	-5	0.317892088957648
Healthy	1.94935604251243	-5	-0.266626163055293	-0.827718238544999	-5	-5
Healthy	1.74462456359356	0.272340642245293	-1.11025022473596	-0.632196967250993	-5	-5
Healthy	1.84810070904581	-5	0.761782798918629	-0.291324207273463	-5	-5
Healthy	1.76411057214773	-5	0.855023401569893	-0.133411418224968	-5	-5
Healthy	1.6043401214296	0.0755615592810349	-1.1253442674019	-1.4386600585411	-5	-5
Healthy	1.81002063010515	-5	0.473590604448907	-1.1114274031424	-5	-5
Healthy	1.84441000712758	-0.632401836320167	0.801618402870708	-1.44708854978349	-5	-5
Healthy	1.62280463482383	0.434388442735579	-0.978852064279005	-0.833066905128846	1.23550344900574	-5
Healthy	0.286391343147528	0.736743798962006	1.89967569522853	0.169395196975156	0.547602429785681	-5
Healthy	1.8012357228892	-0.12731939284807	0.310674198718182	-1.98171569157347	-5	-5
Healthy	1.70747606876486	-1.88706002391592	0.954119441900728	-5	-5	-5
Healthy	1.27434700337415	0.410247323940247	-5	0.58910475277915	-5	-5
Healthy	0.870742663294291	0.698566791937309	-1.15645578805436	-0.662820374590166	-5	-5
Healthy	1.83312510965263	-5	-5	-0.973099191109745	-1.16966800654804	-5
Healthy	1.64097954636543	-5	0.94718709417019	-5	0.483737027872602	-0.242004572723122
Healthy	1.24469661240851	-0.504997133561376	0.276783384700269	-1.10690433390377	0.262472447950243	-0.819845440546652
Healthy	1.82668575568211	-0.485691374343224	0.00609363020820083	-0.0108217012429983	-2.3585258894959	-5
Healthy	1.49530395216766	0.080749110907479	-0.951519352526498	0.0936807835974929	-0.286727919126105	-5
Healthy	1.30897098745708	0.723572234494289	-5	-1.07644514193245	1.40411516877084	-5
Healthy	1.8275738990396	0.138754129723719	-1.74836177955179	-0.41999931041096	-0.268604655755548	-1.57823159879308
Healthy	1.62909671283614	0.508095881195523	0.246786537772904	-0.645833914968581	0.71558638787792	-0.299469343021408
Healthy	-1.28692967414436	-1.64282774227697	1.9366017988212	-5	-5	-5
Healthy	1.78802829919445	-5	0.724212769403576	-0.749604396942884	-5	-5
Healthy	-1.71399287792053	1.95902530881005	0.65769916511523	-2.65757731917779	-2.07468790850035	-5
Healthy	1.96814495463693	-0.926831737734898	-0.162676764352586	-5	0.221849618204452	-5
