group	Lachnospirales	Oscillospirales	Actinomycetales	Coriobacteriales	Verrucomicrobiales	Acidaminococcales	Erysipelotrichales		Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales
D009765	47.67332	20.79179	1.45397	2.66454	0	0	0.42331		9.63936	47.67332	20.79179	1.45397	0	0.01215	0	0.42331	2.66454	0
Healthy	2.94694	4.3862	0.38779	0	0	0	0.24099		68.34488	2.94694	4.3862	0.38779	0	0.12857	0	0.24099	0	0
Healthy	3.31311	2.11122	0.49252	0.31594	0	0	0.09705		75.43383	3.31311	2.11122	0.49252	0	5.95389	0	0.09705	0.31594	0
D009765	60.78924	0.19471	0	0	0	0	0		26.02407	60.78924	0.19471	0	0	0	0	0	0	0
Healthy	4.67955	7.10371	0	0	0.54368	0	0.2213		33.84867	4.67955	7.10371	0	0.54368	0.37574	0.60936	0.2213	0	0
Healthy	4.47133	19.62191	0	0.21172	1.91855	0	0.0032		52.57168	4.47133	19.62191	0	1.91855	1.42197	0.01981	0.0032	0.21172	0
Healthy	4.96469	8.99262	5.17804	0.00368	0	0	0.04242		56.34078	4.96469	8.99262	5.17804	0	0.0035	0	0.04242	0.00368	0
Healthy	26.02253	14.11143	9.82654	0.20396	0	0	0.08736		20.22819	26.02253	14.11143	9.82654	0	0.00678	0	0.08736	0.20396	0
Healthy	15.93214	17.74577	0.73193	1.11002	0.87446	2.25084	0.08713		34.97998	15.93214	17.74577	0.73193	0.87446	0.0093	0	0.08713	1.11002	2.25084
Healthy	13.86684	7.44577	2.58432	0.44391	1.83608	0	0		54.76138	13.86684	7.44577	2.58432	1.83608	1.16431	0.54243	0	0.44391	0
Healthy	13.69074	3.85957	0.50518	0	0	0	0		66.122	13.69074	3.85957	0.50518	0	1.07698	0	0	0	0
Healthy	5.4809	4.49464	0	0	7.69718	0	0		65.39898	5.4809	4.49464	0	7.69718	0.10417	0	0	0	0
Healthy	5.82858	2.70927	0.00669	0.31466	0	0	0		76.52103	5.82858	2.70927	0.00669	0	0	0	0	0.31466	0
Healthy	7.62617	8.46934	0.13549	0.23162	5.35516	0	0		53.00535	7.62617	8.46934	0.13549	5.35516	0.39005	0	0	0.23162	0
Healthy	2.05337	6.34267	0	0	0	0	0		75.97442	2.05337	6.34267	0	0	0.013	0	0	0	0
D009765	7.07914	6.4412	0	0	0	2.69818	0.31077		71.75711	7.07914	6.4412	0	0	0	0	0.31077	0	2.69818
Healthy	17.42598	4.61086	8.08516	1.00781	4.75004	0	0.08093		43.89442	17.42598	4.61086	8.08516	4.75004	0.00433	0.00715	0.08093	1.00781	0
D009765	22.19461	12.19853	30.26857	4.31341	0	6.68137	1.71592		8.68241	22.19461	12.19853	30.26857	0	0.02152	0.29917	1.71592	4.31341	6.68137
Healthy	0.82468	6.37802	0.02207	0.69144	7.16262	0	0.35675		54.50736	0.82468	6.37802	0.02207	7.16262	0.2712	0	0.35675	0.69144	0
Healthy	13.15289	38.2343	2.3021	0.41073	0.03189	0.19254	0		36.60204	13.15289	38.2343	2.3021	0.03189	1.85847	0.05897	0	0.41073	0.19254
Healthy	29.97117	54.60222	0	3.68311	0	0.2624	3.05681		2.1963	29.97117	54.60222	0	0	0	2.07917	3.05681	3.68311	0.2624
D009765	18.1068	8.09643	1.75312	0.19802	0.01313	0	0.50909		25.33326	18.1068	8.09643	1.75312	0.01313	0.0124	0	0.50909	0.19802	0
Healthy	1.15799	1.47786	0	0.14868	0	0	0.02708		88.99303	1.15799	1.47786	0	0	0.11156	0	0.02708	0.14868	0
D009765	46.34252	10.99668	18.48211	10.12382	0.30955	0	0.01863		0.54305	46.34252	10.99668	18.48211	0.30955	0	0	0.01863	10.12382	0
Healthy	16.08956	7.9392	1.87214	0.23323	0	0	0.43867		55.54238	16.08956	7.9392	1.87214	0	0.03569	0	0.43867	0.23323	0
Healthy	2.66517	9.10469	0	0.51129	0	0	0.01705		70.48564	2.66517	9.10469	0	0	5.7003	0	0.01705	0.51129	0
D009765	55.8041	22.65279	6.16482	2.22626	0	0.20697	0.45686		4.38575	55.8041	22.65279	6.16482	0	0	0	0.45686	2.22626	0.20697
Healthy	3.20391	14.02014	0	0.7355	0	0	0.01215		58.09122	3.20391	14.02014	0	0	7.09637	0	0.01215	0.7355	0
Healthy	22.52399	14.94458	1.19003	0.03641	0	0	0.0136		40.21055	22.52399	14.94458	1.19003	0	0	0	0.0136	0.03641	0
Healthy	23.50672	4.07902	0	0.07736	0	0	0.05412		64.56848	23.50672	4.07902	0	0	2.9757	0	0.05412	0.07736	0
Healthy	5.27636	4.98386	0.23312	0.03571	0	0	0		69.88918	5.27636	4.98386	0.23312	0	6.33312	0	0	0.03571	0
D009765	7.90321	6.46518	0	0	0	0	0		50.33795	7.90321	6.46518	0	0	0.18529	0.70058	0	0	0
D009765	31.62282	2.55847	20.47031	29.30306	0	0	0		0	31.62282	2.55847	20.47031	0	0	0	0	29.30306	0
Healthy	0.74218	9.91116	2.71886	0.14686	17.199	0	0		41.95701	0.74218	9.91116	2.71886	17.199	0.0632	0	0	0.14686	0
Healthy	4.66382	0.59296	5.45435	1.47704	3.52859	0	0.01017		1.9337	4.66382	0.59296	5.45435	3.52859	0.02799	0	0.01017	1.47704	0
Healthy	20.07617	8.24625	0.74589	0.01042	0	0	0.14607		63.27551	20.07617	8.24625	0.74589	0	0.17411	0	0.14607	0.01042	0
Healthy	20.8232	9.74817	0.01296	0	0	0	0		50.98894	20.8232	9.74817	0.01296	0	5.90439	0	0	0	0
Healthy	18.86342	37.18712	2.57185	3.88243	0	1.40591	11.3576		18.80818	18.86342	37.18712	2.57185	0	0	0	11.3576	3.88243	1.40591
Healthy	8.09311	35.45277	4.99535	0.21735	0	0	0.57473		7.42578	8.09311	35.45277	4.99535	0	0	0	0.57473	0.21735	0
Healthy	18.30054	3.31872	0	0.10638	0.06765	0	0		68.09654	18.30054	3.31872	0	0.06765	0	0	0	0.10638	0
Healthy	9.47397	13.42089	0	0	3.04604	1.52523	0		43.75014	9.47397	13.42089	0	3.04604	8.78787	0.57278	0	0	1.52523
Healthy	11.74589	29.26325	0.3126	0.07817	1.83008	6.00307	0.6621		17.56695	11.74589	29.26325	0.3126	1.83008	0.08859	0.1514	0.6621	0.07817	6.00307
Healthy	0.2867	4.1034	0.32681	0.97538	0.00437	0.02808	0.29282		67.09431	0.2867	4.1034	0.32681	0.00437	0.0042	0	0.29282	0.97538	0.02808
Healthy	1.01616	6.98888	1.20433	1.24073	0.51673	0.02259	0.56328		31.28267	1.01616	6.98888	1.20433	0.51673	0	0	0.56328	1.24073	0.02259
Healthy	25.34291	10.98327	5.29141	0.08385	25.358	0	0.59698		20.36905	25.34291	10.98327	5.29141	25.358	0	0	0.59698	0.08385	0
D009765	22.77583	15.65427	6.09982	3.39451	7.5385	0	0.02392		21.46383	22.77583	15.65427	6.09982	7.5385	0.05831	0.02873	0.02392	3.39451	0
Healthy	9.43879	6.25977	1.37642	0.38018	0.53875	0	0		67.23166	9.43879	6.25977	1.37642	0.53875	0.01784	0.0264	0	0.38018	0
Healthy	6.33331	11.98098	3.22177	0.22602	5.195	0	1.26624		42.56931	6.33331	11.98098	3.22177	5.195	0.67731	0.50179	1.26624	0.22602	0
Healthy	0.00094	0	0.02275	0	0	0	0		0.05164	0.00094	0	0.02275	0	0	0	0	0	0
Healthy	21.55607	3.98991	0	0.17798	0	0	0.0673		61.38019	21.55607	3.98991	0	0	5.18226	0	0.0673	0.17798	0
Healthy	0	0.25159	90.75306	0.00219	0.00841	0	0.02798		0.01931	0	0.25159	90.75306	0.00841	0	0	0.02798	0.00219	0
D009765	47.15803	8.56375	1.57126	1.88832	1.32382	0	0.0588		21.49485	47.15803	8.56375	1.57126	1.32382	0	0	0.0588	1.88832	0
Healthy	1.72277	1.15541	0.11834	0	1.66666	0	0		92.92764	1.72277	1.15541	0.11834	1.66666	0.58962	0	0	0	0
Healthy	1.17854	2.17255	0	0.11605	0	0	0		43.38378	1.17854	2.17255	0	0	0.11326	0	0	0.11605	0
Healthy	4.22058	1.07347	0.43511	0.571	0	0	0		56.61767	4.22058	1.07347	0.43511	0	0.26844	0	0	0.571	0
Healthy	12.86174	11.12191	1.32525	0.14804	1.05654	0	0.10518		52.15726	12.86174	11.12191	1.32525	1.05654	0.51581	0	0.10518	0.14804	0
Healthy	26.41081	2.31532	0.01689	0.01375	0.01073	0	0		61.05334	26.41081	2.31532	0.01689	0.01073	0.11734	0	0	0.01375	0
Healthy	5.7435	4.54787	4.34504	0.00226	0.14766	0	0		70.56182	5.7435	4.54787	4.34504	0.14766	0.23778	0.0539	0	0.00226	0
Healthy	1.35877	1.72019	0.06193	0.13383	0.83505	0	0.00711		83.56988	1.35877	1.72019	0.06193	0.83505	1.5313	0	0.00711	0.13383	0
D009765	28.58551	5.08986	0.55159	2.58461	0	0	1.32631		10.46237	28.58551	5.08986	0.55159	0	0.00357	0	1.32631	2.58461	0
Healthy	26.62906	20.95643	0.0216	0.29421	0.00071	0	0.02471		37.34462	26.62906	20.95643	0.0216	0.00071	0	0	0.02471	0.29421	0
Healthy	46.55662	0.12429	0	0	0	0	11.24847		20.76636	46.55662	0.12429	0	0	0.04874	0	11.24847	0	0
Healthy	25.0635	7.03706	0.33771	0.26964	0	0	1.00134		49.42088	25.0635	7.03706	0.33771	0	0.46186	0	1.00134	0.26964	0
Healthy	56.88681	10.26378	1.2613	0.17433	0	8.81102	1.13999		7.28498	56.88681	10.26378	1.2613	0	0.04642	3.78245	1.13999	0.17433	8.81102
Healthy	12.1476	62.9997	21.2371	0	0	0	0		3.61561	12.1476	62.9997	21.2371	0	0	0	0	0	0
Healthy	2.9794	4.74411	0.14666	0.24373	10.5195	0.86272	0.03085		65.94451	2.9794	4.74411	0.14666	10.5195	0.11483	0	0.03085	0.24373	0.86272
Healthy	4.23484	5.63306	0	0.63218	0	0.06803	0.30044		77.56292	4.23484	5.63306	0	0	0	0.09708	0.30044	0.63218	0.06803
Healthy	13.98492	6.99823	35.90039	0.4326	0	0	0.86835		22.77193	13.98492	6.99823	35.90039	0	0.0586	0	0.86835	0.4326	0
Healthy	22.45504	29.68041	0.042	2.46417	6.51919	0	2.20829		10.42839	22.45504	29.68041	0.042	6.51919	0.09116	0	2.20829	2.46417	0
Healthy	25.21853	12.88211	0.25052	0.18648	0.00699	1.22966	0.12104		44.35637	25.21853	12.88211	0.25052	0.00699	1.77066	1.82276	0.12104	0.18648	1.22966
Healthy	29.12875	11.49644	0	0.33473	0	0	0		50.42891	29.12875	11.49644	0	0	0.1002	0	0	0.33473	0
Healthy	20.95243	5.56944	0	0	0	3.19845	1.80524		57.9843	20.95243	5.56944	0	0	0	0	1.80524	0	3.19845
Healthy	38.42361	2.67302	0.26781	3.76394	0	0	0.05851		19.00735	38.42361	2.67302	0.26781	0	0.16065	3.06148	0.05851	3.76394	0
Healthy	35.15934	0.04332	0	0.03904	0	0	0.07394		0	35.15934	0.04332	0	0	0.00158	0	0.07394	0.03904	0
Healthy	22.27209	8.95456	0.22672	0.13451	0	0	0.06035		22.0643	22.27209	8.95456	0.22672	0	1.67502	0	0.06035	0.13451	0
D009765	12.37801	0.21483	0	0	0	0	7.41206		62.51051	12.37801	0.21483	0	0	0	0	7.41206	0	0
Healthy	0.65685	5.98487	1.20908	0.7137	0.13239	0.06831	0.49025		45.26359	0.65685	5.98487	1.20908	0.13239	0.01275	0	0.49025	0.7137	0.06831
Healthy	6.95679	2.22382	1.62673	2.27129	0	2.97004	4.10863		18.16766	6.95679	2.22382	1.62673	0	0	0	4.10863	2.27129	2.97004
Healthy	10.2726	8.33474	0.43785	0.11806	0	0	0		63.72663	10.2726	8.33474	0.43785	0	0	0	0	0.11806	0
Healthy	6.52439	6.31917	35.20264	1.0791	0.03307	0	0.02407		31.15761	6.52439	6.31917	35.20264	0.03307	0.0234	0	0.02407	1.0791	0
Healthy	17.31738	17.86587	5.54225	4.33288	0	0	4.8168		21.40224	17.31738	17.86587	5.54225	0	0.08772	0	4.8168	4.33288	0
D009765	11.0173	9.35504	8.44935	5.27964	18.9474	0	0		29.70074	11.0173	9.35504	8.44935	18.9474	0	0	0	5.27964	0
Healthy	0.38881	6.01991	0.0103	1.34897	43.9894	0	0.13551		13.2891	0.38881	6.01991	0.0103	43.9894	0.28406	0	0.13551	1.34897	0
Healthy	3.13409	4.69076	0.13383	0.28366	10.41	0.80514	0.0128		65.75268	3.13409	4.69076	0.13383	10.41	0.09557	0	0.0128	0.28366	0.80514
D009765	30.92475	20.88817	5.19026	1.61696	0.00379	0.19078	1.17628		5.84782	30.92475	20.88817	5.19026	0.00379	0	0	1.17628	1.61696	0.19078
Healthy	8.78889	17.61636	2.43475	0.83394	0.10078	0	0.40667		46.11877	8.78889	17.61636	2.43475	0.10078	2.51045	0	0.40667	0.83394	0
Healthy	1.4222	1.86091	0.27682	0.00233	0	0	0.02247		70.63059	1.4222	1.86091	0.27682	0	0.11666	0	0.02247	0.00233	0
Healthy	4.3198	6.73183	5.34259	0.70893	7.09147	0	0.17455		44.41535	4.3198	6.73183	5.34259	7.09147	0.27735	0	0.17455	0.70893	0
Healthy	38.69933	3.63925	0.1995	0.05945	0	0	5.19517		36.30805	38.69933	3.63925	0.1995	0	0.00491	0.02465	5.19517	0.05945	0
Healthy	24.09166	30.65601	5.93464	1.71217	0	0	0		18.17723	24.09166	30.65601	5.93464	0	0	0	0	1.71217	0
Healthy	37.42848	3.37303	0	0	0	2.18475	1.95468		42.50091	37.42848	3.37303	0	0	0	0	1.95468	0	2.18475
