c	Gammaproteobacteria	Bacilli	Negativicutes	Bacteroidia	Clostridia
Healthy	-0.361580635137367	-5	-5	1.72431978848234	1.20670501205503
Healthy	-0.21175383062718	-2.53461714855158	0.430155711970019	1.88066745045934	0.924075016220443
Healthy	0.329157781394064	0.390341518926754	-0.823069915549494	1.64240941377882	1.34583072467652
Healthy	0.124950679542338	-0.447623844747437	0.968602946685977	1.73645522766992	0.857495929293535
Healthy	0.272560963861557	-1.57121748850305	-0.0872732432574975	1.56350540995057	1.71085495437172
Healthy	-5	0.485269866168583	-0.581019618754964	0.341693638960031	1.92861657958856
Healthy	-0.266626163055293	-0.614500972847943	0.527299866339773	1.94935604251243	0.420922339593397
Healthy	-1.11025022473596	-0.312506711255048	0.150049945162385	1.74462456359356	1.3854107076947
Healthy	0.761782798918629	-1.7680209731685	-5	1.84810070904581	1.07077166602148
Healthy	0.855023401569893	-1.77806440017199	-5	1.76411057214773	1.23613552968257
Healthy	-1.1253442674019	-1.67964596718233	0.730517420590717	1.6043401214296	1.57366723433078
Healthy	0.473590604448907	-1.26656197290894	-5	1.81002063010515	1.44068479603106
Healthy	0.801618402870708	-0.237839297913818	0.66482994114309	1.84441000712758	1.01115709631296
Healthy	-0.978852064279005	-5	-5	1.62280463482383	1.03464409575721
Healthy	1.89967569522853	-0.869827111107464	-5	0.286391343147528	0.720720628024159
Healthy	0.310674198718182	-0.526542227184554	-2.09636748391576	1.8012357228892	1.45599459811076
Healthy	0.954119441900728	-5	0.896930011763117	1.70747606876486	1.48797178851542
Healthy	-5	1.08418899343258	0.147960609057186	1.27434700337415	1.74857987849733
Healthy	-1.15645578805436	0.0754119076576232	0.300127898364073	0.870742663294291	1.63908099170895
Healthy	-5	-5	-5	1.83312510965263	1.33484102540248
Healthy	0.94718709417019	-2.70774392864352	0.183338186289204	1.64097954636543	1.3597381818911
Healthy	0.276783384700269	-0.153743320221921	0.884927840363339	1.24469661240851	1.61706736835744
Healthy	0.00609363020820083	-0.465237994969973	-1.19517932127884	1.82668575568211	0.642475402199867
Healthy	-0.951519352526498	-0.0678104461845136	-0.195438069037582	1.49530395216766	0.903364048891955
Healthy	-5	-0.0862603017850711	0.677345019721607	1.30897098745708	1.56021985014056
Healthy	-1.74836177955179	-1.63413778459744	-1.88306035344924	1.8275738990396	1.19586009384911
Healthy	0.246786537772904	0.102519458368337	0.264165892216258	1.62909671283614	1.26322169366765
Healthy	1.9366017988212	-0.640297291725886	-5	-1.28692967414436	-3.02227639471115
Healthy	0.724212769403576	-0.793470948317269	-5	1.78802829919445	1.40732273783472
Healthy	0.65769916511523	0.559402646841045	-1.37212230542003	-1.71399287792053	-0.560398916165654
Healthy	-0.162676764352586	-5	-5	1.96814495463693	0.4591194599369
Healthy	-0.945885099489414	-5	-5	1.63732748922239	0.525187387787583
Healthy	-0.534498180058329	-0.601625913848644	1.17950037362933	1.75295206948262	0.723788859050945
Healthy	-0.222551427179631	-0.97802554488994	-5	1.71731485160876	1.379915458851
