g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	-2.35261702988538	-1.42875714943978	-5	-1.33998877871067	-1.51399481363776	-1.19551981089401	-5	-2.84771165561694	1.0546471380597	1.15457185761662	0.617383064910903	0.74763627778296	0.422069228044146	0.819659074117858	0.7288924600247	0.0841185084192743	-0.168418145168527	-0.669423903912271
Healthy	-0.662620616304181	-5	-5	-5	-5	-0.515017218069439	-5	-5	0.714281129455165	0.414911540127346	0.874301452368863	0.962149054149991	1.104535249778	-0.401691094102905	0.908378845027963	-0.92981431362162	-0.713229263285944	-0.0932233447404059
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.16382841125996	0.361302774775774	0.974543929731445	0.197374300467348	1.03642167788668	-0.620803296167865	-0.440524293949369	-2.59859945921846	-0.144783805266637	-0.483398528473466
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.90974194706868	1.5392230562493	0.741569140493534	1.14318879562959	0.727798179250603	0.305295466559086	0.454144853475704	-0.298552908960852	-1.69143558643876	-0.795662924371845	-0.889174689945035
D007234	-5	-5	0.992149962274027	-5	1.82440188453041	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.9991649179469	0.812213913666027	0.484033485331173	0.646309602547308	0.358264252506572	0.305718859250873	0.47954507980859	0.455447881917726	-1.62616885492617	-0.761753113473313
Healthy	-0.0375264840391993	-5	-5	-5	-5	-1.39523411529611	-2.69250396208679	-5	1.38642654737367	-0.623204126120284	-5	-3.16115090926274	-5	-0.961618308532304	-5	0.0556000096481284	-5	-5
D007234	-1.28886792769316	1.84775158368469	0.413638348223296	-5	-5	0.682510596660101	-5	-3.23657200643706	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.24192117775039	-5	-5	-5	-5	-1.48558507941963	-5	-5	1.33837500594045	0.945498620332878	1.13919406056096	0.684951230451972	0.337159644526856	0.978170470050854	-0.085566925195804	-0.806513640290257	-1.86486734862323	-1.04817696468409
Healthy	-1.01475320919714	-5	-5	-5	-5	-5	-5	-5	1.32063038961321	1.15147067332424	0.792185000205915	0.533306765979536	0.77651740513626	0.806486586202032	1.07718033679142	0.200453763408963	-0.400990760176656	-0.316844852110697
Healthy	-5	-5	-5	-0.997315687010271	-5	-1.30980391997149	-5	-5	1.25634220509257	1.20836986396273	0.406098849324656	0.858065955043124	0.544554181983722	0.159855824933591	0.923043409101125	-0.0312882898821189	-0.05733727641529	-0.445741071029493
D007234	1.5532057029567	1.68251339328365	0.228872384507749	-1.75374768770068	-5	0.185703604198454	-0.270956764951463	0.551965721321034	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.04383156952464	-5	-5	-5	-5	-1.68319124794698	-5	-3.76955107862173	1.30841628001052	0.831467913988562	0.244836023425545	0.56552197560566	0.465446801064305	1.24685074829116	0.525370081956401	-0.130891543491254	-0.575902760599452	-0.414449036856871
Healthy	-2.47237009912866	-5	-5	-2.32330639037513	-5	-5	-5	-2.43770713554353	1.38402295219386	1.15371427923842	0.787619851891287	0.578211580396164	0.532080126303614	0.541821283181823	-0.10921582366564	-1.48945498979339	0.0513802260719356	-0.591014231788306
D007234	0.808005596964494	0.0981208736255936	1.41017825308551	1.49739702376952	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.13745123047521	-5	-5	-5	-5	-0.627972207342595	-5	-5	1.66106333087285	0.996351846896323	0.934911339664022	0.280985614967476	0.15803061259034	0.70774811522215	0.060127218108558	-0.711974464611637	-1.80299527197695	-1.44952704289344
Healthy	1.211283704902	-5	-5	-5	-5	-0.233118902799713	0.356322300686241	-5	0.3276613024366	0.839155506402829	-5	-2.43297363384094	-5	-0.120875436210633	-5	-0.7247577694441	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.22873929438427	0.976942544746109	0.920074256594067	0.982159930817374	0.37664446817797	0.814258919213428	0.868364025196432	-0.486689156526138	-0.0156662496057866	-0.690966332495859
D007234	1.7036336048948	-5	0.732442816243716	-5	-5	-5	-0.0696980555782436	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	1.14970888072874	1.57833899613604	-0.0901712852191269	-5	0.219408991768612	1.60091748967361	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.423232628157107	-5	-5	-5	-5	-1.46495918674884	-5	-5	1.88334863050346	0.971910586743869	-5	-0.277522385802825	-5	0.517285651668054	-0.413457702269775	-1.55689354326273	-1.04067235402783	-1.74593554708566
Healthy	-5	-5	-5	-5	-5	-5	-5	-3.20760831050175	1.44262947294558	0.921443514693563	1.06594812991886	1.22632429207266	-0.288116881466686	0.605784337510173	0.509357119781855	-0.44797701387014	-0.832978204209743	-0.90173709762007
D007234	0.831565853708398	-2.17134010346468	-1.1008911418066	1.23990506647419	-5	0.142564650457128	-3.61978875828839	-2.34969247686806	-5	-5	-5	-5	-5	-5	-5	-0.905843438217477	-5	-5
Healthy	0.802295396080011	-5	-5	-1.51102647527349	-5	-5	-5	-5	0.962055696876176	0.260469706248739	0.951072683597301	0.55000686756956	-5	0.318935224047325	-0.46236976967504	0.263650268720486	0.275228404438374	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.07033567201248	1.12048212744257	1.20753338824139	-0.159498701709034	-1.44611697335613	-5	-5	0.339276495711335	0.0264883210943781	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.1116589793011	1.26243234109401	-0.622711966364296	-0.0411638722531682	0.292074338708138	0.313365172592993	0.272992007015963	0.255877682785515	-0.218043676051331	-0.193392727661911
Healthy	1.21513266374785	-5	-5	-5	-5	-5	-5	-5	1.30442180212777	1.07269646539681	0.480972246500199	0.0385963207931104	-0.0383179330322549	0.279837982245049	-0.0550240915879521	-1.21253952548158	-0.320163441081902	-1.16621562534352
D007234	-5	1.94753571519371	1.05611211227434	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.343145078730216	-5	-5	0.0863598306747482	-5	-5	-5	-5	1.85075709169807	0.467980832168327	0.163939186691625	0.393483947973508	-5	0.946365790534768	-5	0.0908855799932186	0.40340881073833	-5
Healthy	-5	-5	-5	-5	-5	-0.0579869836405412	-5	-5	0.643260162405549	0.825893917035523	-5	0.0776222292445196	1.17594965597202	-0.0430923610367338	1.11187889522097	-0.39579555414367	-0.646276062411051	-0.273215757919732
