group	Faecalibacterium	Mediterraneibacter	Streptococcus	Enterocloster	Bariatricus	Blautia_A	Dorea	Eubacterium_G	Eubacterium_I	Coprococcus_A	Bacteroides	Alistipes	Parabacteroides	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella	Holdemania	Pseudodesulfovibrio
Healthy	0.90956	1.8025	0	0.60527	0.9289	0.64062	0.45839	0.17136	0.2872	0.43583	12.93179	0.23838	2.05761	0	1.03345	0.0234	0	0	0	0.01019
Healthy	1.09293	0.06129	0	0.47844	0.23437	0.06819	0.06578	0	0	0	20.1568	3.02671	1.90474	0	0	0	0	0.04035	0	0
Healthy	2.47447	1.23277	0.06243	2.53167	0	0	0	0	0	0	70.91809	1.4586	8.83823	0	0	0.59111	0.04504	0.08025	0.04	0
Healthy	1.19569	0.40197	0.11515	0.22579	0.18392	0.53306	0.26968	1.19933	0	0	4.39804	0	0.90553	0	0	0	0	0	0	0
Healthy	2.64489	0.19964	0.23235	0.00453	0.22336	0.21077	0.21694	0.22268	0.06373	0.12372	9.90196	7.95025	1.56111	1.15039	1.1161	0.01676	0.01655	0	0	0
Healthy	1.38269	0.46466	0	0.00155	0.17054	0.0077	0.03229	0	0.09145	0	39.28236	7.21644	1.80397	0.19017	0	0.04544	0	0	0.06868	0
Healthy	1.96391	0.23742	0	0.01556	0	0.01221	0	0	0	0	45.09603	8.41418	5.15553	0	0.99432	0.14654	0.02679	0.29889	0.14147	0
Healthy	2.60289	0.20105	15.69812	1.87818	2.63735	4.10101	0.67153	0.10945	0	0.27437	6.87234	1.61128	0.24212	0	0	0	0	0	0	0
Healthy	2.1367	0.05105	0.33687	0.90362	0.675	0.32815	0.33065	0	0.1239	0.03973	23.31325	5.49021	0.50003	8.85718	0.59341	0.00299	0.26567	0.13187	0	0
Healthy	7.82754	0.04272	0.48635	0.54207	0.44033	0.49612	0.12583	0	0.0301	0.18657	9.9529	5.82279	16.59372	2.86579	1.76986	0.06442	0	0	0	0.03014
Healthy	1.24235	0	0	0	0	6.52547	6.43845	0	0	0.68618	0	0	0	0	0	0	0	0	0	0
Healthy	1.26741	1.59783	0	0.56853	0.49066	0.41621	0.23331	0	0.04128	0.13162	16.41439	1.10325	1.73068	0	0.74523	0	0.01845	0	0	0
Healthy	1.01248	0.45415	0.00882	0.37716	0.117	0.04333	0.11938	0	0.05214	0.13904	19.89403	0.34539	0.44147	0	0.78479	0.00454	0	0.04209	0	0
Healthy	1.74819	0.20381	0	0.02291	0	0	0	0	0	0	22.97864	22.15493	2.34465	5.92629	0.77418	0.02547	0.05469	0.0276	0.09705	0.01376
Healthy	2.03873	0.08193	0	0.09816	0	0.17257	0.09228	0	0	0	29.28272	11.47761	1.43325	0	0	1.74357	0.1613	0.12857	0	0
Healthy	5.54289	0.20969	0.0109	0.45183	0.11013	0.26395	0.03044	0.05468	0.00849	0.00219	19.89786	20.6628	6.53852	1.38231	2.31492	0.03175	0	0	0	0.0924
Healthy	0.39347	0.14231	0	0.41483	1.31434	0.08257	0	0.06824	0	0	10.87271	5.79551	3.29162	0.29073	2.25825	0	0	0.00574	0	0
Healthy	8.98741	0.01807	0.25644	0.27756	0	0.00032	0	0	0	0	41.7997	6.05686	0	0.0035	0	0.00521	0	0	0	0
Healthy	1.42962	0	0	0.64445	0	0	0	0	0	0	15.97225	0	0	0	0	0.04909	0	0	0	0
Healthy	0	0.13794	0.0687	1.31635	0	0	0.07628	0	0	0	3.04364	4.54685	55.4244	0.77874	0	0	0	0	0	0
Healthy	8.79006	1.62393	0.54071	0.61162	0.03547	0.12913	0.55837	0.62766	0.05594	0	7.83739	5.4983	2.10613	0	0	0.13195	0	0.00678	0	0.00261
Healthy	2.05589	0.35965	2.24552	0.24044	0.21954	0.35495	0.678	1.88165	0.34821	0.11583	16.97089	4.3396	4.63046	0	0.58748	0.01037	0.08978	0.00396	0.08713	0
Healthy	4.49347	0.17201	0	0.17365	0.23362	1.27903	0.08256	0	0	0.14645	21.12726	17.09281	2.52603	1.16431	1.88591	0.14019	0.05238	0	0	0
