s	Phytobacter_ursingii	Acinetobacter_baumannii	Pseudomonas_E_parafulva_B	Leclercia_sp000755535	Serratia_marcescens_I	Veillonella_parvula_A	Staphylococcus_warneri_A	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Faecalibacterium_sp900539885	Alistipes_putredinis	Agathobacter_rectalis	Phocaeicola_vulgatus	Bacteroides_ovatus	Alistipes_shahii	Alistipes_onderdonkii	Mediterraneibacter_torques	Blautia_A_wexlerae
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.42985091338422	0.309361843843319	0.992481939496354	0.164700746917783	-5	0.375961574885145	0.21728649275249	-5	-5	-0.763009535346852
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.21337721940907	0.242591115900052	1.25192060251458	-0.670724187763545	1.03692058898733	0.2316479611536	0.462547728802664	-0.434683572914379	-0.690753202746328	-5
Healthy	1.10904539072735	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0191516000238053	-0.40507733728301	0.70139526901392	0.148108857729697	0.97639583661188	-0.706438577324199	-0.18746096602679	-1.98296666070122	-0.952102376485589	-1.08312512146132
Healthy	-2.08301995267962	-5	-5	-5	-5	-5	-5	-2.49349496759513	-5	-1.96217524941166	0.930282057987578	0.743737043513994	-5	0.0479754052790859	0.467994137917604	-0.135103446054885	1.21908944179182	0.601054522316422	-1.11103465569966	-0.605846123117944
Healthy	-2.38721614328026	-5	-5	-5	-5	-2.65169513695184	-5	-1.52403841080758	-2.20065945054642	-2.67162039656126	-5	0.953635037609222	-5	-0.784653297137832	-5	1.27735956647451	-5	-3.63827216398241	-1.74280157386066	-3.48148606012211
Healthy	-1.6643415477107	-5	-5	-5	-5	-1.91435271170314	-5	-1.75080164260889	-5	-5	0.537893359373848	0.943992333605363	0.735195553054516	0.980003826342128	-5	0.0743153238343697	-5	-1.19811629287476	-1.82275216374438	-1.36602684421033
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-2.3767507096021	0.630983863435366	0.313001986537057	0.577401025102312	0.184424527372856	0.047048897575721	-0.829034593689159	-0.39834191697906	-1.10050780386187	-0.444107860055416	-0.449820584291501
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.949987360515655	0.652582813032564	1.014923984765	0.596097644760988	0.172392737861285	-0.115969713142589	0.58230545438893	0.00889811477093967	-0.764421056669872	0.106884126580011
Healthy	-5	-5	-5	-5	-5	-0.884123335731555	-5	-5	-5	-5	1.15164590880567	0.543920359118516	0.764016886804553	0.800094739387244	0.430231515347259	-2.01144104312138	-0.130404564265568	-1.04895405186418	-0.40245837967472	-0.969400278034049
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.597826770377936	0.657498531012474	0.0692091448179196	1.17912676742507	-0.205086929227266	-1.47288588836019	0.839081910868311	-0.806013236914305	-5
D007234	1.61247773013192	-1.71489297043319	-0.251625886660065	-0.722413704215237	0.227068741642177	-3.26760624017703	-0.889309302726246	0.191107131756712	-5	-2.91721462968355	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.138826693810669	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.861417906342299	0.411463129730481	-5	-5	0.850293878845634	-1.11690664142431	-0.498488868275975	-1.91292879409346	-1.57675412606319	-1.1439360466669
Healthy	-1.34794715175189	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.233230345132159	0.920613718564758	1.25479475977255	0.465274264253977	-0.0658855135638426	-1.35842674682182	0.141528158831941	-0.341340032379256	-0.701518087486517	-5
D007234	1.72386850704776	-5	1.09655235455813	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.33901215444848	-5	-5	-5	-5
Healthy	-0.436139369480359	-5	-5	-5	-5	-0.985311488127662	-5	-5	-1.94653739507454	-5	0.0738942314791951	0.629901724475788	1.30893367360983	-5	0.602458273830937	-0.273647766054769	-0.0380049724146412	0.588996233837113	-1.33170728955178	-1.41600820080168
Healthy	0.328275604985012	-5	-5	-5	-5	-2.08354605145007	-5	-2.7851561519523	-5	-2.5003129173816	0.237581435680497	0.587639137769875	0.92039676219917	0.789213945113378	1.01219627301531	0.938372100005861	-5	-1.24741382125959	-1.28083450591079	-0.275077267770166
D007234	-1.33761997998375	-5	-5	-5	-5	1.61403525645518	1.2824705251277	-2.00217691925427	-5	1.36256747806876	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.63781792809619	-0.851058185097089	-0.443142921632784	-1.77237035042899	-0.53877167821945	-2.37882371822496	-1.08175990977858	0.576140860328306	-2.0670191780768	-1.84496777120903	-5	-5	-5	-5	-5	-5	-5	-5	-0.705688119097987	-5
Healthy	0.0261940310141587	-5	-5	-5	-5	-5	-5	-2.55284196865778	-5	-5	1.12920345491545	-0.390245560871144	0.245453441801116	-0.604708561615517	-0.195676525802456	-0.657202408540632	-0.134588040278472	-5	-2.01010543628123	-1.58753945257004
Healthy	-5	-5	-5	-5	-5	-2.67778070526608	-5	-5	-5	-5	-0.606565197437011	0.748410545912575	0.774704511247851	0.719923479529221	0.872028588891106	0.55014393268369	-0.0335766540563069	-1.40837896178668	-0.772576104066336	-0.54712535624405
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.33654998567353	-5	-0.150236726737866	-5	-5	-5	-5	0.657468905744551	0.668361684991407
Healthy	-0.366875075889939	-5	-5	-5	-5	-1.62653627836763	-5	-5	-5	-5	1.04552677548952	-0.285150739162974	-5	-5	0.9775164660035	0.774215409594811	-5	-5	-1.1919917000896	-5
D007234	-5	-5	1.38518088567486	-5	-5	-5	-5	1.65465207944646	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.3416364888475	0.632776062724541	-5	0.862383650213745	-5	-1.00502332635031	0.448004080951392	-0.715005613277005	-0.751953130641338	-0.470210448900383
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.10307849371244	0.81513991291971	-5	-5	-5	-0.288369898028336	-0.196904947300362	-2.57348873863542	-1.37089634982286	-1.21204387671607
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.17709794414435	0.905097210529146	-5	-5	-5	-0.160899217292847	-0.0627178745145732	-1.47625353318844	-1.29149411904476	-1.0959339480855
Healthy	-1.32734807716	-5	-5	-5	-5	-1.55268689117643	-5	-5	-5	-5	0.779911637167357	1.08766466773536	-5	1.22462654110084	0.137021615898142	0.14742278300467	-3.08092190762393	-0.0601913141937924	-2.40011692792631	-0.553493899451059
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.28332902443986	0.550455839306529	1.25812487697849	0.056031575371879	0.87053733375855	-1.09221255688938	0.536882779809035	-0.5064304270213	-2.25258819211358	-1.05295859474478
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.0719265386097	0.670421205824893	-0.304220723635515	-0.109841761335578	0.898748211746831	-1.39072582759541	-0.100650147031666	-0.619517409025019	-0.967220120808755	-1.33847125986802
D007234	1.60850902515976	1.06698562622918	0.728102061816012	-2.79317412396815	-5	0.0585664641234095	0.574752176957394	-2.13786862068696	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
