group	Faecalibacterium	Prevotella	Phytobacter	Ruminococcus_B	Faecalimonas	Veillonella	Haemophilus_D	Muricomes	Intestinibacter	Eggerthella	Bacteroides	Parabacteroides	Dialister	Ruminiclostridium_E	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella
Healthy	5.59288	0.00254	0.00443	0	0	0.06374	0.10937	0	0.02211	0	11.34088	6.60174	0	5.25385	0	1.15443	0.08463	0.03022	0.07635	0.18042
Healthy	9.53132	0.25656	7.64961	0.00528	0	0.01761	0.09002	0.00775	0.03574	0.00493	9.19932	2.63163	0	0.04984	2.24124	2.09009	0.06652	0.03859	0.02497	0
Healthy	9.16534	0	0.21745	0.60085	0	0.30547	0	0	0	0.05192	5.17941	0.39655	0	0	0	0	0	0	0	0.04446
Healthy	0	0	87.6699	0	0	0	0	0	0	0	0.02353	0.00378	0	0	0.04965	0	0	0	0	0
Healthy	6.63265	0	0.87742	0.51752	0.33094	0.05289	0.14111	0.06087	0.28323	0.01993	22.22715	0.6642	0	1.4135	1.83111	0	0.03921	0.04634	0.00615	0
Healthy	1.95808	0	0	0	0	0	0	0	0	0	40.93105	4.40354	3.61042	0	0	0	0	0	0	0.01528
Healthy	5.80888	0	0.08761	0.02657	0.14599	0.03405	0.07677	0	0.09619	0	3.14729	0.36746	0	4.84302	0	1.03624	0.01542	0.21338	0.14094	0.00829
Healthy	1.57533	0	0	0	0	0	0	0	0	0	14.58237	0.23943	0	0.77316	0	1.48318	0.05382	1.12029	0	0.19327
Healthy	1.32832	0	0	0.0408	0	0	0	0.01741	0	0	29.92045	50.7413	0	0	0	0	0.00906	0	0	0
Healthy	5.34315	0	0	0	0	0	0	0	0	0.01763	34.6117	2.8454	0	2.9041	0	0	0.20742	0	0.11266	0.002
D001172	14.9567	0.82824	5.70198	0.08697	0.02897	0.04765	0.39099	0	0.05607	0.00432	2.97462	0.07154	0	0.00089	12.3655	0	0	0	0	0
Healthy	4.42903	26.4523	0	0	0	0	0	0	0	0	9.98078	2.0217	0	0.0078	4.30761	0	0	0.17996	0	0
Healthy	4.19445	0	0.36426	0	0	0.14732	0.23996	0	0	0	7.61737	4.8622	2.47331	0	0	1.4674	0	0.25254	0	0.00901
Healthy	0.00068	0	0.91721	19.5045	0	0.04024	0	0	0	0.03312	24.34593	0.10923	0	0	0	0	0.04847	0	0	0
Healthy	2.14559	0	0.14705	0	0	0	0	0	0	0	37.7005	4.39784	2.80683	1.15908	0	0.71018	0	0.02569	0	0.24334
Healthy	4.84117	0	0.05728	0	0	0.03268	0.02082	0	0	0	21.7959	9.50977	0.386	1.73905	1.44167	2.31782	0.16032	0.03009	0	0.01697
Healthy	7.79271	0	0.18304	0.00127	0.04332	0	0	0.00295	0.31151	0	7.95144	2.35053	0.00036	3.48437	0	0.69215	0.02311	0.17786	0.01879	0.06115
Healthy	3.41433	0	0.09665	0	0	0	0	0	0	0	20.9233	6.40451	0	0.50096	2.12136	0.98932	0.02715	0.05137	0.11644	0
Healthy	1.53945	9.96416	0	0	0	0	0	0	0	0	3.11062	0.42982	6.52691	0	0	0	0.30461	0	0	0
Healthy	7.21216	0.09981	0	0	0	0.04899	0.05059	0	0.02658	0	18.04438	1.44495	0	3.9656	0	0.84408	0.08103	0.00799	0.00619	0.08967
Healthy	2.32887	10.11089	0	0	0	0	0	0.0068	0	0	6.97932	1.38836	0	0.01794	0	0	0.87914	0.0229	0.0461	0
Healthy	3.25208	0	0.13388	0	0	0.00243	0	0	0	0	27.8053	3.84116	7.61668	0.83211	0	1.23081	0.07362	0.04588	0	0.11188
Healthy	2.3511	0	0.09389	0	0	0	0	0	0	0	36.80431	4.39523	2.84921	1.25899	0	0.77326	0.01522	0.03195	0	0.26229
Healthy	9.38873	19.3017	0	0	0	0	0	0	0	0	19.52836	0	0	0	0.04924	0	0	0	0	0
Healthy	0.46439	0	0.01077	0.00805	0	0.00567	0.01136	0.00463	0.42534	0	36.88523	0	0.82615	0	0	0	0.03935	0	0	0
Healthy	3.67723	0.01328	0.00903	0.0148	0	0.02073	0	0.00297	0	0	20.34305	17.6543	10.2571	0.26842	0	0.45607	0.21544	0.0182	0.01243	0.02565
Healthy	4.42476	0	0	0	0	0	1.81989	0	0.14632	0	23.03575	0.28595	1.84818	0	0	0	0	0	0	0.05455
Healthy	13.536	0	0	0	0	0	0	0	0	0	1.75458	0	9.46156	10.6343	0	0	0	0	0	0
Healthy	3.78626	0	0.00336	0.01194	0	0	0.00195	0	0.01345	0	24.21156	3.48193	0	0.67935	0	3.30425	0.02161	0.09568	0.03382	0
Healthy	1.90978	0	0.07286	0	0	0.23551	0.023	0	0	0	45.82086	5.10208	6.24256	0.17288	0	1.03995	0.10007	0.06004	0	0.29286
Healthy	0.00368	0	16.2661	0	0	0.58462	0.19266	0	0	0	2.12647	0.75704	0	0	10.9103	0	0	0	0.00014	0
Healthy	9.59753	0	0	0	0	0	0	0	0	0	16.9332	6.52016	0	0.41444	0	2.06509	0.2895	0	0	0
Healthy	1.86857	0	0.02321	1.75437	0	0	0	0.00396	0	0	29.01246	1.47904	6.41941	0	0	0.55504	0.0481	0.1397	0.52165	0.21457
Healthy	0.5278	0	0.37736	0.02053	0	0.03427	0	0	0	0	76.44491	3.29067	3.32443	0	0	0	0.18962	0	0.35951	0.0857
Healthy	2.42985	31.92376	0.0328	0	0	0	0	0	0	0	18.51345	4.94019	0	1.37095	0	1.31168	0.40547	2.15701	0.13615	0.04583
Healthy	5.20293	0	2.17787	0	0	0	0	0	0	0	17.02277	1.76152	0	4.84916	0	0	0	0	0	0
Healthy	1.37117	0	0	0.04255	0	0	0	0.02306	0	0	39.29822	1.69946	0.0024	0	0.15651	0	0.04008	0.00799	0	0
Healthy	16.8393	0	0	0	0	0	0	0	0	0	27.70954	4.03444	0	10.3731	0	1.39468	0.12367	0	0.00424	1.28454
Healthy	1.56627	0	0	0.12522	0	0	0	0	0	0	20.4639	1.95304	3.23865	0	0	0	0.01668	0.24095	0	0.26069
Healthy	3.54818	7.42671	6.343	0	0	0	0	0	0	0	9.16337	2.08417	0	0.00489	0	0	0.66922	0.00624	0.05176	0.00459
Healthy	2.14458	0.6025	0	0	0	0	0	0	0.09037	0	40.71017	1.16581	0	0	0	1.1273	0	0	0	0.01474
D001172	12.9867	0.14127	0.06192	0.03831	0.63028	0.00049	0.01478	0.02716	0	0.00631	6.0942	0.83596	0	0.00473	0	0	1.10272	0	0	0.42227
Healthy	0.69262	0	0	0	0	0	0	0	0	0	11.75805	0	0	0	0.1002	0	1.66202	0	0.20168	0
Healthy	0.90956	0	0	0.07063	0	0	0	0	0	0	12.93179	2.05761	0.59117	0	0	1.03345	0.0234	0	0	0
Healthy	1.09293	0	16.4109	5.39169	0	0	0	0	0.35363	0	20.1568	1.90474	0	0	0	0	0	0	0	0.04035
Healthy	2.47447	0	0.45378	0	0	0	0	0.09698	0	0	70.91809	8.83823	0	0	0	0	0.59111	0.04504	0.15275	0.08025
Healthy	1.19569	0	0	0	0	0.875	0	0	0	0	4.39804	0.90553	4.25365	1.77715	0	0	0	0	0	0
Healthy	2.64489	0	0	0	0	0	0	0	0.28594	0	9.90196	1.56111	0	2.26474	1.15039	1.1161	0.01676	0.01655	0	0
Healthy	1.38269	0	0	0.06041	0	0	0	0.01375	0	0	39.28236	1.80397	0	0	0.19017	0	0.04544	0	0	0
Healthy	1.96391	0	0.02833	0.00483	0	0.22337	0.01062	0	0	0	45.09603	5.15553	6.31044	0.18227	0	0.99432	0.14654	0.02679	0	0.29889
Healthy	2.60289	0	1.75061	0	0.84621	0	0	0	0	0	6.87234	0.24212	2.39552	0	0	0	0	0	0	0
Healthy	2.1367	0.0022	0.14333	0.01648	0	0.00473	0.03449	0	0.04743	0	23.31325	0.50003	0	0	8.85718	0.59341	0.00299	0.26567	0	0.13187
Healthy	7.82754	0	0.43307	0	0	0.26113	0.24747	0	0	0	9.9529	16.59372	1.6894	0.57146	2.86579	1.76986	0.06442	0	0.10797	0
Healthy	1.24235	0	0	0	0	0	0	0	0	0	0	0	0	1.52824	0	0	0	0	0	0
Healthy	1.26741	0	0	0.0054	0	0.02688	0.40379	0	0.20194	0	16.41439	1.73068	5.34705	15.0678	0	0.74523	0	0.01845	0	0
Healthy	2.03873	0	0	0.00686	0	0	0	0	0	0	29.28272	1.43325	6.35013	0	0	0	1.74357	0.1613	0.6039	0.12857
Healthy	1.74819	0	0	0	0	0	0.01729	0	0	0	22.97864	2.34465	0	0	5.92629	0.77418	0.02547	0.05469	0	0.0276
Healthy	1.01248	0.06139	0.6727	0.8581	1.83701	0.00129	0	0.26193	0.05314	0	19.89403	0.44147	0	0	0	0.78479	0.00454	0	0	0.04209
Healthy	0.39347	0	12.8542	0	0	0	0	0	0	0	10.87271	3.29162	11.5958	4.76676	0.29073	2.25825	0	0	0	0.00574
Healthy	5.54289	0.15669	0.00825	0.00091	0	0	0	0.00145	0	0	19.89786	6.53852	0.22524	2.28599	1.38231	2.31492	0.03175	0	0.05467	0
Healthy	8.98741	8.48422	0.00409	0.00557	0.221	0.01956	2.02288	0.10584	0.09932	0.00368	41.7997	0	0	0	0.0035	0	0.00521	0	0	0
Healthy	8.79006	0	0.02165	0.14116	0.0264	0.01217	0.19393	0.00719	0.0908	0.00018	7.83739	2.10613	4.06746	0	0	0	0.13195	0	0.98499	0.00678
Healthy	0	0	0.73045	2.0423	0	0.13021	0	0	0.03828	0	3.04364	55.4244	0	0	0.77874	0	0	0	0	0
Healthy	1.42962	66.7552	4.12779	0	0	0	0	0	0	0	15.97225	0	0	0	0	0	0.04909	0	0	0
Healthy	2.05589	0	0	0.11141	0	0	0	0	0	0.00095	16.97089	4.63046	0	15.5655	0	0.58748	0.01037	0.08978	0.09277	0.00396
