p	Firmicutes_C	Proteobacteria
Healthy	1.01605130894559	-0.0288587291620607
Healthy	-5	-1.06203099704855
Healthy	0.170871646707303	1.33742032279846
Healthy	-1.4611750110621	-1.98927613460823
Healthy	-1.86806070478958	-0.753378337304012
Healthy	-5	0.493151217795686
Healthy	-1.45050628678499	0.561010697311624
Healthy	0.00260229774101594	0.298197867109815
Healthy	0.611898477051448	-0.116389661320575
Healthy	0.502336974038757	-0.401373615358346
Healthy	-5	-5
Healthy	0.44070919767089	0.0967536388455329
Healthy	-5	-1.85418228550817
Healthy	-5	-0.15793396806739
Healthy	-5	1.03878661622049
Healthy	-5	0.068434489114242
Healthy	0.864347893323088	-5
Healthy	0.395696739866061	-0.708919887036473
Healthy	-0.847864603138124	1.5447992766518
Healthy	0.776570440218725	-0.686976889676762
Healthy	0.874593131257384	-1.0588862729629
Healthy	-5	-0.464832514885056
Healthy	-5	-0.204878053462417
Healthy	0.441008203188998	1.29530644506905
Healthy	-0.369084199281594	-1.17678668671733
Healthy	-5	-0.121863265765277
Healthy	-5	-0.619264302584309
Healthy	0.459522153558161	-0.261663473011745
Healthy	0.586792027385235	0.925629186050317
Healthy	0.0358738123373223	-0.921869569197436
Healthy	0.850562308394363	0.531020110897529
D011236	1.7204665097739	-1.25633347855379
Healthy	-0.374862537040465	-0.587757914790086
Healthy	-2.49757288001557	-0.750092670064082
Healthy	0.664296846953647	-5
Healthy	-5	-5
Healthy	0.112578192405772	0.302309278369985
Healthy	0.438967733160514	-0.295961075129442
Healthy	0.635468666883596	-0.541347045342033
Healthy	-0.421051508337888	-0.0069431160985507
Healthy	0.908717652617084	-5
Healthy	0.5541558913488	-1.23343844736247
Healthy	-1.03995754427316	-0.249738521213526
Healthy	-5	-0.223545809517815
Healthy	-0.100316261699968	0.229349020167703
Healthy	-0.230246153197911	-1.47729500726525
Healthy	1.02167089201791	0.0376336348940759
Healthy	0.250622463210711	0.181634962203798
Healthy	-0.718262328293082	0.760724725601537
Healthy	-1.18742084459095	0.560449452855777
