group	Blautia_A	Streptococcus	Dorea	Longicatena	Faecalimonas	Clostridium_A	Adlercreutzia	Gordonibacter	Eggerthella	Lactococcus	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Blautia_A	Dorea	Flavonifractor
Healthy	0.25761	0.01403	0.36276	0.00342	0	0.01567	0.00077	0	0	0	3.30743	0.68407	0.09014	0.40581	0.60007	0.4664	0.05868	0.25761	0.36276	0.08893
Healthy	0.53567	0	0	0	0	0	0	0	0	0	9.70149	9.75385	11.7396	7.94456	0.4069	0.66465	1.71217	0.53567	0	0
Healthy	0.43257	0	0.42913	0	0	0	0	0	0	0	0.23802	0	3.13501	1.60463	0.08099	0.79934	0	0.43257	0.42913	0
Healthy	0	0	0.01714	0	0	0	0.02643	0	0	0	1.4141	5.10639	0	8.18068	1.01673	0.02036	0.20882	0	0.01714	0.04979
Healthy	0	0.01292	0	0	0	0	0	0	0	0	1.45529	0	0	0	0	0.61109	0	0	0	0.08548
Healthy	0.32221	0.34776	0.10267	0	0	0.01418	0.00714	0	0	0	11.1457	12.82	0.48557	1.97574	0.41924	0.14405	0.12154	0.32221	0.10267	0.06861
Healthy	0	0.10367	0.00131	0	0	0.25985	0	0	0	0	31.1106	9.55614	0	1.05499	0.10179	0.45248	0	0	0.00131	0.2382
Healthy	0	0	0	0	0	0	0	0	0	0	0.55691	0	0	0.03262	0.02376	1.99695	0	0	0	0.2224
Healthy	0.88487	0	0.89458	0	0	0	0	0	0	0	7.30624	22.3249	6.32555	1.70697	3.65165	0.07968	0	0.88487	0.89458	0
Healthy	0.26133	0.01797	0.0981	0	0	0.00856	0.00932	0	0	0	3.13912	7.50067	1.72462	1.40921	0.58388	0.36575	0.15766	0.26133	0.0981	0.07061
Healthy	0.01581	0	0.01103	0	0	0	0.15579	0	0	0	4.21366	2.17687	0.12041	1.66892	0.31967	0	0.09721	0.01581	0.01103	0
Healthy	0.83816	0.34649	0	0	0	0	1.41636	0.12466	0	0	10.2684	11.9018	10.8039	7.72664	1.06834	2.0934	0	0.83816	0	0
Healthy	0	0.45334	0	0	0	0	0	0	0	0	0.39654	0	0	0	0	0	1.31584	0	0	0
Healthy	0.02511	0	0	0	0	0	0	0	0	0	1.37565	0.09504	0	1.74958	0.10634	0.14842	0	0.02511	0	0.01016
Healthy	0.02943	0	0	0.00069	0	0.55688	0.04992	0.01123	0.02293	0	22.7591	18.3483	0	1.77659	0.02141	1.267	3.60873	0.02943	0	0.03172
Healthy	0	0.00532	0	0	0	0	0	0	0.0026	0	0.00433	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.87864	1.73815	0	4.15261	3.4149	1.22495	0.78351	0	0	0
Healthy	0.34818	0.7126	0.45702	0	0.71715	0	0.00383	0	0	0	7.02649	13.0256	0.24502	3.78882	9.01518	5.10983	0.41707	0.34818	0.45702	0
Healthy	0.18999	0	0.13819	0	0	0	0	0	0	0	1.23252	7.97763	1.96572	1.98799	0.55036	0.4649	0.00433	0.18999	0.13819	0.04376
Healthy	0.60366	0.02733	0.13797	0	0	0	0	0	0	0	0.36953	10.4535	2.58388	1.99986	0.25141	0.27615	0	0.60366	0.13797	0
Healthy	0.02905	0.04903	0.0541	0	0	0	0	0	0	0	1.44314	1.4496	1.49656	0.42435	0.40435	0.6479	0.64273	0.02905	0.0541	0.09056
Healthy	0.29519	0.21686	0.14741	0	0	0	0	0	0	0	0.66465	4.3973	0	3.47726	0.49241	0.33257	0	0.29519	0.14741	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.10161	1.80195	0	0	0.20743	0.02275	0	0	0	0.00677
Healthy	0.4357	0.02978	0.07974	0.00029	0.00102	0	0	0	0.00709	0.00202	14.5544	7.74604	0	38.37729	1.37903	0.44734	0.46959	0.4357	0.07974	0.00013
Healthy	0.71833	1.2578	0.23069	0.03372	0	0.33886	0.20868	0.03839	0.00183	0.01375	6.69399	1.10025	0	0.13283	1.21669	0.25967	0.8622	0.71833	0.23069	0.01155
Healthy	0	0	0	0	0	0	0	0	0	0	1.72603	1.25576	2.00529	0.18626	0.0538	0.0491	0.1628	0	0	0.00971
Healthy	0.38947	0.4968	0.49999	0.00275	0	0.01117	0	0	0	0	9.43876	38.7322	0.00421	2.13274	0.10851	2.00065	0.59158	0.38947	0.49999	0.00501
Healthy	0	0.05237	0	0	0	0	0	0	0	0	3.42137	0.38192	0	1.41808	0.29819	0.05866	0.22282	0	0	1.28496
Healthy	2.27022	8.13615	0.59673	0.00088	0.06483	0.01793	0.01142	0	0	0	7.64183	7.33956	10.9777	6.42877	0.04036	2.04222	1.02795	2.27022	0.59673	0.01016
Healthy	0	0	0	0	0	0	0.89561	0	0	0	44.3123	7.07654	3.49728	2.01162	2.97291	0	0.90246	0	0	0
Healthy	0.04375	0.03648	0	0	0	0.10545	0	0	0	0	5.06867	0	0	0	0.0859	0.4271	0.03568	0.04375	0	0.17711
Healthy	0.04747	0	0.08596	0	0	0	0.06162	0	0	0	3.78617	0.58116	0.35928	2.87248	0.02481	0	0.0603	0.04747	0.08596	0.16664
Healthy	0.06503	0.01927	0.00404	0.02312	0.01255	0.08739	0.02265	0.04661	0.00059	0	0.82079	0.83227	3.5316	0.01342	0.17879	1.15285	0.58354	0.06503	0.00404	0.02287
Healthy	0.01191	0.20842	0	0	0	0.39264	0	0	0	0	0.46508	0	0	0.39841	0.14083	0.12766	0.13178	0.01191	0	0.13158
Healthy	0.06956	0.07356	0.37376	0	0.05621	0.04091	0	0	0	0	0	0	0	0	1.25518	8.90162	0	0.06956	0.37376	0.45575
Healthy	0.1027	0.00636	0	0	0	0	0.03016	0	0	0	4.43563	2.04603	0.63795	0.8782	0.17724	0	0.15204	0.1027	0	0.16672
Healthy	0.12309	0.01463	0.0093	0.08912	0.89341	0.04056	0.04885	0.01014	0	0	0.4021	0.05495	2.58533	0.11259	0.55596	0.70583	0.00031	0.12309	0.0093	0.02925
Healthy	0.00329	0	0	0	0	0	0	0	0	0	1.65404	1.22578	1.97063	0.18489	0.0681	0.05462	0.1128	0.00329	0	0.00901
