group	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Parasutterella	Ruminococcus_C	Bilophila	Faecalimonas	Pseudodesulfovibrio	Rothia	Bacteroides	Mediterraneibacter	Streptococcus	Anaerobutyricum	Blautia_A	Anaerostipes	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0	2.60289	1.75061	0	0	0	0	0.84621	0	0	6.87234	0.20105	15.69812	1.94333	4.10101	0	0	0	0.27437	0
Healthy	0.0022	2.1367	0.14333	0.01648	0.13187	0	0.03635	0	0	0.00149	23.31325	0.05105	0.33687	0.56239	0.32815	0.09467	0.00299	0.26567	0.03973	0
Healthy	0	2.03873	0	0.00686	0.12857	0	0	0	0	0	29.28272	0.08193	0	0	0.17257	0	1.74357	0.1613	0	0
Healthy	0	1.74819	0	0	0.0276	0.33756	0.18939	0	0.01376	0	22.97864	0.20381	0	0	0	0	0.02547	0.05469	0	0
Healthy	0	0.39347	12.8542	0	0.00574	0	0	0	0	0	10.87271	0.14231	0	0.0884	0.08257	0	0	0	0	0
Healthy	0.15669	5.54289	0.00825	0.00091	0	0	0	0	0.0924	0	19.89786	0.20969	0.0109	0.04157	0.26395	0.06775	0.03175	0	0.00219	0.06196
Healthy	8.48422	8.98741	0.00409	0.00557	0	0	0	0.221	0	0.02165	41.7997	0.01807	0.25644	0.91156	0.00032	2.17641	0.00521	0	0	0
Healthy	0	8.79006	0.02165	0.14116	0.00678	0	0.06353	0.0264	0.00261	0	7.83739	1.62393	0.54071	1.94611	0.12913	0.34365	0.13195	0	0	0.18515
Healthy	0	2.05589	0	0.11141	0.00396	0	0.12245	0	0	0	16.97089	0.35965	2.24552	1.40044	0.35495	0.38652	0.01037	0.08978	0.11583	0.23981
Healthy	0	4.49347	0	0	0	0	0	0	0	0	21.12726	0.17201	0	0.26674	1.27903	0.22003	0.14019	0.05238	0.14645	0.06226
Healthy	0	3.4988	0	0	1.07698	0.25997	0.01952	0	0	0	42.67203	0.39585	0.19801	0	0.10729	0	0.04626	0	0	0
Healthy	0	3.96119	0	0	0.10417	0	0	0	0	0	13.289	0.1563	0	0	0	0	0.0164	0.18968	0	0
Healthy	0.06453	2.57906	1.37665	0.05311	0	0	0.04377	0.13412	0	0	50.35663	0.76527	0.06404	0.04396	0.07178	0.24457	0.13021	0.17847	0.10801	0
Healthy	0	8.32939	0.04487	0	0	0	0	0	0.08212	0	10.66841	1.42142	0	0	0	0	0	0.01862	0	0.09067
Healthy	0	4.26482	0.36631	0	0.013	0	0.00721	0	0	0	7.84251	0.22834	0.00291	0	0.03836	0	0	0.20337	0	0
Healthy	0.01157	3.86935	2.12948	0.05193	0.00147	0	0.04091	0	0.04863	0.00327	13.27297	0.76747	0.07392	3.49856	0.5729	0.13271	0.08154	0.0424	0	0.22901
D006973	0	11.9723	0.12009	0.01128	0	0.25903	0.00066	0.14916	0	0	22.5841	0.01824	0.01886	0.02716	0.03904	0	0.09081	0	0	0
Healthy	0	0.40714	1.06216	0.01119	0.01997	0	0.02904	0	0.14991	0	49.62456	0.00976	0	0.0105	0.02584	0	0.17583	0	0.00678	0
Healthy	2.41062	5.60286	0	0.05435	0	0.00464	0.04335	0	0	0	7.42691	0.86068	0.02683	0.29161	0.2837	0.10568	0.01682	0	0.11158	0.05276
Healthy	2.1963	21.7045	0	0.0266	0	0.40462	0	0	0	0	0	5.6824	0	2.37613	4.65973	0.32591	0	0	0.5795	0
Healthy	0	0.51861	0.42965	0.01424	0.11156	0	0	0	0	0	76.31918	0.06426	0.21585	0.00425	0.01228	0.01443	0.20572	0	0	0
Healthy	0	4.29314	0	0	0.03569	0	0	0	0	0	27.78982	0.17702	0.04828	0.87265	0.33867	0.30038	0	0	0.09662	0
Healthy	0	6.5334	0	0	0	0	0	0	0	0	31.70646	0.14695	0	0	0.06136	0	0.15639	0	0	0.51129
Healthy	0	8.03705	0	0	0	0	0	0	0	0	37.14727	0.17457	0.00451	0	0.08017	0	0.23769	0	0	0.7355
Healthy	0	12.2367	0.04705	0.00935	0	0.03996	0	0	0	0	10.10225	0.22845	0	0.08798	0.27957	0.04889	0.081	0	0.03205	0.03641
Healthy	0	3.55185	0	0	0.38392	0	0	0	0	0	24.40483	0.00558	0	0.02841	0.08851	0	0.1543	0.08903	0.01057	0
Healthy	0	4.68188	0	0	0.05957	0	0	0	0	0	41.147	0.4621	0.5783	0	0.04586	0	0.0264	0.00312	0	0
Healthy	0	4.42579	0.04178	0	0.02873	0	0.20722	0	0	0	12.23413	0.08284	0	0	0	0	0.04991	0	0	0.14686
Healthy	0	0	78.7042	0.07356	0.02799	0	0	0	0	0	0.92068	0.67689	0.10271	0.46926	0.11858	0.0846	0.05913	0.04022	0	0
Healthy	0	6.63595	0.36158	0.09022	0.17411	0	0	0.0228	0	0	44.95971	0.00667	0.01597	0.12008	0.0048	1.2924	0.04607	0	0	0
Healthy	0	9.28592	2.27843	0.00665	0.04242	0.24849	0	0	0	0	47.8383	0.03479	0	0	0	0	0.1339	0	0	0
Healthy	0	24.6591	0	0	0	0	0	0	0	0	4.75974	1.66588	0	0.57718	0.72437	0	0	0	0.28184	0
Healthy	0	16.0886	0	0.09717	0	0	0	0	0	0	5.30319	0.01181	0.60443	0.60249	0.90537	3.30523	0	0	0	0.19679
Healthy	46.7432	2.59441	0	0	0	0.01677	0	0	0	0	19.09021	1.953	0	0.79118	0.66445	0.07734	0	0	0.29771	0
Healthy	6.74233	7.91572	0	0	0.00222	0	0.04203	0	0	0	13.40581	0.09344	0.00195	0.9126	0.29839	0.29749	1.53569	0.07651	0.3148	0
Healthy	10.3598	4.06832	0.29883	0	0	0	0.03232	0	0	0	0.70692	0.03854	0	0.13232	0.1194	0	0	0.01553	0.21873	0
Healthy	0.03398	1.13008	1.00992	0	0.0042	0.13386	0	0	0	0	30.39863	0.01505	0.04975	0.00178	0.04908	0	0.16651	0.32215	0	0
Healthy	0	0.82616	0.1118	0	0	0	0	0	0.13895	0	9.60579	0.0062	0.29215	0.15205	0.32589	0	0.15037	0.36706	0	0
Healthy	0	10.0244	0	0.13052	0	0	0	0	0	0	16.95479	0.10502	0.22287	4.4287	2.75113	0.18609	0.08746	0	0	0.07283
Healthy	0	3.84259	0	0	0.01784	0	0.09289	0	0	0	35.73784	0.74578	0.02321	0	0.23815	0	0.09268	0	0	0
Healthy	1.16567	3.94491	0.61563	0	0	0	0	0	0.29804	0	20.92541	0.36996	0	0.31153	0.38828	0.07293	0.03116	0	0.09934	0
Healthy	0	0	83.838	0.00094	0	0	0	0	0	0	0.04484	0	0	0	0	0	0	0	0	0
Healthy	0	3.79106	0	0	0.20827	0	0	0	0	0	24.38544	0.1845	0.09358	0	0.1208	0	0.14498	0.0063	0.023	0.1511
Healthy	0	0	3.89743	0	0	0	0	0	0	0	0.00012	0	0.00367	0	0	0	0.25159	0	0	0
Healthy	0	1.07413	0.09795	0	0.58962	0	0	0	0	0	64.79877	0	0	0	0	0	0.08128	0	0	0
Healthy	0	0.74249	0	0	0	0	0.03182	0	0	0	11.34734	0.01772	0	0	0	0	1.25366	0	0	0
Healthy	0	0.81966	0	0	0	0	0.01125	0	0	0	14.22069	0.03468	0.25024	0	0.0369	0.081	0.25381	0	0	0
Healthy	0	10.6545	0.08321	0	0	0.28584	0.20998	0	0	0	20.35744	2.18279	0	0.9071	0.57222	0.50664	0.08686	0.02574	0	0.00602
Healthy	40.4897	2.10815	0	0	0	0	0	0	0	0	6.65579	0.58787	0.00441	0.22621	0.1772	0.089	0.10013	0	0.06872	0
Healthy	0	2.37578	0.15123	0	0.23778	0	0.04823	0	0	0	37.14624	0	0.00552	0.02999	0.03083	0	0.02179	0.02747	0	0.00226
Healthy	0	0.93393	0	0.00185	0	0	0	0	0	0	29.2088	0.26184	0.04713	0	0.00565	0.00253	0.1212	0.0285	0	0
Healthy	3.81452	17.91	2.8125	0.0157	0	0.19191	0.05661	0.04977	0	0	6.24867	0.00798	0.04653	0.42331	0.29976	0.01153	0.00865	0	0.11152	0
Healthy	6.31915	0.12429	0	0	0.04874	0	0	0	0	0	6.53279	0.31804	0	0.4936	0.13302	0	0	0	0	0
Healthy	0	5.23795	0	0	0	0	0.01742	0	0	0	14.80091	1.24791	2.16794	0.32437	0.42806	0.3205	0.01974	0	0.23379	0.03483
Healthy	2.16791	2.62326	0	0	0	0	0	0.01282	0	0	2.90707	0.67365	0	0.18274	0.21301	0	0	0.08691	0.07185	0
Healthy	0	62.9997	0	0	0	0	0	0	0	0	3.61561	0	0	0	0	0	0	0	0	0
Healthy	44.60152	3.43183	0	0	0	0	0	0	0.08355	0	4.50718	0.27629	0.04301	0	0	0	1.31228	0.04463	0	0
Healthy	44.6447	1.84929	0	0	0	0	1.50048	0	0	0	9.75499	1.10457	0	0	0	0	0.13412	1.3879	0	0
Healthy	0	5.51072	0	0	0.0586	0	0	0	0	0	9.97635	0.03261	0.9221	1.40782	0.2328	0.59193	0	0	0.19834	0.0955
Healthy	0	0.17685	0	0.8993	0	0	0.00355	1.15388	0	0	2.07824	0.04471	0.15545	3.00802	0.39242	1.72021	0.11742	0.05701	0	0.40741
Healthy	0	6.71157	0.88276	0.57964	0	0.02732	0.00858	0.31519	0.00259	0.00033	21.10584	0.11433	0.38092	0.15216	1.00121	0.74149	0.03588	0.04649	0	0.15492
Healthy	0	5.37472	0	0	0.1002	0	0	0	0	0	17.23727	0.15385	0	0.39885	0.12754	0.15794	0.02712	0.26009	0	0.01904
Healthy	56.7831	0.53665	0	0	0	0	0	0	0	0	0.43226	5.77681	0.8025	0	0	0	0	0	0	0
Healthy	2.96841	2.67302	0	0	0	0	0	0	0	0	4.47186	0.25898	0	5.83452	2.84013	2.42031	0	0	0.59075	0.51527
Healthy	0	0	3.66846	27.9887	0	0	0	2.02445	0	0	0	0.35605	1.28005	0	0	0	0.04332	0	0	0
Healthy	0	8.95456	0.121	16.5662	0	0	0	0	0	0.0396	22.0643	1.25114	0.20985	0	2.43898	0	0	0	0	0
Healthy	0	2.46552	0.34649	0	0.01275	0.07178	0	0	0	0	13.99928	0.1005	0.0582	0.08323	0.13568	0.00936	0.20774	0.18828	0	0
Healthy	8.03986	0.77987	2.66719	0	0	0.15842	0	0	0	0	2.35591	0.36132	16.77604	0.86242	0.40834	0	0	0	0	0
Healthy	0.04001	8.27035	0.07952	0.0303	0	0	0.06978	0.01235	0	0	12.21041	1.07663	0.17892	0.27006	0.23597	2.43132	0.06439	0.1986	0.05872	0.11806
Healthy	0	0.71987	0.08088	0	0.0234	0	0.00756	0	0	0	8.00633	2.25541	0	0.02937	0	0	0.07299	0	0	0
Healthy	5.62645	13.8765	0.03375	0	0	3.95234	0	0	0	0.04553	7.19094	0.50233	0.25241	3.90154	1.28674	0.40929	0	0.18705	0.07321	0
Healthy	0	0.11471	10.2181	0	0.00705	0	0.06999	0	0.38506	0	8.73365	0.00737	0	0	0.15744	0	0.05826	0	0	0
Healthy	44.97245	3.3535	0	0	0	0	0	0	0.08281	0	4.53197	0.31177	0.05589	0	0	0	1.33726	0.01799	0.02139	0
Healthy	13.0904	16.6374	0.06381	0	0	0.27903	0.00124	0	0	0	7.21779	0.41848	0.45117	0.48446	0.20733	0.37965	0.05911	1.35444	0.22769	0.04004
Healthy	0	1.67666	0.06157	0.55343	0.11666	0	0	0	0	0	26.17955	0.03975	0	0	0	0	0.00889	0.2643	0	0.00233
Healthy	0	0.82745	0	0.00856	0.27735	0	0.1094	0	0	0	21.67315	0.17169	0	0.07101	0.08157	0	0.14954	0.12613	0.02476	0
Healthy	16.1089	3.30743	0	0	0.00491	0	0	0	0	0	9.15477	0.60007	0.01403	0.36709	0.25761	0.01932	0.08893	0.00065	0.17589	0.00077
Healthy	0	9.70149	0	0	0	2.72606	0	0	0	0	2.70808	0.4069	0	2.07775	0.53567	0	0	0	0	0
Healthy	29.5744	0.23802	0	0	0	0	0	0	0	0	3.00482	0.08099	0	1.01417	0.43257	0.52611	0	0	0.0507	0
Healthy	0	1.4141	0	0.0593	0	0.01323	0.05044	0	0	0	39.02837	1.01673	0	0	0	0	0.04979	0.01592	0	0.02643
Healthy	68.4668	1.45529	4.2841	0	0	0	0	0	0	0	15.48506	0	0.01292	0	0	0	0.08548	0	0	0
Healthy	0	11.1457	0	0.01544	0.01433	0.054	0.10707	0	0	0	15.20872	0.41924	0.34776	0.16832	0.32221	0.14366	0.06861	0	0.15632	0.00714
Healthy	0	31.1106	0.24207	0.00425	0.01751	0.27168	0	0	0	0	30.72796	0.10179	0.10367	0	0	0	0.2382	0	0	0
D006973	0	42.0951	13.5339	0.25186	0.00165	0	0	0.09644	0.00631	0	6.09399	0.01894	0	0	0	0.00184	0	0.01325	0	0
D006973	0.1111	0.90803	0	0	0.00104	0.00839	0.00179	0	0	0.00107	1.49764	0.00524	0	0	0	0	0.004	0.00673	0.0054	0
Healthy	0	0.55691	2.0968	0	0.34626	0	0.0043	0	0.02712	0	36.08333	0.02376	0	0	0	0	0.2224	0.26641	0	0
Healthy	0	7.30624	0	0	0	0	0	0	0	0	7.12648	3.65165	0	0.82993	0.88487	0.14314	0	0	0	0
Healthy	0	3.13912	0.09698	0	0.00946	0	0.01379	0	0.06775	0	4.35395	0.58388	0.01797	0.1047	0.26133	0.0218	0.07061	0.01816	0.16394	0.00932
Healthy	0	4.21366	0.02507	0	0	0	0	0	0	0	21.37675	0.31967	0	0	0.01581	0	0	0.00472	0	0.15579
Healthy	0	10.2684	1.49435	0	0	0	0	0	0	0	12.74911	1.06834	0.34649	0	0.83816	0	0	0	0.49605	1.41636
Healthy	0	0.39654	0	6.73804	0	0	0	0	0	0	0.35748	0	0.45334	0	0	0	0	0	0	0
Healthy	0	1.37565	0	0.05485	0	0	0	0	0	0	30.08327	0.10634	0	0	0.02511	0.04991	0.01016	0	0	0
Healthy	0	22.7591	0	0.03057	0.00056	0	0.00725	0	0	0	9.6772	0.02141	0	0.03732	0.02943	0.00606	0.03172	0	0	0.04992
