group	Lachnospirales	Methanobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	22.27209	0		22.0643	22.27209	0.22672	0.92321	1.21693	0	0.06035	0.13451	0	0.17413
Healthy	0.65685	0		45.26359	0.65685	1.20908	0.34649	2.97255	0	0.49025	0.7137	0.66408	0
Healthy	6.95679	0		18.16766	6.95679	1.62673	2.71161	2.40822	0	4.10863	2.27129	0	0
Healthy	10.2726	0		63.72663	10.2726	0.43785	0.07952	0.05662	0	0	0.11806	0.06978	0
Healthy	6.52439	0		31.15761	6.52439	35.20264	0.08088	12.9858	0	0.02407	1.0791	0.00756	0
Healthy	17.31738	0		21.40224	17.31738	5.54225	0.16148	4.61753	0	4.8168	4.33288	0	0.25
Healthy	0.38881	0		13.2891	0.38881	0.0103	10.2181	2.60171	0	0.13551	1.34897	0.45505	0
Healthy	3.13409	0		65.75268	3.13409	0.13383	0	0	0	0.0128	0.28366	0.33848	0
Healthy	8.78889	0		46.11877	8.78889	2.43475	0.06381	5.94604	0	0.40667	0.83394	0.00124	0
Healthy	1.4222	0		70.63059	1.4222	0.27682	0.06157	5.89113	0	0.02247	0.00233	0	0
Healthy	4.3198	0		44.41535	4.3198	5.34259	0	17.72904	0	0.17455	0.70893	0.1094	0.00258
Healthy	38.69933	0.02465		36.30805	38.69933	0.1995	0.0175	0.00465	0.02465	5.19517	0.05945	0	0
Healthy	24.09166	0		18.17723	24.09166	5.93464	0	5.0839	0	0	1.71217	0	0.92052
Healthy	37.42848	0		42.50091	37.42848	0	0	0	0	1.95468	0	0	0
Healthy	14.87514	0		63.68496	14.87514	0.92934	0	0.01411	0	0.04651	0.23525	0.05044	0
Healthy	0.64545	0		92.81289	0.64545	0	4.2841	0	0	0	0	0	0
Healthy	20.44622	0		49.73983	20.44622	0.61728	0.01667	1.21706	0	0.14758	0.12868	0.10707	0
D050177	33.17898	0		59.32937	33.17898	0	0	0.70328	0	0	0	0	0
Healthy	11.94382	0		51.54426	11.94382	0.01142	0.47737	1.15201	0	0	0	0	0
Healthy	2.68635	0		71.0787	2.68635	0	2.0968	0	0	0	0	0.03142	0
Healthy	32.47023	0		26.51604	32.47023	10.94462	0	5.62249	0	0	0	0	0
Healthy	51.48479	0.18576		14.1769	51.48479	0.53641	0.09698	0.00396	0.18576	1.34631	0.16698	0.08154	0
Healthy	4.28305	0		58.04866	4.28305	0.49856	0.02507	0.46112	0	0	0.253	0.55816	0
Healthy	38.09029	0.11191		22.14347	38.09029	0.40697	1.49435	0	0.11191	0	1.54102	0	0
Healthy	6.73804	0		0.35748	6.73804	25.6546	0	0	0	0	1.31584	0	0
Healthy	12.91336	0		80.38068	12.91336	0	0	0	0	0.53907	0	0	0
Healthy	21.6924	0		20.33218	21.6924	0.19456	0	0	0	0.1903	3.69281	0.19041	0
Healthy	0.0105	0		28.87276	0.0105	7.18306	55.0788	0.03501	0	0	0.0026	0	0.23549
Healthy	14.063	0		38.75978	14.063	10.5799	0.57325	0	0	1.18442	0.78351	0	0
Healthy	41.68406	0.20726		29.53286	41.68406	0.58931	0.91179	0.46493	0.20726	1.65472	0.4209	0	4.42379
Healthy	11.91339	0		33.23081	11.91339	0	33.3132	0	0	0.73283	0.00433	0	0
Healthy	26.02128	2.44739		41.87328	26.02128	0.13293	5.37164	0	2.44739	1.85933	0	0	0
Healthy	3.89694	0.00825		69.54234	3.89694	0.74931	0	0	0.00825	0.17372	0.64273	1.21704	0
Healthy	57.26534	0.21268		28.72289	57.26534	0	0.09139	0.38925	0.21268	0	0	0	0
Healthy	2.30841	0		65.70584	2.30841	0.1845	1.15581	11.06571	0	0	0	0	0
Healthy	64.4011	0		7.75441	64.4011	0.0008	0.05193	0.21678	0	0.02408	0.47668	0	0
Healthy	11.56562	0		25.16801	11.56562	2.78263	26.87573	0.01516	0	0.04376	1.11166	0.0392	0.20169
Healthy	1.72941	0		75.927	1.72941	1.21132	0	0	0	0.00174	0.1628	0.0151	0
Healthy	46.51861	0		27.96087	46.51861	2.04031	0.76155	0.13564	0	0.00415	0.59299	0	0.1088
