p	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes	Desulfobacterota	Firmicutes_C	Methanobacteriota
Healthy	1.64240941377882	1.34583072467652	0.958706235858076	0.390341518926754	-1.04793440981495	-0.823069915549494	-2.14508697769214
Healthy	1.73645522766992	0.857495929293535	-0.146593849083456	-0.447623844747437	-0.747244028911427	0.968602946685977	-5
Healthy	1.56350540995057	1.71085495437172	0.433424180357174	-1.57121748850305	-0.829591588274682	-0.0872732432574975	-1.22929523178422
Healthy	0.341693638960031	1.92861657958856	0.566215868865457	0.485269866168583	-5	-0.581019618754964	0.317892088957648
Healthy	1.94935604251243	0.420922339593397	-0.827718238544999	-0.614500972847943	-5	0.527299866339773	-5
Healthy	1.74462456359356	1.3854107076947	0.323330493050036	-0.312506711255048	-5	0.150049945162385	-5
Healthy	1.84810070904581	1.07077166602148	-0.291324207273463	-1.7680209731685	-5	-5	-5
Healthy	1.76411057214773	1.23613552968257	-0.133411418224968	-1.77806440017199	-5	-5	-5
Healthy	1.6043401214296	1.57366723433078	0.0886498475552681	-1.67964596718233	-5	0.730517420590717	-5
Healthy	1.81002063010515	1.44068479603106	-1.1114274031424	-1.26656197290894	-0.258422985219577	-5	-5
Healthy	1.84441000712758	1.01115709631296	-0.570506113271258	-0.237839297913818	-5	0.66482994114309	-5
D037841	1.65325352853963	1.0866527026873	0.507387606342231	0.322314415488539	-1.35379238779331	0.914053707357072	-5
Healthy	1.62280463482383	1.03464409575721	0.457235270138838	-5	0.209152951593855	-5	-5
Healthy	0.286391343147528	0.720720628024159	0.840820962009722	-0.869827111107464	-5	-5	-5
Healthy	1.8012357228892	1.45599459811076	-0.121294415041161	-0.526542227184554	-5	-2.09636748391576	-5
Healthy	1.70747606876486	1.48797178851542	-1.88706002391592	-5	-5	0.896930011763117	-5
Healthy	1.27434700337415	1.74857987849733	0.809848474946142	1.08418899343258	-5	0.147960609057186	-5
Healthy	0.870742663294291	1.63908099170895	0.717063564385476	0.0754119076576232	-5	0.300127898364073	-5
Healthy	1.83312510965263	1.33484102540248	-0.973099191109745	-5	-5	-5	-5
Healthy	1.64097954636543	1.3597381818911	-5	-2.70774392864352	-1.3763372926438	0.183338186289204	-0.242004572723122
Healthy	1.24469661240851	1.61706736835744	-0.408067671442274	-0.153743320221921	-1.49039429538844	0.884927840363339	-0.819845440546652
Healthy	1.82668575568211	0.642475402199867	0.114677691010878	-0.465237994969973	-0.394608750110711	-1.19517932127884	-5
Healthy	1.49530395216766	0.903364048891955	0.388291297070502	-0.0678104461845136	-0.093761957868654	-0.195438069037582	-5
Healthy	1.30897098745708	1.56021985014056	0.730400283762543	-0.0862603017850711	-5	0.677345019721607	-5
Healthy	1.8275738990396	1.19586009384911	0.244675350767503	-1.63413778459744	-1.03198428600636	-1.88306035344924	-1.57823159879308
Healthy	1.62909671283614	1.26322169366765	0.537542065326809	0.102519458368337	-0.525710873834504	0.264165892216258	-0.299469343021408
Healthy	-1.28692967414436	-3.02227639471115	-1.64282774227697	-0.640297291725886	-5	-5	-5
Healthy	1.78802829919445	1.40732273783472	-0.749604396942884	-0.793470948317269	-0.791881259261723	-5	-5
Healthy	-1.71399287792053	-0.560398916165654	1.95903576077372	0.559402646841045	-5	-1.37212230542003	-5
Healthy	1.96814495463693	0.4591194599369	-0.926831737734898	-5	-5	-5	-5
Healthy	1.63732748922239	0.525187387787583	-0.935317433771488	-5	-1.497163361379	-5	-5
Healthy	1.75295206948262	0.723788859050945	0.00264978214118588	-0.601625913848644	-1.94846160948467	1.17950037362933	-5
Healthy	1.71731485160876	1.379915458851	0.168291188851266	-0.97802554488994	-0.677801386448108	-5	-5
Healthy	1.78570949869202	1.45827727272622	-1.51356952114557	-2.35457773065091	-5	0.537612598757124	-5
Healthy	1.84856983556758	1.01247361443207	0.638220610167626	-2.2572748686953	-1.12592425477697	0.459641231058366	-1.26833066817136
Healthy	1.92204983052155	0.488405457367657	-0.708253859175793	-1.26560025747943	-5	-5	-5
Healthy	1.57222816092954	1.6775069439896	-0.500560370798258	-1.14721513131945	-1.24703013497092	-5	-5
Healthy	1.31736058768831	1.66913940664896	-5	1.051093840473	-5	-5	-5
Healthy	1.69391056216295	1.50651274410758	-0.21655381358882	0.582984408651994	-1.75870261289001	-0.596827984507749	-5
Healthy	0.862428959956688	1.82704989750399	0.157045550202625	0.0569048513364726	-1.8153085691824	0.945026679940939	0.577774343999618
D037841	1.71470947560944	1.27386737546214	1.06767628767322	-0.822781040667284	-1.2003837955185	-1.05541863577307	-5
Healthy	0.558182780051332	1.87591343904048	1.32709541653146	-5	-5	-5	-5
Healthy	1.81917871144198	0.887815275486838	-0.408490191005346	-1.13153190097901	-0.504608316733061	-0.0641250998316844	-5
Healthy	1.88965420652834	0.994225179864961	-0.199152378124986	-0.522227791650743	0.176233105419458	-1.16723569505947	-1.01282549891246
Healthy	1.35740003085252	1.3453164744199	1.56030125884964	0.271353622102484	-5	0.174135431793646	-5
Healthy	1.01821768096015	1.71787046537739	0.399303288568354	0.376482058819104	-2.44855000202712	-5	-5
Healthy	1.64695609540824	1.5841822493836	-0.359508625054454	-0.0564411855707237	-1.9515581964496	0.109159910732136	0.260731872147808
Healthy	1.70267966728539	1.60943496080477	-0.475292388205987	-5	-5	-5	-5
Healthy	1.76331049352414	1.42360430573151	-5	0.416265954074958	-5	0.504940923792709	-5
Healthy	1.27892180034509	1.61380631605831	0.605494671806049	1.146950244924	-5	-5	0.485932845201798
Healthy	-5	1.54674409485113	-1.40837896178668	0.215629633457334	-5	0.816328150203432	-5
Healthy	1.34369035064213	1.49694057445299	-0.442204166394372	-0.536584848478778	-5	0.0852691663062547	-5
