s	Agathobacter_rectalis	Bifidobacterium_adolescentis	Collinsella_sp003487125	Enterocloster_aldenensis	Anaerobutyricum_hallii_A	Bariatricus_comes	Holdemanella_biformis	Blautia_A_wexlerae	Dorea_formicigenerans	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Bacteroides_caccae	Alistipes_shahii	Odoribacter_splanchnicus	Alistipes_onderdonkii	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Bilophila_wadsworthia
Healthy	1.104535249778	0.820548887471233	-0.180982801310941	-0.713229263285944	0.000807037423988489	0.0877069001087401	-5	-0.0932233447404059	-0.368262065681693	-5	0.108341730858209	0.0174256974069007	-0.185213201509778	-0.126092596098388	-5	0.0639222786916592	-5	-1.35193287055107	-5	-5
Healthy	1.03642167788668	0.431186793318	-0.424373462079022	-0.144783805266637	-0.326002797948864	-0.054733344728055	-5	-0.483398528473466	-0.88482233447375	-0.508806452705314	0.916110061773521	-1.11064226311107	0.41281321596387	0.367208645996994	0.171196788699384	-1.33292079453578	-5	-0.713813083058962	-5	-1.17842097208799
D009765	1.24980985373056	-5	0.630283425205502	-0.3693687559795	-0.19166071640292	-0.176773637199388	-5	0.237830157395387	0.231344687321021	-1.10259286033842	-0.0136314064297271	-5	-5	-0.661085547336671	-5	0.518323071578368	-2.41680122603138	-5	-5	-5
Healthy	0.305295466559086	0.61405838677323	-0.270932451300711	-0.795662924371845	-1.77546693739391	-1.76321090059071	-5	-0.889174689945035	-1.11401718864503	-5	1.41419108083844	-2.77211329538633	0.612736187636175	0.434712580645523	-5	-0.60927679555118	-5	-2.69680394257951	-5	-0.986109939671561
Healthy	0.358264252506572	-5	0.145012950231849	-1.62616885492617	-0.193589368335625	-0.768224676024905	-5	-0.761753113473313	-0.58718678403613	-0.807181742951705	0.546924970411396	0.0866196176903074	-5	-0.246470561019737	-5	-0.796994325271517	-5	-5	-5	-5
Healthy	-5	0.662517959366374	0.757343636962944	-5	-5	-5	-5	-5	-5	-5	-1.28954413566458	0.261217652218679	-1.2482591261891	-5	-5	-5	-5	-5	-5	-1.81958736716168
Healthy	0.337159644526856	-0.384723469047597	-0.703576151496223	-5	-2.59006687666871	-1.06859298644343	-5	-1.04817696468409	-5	-5	0.358247121963409	-0.656473246902283	0.858662294858756	0.438654665438737	0.365081579699462	-0.389009983555728	-1.86486734862323	-1.77006231409207	-5	-5
Healthy	0.77651740513626	-5	-1.09436599867305	-0.400990760176656	-0.46850830977847	-0.687970819974464	-5	-0.316844852110697	-0.563455723337232	-0.86087686589042	0.429118943195377	-0.694047055039493	-0.213227289431018	-0.327809748811747	-0.00465882137147871	-0.262688062010375	-5	-5	-5	-5
Healthy	0.544554181983722	-0.504386291878865	-0.47336353939984	-0.756837884898948	-0.284498054706716	-0.108953421880409	-5	-0.445741071029493	-0.213973005848771	-0.413480207489726	0.565282159538726	-0.380677055116824	0.301412006747821	-0.679417560526448	-0.0736112448204073	-1.53865156635202	-0.154108546690116	-1.04730440041308	-5	-5
D009765	0.495640066034435	-0.824633168938651	0.296614738982315	0.205875323137642	-0.000269346084697029	0.41241182307216	-0.929223537156565	-0.255722667410917	-0.474877415841751	-0.447623844747437	0.0583804667023363	-0.492846040344166	-5	-0.843602302717497	-5	0.336697830060126	-1.26256879948542	-5	-5	-5
Healthy	0.465446801064305	0.65780613208285	-0.0396719494698569	-0.616831172942571	-0.366329593948556	-0.456963077091746	-5	-0.414449036856871	-0.683819901106547	-0.300569887327523	0.57078687014639	0.225223965501657	0.385881418315625	-1.41465208890541	-0.340958972003924	-1.34237056861105	-2.83564714421556	-1.59074334796109	-5	-2.91721462968355
Healthy	0.532080126303614	0.354064238787239	0.157099998467163	0.0163019397819158	0.224590032504396	0.138359547541125	-5	-0.598358251502229	-0.332117634823755	-0.813297877434899	0.660705195662968	0.360159659818837	0.1419104768887	0.0804136160361212	0.519074213019617	-1.52215552366124	-1.8955128886876	-5	-5	-1.46180342165055
Healthy	0.15803061259034	-0.52641085501862	-0.844998163768747	-1.80299527197695	-1.19551981089401	-1.77884667804529	-5	-1.44952704289344	-5	-5	1.52140760274517	0.406015303776256	0.71480655113109	-0.0967309034730737	0.017016635343629	0.586910092759717	-5	-0.533325112790015	-2.84466396253494	-1.10325338439259
Healthy	-5	-1.32093568187869	-0.920782564253433	-5	-5	-5	-5	-5	-5	-5	0.326761752281461	-3.49485002168009	-2.38721614328026	-5	-5	-5	-5	-5	-5	-0.911084653395094
Healthy	0.37664446817797	-0.0265765571549935	-5	-0.0156662496057866	-0.248320667138884	-0.143748552266776	-0.0994417145904625	-0.690966332495859	-1.21452779669361	-0.87791524928913	0.663021160876662	-0.546926401848367	0.44017362082711	0.128392805954216	0.314941086692983	-0.815223421749151	-5	-5	-5	-1.05276239212933
D009765	1.03677297100899	-5	0.602026332201307	0.472232640545699	0.0463663786835756	-0.281340565498627	-5	0.159756629421666	0.0525208051001403	-5	0.847109740837238	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-0.81121208736253	-5	-1.72955409198204	-1.88739499846543	-5	-5	-5	-5	1.05221707182916	0.774035690647873	-5	-5	-5	-5	-1.39168795730267	-1.06696850489759	-0.311322169816408	-2.59859945921846
D009765	-0.163195008043986	-5	-5	-5	-0.496114027667801	-0.100606344163992	-5	-5	-5	-5	0.389144812277119	0.247548578865621	-5	-5	-5	-5	-5	-0.81491135724208	-5	-5
Healthy	-0.288116881466686	-5	-1.78727984558216	-0.832978204209743	-1.68634365338197	-0.467780858853351	-5	-0.90173709762007	-5	-5	-0.0130939686192789	-1.90903692340427	0.154740372381317	0.289762813884735	0.14447768699984	-0.218144139076955	-5	0.108751013469221	-5	-1.43168091490489
Healthy	-5	-5	-5	-5	-5	-2.16557929631847	-5	-5	-5	-5	0.735842323775894	-5	0.219539994340191	0.213732858783038	-5	0.0769424881682821	0.210462993033025	-2.33724216831843	-5	-1.89245087025531
Healthy	-1.44611697335613	-5	-0.991357252434715	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.649170726417032	-0.0288494465886003	-5	-1.68507994400758	-1.24123945609002
Healthy	0.292074338708138	-5	-1.15851539066461	-0.218043676051331	-0.0351419180524109	-0.0320263617833355	-5	-0.193392727661911	-0.338755391040666	-0.360672914103328	0.315344678779014	-2.37986394502624	0.136171804942558	-1.22709180502873	0.014293671949801	-1.05635711724787	-5	-5	-5	-1.7851561519523
Healthy	-0.0383179330322549	-5	-5	-0.320163441081902	-0.498885940673867	-0.630079450078083	-0.845697780315335	-1.16621562534352	-1.18184011360281	-5	0.886425294062091	-0.100113866086709	0.123309250653081	-0.87899856501036	-5	-1.84224111395314	-5	-1.39404884243513	-5	-5
