group	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae		Enterobacteriaceae	Burkholderiaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	18.96598	0	0	0	0	0	0		0	1.15823	0	0	0.04758	0	0	0	0	0
D014376	11.33318	0.01346	0.42261	0.1394	0.0863	0	0		0.01346	0.01867	0.42261	0.00649	0.13723	0	0.0863	0	0.1394	0.0494
Healthy	39.9607	0	0.05621	0.20506	0	0	0		0	0.69383	0.05621	0	0.00988	0	0	0	0.20506	0.03922
Healthy	14.31116	0.27603	0.05104	0	0	0	0		0.27603	0	0.05104	0.41895	1.38214	0	0	0	0	0
Healthy	4.50023	0.18035	0.29204	2.30687	1.04081	0	0		0.18035	0	0.29204	0	0.05739	0	1.04081	0	2.30687	0
Healthy	56.266	0	0.5862	0	0	0	0		0	5.9785	0.5862	0	0	0	0	0	0	0
Healthy	11.62445	30.1684	0.92104	0.08666	0.0169	0	0.00705		30.1684	1.1171	0.92104	0	0.02807	0	0.0169	0.00462	0.08666	0.03252
Healthy	59.20826	0	0	0	0	0	0		0	0.04775	0	0	0	0	0	0	0	0
Healthy	32.22378	0	0	0	0	0	0		0	3.08774	0	0	0.09143	0	0	0	0	0
Healthy	5.54585	0	0	0	0	0.25377	0		0	0	0	1.16794	2.7745	0.25377	0	0	0	0
Healthy	8.87523	0.1208	0	0.03881	0	0	0		0.1208	1.66666	0	0.14252	0.12452	0	0	0	0.03881	0.06238
Healthy	27.86813	0	0	0.19957	0	0	0		0	1.01856	0	0.01034	0	0	0	0	0.19957	0
Healthy	22.20514	0	2.29294	0	0.75139	0	0.0038		0	0.01796	2.29294	0	0	0	0.75139	2.1448	0	0.1023
Healthy	33.09346	0.03912	0	0	0	0	0		0.03912	0.25238	0	0	0	0	0	0	0	0
Healthy	7.03219	0	0.17413	0	0	0.00262	0		0	0	0.17413	0	0.03188	0.00262	0	0	0	0
Healthy	38.85877	0.60083	0.0456	0	0	0	0		0.60083	0.03376	0.0456	0.02071	0.40236	0	0	0	0	0
Healthy	38.67255	0.05911	0.08174	0	0	0	0.00152		0.05911	0.35714	0.08174	0	0.01682	0	0	0.01433	0	0.03708
Healthy	14.95767	0	0.01691	0	0	0	0		0	0	0.01691	0	0	0	0	0	0	0
Healthy	20.1999	0	0.51558	0	0	0	0		0	0.00462	0.51558	0	0	0	0	1.36942	0	0.16096
Healthy	52.43611	0	0.18812	0	0	0	0		0	0	0.18812	0	4.52987	0	0	0	0	0
Healthy	18.62582	0.3829	0.25744	0	0.00019	0	0		0.3829	0.02087	0.25744	0	2.2781	0	0.00019	0.0016	0	0.00076
Healthy	8.96417	10.3109	0	0	0	0	0		10.3109	0.25265	0	0	0.17695	0	0	0	0	0
Healthy	0.00985	76.9175	0.38853	0	0	0	0.2525		76.9175	0	0.38853	0	0	0	0	16.41967	0	0
Healthy	29.93152	0	0.00515	0	0.02223	0	0		0	0.25018	0.00515	0	0.20636	0	0.02223	0	0	0
Healthy	19.67703	0.0636	8.38638	8.20846	0.25307	0	0.00616		0.0636	0.00356	8.38638	0	0.01362	0	0.25307	0.09435	8.20846	0.00414
Healthy	17.92615	0	0.54636	0	0.01775	0	0		0	0.32458	0.54636	0	2.49719	0	0.01775	0.35545	0	2.10565
Healthy	31.14839	0.02218	0.04475	0	0.06816	0.0015	0		0.02218	0	0.04475	0	0.06154	0.0015	0.06816	0.01779	0	0
Healthy	76.85553	0.00841	0.16847	0	0.04263	0	0		0.00841	0	0.16847	0	0.25017	0	0.04263	0.17251	0	0.09696
Healthy	32.22739	0.15005	0.00926	0	0.02418	0	0		0.15005	1.44825	0.00926	0	0	0	0.02418	0	0	0
Healthy	37.89358	0.11262	0	0	0	0.03591	0		0.11262	0.34439	0	0	0	0.03591	0	0.01366	0	0
Healthy	8.57297	0.3216	0.70967	0	0.16466	0	0		0.3216	0.16782	0.70967	0	0.0226	0	0.16466	0.0387	0	0
Healthy	15.23046	0.0382	0.00774	0.05923	0.01251	1.64133	0		0.0382	0.17961	0.00774	0.89326	0.93941	1.64133	0.01251	0	0.05923	0
Healthy	61.20899	0	0	0	0	0.07474	0		0	0	0	0.04011	0.21588	0.07474	0	0	0	0
Healthy	31.32003	0	0	0	0	0	0		0	3.21734	0	0	0.09975	0	0	0	0	0
Healthy	34.40311	0.01536	0	0	0.01214	0	0		0.01536	0	0	0	0.1009	0	0.01214	0.08167	0	0
Healthy	32.22107	0	2.7731	0	0.1179	0	0		0	0	2.7731	0	0.23356	0	0.1179	0	0	0.03304
Healthy	0.00421	99.3324	0	0	0	0	0		99.3324	0	0	0	0	0	0	0	0	0
Healthy	76.934	0	0.01218	0	0.2602	0	0		0	0.02982	0.01218	0	0	0	0.2602	0.55071	0	0
Healthy	30.14135	0	0.15263	0	0	0	0		0	0.00834	0.15263	0	0.54942	0	0	0.7624	0	0.15417
Healthy	51.78164	0	0	0	0	0	0		0	0.16061	0	0	0.05353	0	0	0	0	0
Healthy	20.864	0	0	0	0	1.79016	0		0	0	0	6.80856	2.78651	1.79016	0	0	0	0
Healthy	28.48077	0	0	0	0.51805	0	0		0	0.35696	0	0	0	0	0.51805	0	0	0
Healthy	51.84977	0.21538	0.04787	0	0.11848	0	0		0.21538	0	0.04787	0	0.02503	0	0.11848	0.59476	0	0.15122
Healthy	58.45059	0	0	0	0	0	0		0	0.20796	0	0	0.36642	0	0	0	0	0
Healthy	34.98531	0.31683	0.04692	0	0.16411	0	0		0.31683	0.01046	0.04692	0	0	0	0.16411	0.21065	0	0
Healthy	41.37463	0.04164	0.33205	0.0599	0.02608	0	0		0.04164	3.63964	0.33205	0	0	0	0.02608	0	0.0599	0
Healthy	50.62838	0.09185	0.00362	0	0	0	0		0.09185	0.54442	0.00362	0	0.00047	0	0	0	0	0
Healthy	53.70747	0.11803	0.02294	0	0	0	0		0.11803	0.07572	0.02294	0	0.02461	0	0	0	0	0
Healthy	83.57456	0.18718	0.24268	0	0.15243	0	0		0.18718	0	0.24268	0	0.00036	0	0.15243	0.00356	0	0.03091
Healthy	38.40784	0.35282	0.39834	0	0	6.54936	0		0.35282	0	0.39834	0	0.52282	6.54936	0	0	0	0
Healthy	12.58155	0.10696	0.01265	0.00759	0.05004	0.01412	0		0.10696	0.00571	0.01265	0	0.01656	0.01412	0.05004	0.0498	0.00759	0.13131
Healthy	56.04423	0	0	0	0	0	0		0	0.05599	0	0	0	0	0	0	0	0
Healthy	7.24285	1.36054	19.22285	0.06049	0.00772	4.0675	0.03337		1.36054	0.07199	19.22285	0	0.01845	4.0675	0.00772	0.00227	0.06049	0
Healthy	12.82694	0	0.58033	0	0	0	0		0	0.10204	0.58033	0	0.01137	0	0	0	0	0.36434
Healthy	6.84049	5.28272	0.05098	0	0.023	0	0		5.28272	0	0.05098	0	0	0	0.023	0	0	0.00864
Healthy	58.77108	0.67371	0.06608	0	0.01208	0	0		0.67371	1.37251	0.06608	0	0	0	0.01208	0.5081	0	0.00826
Healthy	21.77528	0.5889	15.1316	0	0.23528	0.00484	0.08105		0.5889	0.02924	15.1316	1.36651	0.20711	0.00484	0.23528	0.12577	0	0
Healthy	42.52113	2.6253	0.22109	0	0.04092	0.01811	0		2.6253	0	0.22109	0	0.00797	0.01811	0.04092	0.50367	0	0.29017
Healthy	31.47574	0.09115	0.10548	0	0.06613	0	0.01693		0.09115	0.07476	0.10548	0	0.03567	0	0.06613	0.03762	0	0.04687
Healthy	36.64733	0	2.59781	0.17258	0	0	0		0	0.16469	2.59781	0	0.17285	0	0	0.05275	0.17258	0.30967
Healthy	37.71148	0.12491	0.00415	0	0	0.03567	0		0.12491	0.28935	0.00415	0	0	0.03567	0	0	0	0
Healthy	23.74907	0	0.23305	0	0	0	0		0	0.0605	0.23305	0	1.12563	0	0	1.31321	0	0.49756
Healthy	44.01196	0.25577	0.03522	0.70379	0	0	0		0.25577	2.01035	0.03522	1.38538	0	0	0	0.27691	0.70379	0.27633
Healthy	20.01302	0	0.20564	0	0	0	0		0	0.30027	0.20564	0	0	0	0	0	0	0.01195
Healthy	24.3082	0	0.47349	0	0.04695	0	0		0	5.82004	0.47349	0.88013	0.03848	0	0.04695	2.24622	0	0
Healthy	38.33966	0.69287	0.27132	0	0.23996	0.06141	0.00719		0.69287	0.90663	0.27132	0	0.00477	0.06141	0.23996	0.19978	0	0.02572
Healthy	29.70881	1.06199	0.90117	0	0.05717	0	0.00239		1.06199	1.58452	0.90117	0	0.94072	0	0.05717	0.04173	0	0.01107
Healthy	7.32202	2.35562	0.40257	0	2.17314	0	0.0505		2.35562	0	0.40257	0	0	0	2.17314	0.55167	0	0
Healthy	37.69111	0	0.07445	0	0.07539	0	0		0	0.04528	0.07445	0	0.31	0	0.07539	1.44863	0	0.37412
Healthy	46.75806	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	8.42294	0.04844	0.07384	0	0.00272	0	0.00248		0.04844	0.07849	0.07384	3.54093	0.04387	0	0.00272	0	0	0.04726
Healthy	29.72166	0.04976	0.17887	0.5042	0.15995	0.49088	0		0.04976	0.09861	0.17887	3.84709	0.73435	0.49088	0.15995	0.00484	0.5042	0
Healthy	12.62268	1.09555	0.006	0	0	0	0		1.09555	1.41746	0.006	1.79344	0	0	0	0.01242	0	0.00279
Healthy	19.43855	0.00817	0	0.23414	0	0	0		0.00817	0.15098	0	0	0.72541	0	0	0.00722	0.23414	0.00373
Healthy	31.91916	0.5133	0	0	0.06149	0.57755	0.00421		0.5133	0.02629	0	12.4621	0.10257	0.57755	0.06149	0.64482	0	0.01007
Healthy	12.98109	0	0.37872	0.39169	0	1.96503	0		0	0	0.37872	0	0.00258	1.96503	0	0	0.39169	0
Healthy	0.00116	7.46327	1.33778	0	0.22815	0.23515	0.01691		7.46327	0.88337	1.33778	0	3.47651	0.23515	0.22815	0	0	0.66857
Healthy	19.56969	0.01636	0.07655	0.59566	0.01122	0	0.0018		0.01636	3.89876	0.07655	0.11165	0	0	0.01122	0.01104	0.59566	0.00332
D014376	7.34633	31.5955	0.30187	0	0.02352	0.09861	0.04494		31.5955	0	0.30187	0	0.17614	0.09861	0.02352	0	0	0.01922
Healthy	67.73399	0.17344	0	0	0	0	0		0.17344	0.15155	0	0	0.00703	0	0	0.06532	0	0.00384
Healthy	83.19387	0.06106	0	0	0	0	0		0.06106	0.50884	0	0	0	0	0	0	0	0
Healthy	24.27551	0	0	0	0.14734	0	0		0	0	0	0	6.35549	0	0.14734	0	0	0
Healthy	19.26815	7.65476	0.36556	0.13683	0.01761	0	0.02091		7.65476	2.24124	0.36556	0	0.08378	0	0.01761	0.09002	0.13683	0.07496
Healthy	0.03436	87.6699	4.6561	0	0	0	0		87.6699	0.04965	4.6561	0	0	0	0	0	0	0
Healthy	38.21478	0.87742	0.38596	0.007	0.05289	0.31268	0.00033		0.87742	1.83111	0.38596	1.23038	0.09034	0.31268	0.05289	0.14111	0.007	0.28323
Healthy	63.87995	0	0	0	0	0	0		0	0.01528	0	0	0	0	0	0	0	0
Healthy	26.42138	0.08761	0.05277	0	0.03405	0	0.00016		0.08761	0.03217	0.05277	0	0.02874	0	0.03405	0.07677	0	0.09703
Healthy	29.92045	0	0	0	0	0	0		0	0	0	0	0.51735	0	0	0	0	0
Healthy	34.79275	0.36426	0.02913	0	0.14732	0	0		0.36426	0.00901	0.02913	0	0	0	0.14732	0.23996	0	0
Healthy	46.90884	0.14705	0	0	0	0	0		0.14705	0.24334	0	0	0	0	0	0	0	0
Healthy	30.68269	0.18304	0.01873	0.05257	0	2.79265	0		0.18304	0.09001	0.01873	0	0.5634	2.79265	0	0	0.05257	0.31151
Healthy	27.85964	0	0	0	0	0	0		0	0	0	0	0.76987	0	0	0	0	0
D014376	45.7004	0.38704	0.07751	0.2998	1.70949	0.00625	0		0.38704	0	0.07751	0	0.04051	0.00625	1.70949	0	0.2998	0
Healthy	20.3233	0	0.09841	0	0	0	0		0	0	0.09841	2.52302	0.21724	0	0	0	0	0
Healthy	33.35016	0.13388	0.09111	0	0.00243	0	0		0.13388	0.11188	0.09111	0	0	0	0.00243	0	0	0
Healthy	45.14646	0.09389	0.01041	0	0	0	0		0.09389	0.26229	0.01041	0	0	0	0	0	0	0
Healthy	50.4625	0	0	0	0	0	0		0	0.04924	0	3.95932	0	0	0	0	0	0
Healthy	87.56983	0.01077	0.07013	0	0.00567	0	0		0.01077	0	0.07013	0	0.03373	0	0.00567	0.01136	0	0.42534
Healthy	49.94599	0	0	0	0	0	0		0	0.05455	0	0	0.32	0	0	1.81989	0	0.14632
Healthy	2.75743	0	3.31825	0	0	0	0		0	0	3.31825	0	0	0	0	0	0	0
Healthy	55.57526	0.02321	0	0	0	0	0		0.02321	0.21457	0	0	0.27242	0	0	0	0	0
Healthy	54.33304	0.0328	0	0	0	0.50213	0		0.0328	0.04583	0	0	0	0.50213	0	0	0	0
Healthy	25.45826	2.17787	8.25162	0	0	0	0.5084		2.17787	0	8.25162	1.91706	3.5968	0	0	0	0	0
Healthy	52.38883	0	0	0	0	0	0		0	0.15651	0	0	0.07183	0	0	0	0	0
Healthy	62.4949	0	0	0	0	0	0		0	0.26069	0	0	0	0	0	0	0	0
Healthy	52.84841	0	0.0223	0	0	0	0		0	0.01474	0.0223	2.4818	0	0	0	0	0	0.09037
Healthy	13.88747	0	0.23235	0	0	0	0		0	1.15039	0.23235	5.57201	0	0	0	0	0	0.28594
Healthy	52.38316	0	0	0	0	0	0		0	0.19017	0	0	0.06868	0	0	0	0	0
Healthy	16.50866	0.43307	0.48635	0	0.26113	0	0		0.43307	2.89444	0.48635	0	1.90703	0	0.26113	0.24747	0	0
Healthy	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	27.78473	0	0	0.11797	0.02688	0	0		0	0	0	0	0	0	0.02688	0.40379	0.11797	0.20194
Healthy	54.92267	0.6727	0.00882	0	0.00129	0.06095	0		0.6727	0.04209	0.00882	0	0.00207	0.06095	0.00129	0	0	0.05314
Healthy	8.46995	0.74512	0.0687	0.78683	0.13021	0	0		0.74512	0.77874	0.0687	0	0	0	0.13021	0	0.78683	0.03828
Healthy	92.1473	4.12779	0	0	0	0	0		4.12779	0	0	0	0	0	0	0	0	0
Healthy	14.6883	1.83545	2.39811	0	0	0	0.02426		1.83545	0	2.39811	0	0	0	0	0	0	0
Healthy	32.15259	0	0	0	0	0	0		0	3.18134	0	0	0.0405	0	0	0	0	0
Healthy	31.71635	0	0	0	0	0	0		0	3.01158	0	0	0.07771	0	0	0	0	0
Healthy	6.80061	0	0.06857	0.00944	0	0	0		0	0.16203	0.06857	0	0.40002	0	0	0.01484	0.00944	0
Healthy	16.66698	0.04559	1.8433	0.25765	0	0	0		0.04559	0	1.8433	1.62095	16.44743	0	0	0	0.25765	0.41789
Healthy	8.35651	0.09805	1.06308	0.38832	0	0	0		0.09805	0.04103	1.06308	1.52412	1.21208	0	0	0.06684	0.38832	0.40841
Healthy	18.58788	2.02806	8.21899	0	0.1432	0.04432	0.01459		2.02806	0.21396	8.21899	0	0.08132	0.04432	0.1432	0.28217	0	0.06758
D014376	37.14959	5.94129	0.02275	0.05626	0.00226	0	0		5.94129	1.54934	0.02275	0	0.20769	0	0.00226	0.01713	0.05626	0
Healthy	28.73911	0	0	0	0	0	0		0	0	0	2.69908	0.57303	0	0	0	0	0
Healthy	11.97928	0	0.12664	0	0.0031	0	0		0	0.04026	0.12664	0	3.0786	0	0.0031	0	0	0
Healthy	50.14928	0.04317	0.0434	0	0	0	0		0.04317	0	0.0434	0	0.07882	0	0	0	0	0
Healthy	54.18048	8.48243	0.05048	0	0.02726	0	0		8.48243	0.30935	0.05048	0	0	0	0.02726	0.00258	0	0.66049
Healthy	27.32592	0.03067	0.35595	0	0	0	0		0.03067	0.39488	0.35595	0	0.91029	0	0	0.03965	0	0
Healthy	40.19594	0	0.42666	0	0.13071	0	0		0	2.38969	0.42666	0.24554	0.07792	0	0.13071	0.74286	0	0
Healthy	19.86247	0.47299	0.74143	0.03492	0.00186	0	0		0.47299	0.18365	0.74143	0	0.00749	0	0.00186	0	0.03492	0.14908
Healthy	54.96992	0	0.05079	0	0	0	0		0	0.08094	0.05079	0.85189	0	0	0	0	0	0
Healthy	40.07286	0	0.05086	0.21739	0	0.74543	0		0	0	0.05086	1.40714	2.86491	0.74543	0	0.24052	0.21739	0.05592
Healthy	53.10253	0.02631	0.01848	0	0	0.91977	0		0.02631	0.39081	0.01848	0	0.12269	0.91977	0	0	0	0.05482
Healthy	0.04254	15.6337	0	0	0	0	0.00144		15.6337	0	0	0	0.18018	0	0	0	0	0.04787
Healthy	83.40261	1.31886	0	0	0	1.26078	0		1.31886	0	0	0	0	1.26078	0	0	0	0
Healthy	19.13218	2.36877	5.52076	0	0.06649	0	0		2.36877	0.26927	5.52076	0	0	0	0.06649	0	0	0
Healthy	54.9095	0	0	0	0	0	0		0	0	0	3.79571	0	0	0	0	0	0
Healthy	47.44693	0	1.40118	0	0.08681	10.9273	0		0	0.84737	1.40118	0.36619	1.47063	10.9273	0.08681	0.1676	0	0.02165
Healthy	20.15201	0.78469	0.02389	0	0	0	0		0.78469	0.24481	0.02389	0	0.00754	0	0	0	0	0.06551
Healthy	0.03058	0.15749	1.46316	1.9303	0	0	0		0.15749	0	1.46316	0	0	0	0	0.00151	1.9303	0
Healthy	54.09437	0.07817	0.04869	0	0.00282	0	0		0.07817	0.00077	0.04869	0.00449	0.11387	0	0.00282	0.00767	0	0
Healthy	0.01207	4.27323	0.48402	0.20686	0.10549	0.11987	0.00923		4.27323	0	0.48402	0	0.17237	0.11987	0.10549	0	0.20686	0.00065
Healthy	42.74961	0	0	0	0	0	0		0	0.01982	0	0	0	0	0	0	0	0
Healthy	57.53581	0.12255	0	0	0	0	0		0.12255	0.25346	0	3.1767	0	0	0	0	0	0
Healthy	55.94539	0	0	0	0	0	0		0	0.19767	0	0	0.27498	0	0	0	0	0
Healthy	48.7416	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	5.90647	18.6713	0.09169	0	0.01348	0	0.00522		18.6713	5.67678	0.09169	0	0	0	0.01348	0.00123	0	0
Healthy	50.74195	1.0251	0.01145	0	0.04263	0	0		1.0251	0.37347	0.01145	0.00324	0.04425	0	0.04263	0.07592	0	0
Healthy	31.05144	0.15486	2.42027	0	0.21648	0.08768	0.32407		0.15486	0	2.42027	0	0.15287	0.08768	0.21648	3.13703	0	0.61698
Healthy	27.26433	0	0.30245	0.00189	0	0	0		0	0	0.30245	2.10912	0.01338	0	0	0	0.00189	0
Healthy	14.90616	0.30347	0.426	0.00081	0.00198	0	0.00057		0.30347	0.56276	0.426	0	0.10371	0	0.00198	0.00554	0.00081	0.1
Healthy	29.77408	0	0.01042	0	0	1.18591	0		0	0	0.01042	0.12298	0.8243	1.18591	0	0.21568	0	0.30225
Healthy	34.31664	0.17465	0.23359	0	0	0	0		0.17465	0.12171	0.23359	0	0	0	0	0	0	0
Healthy	55.22226	0	0.53944	0	0	0	0		0	5.94144	0.53944	0	0	0	0	0	0	0
Healthy	70.31759	0	0	0	0	0	0		0	0.16545	0	0	0	0	0	0	0	0
Healthy	9.23456	9.93651	0.00212	0	0	0	0		9.93651	0.2551	0.00212	0	0.13414	0	0	0	0	0
Healthy	13.26506	0.07966	0.05159	0	0	0	0		0.07966	2.0776	0.05159	0	0.05917	0	0	0	0	0.01069
Healthy	26.76191	0.27898	0.05048	0.06683	1.09017	0.0785	0.10574		0.27898	1.3721	0.05048	0	0.03273	0.0785	1.09017	0.58972	0.06683	0.03452
Healthy	13.19024	0.81252	0.08299	0	7.54867	0	0		0.81252	0	0.08299	0	0	0	7.54867	0.38291	0	0
Healthy	16.92778	0.44934	0.43523	0	0	0	0		0.44934	0	0.43523	0	0.01117	0	0	0.02631	0	0
Healthy	15.8995	1.56178	0.35671	0	0.00429	0	0.0811		1.56178	1.36827	0.35671	0	0	0	0.00429	0.45378	0	0.14746
Healthy	61.47021	0.0024	0.04062	0	0.05124	0	0		0.0024	0.00643	0.04062	0.00334	0	0	0.05124	0.15484	0	0.21993
Healthy	5.20868	0	0.01526	0	0	0	0		0	0.11785	0.01526	1.28594	0.09703	0	0	0	0	0.20308
Healthy	34.56477	0	0.58223	0	0.98843	0	0		0	6.04808	0.58223	3.26728	0.02499	0	0.98843	2.02587	0	0
Healthy	35.67595	0.02496	0	0	0	0	0		0.02496	0	0	0.05093	0	0	0	0	0	0
Healthy	57.60384	0.08922	0.13624	0	0	0	0		0.08922	0.32864	0.13624	0	0	0	0	0	0	0
Healthy	9.12484	9.88235	0.01031	0	0	0	0		9.88235	0.30473	0.01031	0	0.16516	0	0	0	0	0
Healthy	46.61101	0	0	0	0	0	0		0	0.00578	0	0	0	0	0	1.36227	0	0
Healthy	5.51358	1.58023	0.81321	1.71841	0.04947	0	0		1.58023	0.06759	0.81321	0	0.00841	0	0.04947	0.19247	1.71841	0.21189
Healthy	22.69433	0	0.19513	8.66729	0	0.06569	0		0	0.04694	0.19513	0	1.21645	0.06569	0	0	8.66729	0
Healthy	73.96651	0.37113	0	0	1.10627	0	0		0.37113	0.02805	0	0	0.09797	0	1.10627	0	0	0
Healthy	42.9432	0	0.11814	0	0.0198	0	0		0	0.00403	0.11814	0	0.59342	0	0.0198	1.0041	0	0.21255
Healthy	40.31075	0.01877	0.03241	0	0.01004	0	0		0.01877	0.01246	0.03241	0	0	0	0.01004	0.01017	0	0
Healthy	54.36538	0	0.10693	0	0.0068	0	0		0	0.31437	0.10693	3.56166	0.02068	0	0.0068	0.16205	0	0
Healthy	29.76353	2.9113	32.59093	0.14333	0	0	0		2.9113	0	32.59093	0	0	0	0	0	0.14333	0.29111
Healthy	54.47159	0	0	0	0	0.24703	0		0	0	0	0	0	0.24703	0	0	0	0
Healthy	3.90279	0	0.00165	0	0	0.07134	0		0	0.09599	0.00165	10.40661	0.89092	0.07134	0	0	0	0.00748
Healthy	40.56129	0	0.02237	0	0.00389	0.05956	0.00991		0	1.40404	0.02237	0	0.0979	0.05956	0.00389	0.06871	0	0.01238
Healthy	56.97599	0	0	0	0	0	0		0	0.02892	0	0	0	0	0	0	0	0
Healthy	29.51028	0	0	0	0.02759	0	0		0	0.2694	0	0	0.18017	0	0.02759	0	0	0
Healthy	7.65339	0	1.86746	0.00128	0	0	0.0062		0	0.24799	1.86746	0	0.05333	0	0	0	0.00128	0
Healthy	83.1803	0.06494	0	0	0	0	0		0.06494	0.53159	0	0	0	0	0	0	0	0
Healthy	51.86899	0	0.01326	0	0	0	0		0	7.35104	0.01326	0	0.01213	0	0	0.10871	0	0
Healthy	22.74961	1.20757	0	0	0.05853	0	0		1.20757	1.98576	0	0	0.15116	0	0.05853	0	0	0
Healthy	8.34456	0	0.28746	0	0.82588	0	0		0	0.48374	0.28746	0	0.01159	0	0.82588	0.039	0	0
Healthy	40.83767	0.04797	0.02943	0.01791	0.02472	0	0		0.04797	0.09344	0.02943	0	3.33254	0	0.02472	0.00876	0.01791	0.1229
Healthy	5.51896	0	0.07046	0	0	0	0		0	0	0.07046	0	0	0	0	0	0	0
Healthy	37.36739	0.04867	0	0	0	0	0		0.04867	0	0	0	0.22781	0	0	0	0	0
Healthy	26.42113	0.03647	0.00093	0	0	0	0		0.03647	0.17413	0.00093	2.35582	0.57724	0	0	0	0	0.0213
Healthy	25.44306	0	0.25247	0	0	0	0		0	0.24725	0.25247	0	0	0	0	0	0	0
Healthy	23.06283	1.23047	0.00375	0	0.0719	0	0		1.23047	1.85884	0.00375	0	0.10332	0	0.0719	0	0	0
Healthy	32.62029	0.04098	0	0	0	0	0		0.04098	0.1233	0	0	0.00942	0	0	0	0	0
Healthy	44.43274	0.00425	0.06223	0	0.03522	0	0		0.00425	0.81636	0.06223	0	0.31005	0	0.03522	0.04721	0	0.13353
Healthy	95.24226	0	0.08139	0	0	0	0.02014		0	0	0.08139	0	0	0	0	0.00203	0	0
Healthy	20.41611	0	0	0.1106	0	0	0		0	0.8243	0	0	0	0	0	0	0.1106	0
Healthy	20.0711	0	0.0995	0	0	0	0		0	0.01818	0.0995	2.49701	0.21676	0	0	0	0	0
Healthy	11.9778	1.20807	0	0	0	0	0		1.20807	0	0	0	0	0	0	0	0	0
Healthy	92.94877	4.1579	0	0	0	0	0		4.1579	0	0	0	0	0	0	0	0	0
Healthy	55.30161	0.05966	0	0	0.23005	0	0		0.05966	0.25053	0	0	0.14595	0	0.23005	0.02721	0	0
Healthy	30.8006	0.09955	0.35399	0	0	0	0		0.09955	2.40783	0.35399	0	0.42548	0	0	0	0	0
Healthy	56.88426	0	0	0	0	0	0		0	0.07875	0	0	0	0	0	0	0	0
Healthy	54.4097	0.04148	0	0	0	0	0		0.04148	0.16176	0	0	0.2637	0	0	0	0	0
Healthy	8.05544	0.19572	0.00084	0.28123	0	0	0.02678		0.19572	0.27122	0.00084	0	0.03959	0	0	0	0.28123	0
Healthy	29.69044	0.03233	0.16743	0.49421	0.22593	0.54359	0		0.03233	0.10037	0.16743	3.85052	0.78721	0.54359	0.22593	0.00743	0.49421	0
Healthy	73.78138	1.5362	0.12656	0	0	0	0		1.5362	0.10489	0.12656	0	0.04231	0	0	0	0	0
Healthy	17.16571	0.18393	0.25663	2.81301	0.04624	0.90599	0.0332		0.18393	6.00826	0.25663	0	0.00949	0.90599	0.04624	0.00493	2.81301	0.02318
Healthy	14.9044	0.439	0.02946	0	0	0	0		0.439	2.70131	0.02946	0	0.01369	0	0	0	0	0
Healthy	1.41101	2.78783	0.05626	0	0	0	0		2.78783	0	0.05626	0	0.63052	0	0	0	0	0
Healthy	86.04325	0.36457	0.2152	0	0.02182	0	0		0.36457	0.11036	0.2152	0	0.03687	0	0.02182	0	0	0
Healthy	47.94037	0	0.22335	0	1.35298	0	0		0	3.09391	0.22335	0	0.30699	0	1.35298	0.1348	0	0.00694
Healthy	50.24785	1.03393	0	0	0	0	0		1.03393	0.21952	0	0	0.31315	0	0	0	0	0
Healthy	63.51547	0	0	0	0	0	0		0	0.23517	0	0	0	0	0	0	0	0
Healthy	6.38963	0.2978	0.60917	0	2.26471	0	0.05945		0.2978	3.38681	0.60917	0	1.2407	0	2.26471	0.12993	0	0.03313
Healthy	15.07773	0.24642	0.40513	0	0.00638	0	0		0.24642	0.19099	0.40513	0	0.12133	0	0.00638	0.21756	0	0.52529
Healthy	31.00556	1.24297	0.01051	0	0.72332	0	0		1.24297	0.02206	0.01051	0	0.0011	0	0.72332	0.01877	0	0.006
Healthy	39.9518	0	0.66552	0	0	0	0		0	0.37923	0.66552	0	0	0	0	0	0	0
Healthy	31.36842	0	0	0	0	0	0		0	3.06927	0	0	0.10023	0	0	0	0	0
Healthy	48.66146	0	0.10548	0	0	0.10907	0		0	3.02483	0.10548	0	0.04855	0.10907	0	0	0	0
Healthy	15.06565	0	0.04648	0	0.29405	0	0		0	0.08042	0.04648	0	0.80785	0	0.29405	0.99829	0	1.67647
Healthy	0.01052	5.68379	0.92654	0.15165	2.67796	0.10266	0.33836		5.68379	0	0.92654	0	0.59857	0.10266	2.67796	0.17259	0.15165	0
Healthy	26.18532	0.21767	0.04718	0	0	0	0		0.21767	1.06858	0.04718	0	0	0	0	0	0	0
Healthy	55.74766	0	0	0	0	0	0		0	0.04987	0	0	0	0	0	0	0	0
Healthy	22.30145	3.13477	0	0	0	0	0		3.13477	0.33156	0	0	0.01273	0	0	0	0	0
Healthy	64.98285	0	0	0.08238	0.018	0	0		0	0.80756	0	0	0.06666	0	0.018	0	0.08238	0
