group	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae		Enterobacteriaceae	Burkholderiaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	29.16371	2.12948	1.47116	0.90454	0.00824	0	0.00327		2.12948	0.00433	1.47116	0	0.08093	0	0.00824	0	0.90454	0.13647
Healthy	50.26182	1.06216	0	0	0	0	0		1.06216	0.2712	0	0	0.35675	0	0	0	0	0
Healthy	25.14316	0	0.02683	0	0.00209	0	0		0	1.85847	0.02683	0.19254	0	0	0.00209	0.01462	0	0
Healthy	2.1963	0	0	0	0	1.12381	0		0	0	0	0.2624	1.933	1.12381	0	0	0	0.26971
Healthy	85.81464	0.42965	0.21585	0	0.02362	0	0		0.42965	0.11156	0.21585	0	0.02708	0	0.02362	0	0	0
Healthy	51.51814	0	0.04828	0	0	0	0		0	0.03569	0.04828	0	0.43867	0	0	0.04188	0	0.26029
Healthy	62.86016	0	0	0	0	0	0		0	5.7003	0	0	0.01705	0	0	0.07776	0	0
Healthy	49.18147	0	0.00451	0	0	0	0		0	7.09637	0.00451	0	0.01215	0	0	0.06544	0	0
Healthy	37.50399	0.04705	0	0.0073	0.028	0	0		0.04705	0	0	0	0.0136	0	0.028	0.02787	0.0073	0
Healthy	31.8271	0	0	0	0	0	0		0	2.9757	0	0	0.05412	0	0	0	0	0
Healthy	56.57897	0	0.5783	0	0	0	0		0	6.33312	0.5783	0	0	0	0	0	0	0
Healthy	13.35822	0.04178	0	0	0	0	0		0.04178	0.0632	0	0	0	0	0	0	0	0
Healthy	1.71228	78.76377	0.10271	0	0	0.00448	0		78.76377	0.02799	0.10271	0	0.00569	0.00448	0	0	0	0
Healthy	63.27551	1.82617	0.01597	0.02608	0.008	0.14062	0		1.82617	0.17411	0.01597	0	0.00545	0.14062	0.008	0.04462	0.02608	0.25312
Healthy	50.98894	2.4214	0	0	2.80187	0	0		2.4214	5.90439	0	0	0	0	2.80187	0.67165	0	0.16683
Healthy	17.48899	0	0.78156	0	0	0	0		0	0	0.78156	1.40591	11.3576	0	0	0	0	0
Healthy	6.53995	0	0.60443	0	0	0.00243	0		0	0	0.60443	0	0.5723	0.00243	0	0	0	0.01342
Healthy	67.63594	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	25.70038	0	0.00195	0	0	0	0		0	8.78787	0.00195	1.52523	0	0	0	0.06709	0	0
Healthy	12.94768	0.71302	0.03976	0	0	0.55065	0		0.71302	0.08859	0.03976	6.00307	0.11145	0.55065	0	0.12678	0	0.39724
Healthy	37.01449	1.00992	0.04975	0	0	0	0		1.00992	0.0042	0.04975	0.02808	0.29282	0	0	0	0	0
Healthy	10.67673	0.1118	0.29215	0	0	0	0		0.1118	0	0.29215	0.02259	0.56328	0	0	0	0	0
Healthy	18.87722	0	0.22287	0	0	0.01785	0		0	0	0.22287	0	0.57913	0.01785	0	0	0	0
Healthy	46.32682	0	0.02321	0	0.01308	0	0		0	0.01784	0.02321	0	0	0	0.01308	0	0	0
Healthy	27.71683	0.61563	0	0	0	0.98088	0		0.61563	0.67731	0	0	0.28536	0.98088	0	0.01449	0	0.0182
Healthy	0.05164	86.41751	0	0.22892	0	0	0		86.41751	0	0	0	0	0	0	0	0.22892	0
Healthy	34.59584	0	0.09358	0	0	0	0		0	5.18226	0.09358	0	0.0673	0	0	0.11696	0	0
Healthy	0.00012	3.966	0.00367	3.58269	0.04244	0	0		3.966	0	0.00367	0	0.02798	0	0.04244	0.0088	3.58269	0.02357
Healthy	83.77259	0.09795	0	0	0	0	0		0.09795	0.58962	0	0	0	0	0	0	0	0
Healthy	23.28354	0	0	0	0	0	0		0	0.11326	0	0	0	0	0	0	0	0
Healthy	28.01658	0	0.25024	0	0	0	0		0	0.26844	0.25024	0	0	0	0	0	0	0
Healthy	39.59788	0.08321	0	0	0	0	0		0.08321	0.51581	0	0	0.10518	0	0	0	0	0
Healthy	57.95917	0	0.00441	0	0	0	0		0	0.11734	0.00441	0	0	0	0	0	0	0
Healthy	45.98027	0.15123	0.00552	0	0	0	0		0.15123	0.23778	0.00552	0	0	0	0	0	0	0
Healthy	64.4191	0	0.04713	0	0	0	0		0	1.5313	0.04713	0	0.00711	0	0	0	0	0
Healthy	28.08373	2.8125	0.04653	0	0	0	0		2.8125	0	0.04653	0	0.02471	0	0	0	0	0.00354
Healthy	16.79646	0	0	0	0	8.60814	0		0	0.04874	0	0	2.64033	8.60814	0	0	0	0
Healthy	21.19058	0	2.29794	0.52882	0.25302	0.84799	0		0	0.46186	2.29794	0	0.15335	0.84799	0.25302	0.08119	0.52882	0
Healthy	6.09663	0	0	0	0	0.07633	0		0	0.04642	0	8.81102	1.06366	0.07633	0	0	0	0
Healthy	3.61561	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	52.81819	0	0.04301	0	0	0	0		0	0.11483	0.04301	0.86272	0.03085	0	0	0	0	0
Healthy	60.23069	0	0	0	0	0.10067	0		0	0	0	0.06803	0.19977	0.10067	0	0	0	0
Healthy	21.04416	0	0.9221	0	1.2947	0	0		0	0.0586	0.9221	0	0.86835	0	1.2947	3.85851	0	1.16392
Healthy	3.37515	0	0.15545	0	0	1.22214	0		0	0.09116	0.15545	0	0.98615	1.22214	0	0.00058	0	0
Healthy	37.40606	0.88276	0.38092	0.00868	0.05609	0.04188	0.00033		0.88276	1.77066	0.38092	1.22966	0.07916	0.04188	0.05609	0.14273	0.00868	0.28618
Healthy	44.30969	0	0	0	0	0	0		0	0.1002	0	0	0	0	0	0.19515	0	0.05986
Healthy	57.65788	0	0.8025	0	0	0.22354	0		0	0	0.8025	3.19845	1.5817	0.22354	0	0.81232	0	0
Healthy	10.76303	0.0911	0.20201	2.24067	0	0	0		0.0911	0.16065	0.20201	0	0.05851	0	0	0	2.24067	0
Healthy	0	3.81252	1.28005	0	6.23289	0	0		3.81252	0.00158	1.28005	0	0.07394	0	6.23289	0.32966	0	0.01366
Healthy	22.0643	0.47522	0.23032	0	1.20495	0.05781	0.0396		0.47522	1.67502	0.23032	0	0.00254	0.05781	1.20495	0.44799	0	0.17413
Healthy	15.46975	0.34649	0.0582	0	0	0	0		0.34649	0.01275	0.0582	0.06831	0.49025	0	0	0	0	0
Healthy	15.45515	2.71161	16.77604	0.39151	0	2.91725	0		2.71161	0	16.77604	2.97004	1.19138	2.91725	0	0	0.39151	0
Healthy	58.28202	0.07952	0.17892	0	0.05662	0	0		0.07952	0	0.17892	0	0	0	0.05662	0	0	0
Healthy	19.05947	0.08088	0	0	0	0.02407	0		0.08088	0.0234	0	0	0	0.02407	0	0	0	0
Healthy	14.09378	0.03375	0.27012	0	0.0363	3.67433	0.04553		0.03375	0.08772	0.27012	0	1.14247	3.67433	0.0363	0.12773	0	0.25
Healthy	9.11642	10.2181	0	0	0	0	0		10.2181	0.28406	0	0	0.13551	0	0	0	0	0
Healthy	53.17229	0	0.05589	0	0	0	0		0	0.09557	0.05589	0.80514	0.0128	0	0	0	0	0
Healthy	31.38157	0.06381	0.45117	0	0	0	0		0.06381	2.51045	0.45117	0	0.40667	0	0	0	0	0
Healthy	54.35535	0.06157	0	0	0	0	0		0.06157	0.11666	0	0	0.02247	0	0	0	0	0
Healthy	29.52946	0	0	0	0.02424	0	0		0	0.27735	0	0	0.17455	0	0.02424	0	0	0.00258
Healthy	27.07981	0	0.01403	0	0.00465	3.85188	0		0	0.00491	0.01403	0	1.34329	3.85188	0.00465	0.0175	0	0
Healthy	16.90852	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0.92052
Healthy	39.98426	0	0	0.00794	0	0.83359	0		0	0	0	2.18475	1.12109	0.83359	0	0	0.00794	0
Healthy	51.95529	0	0	0	0	0	0		0	0.17416	0	0	0.04651	0	0	0	0	0
Healthy	92.81289	4.2841	0.01292	0	0	0	0		4.2841	0	0.01292	0	0	0	0	0	0	0
Healthy	33.16603	0	0.34776	0.01283	0	0	0		0	2.54517	0.34776	0.00113	0.14758	0	0	0.01667	0.01283	0
Healthy	51.54426	0.27184	0.10367	0	0.52418	0	0		0.27184	2.10393	0.10367	0	0	0	0.52418	0.20553	0	0
Healthy	36.08333	2.0968	0	0	0	0	0		2.0968	0.34626	0	0	0	0	0	0	0	0
Healthy	24.83972	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	6.66863	0.09698	0.01797	0.18466	0.00396	1.22303	0		0.09698	0.63021	0.01797	1.31009	0.12328	1.22303	0.00396	0	0.18466	0
Healthy	26.98137	0.02507	0	0	0.46112	0	0		0.02507	0.51464	0	0	0	0	0.46112	0	0	0
Healthy	14.8924	1.49435	0.34649	0	0	0	0		1.49435	0	0.34649	1.07483	0	0	0	0	0	0
Healthy	0.35748	0	0.45334	0	0	0	0		0	0	0.45334	0	0	0	0	0	0	0
Healthy	30.08327	0	0	0	0	0	0		0	0	0	0	0.53907	0	0	0	0	0
Healthy	9.97773	0	0	0	0	0	0		0	0.00056	0	0	0.1903	0	0	0	0	0
Healthy	19.51684	55.0788	0.00532	0.00233	0.03501	0	0.11153		55.0788	0	0.00532	0	0	0	0.03501	0	0.00233	0.23549
Healthy	15.59111	0.57325	0	0	0	0	0		0.57325	0	0	0.01608	1.18442	0	0	0	0	0
Healthy	20.84947	0	0.7126	0	0.46493	0	0.00583		0	0.06954	0.7126	0	1.65472	0	0.46493	0.91179	0	4.42379
Healthy	32.40716	33.3132	0	0	0	0	0		33.3132	0	0	0	0.73283	0	0	0	0	0
Healthy	34.49539	5.37164	0.02733	0	0	0	0		5.37164	0	0.02733	0	1.85933	0	0	0	0	0
Healthy	47.92944	0	0.04903	0	0	0.11073	0		0	2.99685	0.04903	0	0.06299	0.11073	0	0	0	0
Healthy	23.88824	0	0.21686	0.12587	0.0235	0	0		0	0.03267	0.21686	0	0	0	0.0235	0.09139	0.12587	0
Healthy	65.70584	1.15581	0	0	0.89971	0	0		1.15581	0	0	0	0	0	0.89971	0	0	0
D014376	0.81229	0.01187	3.19774	18.50271	0.19774	0.01128	0		0.01187	0.02227	3.19774	0	0.00405	0.01128	0.19774	0	18.50271	0.11319
Healthy	7.7264	0.00483	0.0318	0	0.00247	0.02077	0		0.00483	0	0.0318	0.00015	0.00331	0.02077	0.00247	0.0471	0	0
Healthy	14.2738	26.8642	1.27155	0.24361	0.01516	0	0.01325		26.8642	0	1.27155	0	0.04376	0	0.01516	0.01153	0.24361	0.20169
Healthy	43.115	0	0	0	0	0.00174	0		0	0.7445	0	0	0	0.00174	0	0	0	0
Healthy	24.94261	0.18994	0.4968	0	0.13564	0	0.00101		0.18994	0.06486	0.4968	0	0.00415	0	0.13564	0.57161	0	0.1088
Healthy	53.20443	0	0.05237	0	0	0	0		0	0.11834	0.05237	0.87857	0.00808	0	0	0	0	0
Healthy	19.65803	1.84899	8.13615	0.00811	0.2242	0.05317	0.02079		1.84899	0.20459	8.13615	0	0.07986	0.05317	0.2242	0.25338	0.00811	0.07247
Healthy	11.22645	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	54.59408	0.09832	0.03648	0	0	0	0		0.09832	0.0657	0.03648	0	0.03735	0	0	0	0	0
Healthy	19.53527	0	0	0	0	0	0		0	1.07337	0	0	0.06825	0	0	0	0	0
Healthy	12.59282	9.39904	0.01927	0	0.22665	0	0.00982		9.39904	0.08959	0.01927	0	0.8809	0	0.22665	0	0	0.0581
Healthy	85.53744	0.38656	0.20842	0	0.02526	0	0		0.38656	0.11966	0.20842	0	0.02311	0	0.02526	0	0	0
Healthy	44.79468	2.90482	0.07356	0	0	0.01034	0		2.90482	0.07877	0.07356	0	0	0.01034	0	0	0	0
Healthy	32.48011	0.09232	0.00636	0	0.03051	0	0		0.09232	1.39314	0.00636	0	0.02486	0	0.03051	0.0422	0	0
Healthy	22.29547	5.3394	0.01463	0.00096	0.00921	0.15251	0.00036		5.3394	0.03034	0.01463	0	0.36328	0.15251	0.00921	0	0.00096	0.00271
Healthy	50.05089	0	0	0	0	0	0		0	0.70225	0	0	0	0	0	0.00402	0	0
Healthy	11.45445	0.00681	0.09888	0.65963	0.01218	0	0		0.00681	0.88008	0.09888	22.5247	1.03495	0	0.01218	0.001	0.65963	0.08429
Healthy	53.10742	0	1.60955	0.04058	0	1.99083	0		0	0.08336	1.60955	1.47114	5.33684	1.99083	0	0	0.04058	0.08412
Healthy	21.86425	1.88746	0	0	0	0	0		1.88746	1.38138	0	0	0	0	0	0	0	0
Healthy	74.44349	0	0	0	0	0	0		0	0	0	0	0.43276	0	0	0	0	0
Healthy	57.19175	1.43986	0.40837	0	0	0	0		1.43986	0.56976	0.40837	0	0.07146	0	0	0.02287	0	0.00613
Healthy	45.86257	2.74832	0.09803	0	0	0.00254	0		2.74832	0.06262	0.09803	0	0	0.00254	0	0	0	0
D014376	46.44889	12.1126	0	0	0	0	0.00587		12.1126	0.00124	0	0	0	0	0	0	0	0
Healthy	38.96143	0	0.6513	0.10779	0.08778	0	0		0	0	0.6513	0	0	0	0.08778	0.3539	0.10779	0.04315
Healthy	20.94759	0.07617	0.03125	0	0.01651	0	0		0.07617	1.2693	0.03125	0.26395	0.1551	0	0.01651	0.17004	0	0.03226
Healthy	54.4671	0	0	0	0	0.56566	0		0	0.0624	0	0	0	0.56566	0	0	0	0
Healthy	53.70168	0.04198	0.02956	0	0	0	0		0.04198	0.07281	0.02956	0	0.0243	0	0	0	0	0
Healthy	54.5035	0	0.0161	0	0.0072	0	0		0	0.05142	0.0161	0	0	0	0.0072	0.03656	0	0
Healthy	33.53274	0.13218	0.29615	0	0.00213	0	0		0.13218	0.0078	0.29615	0	0.00486	0	0.00213	0	0	0
Healthy	48.96534	0.20678	0.31688	0	0.0216	0	0		0.20678	0.0461	0.31688	0	0	0	0.0216	0.08566	0	0.33346
