group	Prevotella_copri_A	Bacteroides_stercoris	Prevotella_stercorea	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Phytobacter_ursingii	Alistipes_senegalensis	Bacteroides_faecis	Bilophila_wadsworthia	Prevotella_copri_A	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Bacteroides_sp900066265	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Parasutterella_excrementihominis	Clostridium_Q_symbiosum
Healthy	0	0	0	0	0	0.57855	0	0	0.06265	0	0	0.09981	0.57855	0	2.07775	0	0	0	0	0
Healthy	29.5744	0	0	0	0	0	0	0	0	0	29.5744	2.45756	0	0	1.01417	0	2.18475	0	0	0
Healthy	0	0	0	0	0	5.86584	0	0.0351	1.88341	0.05044	0	0	5.86584	0	0	0.09962	0	0	0	0
Healthy	68.4668	0	0	0	0	0	4.2841	0	0	0	68.4668	0	0	0	0	0	0	0	0	0.03436
Healthy	0	0.05543	0	0	2.65692	8.05185	0	0.21858	0	0.10707	0	2.29387	8.05185	0	0.16832	3.23678	0.00113	0	0.01433	0
Healthy	0	0	0	0	0	0	0.24207	0	0	0	0	0	0	0	0	0	0	0	0.01751	0.40084
Healthy	0	0.71618	0	0	0	0	2.0968	0	0	0.0043	0	0	0	0	0	0	0	0	0.34626	0.63302
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82993	0	0	0	0	0
Healthy	0	0	0	0.42546	0	0	0.09698	0.05169	0	0.01379	0	0	0	0.42546	0.1047	0	1.31009	0.84994	0.00946	0
Healthy	0	7.27125	0	0	0	0	0.02507	0.29553	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	1.34618	1.49435	0	0.02694	0	0	0.2694	1.34618	0	0	0	1.07483	0	0	0
D014607	54.1312	4.66172	0.00942	0.00142	0.00317	2.9702	0.13498	0.17881	0.01178	0.01529	54.1312	0.00113	2.9702	0.00142	0	0.23446	0	0	0.00661	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0.94071	0	0	0	0	0	0	0	0	0	0	0	0.15742
Healthy	0	0	0	0	0	0	0	0.00051	0	0.00725	0	0	0	0	0.03732	0	0	0	0.00056	0.00845
Healthy	0	10.2882	0	0	0	0	55.0788	0	0.93569	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.12059	0	0	2.14077	0.99546	0	0.57325	0.09965	0	0	2.12059	0	0	2.14077	0	0	0	0	0	0
Healthy	6.79792	0	0	0	0	0.15159	0	0.225	0	0	6.79792	0.08027	0.15159	0	0.26443	0	0	0	0.06954	0
Healthy	0	0	0	3.26995	0	0	33.3132	0	0	0	0	1.60664	0	3.26995	0.17258	0	0	0	0	0
Healthy	0	0.02488	0	0	0	0	5.37164	0	0	0	0	0	0	0	2.54507	0.07653	0	0	0	0
Healthy	27.3794	2.87328	3.90345	0	0	1.54109	0	0.54348	1.05934	1.21704	27.3794	0	1.54109	0	0	0.41814	0	0	0	0
Healthy	0	0.03586	0	0.06923	2.77506	1.64142	0	0	1.82706	0	0	5.33573	1.64142	0.06923	0.60179	0	0	0.57246	0.00138	0
Healthy	0	0	0	0	0	0	1.15581	0	0	0	0	43.603	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.00055	0.00483	0	0.63722	0	0	0	0.00055	0	0.45317	0	0.00015	0	0	0.00971
