group	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Pasteurellaceae	Veillonellaceae	Eggerthellaceae	Micrococcaceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	8.98741	0	0.03527	0.00409	0.25644	0.09932	2.29054	0.01956	0.00368	0.02165	6.05686	0	0	0	0	0	0.00521	0	0.00368	0
Healthy	8.82855	0	0.02503	0.02165	0.54071	0.0908	0.19393	0.01217	0.20396	0	5.4983	4.72778	4.06746	0	0	0	0.52013	0.06614	0.20396	0
Healthy	17.63019	0.58748	0.08713	0	2.28461	0	0	0	0.3762	0	4.42938	0.10521	0	3.89693	0	0.73212	0.01037	0.28312	0.3762	0.13753
Healthy	4.71969	1.88591	0	0	0	0.12217	0	0	0.06226	0	17.14519	2.58589	0	9.5509	0.54243	0.38165	0.14019	0	0.06226	0.03883
Healthy	3.75877	0	0	0	0.19801	0	2.77557	0.29998	0	0	6.97937	0	4.47702	1.10706	0	0	0.1008	0.01952	0	0
Healthy	4.47824	0	0	0	0	0	0.12423	0	0	0	11.84445	0	0	0	0	0	0.0164	0	0	0
Healthy	2.57906	0	0	1.37665	0.06404	0.0709	0	0	0.00026	0	0.51449	0	0	0	0	0.3144	0.13021	0.04377	0.00026	0
Healthy	8.38082	0.03503	0	0.04487	0	0	0	0	0.09067	0	23.13099	0.08852	0	1.61717	0	0.14095	0	0.32464	0.09067	0
Healthy	4.26482	2.06682	0	0.36631	0.00291	0	0.23479	0.20284	0	0	28.97505	2.07785	2.48965	2.7737	0	0	0	0.00721	0	0
Healthy	4.45408	1.36225	0.08093	2.12948	1.47116	0.13647	0	0.00824	0.29137	0.00327	8.8283	0.02277	0.14204	2.84294	0.00715	0.71644	0.13401	0.08954	0.29137	0.22887
Healthy	4.01289	0	0.35675	1.06216	0	0	0	0	0.01047	0	2.49326	0.57939	9.30256	0	0	0.68097	1.78574	0.17895	0.01047	0
Healthy	38.17465	1.54784	0	0	0.02683	0	0.01462	0.00209	0.05276	0	7.99269	0.04283	0.26986	0.51114	0.05897	0.35797	0.01682	0.14804	0.05276	0
Healthy	22.10912	0	1.933	0	0	0.26971	0	0	0	0	0	32.4931	0	0	2.07917	3.68311	0	0	0	0
Healthy	0.89925	0	0.02708	0.42965	0.21585	0	0	0.02362	0	0	0	0.37289	3.34381	0	0	0.14868	0.20572	0	0	0
Healthy	4.91281	0	0.43867	0	0.04828	0.26029	0.04188	0	0	0	3.7531	3.02639	1.41269	0	0	0.23323	0	0	0	0
