group	Burkholderiales	Enterobacterales	Acidaminococcales	Pseudomonadales	Desulfovibrionales		Bacteroidales	Lachnospirales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales	
Healthy	10.9103	16.45876	0.01689	0.41286	0.13184		9.78837	0.18846	3.20071	0	10.9103	0	0	0.13184	0	
Healthy	0	0	0	0	0.08855		47.09899	13.06821	0	4.64535	0	2.8803	1.0157	0.08855	0	
Healthy	0.21457	0.02321	0	0	0		68.68363	5.14392	6.41941	0	0.21457	0	0.27242	0	0	
Healthy	0.0857	0.37736	0	0	0.00251		89.10926	1.11149	3.3587	0	0.0857	0	0.01149	0.00251	0	
Healthy	0.04583	0.0328	0	0	1.66613		68.74356	1.1663	0	0	0.04583	0	0.50213	1.66613	0	
Healthy	0	2.17787	1.91706	0	0		28.65617	24.27811	0	1.91177	0	0	3.5968	0	0	
Healthy	0.15651	0	0	0	0.06513		63.79876	14.13543	0.0024	0	0.15651	0	0.07183	0.06513	0	
Healthy	1.28454	0	0	0	0.037		53.12384	8.53065	0	0.02478	1.28454	0	0.00061	0.037	0	
Healthy	0.26069	0	0	0	0		79.20896	0.78978	3.23865	0	0.26069	0	0	0	0	
Healthy	0.03316	6.37382	1.00509	0	0.65549		30.60738	4.60479	0	20.014	0.03316	0.54614	0.05876	0.65549	0	
Healthy	0.01474	0	2.4818	0	0		56.25764	26.29808	0	0.00383	0.01474	0	0	0	0.09037	
Healthy	0.1002	0	0	0	0.05737		44.45977	3.30342	0	0	0.1002	0	0	0.05737	0	
Healthy	0	0	0.01163	0	0.02658		39.3006	24.13931	0.59117	1.13725	0	15.6428	0	0.02658	0	
Healthy	0.04035	16.4109	0	0	0		41.24657	12.86415	0	0	0.04035	0.32705	0.14265	0	0.35363	
Healthy	0.08025	1.67377	0	0	0.09831		86.758	4.04901	0	0	0.08025	0	0.04	0.09831	0	
Healthy	0	0	0	0	0		12.46553	58.92111	5.12865	0.00932	0	3.21156	0	0	0	
Healthy	1.15039	0	5.57201	0	0.00189		32.27683	21.11407	0	0.46621	1.15039	0.11285	0	0.00189	0.28594	
Healthy	0.19017	0	0	0	0.06104		64.17502	14.52991	0	0	0.19017	0	0.06868	0.06104	0	
Healthy	0.29889	0.03895	0	0	0.10029		76.44017	2.98722	6.53381	0	0.29889	0	0.14147	0.10029	0	
Healthy	0	1.75061	0	0	0		9.7859	15.91284	2.39552	0	0	1.04718	2.57172	0	0	
Healthy	8.98905	6.51836	2.16701	0.01561	0.03635		42.18549	15.08024	0.00473	0	8.98905	0	1.6957	0.03635	0.04743	
Healthy	2.89444	0.68054	0	0	0.0481		42.13047	15.26306	1.95053	0.4713	2.89444	0.14447	1.90703	0.0481	0	
Healthy	0	0	0	0	0		0	19.60951	0	17.4263	0	0	0	0	0	
Healthy	0	0.40379	0	0	0		32.80466	24.55488	5.37393	0	0	0.15253	0	0	0.20194	
Healthy	0.12857	0	0	0	0		68.34488	2.94694	6.35013	0	0.12857	0	0.24099	0	0	
Healthy	5.95389	0.01729	0	0	0.20315		75.43383	3.31311	0	0	5.95389	0	0.09705	0.20315	0	
Healthy	0.04209	0.6727	0	0	0.03612		56.49432	10.44091	0.00129	0	0.04209	0	0.06302	0.03612	0.05314	
Healthy	0.37574	12.8542	0	0	0		33.84867	4.67955	11.5958	0.54368	0.37574	0.60936	0.2213	0	0	
Healthy	1.42197	0.00825	0	0	0.0924		52.57168	4.47133	0.22524	1.91855	1.42197	0.01981	0.0032	0.0924	0	
Healthy	0.0035	2.29463	0	0	0		56.34078	4.96469	0.01956	0	0.0035	0	0.04242	0	0.09932	
Healthy	0.00678	0.21558	0	0	0.06614		20.22819	26.02253	4.07963	0	0.00678	0	0.08736	0.06614	0.0908	
Healthy	0.77874	0.74512	0	0	0		68.44359	3.57365	0.13021	0	0.77874	0	0	0	0.03828	
Healthy	0	4.12779	0	0	0		92.1473	0.64707	0	0.53649	0	0	0	0	0	
Healthy	0.0093	0	2.25084	0	0.28312		34.97998	15.93214	0	0.87446	0.0093	0	0.08713	0.28312	0	
Healthy	0	1.83545	0	0.25317	0		23.00519	21.35409	1.29797	3.051	0	3.06931	0	0	0	
Healthy	1.16431	0	0	0	0		54.76138	13.86684	0	1.83608	1.16431	0.54243	0	0	0.12217	
Healthy	1.07698	2.77557	0	0	0.01952		66.122	13.69074	4.777	0	1.07698	0	0	0.01952	0	
Healthy	3.18134	0	0	0	0.24434		64.06188	23.87406	0	0	3.18134	0	0.0405	0.24434	0	
Healthy	0.10417	0.12423	0	0	0		65.39898	5.4809	0	7.69718	0.10417	0	0	0	0	
Healthy	3.01158	0	0	0	0.33779		64.13532	23.7909	0	0	3.01158	0	0.07771	0.33779	0	
Healthy	0.16203	0.01484	0	0.11321	0.04101		14.14777	30.93293	0	1.18295	0.16203	0	0.40002	0.04101	0	
Healthy	0	0.04559	1.62095	0.03056	0		18.69823	27.93452	0	0.00566	0	0	16.44743	0	0.41789	
Healthy	0	1.37665	0	0	0.04377		76.52103	5.82858	0	0	0	0	0	0.04377	0.0709	
Healthy	0.39005	0.04487	0	0	0.32464		53.00535	7.62617	0	5.35516	0.39005	0	0	0.32464	0	
Healthy	0.04103	0.16489	1.52412	0	0		12.99612	35.61448	0	0.02702	0.04103	1.70278	1.21208	0	0.4104	
Healthy	0.21396	2.31023	0	0	0.09504		24.87301	25.4783	0.1432	0	0.21396	0.81474	0.12564	0.09504	0.06758	
Healthy	0	0	2.69908	0	0		28.73911	8.61824	0	0	0	9.23471	0.57303	0	0	
Healthy	0.04026	0	0	11.5426	0.00212		24.27956	19.89236	0.0031	14.9065	0.04026	0	3.0786	0.00212	0	
Healthy	0	0.04317	0	0	0		75.23177	7.83141	0	0.28653	0	0	0.07882	0	0	
Healthy	0.30935	8.48501	0	0.06041	0.02153		62.65267	13.89969	0.02726	0	0.30935	0	0	0.02153	0.66049	
Healthy	0.39488	0.07032	0	0.0638	0		33.92343	47.44119	0	0	0.39488	0.89622	0.91029	0	0	
Healthy	2.38969	0.74286	0.24554	0	0		60.8361	7.41268	0.13071	5.74457	2.38969	0	0.07792	0	0	
Healthy	0.013	0.6011	0	0	0.00721		75.97442	2.05337	2.69249	0	0.013	0	0	0.00721	0	
Healthy	0.18365	0.47299	0	0.00038	0		22.48595	19.30605	4.71729	0	0.18365	0	0.00749	0	0.14908	
Healthy	0.00433	2.12948	0	0	0.08954		43.89442	17.42598	0.15028	4.75004	0.00433	0.00715	0.08093	0.08954	0.13647	
Healthy	0.08094	0	0.85189	0	0.19444		67.57311	2.81573	0	10.3129	0.08094	0	0	0.19444	0	
Healthy	0.2712	1.06216	0	0	0.17895		54.50736	0.82468	9.30256	7.16262	0.2712	0	0.35675	0.17895	0	
Healthy	1.85847	0.01462	0.19254	0	0.14804		36.60204	13.15289	0.27195	0.03189	1.85847	0.05897	0	0.14804	0	
Healthy	0	0	0.2624	0	0		2.1963	29.97117	0	0	0	2.07917	3.05681	0	0.26971	
Healthy	0	0.24052	1.40714	0	0		40.07286	15.96171	0	0	0	0.71531	3.61034	0	0.05592	
Healthy	0.39081	0.02631	0	0	0		57.19092	3.33986	0	0	0.39081	0	1.04246	0	0.05482	
Healthy	0.11156	0.42965	0	0	0		88.99303	1.15799	3.36743	0	0.11156	0	0.02708	0	0	
Healthy	0	15.6337	0	0.21254	0		0.0487	0.01695	0.00048	0	0	0	0.18018	0	0.04787	
Healthy	0	1.31886	0	0	0		85.92767	1.3669	0	0	0	0	1.26078	0	0	
Healthy	0.03569	0.04188	0	0	0		55.54238	16.08956	1.41269	0	0.03569	0	0.43867	0	0.26029	
Healthy	0.26927	2.36877	0	0	0		26.65492	22.85331	0.06649	0	0.26927	0.49771	0	0	0	
Healthy	5.7003	0.07776	0	0	0		70.48564	2.66517	0	0	5.7003	0	0.01705	0	0	
Healthy	0	0	3.79571	0	0		56.2617	25.93152	0	0	0	0	0	0	0	
Healthy	7.09637	0.06544	0	0	0		58.09122	3.20391	0	0	7.09637	0	0.01215	0	0	
D001528	0.64086	0.44415	0.00034	0	0.86982		67.09634	4.70741	0	0.0118	0.64086	0	0	0.86982	0	
Healthy	0.84737	0.1676	0.36619	0	0		51.67547	20.33841	0.14201	0	0.84737	0	12.39793	0	0.02165	
Healthy	0	0.07492	0	0	0		40.21055	22.52399	5.37671	0	0	0	0.0136	0	0	
Healthy	0.24481	0.78469	0	0	0.14777		20.97575	13.4946	0	0	0.24481	0	0.00754	0.14777	0.06551	
Healthy	2.9757	0	0	0	0.55153		64.56848	23.50672	0	0	2.9757	0	0.05412	0.55153	0	
Healthy	6.33312	0	0	0	0		69.88918	5.27636	4.62199	0	6.33312	0	0	0	0	
Healthy	0	0.159	0	1.12472	0		0.04408	0.00232	0	0	0	0	0	0	0	
Healthy	0.00077	0.08584	0.00449	0	0.02767		58.29294	11.19733	0.00282	0.95693	0.00077	0	0.11387	0.02767	0	
Healthy	0	4.27323	0	0	0		0.01473	13.95278	0.10549	0.00118	0	0	0.29224	0	0.00065	
Healthy	0.01982	0	0	0	0.03927		64.8518	1.95559	0.20528	0.83121	0.01982	0	0	0.03927	0	
Healthy	0.0632	0.04178	0	0	1.61864		41.95701	0.74218	0	17.199	0.0632	0	0	1.61864	0	
D001528	0.25517	0.2852	9.94177	0	0.06726		64.81464	1.86152	0.00305	0	0.25517	0	0.07187	0.06726	0	
Healthy	0.02799	78.76377	0	0.58176	0		1.9337	4.66382	0	3.52859	0.02799	0	0.01017	0	0	
Healthy	0.25346	0.12255	3.1767	0	0		68.21432	15.78988	0.01109	0.39632	0.25346	0	0	0	0	
Healthy	0.19767	0	0	0	0		69.01303	4.99949	6.30271	0	0.19767	0	0.27498	0	0	
Healthy	0.17411	1.87079	0	0	0		63.27551	20.07617	0.008	0	0.17411	0	0.14607	0	0.25312	
Healthy	0	0	0	0	0		48.7416	3.15258	0	0	0	0	0	0	0	
Healthy	5.90439	3.09305	0	0	0		50.98894	20.8232	7.88732	0	5.90439	0	0	0	0.16683	
Healthy	5.67678	18.67253	0	0.44225	0		28.85223	1.68143	0.01348	0	5.67678	0	0	0	0	
Healthy	0	0	1.40591	0	0		18.80818	18.86342	0	0	0	0	11.3576	0	0	
Healthy	0.37347	1.10102	0.00324	0	0.00203		58.72881	4.88406	0.84416	0.64191	0.37347	0	0.04425	0.00203	0	
Healthy	0	3.29189	0	0	0		38.48591	13.15882	2.86633	3.66082	0	0	0.24055	0	0.61698	
Healthy	0	0	0	0.06974	0		7.42578	8.09311	1.99584	0	0	0	0.57473	0	0.01342	
Healthy	0	0	0	0	0		68.09654	18.30054	0	0.06765	0	0	0	0	0	
Healthy	8.78787	0.06709	1.52523	0	0.04203		43.75014	9.47397	0	3.04604	8.78787	0.57278	0	0.04203	0	
Healthy	0	0.49793	2.10912	0	0.02619		29.64285	9.87281	1.07405	1.26041	0	0	0.01338	0.02619	0	
Healthy	0.08859	0.8398	6.00307	0.963	0.03232		17.56695	11.74589	0	1.83008	0.08859	0.1514	0.6621	0.03232	0.39724	
Healthy	0.0042	1.00992	0.02808	0	0.40307		67.09431	0.2867	0.03571	0.00437	0.0042	0	0.29282	0.40307	0	
Healthy	0	0.1118	0.02259	0	0.80581		31.28267	1.01616	0.61502	0.51673	0	0	0.56328	0.80581	0	
Healthy	0	0	0	0	0		20.36905	25.34291	4.75712	25.358	0	0	0.59698	0	0	
Healthy	0.56276	0.30901	0	0	0.1864		31.96207	26.60135	0.00198	0.08939	0.56276	0	0.10371	0.1864	0.1	
Healthy	0	0.21568	0.12298	0	0		29.88316	33.09255	0.35673	0.09638	0	0.83654	2.01021	0	0.30225	
Healthy	0.12171	0.17465	0	0	0.11779		56.71029	5.97775	0	0	0.12171	0.17766	0	0.11779	0	
Healthy	5.94144	0	0	0	0		68.24682	5.25075	4.41165	0	5.94144	0	0	0	0	
Healthy	0.16545	0	0	0	0		80.64045	0.65658	2.76131	0	0.16545	0	0	0	0	
Healthy	0.01784	0	0	0	0.09289		67.23166	9.43879	0.01308	0.53875	0.01784	0.0264	0	0.09289	0	
Healthy	0.67731	1.08785	0	0	0.29804		42.56931	6.33331	0.49436	5.195	0.67731	0.50179	1.26624	0.29804	0.0182	
Healthy	0	86.41751	0	0	0		0.05164	0.00094	0	0	0	0	0	0	0	
Healthy	5.18226	0.11696	0	0	0.16147		61.38019	21.55607	0	0	5.18226	0	0.0673	0.16147	0	
Healthy	0.2551	9.93651	0	0	0.60646		13.55565	0.3762	2.73148	44.3916	0.2551	0	0.13414	0.60646	0	
Healthy	0	3.9748	0	0.57192	0		0.01931	0	0.04244	0.00841	0	0	0.02798	0	0.02357	
Healthy	2.0776	0.07966	0	0	0.03459		26.91606	22.62267	0.29548	12.5439	2.0776	0.00886	0.05917	0.03459	0.01069	
Healthy	1.3721	0.8687	0	0	0		30.46926	16.62348	1.09017	0	1.3721	0	0.11123	0	0.03452	
D001528	0.61652	0.79268	0.01293	0.03104	0.38276		40.828	8.07092	0	0	0.61652	0	0.00196	0.38276	0	
Healthy	0.58962	0.09795	0	0	0		92.92764	1.72277	0	1.66666	0.58962	0	0	0	0	
Healthy	0.11326	0	0	0	0.03182		43.38378	1.17854	0	0	0.11326	0	0	0.03182	0	
Healthy	0.26844	0	0	0.02363	0.01125		56.61767	4.22058	15.1182	0	0.26844	0	0	0.01125	0	
Healthy	0	1.19543	0	0.99345	0		13.19024	6.25322	7.54867	0	0	0	0	0	0	
Healthy	0	0.47565	0	0	0.01352		20.1959	27.47749	4.95061	0	0	0	0.01117	0.01352	0	
Healthy	1.36827	2.01556	0	0	0.11973		22.26482	20.47828	0.00429	0.87286	1.36827	1.43462	0	0.11973	0.14746	
Healthy	0.51581	0.08321	0	0	0.20998		52.15726	12.86174	0	1.05654	0.51581	0	0.10518	0.20998	0	
Healthy	0.11734	0	0	0	0		61.05334	26.41081	3.44835	0.01073	0.11734	0	0	0	0	
Healthy	0.23778	0.15123	0	0	0.07482		70.56182	5.7435	2.88164	0.14766	0.23778	0.0539	0	0.07482	0	
Healthy	0.00643	0.15724	0.00334	0	0		64.07224	18.49618	0.05124	0	0.00643	0	0	0	0.21993	
Healthy	1.5313	0	0	0	0		83.56988	1.35877	0	0.83505	1.5313	0	0.00711	0	0	
Healthy	0	2.8125	0	0	0.05661		37.34462	26.62906	0	0.00071	0	0	0.02471	0.05661	0.00354	
Healthy	0.04874	0	0	0	0		20.76636	46.55662	0	0	0.04874	0	11.24847	0	0	
Healthy	0.11785	0	1.28594	0	0.11021		13.76706	15.68105	24.41184	0	0.11785	0	0.09703	0.11021	0.20308	
Healthy	6.04808	2.02587	3.26728	0	0		46.47794	20.14283	0.98843	0.02587	6.04808	0	0.02499	0	0	
Healthy	0.46186	0.08119	0	0	0.01742		49.42088	25.0635	0.25302	0	0.46186	0	1.00134	0.01742	0	
Healthy	0	0.02496	0.05093	0	0.01113		45.03545	23.05958	0.79662	1.81914	0	9.02686	0	0.01113	0	
Healthy	0.04642	0	8.81102	0	0.01529		7.28498	56.88681	0	0	0.04642	3.78245	1.13999	0.01529	0	
Healthy	0.32864	0.08922	0	0	0.066		81.27551	2.98726	0	0	0.32864	0	0	0.066	0	
