group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	1.11149	0.90434	0.23259	0.03427	0	0	0.18962	0	0	0	1.11149	0	0.35951	0.37736	0	0.0857	0.23259	0.01149	0	0
Healthy	8.53065	27.22336	0.14253	0	0	0	0.12367	0	0	0	8.53065	11.63986	0.02581	0	0	1.28454	0.14253	0.00061	0	0
Healthy	4.60479	3.58402	0.21411	0	0	0	0.66922	0	0	0	4.60479	8.94078	1.03234	6.37382	0.67267	0.03316	0.21411	0.05876	0	0.05326
Healthy	3.30342	0.69262	0	0	0	0	1.66202	0	0	0	3.30342	16.12624	0.20168	0	3.37828	0.1002	0	0	0	0
Healthy	24.13931	1.051	0	0	0	0	0.0234	0	0	0	24.13931	0.23838	0.15905	0	4.44353	0	0	0	0	0.22964
Healthy	12.86415	1.09293	0	0	0	0	0	0	0	0.35363	12.86415	3.02671	2.6742	16.4109	4.1818	0.04035	0	0.14265	0	0.15438
Healthy	4.04901	2.47447	0.06243	0	0	0	0.96798	0	0	0	4.04901	1.50364	0.15275	1.67377	2.56053	0.08025	0.06243	0.04	0	0
Healthy	58.92111	2.97284	0.11515	0.875	0	0	0	0	0	0	58.92111	0	6.37254	0	0.46476	0	0.11515	0	0	0
Healthy	2.98722	2.20024	0	0.22337	0	0.01062	0.69402	0	0	0	2.98722	8.44097	0.9626	0.02833	6.22598	0.29889	0	0.14147	0	0
Healthy	15.91284	2.60289	15.69812	0	0	0	0	0	2.57172	0	15.91284	1.61128	6.10013	1.75061	0	0	15.69812	0	0	0
Healthy	15.08024	2.1367	0.33687	0.00473	0.13116	0.03449	0.00299	0	0	0.04743	15.08024	5.75588	1.98987	6.48387	0	8.98905	0.33687	1.6957	0.13116	0
Healthy	2.94694	2.03873	0	0	0	0	1.74357	0	0	0	2.94694	11.63891	0.6039	0	0	0.12857	0	0.24099	0	0
Healthy	3.31311	2.08575	0	0	0	0.01729	0.02547	0	0	0	3.31311	22.20962	0	0	1.7863	5.95389	0	0.09705	0	0
Healthy	4.67955	5.16023	0	0	0	0	0	0	0	0	4.67955	5.79551	1.94348	12.8542	0.89589	0.37574	0	0.2213	0	0
