s	Phocaeicola_vulgatus	Bacteroides_stercoris	Phytobacter_ursingii	Dialister_invisus	Enterocloster_sp900540675	Enterocloster_clostridioformis_A	Veillonella_parvula_A	Ruminococcus_B_gnavus	Clostridium_Q_symbiosum	Veillonella_atypica	Flavonifractor_sp000508885	Muricomes_sp000509105	Enterocloster_asparagiformis	Enterocloster_sp000155435	Enterocloster_citroniae	Veillonella_dispar_A	Ruminococcus_H_sp003531055	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Roseburia_sp900552665	Alistipes_obesi	Mediterraneibacter_lactaris	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	0.852546474641639	-5	-1.13745123047521	0.795363420938209	-5	-5	-0.627972207342595	-5	-2.84466396253494	-5	-1.41578188788259	-5	-5	-5	-5	-5	-0.00291519231145859	-5	0.805146617599273	-0.0967309034730737	-0.267847581934786	0.595900566721725	-0.801260459895584	-1.22148698826108	-5	-5
Healthy	0.671408908807163	-5	1.211283704902	-5	-5	-5	-1.52520118119937	-5	-5	-0.261647606924178	-5	-5	-5	-5	-5	-2.13371266091581	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.724024233684209	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.261914416454581	-1.70049270129951	0.557562537843242	0.128392805954216	0.0986783295764397	-0.295326241900473	-0.497231587674307	-5	-0.87791524928913	-5
Healthy	0.971910586743869	-5	-0.423232628157107	0.521718499145115	-1.39168795730267	-5	-1.46495918674884	-1.68739956073874	-0.311322169816408	-5	-0.742273439441368	-5	-1.31722335368557	-2.63264407897398	-5	-5	-5	-5	-5	-5	-0.413457702269775	-5	-5	-5	-5	-5
Healthy	0.747505804211535	1.26099649916274	-5	-5	-5	-5	-5	-5	-5	-5	-3.14266750356873	-5	-5	-5	-5	-5	-1.66594855965311	0.498580697431254	-5	0.289762813884735	-0.74508955784547	-1.03030458888153	-0.539688625184385	-5	-5	-5
Healthy	-0.071435174511856	-0.578774600659817	0.802295396080011	-5	0.210462993033025	-5	-5	-5	-5	-5	-1.01605814101611	-5	-0.583176495233146	-5	-5	-5	-0.00851253997721922	-0.272898139370808	-0.172191484490173	0.213732858783038	-5	0.510452511717222	-5	-2.20411998265592	-5	-5
Healthy	1.12048212744257	-5	-5	-5	-0.0288494465886003	-5	-5	-5	-1.68507994400758	-5	0.202640865490963	-5	-0.895615328712116	-5	-5	-5	-5	-5	0.528696927648808	-5	-5	-0.433963398675432	-5	-5	-5	-5
Healthy	0.603872639934048	-1.68235445677884	-5	-5	-5	-5	-5	-1.15094930943049	-5	-5	-5	-5	-5	-5	-5	-5	-0.798439021883263	0.743828705085318	0.647729093967794	-1.22709180502873	0.253679587042591	-1.0395292224657	0.247411018748257	-5	-0.360672914103328	-5
Healthy	0.967318600682131	-5	1.21513266374785	-5	-5	-5	-5	0.731725719586389	-5	-5	-5	-5	-5	-5	-5	-5	0.427195508483244	0.648441982427645	0.621364296815923	-0.87899856501036	-0.50729547237679	-5	-5	-5	-5	-5
Healthy	-0.100163088771485	-5	-0.343145078730216	-5	0.373562956599702	-5	-5	-5	-0.754783543052331	-5	-0.359369517275589	-1.01327304066878	-0.789066464642378	-5	-2.24949160514865	-5	-5	-5	0.408331564643599	-1.22482661457521	-5	-1.14825258086674	-5	-1.34630520468492	-5	-5
Healthy	0.545711527248392	-5	-5	0.628762773290026	-5	-5	-0.165217005518815	-5	-5	-0.717944629316294	-5	-5	-5	-5	-5	-5	0.804313251695468	0.430942133059469	-0.332761912577582	-5	0.36497289083074	-5	-5	-5	-5	-5
Healthy	0.901692570164319	-5	-1.54760015408856	0.80006033001252	-5	-5	-0.650955713397964	-2.31515463835559	-5	-5	-1.07165536473514	-5	-5	-5	-5	-5	-0.0165496310003799	-5	0.794208418796174	-0.118986449720917	-0.24468933153992	0.570044148871043	-0.771343041891065	-1.57186520597121	-5	-5
Healthy	-0.063616967658219	-5	0.243191885767495	0.379401614039029	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.785339802310727	-5	-5	-1.18956584407733	-0.487609145180901	-0.609789320890953	-5	-5	-0.561647548235674	-5
Healthy	0.708080810468231	0.807303613289644	-0.843632599866478	-5	-5	-5	-2.32422165832591	-1.78277934435548	-5	-5	-5	-5	-5	-5	-5	-5	0.298826887008094	-0.832446378803175	-5	-0.944163148981595	0.0434880283515613	-0.688542831618969	-1.35654732351381	-0.575641137409671	-1.4007721372262	-5
D003424	-5	1.72780069893743	-5	-0.780494062527143	-2.45099673797421	-5	-5	-1.6226937489318	-1.72746222262476	-5	-0.905598755417063	-5	-5	-5	-5	-5	-5	-0.494171966145164	-5	-5	-5	-0.320762944142999	-5	-5	-5	-5
Healthy	-5	-5	-5	0.802783300182877	-1.4367562988596	-5	-5	-2.16304326294045	-5	-5	0.232139375610427	-5	-5	-5	-5	-5	-5	-5	-5	0.21728649275249	-0.00835312847886529	-5	-1.08650404038288	-0.792338708803218	-5	-5
Healthy	1.03692058898733	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.74136271727592	-5	-5	-5	-2.30891850787703	-5	-5	-5	0.251956829472245	0.462547728802664	0.25929755936089	-0.0172540169524582	-5	-1.26201267366657	-5	-5
Healthy	0.97639583661188	-5	1.10904539072735	1.0643010907268	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.288582310361681	-1.21709759402536	-0.0477404634091795	-0.18746096602679	-0.161629526239707	-0.967743974109547	-1.51328622401751	-5	-5	-5
Healthy	0.467994137917604	-0.0861331881037607	-2.08301995267962	-0.647335200348899	-5	-5	-5	-3.03621217265444	-3.38721614328026	-5	-5	-2.83564714421556	-5	-5	-5	-5	1.06789660697809	0.205393852614679	-5	1.21908944179182	-1.76371472255197	-0.954794413964943	-0.878538646454015	-5	-2.65757731917779	-1.20781850385032
Healthy	-5	-5	-2.38721614328026	-5	-0.987500222461691	-0.827367883313707	-2.65169513695184	-2.25336580106242	-0.528517593372337	-1.95624487303132	-2.5003129173816	-0.975309137644569	-1.97305837204097	-1.81730009666396	-5	-2.20065945054642	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-2.87614835903291	-1.6643415477107	0.609324358441716	-1.4279420100737	-1.51130830168306	-1.91435271170314	-0.850257585286596	-1.12971317100741	-5	-1.11170815464348	-2.14266750356873	-2.06298389253519	-2.20481541031758	-1.76472412331295	-5	0.573196620804769	0.438893439529866	-5	-5	0.252277634377856	-5	0.206531750999856	-5	-5	-0.732452827889227
Healthy	0.047048897575721	-2.45345733652187	-5	-5	-2.32422165832591	-5	-5	-0.953036845876576	-1.91613919913343	-5	-5	-5	-3.18708664335714	-1.50891858657681	-1.49281902273976	-5	-1.90483064856824	0.841185467495207	0.590723719144111	-0.39834191697906	-0.0252120677864422	-1.08905559425002	-5	-1.04677202844015	-0.936141451146928	-0.620114601356251
Healthy	0.172392737861285	-0.797675187170451	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.412611726156164	0.559995149874551	0.98004475264662	0.58230545438893	-5	0.278847307020475	-5	-1.28075160155205	-0.834280970199168	-1.2057211342786
