group	Bacteroidaceae	Enterobacteriaceae	Marinifilaceae	Pasteurellaceae	Lactobacillaceae	Veillonellaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	0.00116	7.46327	0	0	0	0.22815	0.66857	0.23515	0.04783	0.01691	0.00116	0	26.13642	0	0	0	0.88337	0	0	1.79372
D001943	81.56059	0.53235	0.09904	0.08667	0.2085	0.03026	0.15402	0	0.12191	0	81.56059	2.35171	6.81063	0.37964	0.00421	0.2305	0.05099	0	0.09904	0.00319
Healthy	29.94081	0	0.9083	0.09129	0	0	0.4766	0	0	0	29.94081	5.1328	9.87554	0.18134	0.99085	0	0.0283	0	0.9083	0
Healthy	19.56969	0.01636	0	0.01104	0.59566	0.01122	0.00332	0	0	0.0018	19.56969	7.2462	47.76307	0.93182	0	0.7723	3.89876	0.00083	0	0.00115
Healthy	56.5229	0.1043	0	0	0	0	0	0	0	0	56.5229	0.47242	0	8.30208	0	0.10878	0.32161	0	0	0
Healthy	67.73399	0.17344	0.93324	0.06532	0	0	0.00384	0	0	0	67.73399	3.59579	0	0.90677	0	1.05065	0.15155	0	0.93324	0.00058
Healthy	83.19387	0.06106	0	0	0	0	0	0	0	0	83.19387	0.98283	0.18969	5.52009	0	2.04648	0.50884	0	0	0.05427
Healthy	24.27551	0	0	0	0	0.14734	0	0	0	0	24.27551	0.86701	0	4.21557	0	7.17482	0	7.54448	0	0
Healthy	41.90442	0.09972	0.3977	0	0	0.21193	0	0	0.05886	0	41.90442	19.7024	0	2.16565	0	0	0.01507	0	0.3977	0.17117
Healthy	20.65804	0	0	0	0	0	0	0.06515	0	0	20.65804	2.6487	0.34594	0.22304	3.15007	0	0	0	0	0.21477
Healthy	26.51697	0.09298	1.15443	0.10937	0	0.06374	0.02211	0	0.00168	0.00039	26.51697	10.85128	0.60784	6.60174	0	1.0651	0.19046	0.63907	1.15443	0.10316
Healthy	19.26815	7.65476	2.09091	0.09002	0.13683	0.01761	0.07496	0	0.13295	0.02091	19.26815	10.43843	5.17142	2.63163	0	3.28876	2.24124	0	2.09091	0.30207
Healthy	7.77903	0.21745	0	0	0	0.30547	0	0	0.23851	0	7.77903	9.16534	24.34814	0.39655	0	1.47979	0.04446	0	0	0
Healthy	0.03436	87.6699	0	0	0	0	0	0	0	0	0.03436	0	6.59575	0.00378	0	0	0.04965	0	0	0
Healthy	38.21478	0.87742	0	0.14111	0.007	0.05289	0.28323	0.31268	0.21191	0.00033	38.21478	8.07146	0.25903	0.6642	0	0	1.83111	1.70994	0	0.05845
Healthy	63.87995	0	0	0	0	0	0	0	0	0	63.87995	1.95808	0	4.40354	3.61042	3.23702	0.01528	0	0	0
Healthy	26.42138	0.08761	1.03671	0.07677	0	0.03405	0.09703	0	0.05825	0.00016	26.42138	11.5235	2.80303	0.36746	0	1.35453	0.03217	1.80075	1.03671	0.04466
Healthy	16.88011	0	1.48318	0	0	0	0	0	0.07931	0	16.88011	2.3527	3.39236	0.23943	0	5.53984	0.19327	0.18038	1.48318	0.05935
Healthy	29.92045	0	0	0	0	0	0	0	0	0	29.92045	1.46189	0.02023	50.7413	0	0	0	0	0	0.30319
Healthy	40.12699	0	0	0	0	0	0	0	0.27818	0	40.12699	9.42381	5.62643	2.8454	0	0	0.002	0.08119	0	0.21886
Healthy	42.92261	0	0	0	0	0	0	0	0.06189	0	42.92261	6.22563	0.20527	2.0217	0	5.79777	4.30761	0	0	0
Healthy	34.79275	0.36426	2.0658	0.23996	0	0.14732	0	0	0	0	34.79275	4.19445	0.02352	4.8622	2.47331	2.68284	0.00901	0	2.0658	0
Healthy	24.58404	0.91721	0	0	0.29223	7.29344	0	0	0.03312	0	24.58404	0.00068	25.053	0.10923	0	0	0	0	0	0.04847
Healthy	46.90884	0.14705	0.71018	0	0	0	0	0	0	0	46.90884	3.30467	4.05241	4.39784	2.80683	3.1311	0.24334	0.04311	0.71018	0
Healthy	32.3303	0.05728	2.31782	0.02082	0	0.03268	0	0	0.00917	0	32.3303	6.6407	0.50195	9.50977	0.386	5.23642	1.45864	0.18758	2.31782	0.16032
Healthy	30.68269	0.18304	0.69215	0	0.05257	0	0.31151	2.79265	0.03859	0	30.68269	11.28753	4.15836	2.35053	0.00036	1.69821	0.09001	0	0.69215	0.08495
Healthy	35.65422	0.09665	0.98932	0	0	0	0	0	0.00649	0	35.65422	3.9338	0.25829	6.40451	0	2.61653	2.12136	0.07048	0.98932	0.02795
Healthy	27.85964	0	0	0	0	0	0	0	0	0	27.85964	1.53945	0	0.42982	6.52691	0	0	0	0	0.30461
Healthy	34.30152	0.10061	0.84408	0.05059	0	0.04899	0.02658	0	0.04105	0	34.30152	11.17958	0.46911	1.44495	0	1.20157	0.14328	0	0.84408	0.08893
Healthy	20.3233	0	0	0	0	0	0	0	0	0	20.3233	2.34681	0.14517	1.38836	0	0.76986	0	2.20838	0	0.87914
Healthy	33.35016	0.13388	1.23081	0	0	0.00243	0	0	0	0	33.35016	4.13225	3.63884	3.84116	7.61668	5.55921	0.11188	0.91984	1.23081	0.08279
Healthy	45.14646	0.09389	0.77326	0	0	0	0	0	0.00443	0	45.14646	3.61009	4.25504	4.39523	2.84921	3.12086	0.26229	0.06314	0.77326	0.01522
Healthy	50.4625	0	0	0	0	0	0	0	0	0	50.4625	10.20938	0	0	0	0.48983	0.04924	0	0	0
Healthy	87.56983	0.01077	0	0.01136	0	0.00567	0.42534	0	0	0	87.56983	0.47776	0.00788	0	0.82615	0	0	0	0	0.03935
Healthy	28.09092	0.00903	0.45607	0	0	0.02073	0	0	0.02361	0	28.09092	4.02687	5.86576	17.6543	10.2571	0	0.02565	0	0.45607	0.24086
Healthy	49.94599	0	0	1.81989	0	0	0.14632	0	0	0	49.94599	4.42476	1.25183	0.28595	1.84818	0	0.05455	0	0	0
Healthy	2.75743	0	0	0	0	0	0	0	0	0	2.75743	24.1703	5.34989	0	9.46156	0	0	0	0	0
Healthy	39.23273	0.0092	3.30544	0.00195	0	0	0.01345	0	0.28108	0	39.23273	4.47674	5.61783	3.48193	0	3.70146	0	0.52921	3.30544	0.38997
Healthy	55.7372	0.07286	1.03995	0.023	0	0.23551	0	0	0	0	55.7372	2.12034	0.65786	5.10208	6.24256	6.38478	0.29286	0	1.03995	0.60257
Healthy	9.03133	16.2661	0	0.19266	0	3.20071	0	0	0	0.33442	9.03133	0.00368	53.32809	0.75704	0	0	10.9103	0	0	0
Healthy	26.41612	0	2.06509	0	0	0	0	0.22036	0	0	26.41612	10.01197	0.99682	6.52016	0	3.61045	0	2.8803	2.06509	0.33091
Healthy	55.57526	0.02321	0.55504	0	0	0	0	0	0	0	55.57526	1.86857	0.40903	1.47904	6.41941	0	0.21457	0	0.55504	0.0481
Healthy	85.81859	0.37736	0	0	0	0.03427	0	0	0	0	85.81859	0.90434	0	3.29067	3.32443	0	0.0857	0	0	0.18962
Healthy	54.33304	0.0328	1.31168	0	0	0	0	0.50213	0	0	54.33304	3.8008	0.12091	4.94019	0	1.51923	0.04583	0	1.31168	4.02394
