group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Coriobacteriaceae	Akkermansiaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0.02521	0.00403	8.64737	0	0	0	0	0	0.55781	0.31368	8.61159	0.02521	0.00403	8.64737	0	0	0	0	0	0.00572
Healthy	5.05781	4.66986	0.18874	0	0.06438	0	0	0	0	0	56.15955	5.05781	4.66986	0.18874	0	0	0	0.06438	0	0
Healthy	13.34716	11.04001	9.54251	6.18609	2.19439	0.04061	0	0.15336	0.05137	0	13.92505	13.34716	11.04001	9.54251	6.18609	0.04061	0	2.19439	0	0.04494
Healthy	26.86308	16.595	12.25742	10.2421	0	0	0	0	1.16383	0	13.4367	26.86308	16.595	12.25742	10.2421	0	0	0	0	0.6945
Healthy	1.84236	1.81866	0.20254	0.23259	0.03471	0.89533	0	0.02738	0	0	57.03201	1.84236	1.81866	0.20254	0.23259	0.89533	0	0.03471	0	0.01187
Healthy	12.19507	0	0	0.05386	0	0	0	0	0	0.02934	46.17114	12.19507	0	0	0.05386	0	0	0	0	0
Healthy	1.59126	0	0.05957	0	0.23655	0	0	0	0	0	40.1516	1.59126	0	0.05957	0	0	0	0.23655	0	0
Healthy	8.07975	4.53577	2.36262	0.70141	0.49135	0	0	0.11963	0	0	22.76765	8.07975	4.53577	2.36262	0.70141	0	0.04177	0.49135	0	0.04209
Healthy	8.70872	6.34596	1.97195	0	0	0	0	0.00256	0.01303	0.05279	74.21937	8.70872	6.34596	1.97195	0	0	0	0	0	0.00078
D009765	31.06145	3.43003	27.34447	7.89991	7.58759	5.64883	0	0	0.34051	0	3.07581	31.06145	3.43003	27.34447	7.89991	5.64883	0	7.58759	0	0
Healthy	39.09351	8.91852	1.3118	1.60585	1.31661	2.16926	1.24512	0.64157	0.07444	0	17.59562	39.09351	8.91852	1.3118	1.60585	2.16926	2.40259	1.31661	1.24512	0.1218
Healthy	13.1076	2.76657	0	3.22159	0.01594	0	0	0	0	0	30.27738	13.1076	2.76657	0	3.22159	0	0	0.01594	0	0
D009765	26.92519	15.6216	1.69244	0	11.3699	0	0	0	0	0	0.82625	26.92519	15.6216	1.69244	0	0	0	11.3699	0	0.39475
Healthy	6.97978	3.84478	22.95883	22.43131	0	0.02971	0	0.01193	0.02366	0.14385	5.27892	6.97978	3.84478	22.95883	22.43131	0.02971	0	0	0	0.15821
Healthy	2.41414	0.49956	0.0323	0.69795	0.01238	0.69476	0	0	0	0	31.50932	2.41414	0.49956	0.0323	0.69795	0.69476	0	0.01238	0	0
Healthy	33.17414	17.6109	3.01538	0	0.13632	0	0.0853	0.42561	0	0	38.66583	33.17414	17.6109	3.01538	0	0	0	0.13632	0.0853	0
Healthy	1.98244	4.16388	0.04541	1.89533	0	0	0	0	0	0	34.57305	1.98244	4.16388	0.04541	1.89533	0	0	0	0	0
Healthy	17.14042	16.98066	5.84723	0.00105	4.21812	0	0	1.15267	0	3.69149	15.21434	17.14042	16.98066	5.84723	0.00105	0	0	4.21812	0	0.00958
Healthy	12.28677	5.38808	11.19317	0.84083	1.27449	2.50305	0.16206	0	0	0	15.91875	12.28677	5.38808	11.19317	0.84083	2.50305	0	1.27449	0.16206	0
Healthy	4.4081	3.27628	0.11527	0.0304	0.41828	0.96752	0	0.02618	0	0	44.30344	4.4081	3.27628	0.11527	0.0304	0.96752	0	0.41828	0	0
Healthy	26.02062	12.87294	0.66193	0.08944	0.16236	0	0	0.16911	0	0	19.35085	26.02062	12.87294	0.66193	0.08944	0	0	0.16236	0	0.0039
Healthy	20.16807	5.52008	0.96963	0.66644	0	0.01451	3.40753	0.01334	0	0	34.95335	20.16807	5.52008	0.96963	0.66644	0.01451	0	0	3.40753	0
Healthy	0.62434	3.05349	28.37131	0.18904	0	0	0	0	0	0	9.24653	0.62434	3.05349	28.37131	0.18904	0	0	0	0	0
Healthy	10.85923	13.63643	1.65081	0.12917	0.27455	1.4265	0	0.10711	0	0	34.83076	10.85923	13.63643	1.65081	0.12917	1.4265	0	0.27455	0	0.02211
Healthy	16.43143	4.87011	3.36545	0.01571	0.18821	0	0	0.22563	1.43266	0	40.03616	16.43143	4.87011	3.36545	0.01571	0	0	0.18821	0	0.02354
Healthy	11.80033	1.36351	0	0	0	0	0	0.15243	0	0	32.90695	11.80033	1.36351	0	0	0	0	0	0	0
Healthy	15.9579	11.94591	11.68151	0	2.36626	0	0.02442	0	0	0	7.02435	15.9579	11.94591	11.68151	0	0	0	2.36626	0.02442	0
Healthy	11.43972	0.82168	0.02335	0.03857	0.10878	5.35162	0	0.14425	0	0.00069	62.061	11.43972	0.82168	0.02335	0.03857	5.35162	0	0.10878	0	0.00889
Healthy	1.45453	0	0.06144	0	0.21004	0	0	0	0	0	41.85175	1.45453	0	0.06144	0	0	0	0.21004	0	0
Healthy	34.3164	6.87088	3.9334	10.85392	1.49455	0	0.17896	1.19718	0	0	1.06779	34.3164	6.87088	3.9334	10.85392	0	6.63654	1.49455	0.17896	0.19337
Healthy	0.87248	7.75409	0.24642	2.61938	0.03848	0.35196	0	0.03819	0	0	70.97358	0.87248	7.75409	0.24642	2.61938	0.35196	0	0.03848	0	0
Healthy	23.83988	2.22417	12.01449	6.72694	1.57654	0	0	0.03226	0.05231	4.13931	4.65178	23.83988	2.22417	12.01449	6.72694	0	1.63292	1.57654	0	0.03157
Healthy	7.23867	3.31101	17.04909	4.84148	4.57511	1.88655	0	0	0	0	15.32971	7.23867	3.31101	17.04909	4.84148	1.88655	0	4.57511	0	0
Healthy	29.00089	6.08888	0.28458	2.47337	0	0.70036	0.87851	0.05165	0	0	24.64968	29.00089	6.08888	0.28458	2.47337	0.70036	0	0	0.87851	0.00387
Healthy	24.05722	11.721	12.98484	0	0.98172	0.0041	0	0	0.14742	0	19.99759	24.05722	11.721	12.98484	0	0.0041	0	0.98172	0	0.1359
Healthy	5.51617	3.54985	4.23675	0.97302	0	0.12044	0	0	0	0	45.74081	5.51617	3.54985	4.23675	0.97302	0.12044	0.0527	0	0	0
Healthy	25.07007	9.3951	6.81518	3.622	1.36756	0.99344	1.2162	0.12035	0.04948	0	18.63321	25.07007	9.3951	6.81518	3.622	0.99344	0.26311	1.36756	1.2162	0.38592
Healthy	6.33741	18.07157	0	0.05279	0	1.0437	0	0	0	0	20.18488	6.33741	18.07157	0	0.05279	1.0437	0	0	0	0
Healthy	13.67274	2.86281	0.2069	12.1993	0	0	0	0	0	0	56.88108	13.67274	2.86281	0.2069	12.1993	0	0	0	0	0
Healthy	4.83223	4.78221	0.21653	0	0.05665	0	0	0	0	0	55.82823	4.83223	4.78221	0.21653	0	0	0	0.05665	0	0
Healthy	24.22755	3.71994	0	0.16947	0.0476	0	0	0.0663	0	0	32.0731	24.22755	3.71994	0	0.16947	0	0	0.0476	0	0
Healthy	28.10445	10.31654	2.55861	7.43489	0	0	1.80022	0.80749	0	0	17.60423	28.10445	10.31654	2.55861	7.43489	0	0.39262	0	1.80022	0
Healthy	15.54098	18.5606	32.46688	0	1.86686	0	0	0	0.31516	0	9.0175	15.54098	18.5606	32.46688	0	0	0	1.86686	0	0.69813
Healthy	30.3801	11.885	0	0	0	0	0	0	0	0	57.7349	30.3801	11.885	0	0	0	0	0	0	0
Healthy	27.86185	7.23554	5.76618	2.68433	0.18821	0	0	0.89319	0	0	34.04334	27.86185	7.23554	5.76618	2.68433	0	0	0.18821	0	0
Healthy	18.19148	6.30317	0.10876	0.68281	0.57421	0	2.6772	0.0065	0.01745	0	50.08119	18.19148	6.30317	0.10876	0.68281	0	0	0.57421	2.6772	0.16262
Healthy	20.76858	1.71029	0.08189	0.30366	0.32197	0	1.96463	1.29461	0	3.84576	50.1466	20.76858	1.71029	0.08189	0.30366	0	0	0.32197	1.96463	0
Healthy	1.53271	5.13381	0.64975	0	0.04989	0	0	0	0	0	52.8358	1.53271	5.13381	0.64975	0	0	0	0.04989	0	0
Healthy	0	0.00181	0.00739	0	0	0	0	0.44632	0	0	0.00833	0	0.00181	0.00739	0	0	0	0	0	0
Healthy	18.27437	10.45571	3.63907	0.13989	0.85532	0.21708	0.00205	0.3211	0.00737	0	13.44352	18.27437	10.45571	3.63907	0.13989	0.21708	0	0.85532	0.00205	0.11472
Healthy	19.2545	3.7023	0	0.37993	0.07502	0	0	0.04758	0	0	18.96598	19.2545	3.7023	0	0.37993	0	0	0.07502	0	0.02144
Healthy	17.50598	5.15679	0.03068	0.36147	0.01291	0	0	0.00988	0.20506	0	39.9607	17.50598	5.15679	0.03068	0.36147	0	0	0.01291	0	0.00477
Healthy	27.96496	0.63606	0.77807	33.90792	0	0	0.41895	1.38214	0	0	14.31116	27.96496	0.63606	0.77807	33.90792	0	0	0	0.41895	0
Healthy	0.27299	0	65.80897	0	3.81318	2.4118	0	0.05739	2.30687	0	4.50023	0.27299	0	65.80897	0	2.4118	0	3.81318	0	0.03528
Healthy	5.07182	5.00491	0.20776	0	0.04771	0	0	0	0	0	56.266	5.07182	5.00491	0.20776	0	0	0	0.04771	0	0
Healthy	3.18816	3.49239	1.15089	1.75505	0.91329	0.59191	0	0.02807	0.08666	0	11.62445	3.18816	3.49239	1.15089	1.75505	0.59191	0.09692	0.91329	0	0.04201
Healthy	16.50009	3.79727	0	7.31116	0.42755	0	0	0	0	0	59.20826	16.50009	3.79727	0	7.31116	0	0	0.42755	0	0
Healthy	23.37176	3.34182	0	0.2359	0.08662	0	0	0.09143	0	0	32.22378	23.37176	3.34182	0	0.2359	0	0	0.08662	0	0
D009765	22.95843	3.44497	0	8.59719	0	0	0	0	0	0	4.68965	22.95843	3.44497	0	8.59719	0	0	0	0	0
Healthy	69.55627	0	0	3.68892	0	0	1.16794	2.7745	0	0.25377	5.54585	69.55627	0	0	3.68892	0	12.5629	0	1.16794	0
Healthy	11.35727	5.73861	0.72195	31.46997	0.78574	0	0.14252	0.12452	0.03881	0	8.87523	11.35727	5.73861	0.72195	31.46997	0	0	0.78574	0.14252	0.06956
Healthy	12.19708	4.18567	4.01731	1.28963	1.04391	1.63701	0.01034	0	0.19957	0	27.86813	12.19708	4.18567	4.01731	1.28963	1.63701	0.40335	1.04391	0.01034	0.06738
D009765	55.10861	5.08376	4.13306	8.01649	4.85564	0	0	0.77182	0.45554	0	0.70715	55.10861	5.08376	4.13306	8.01649	0	0	4.85564	0	0.02451
Healthy	17.53426	10.26358	2.59241	2.04806	0.12765	0	0	0	0	0	22.20514	17.53426	10.26358	2.59241	2.04806	0	2.51116	0.12765	0	0
Healthy	1.61941	2.47279	1.94693	1.93174	0.13535	4.96987	0	0	0	0	33.09346	1.61941	2.47279	1.94693	1.93174	4.96987	0.23143	0.13535	0	0.02565
Healthy	6.40014	16.51921	7.05114	28.41468	0	0	0	0.03188	0	0.00262	7.03219	6.40014	16.51921	7.05114	28.41468	0	0	0	0	0.11341
Healthy	0.41168	1.27171	0.31889	0.64452	0.873	0.00221	0.02071	0.40236	0	0	38.85877	0.41168	1.27171	0.31889	0.64452	0.00221	0	0.873	0.02071	0.01728
Healthy	10.12739	7.37639	14.80812	5.98997	0.71676	0.07655	0	0.01682	0	0	38.67255	10.12739	7.37639	14.80812	5.98997	0.07655	0	0.71676	0	0.24112
Healthy	4.60121	1.53418	1.5923	8.99682	0	0	0	0	0	0	14.95767	4.60121	1.53418	1.5923	8.99682	0	0	0	0	0
Healthy	42.80271	6.00038	0.43292	17.24561	0.87971	0	0	0	0	0	20.1999	42.80271	6.00038	0.43292	17.24561	0	0	0.87971	0	0.042
Healthy	23.17752	0.69305	0.48423	2.11265	0	0	0	4.52987	0	0	52.43611	23.17752	0.69305	0.48423	2.11265	0	0	0	0	0
Healthy	19.29362	2.33905	3.93282	9.00499	0.25159	4.6533	0	2.2781	0	0	18.62582	19.29362	2.33905	3.93282	9.00499	4.6533	1.28516	0.25159	0	0.15434
Healthy	1.10433	3.80278	0.02675	1.90293	1.29893	43.9572	0	0.17695	0	0	8.96417	1.10433	3.80278	0.02675	1.90293	43.9572	0	1.29893	0	0.15513
Healthy	0.11079	0	0.02306	0	0	0	0	0	0	0	0.00985	0.11079	0	0.02306	0	0	0	0	0	0
Healthy	4.45262	1.19999	5.4419	4.57981	0.67391	7.07682	0	0.20636	0	0	29.93152	4.45262	1.19999	5.4419	4.57981	7.07682	0	0.67391	0	0.03523
Healthy	10.83284	8.90457	0.22845	6.72262	0.1506	0	0	0.01362	8.20846	0	19.67703	10.83284	8.90457	0.22845	6.72262	0	0	0.1506	0	0.00598
Healthy	17.9189	17.09608	2.37697	2.55882	1.00303	1.63248	0	2.49719	0	0	17.92615	17.9189	17.09608	2.37697	2.55882	1.63248	5.67771	1.00303	0	0.02444
Healthy	42.31668	10.20484	0.41072	0.00553	0	0.00167	0	0.06154	0	0.0015	31.14839	42.31668	10.20484	0.41072	0.00553	0.00167	0	0	0	0.05049
Healthy	10.69293	0.99026	0.02763	0.0014	0	0	0	0.25017	0	0	76.85553	10.69293	0.99026	0.02763	0.0014	0	0	0	0	0
Healthy	6.58515	6.61904	0.62643	0.6934	0.20741	0	0	0	0	0	32.22739	6.58515	6.61904	0.62643	0.6934	0	0.18688	0.20741	0	0.01559
Healthy	3.52614	1.74445	1.15496	1.04971	0.4799	0	0	0	0	0.03591	37.89358	3.52614	1.74445	1.15496	1.04971	0	0	0.4799	0	0
Healthy	32.07273	5.89527	14.72908	11.66402	0.42917	0	0	0.0226	0	0	8.57297	32.07273	5.89527	14.72908	11.66402	0	0	0.42917	0	0.2312
Healthy	24.18858	21.80326	1.50978	3.06612	0.45753	0	0.89326	0.93941	0.05923	1.64133	15.23046	24.18858	21.80326	1.50978	3.06612	0	0.18574	0.45753	0.89326	0
Healthy	4.13482	2.18151	0	0.0025	0.61621	0	0.04011	0.21588	0	0.07474	61.20899	4.13482	2.18151	0	0.0025	0	0.10866	0.61621	0.04011	0
Healthy	23.74565	3.6361	0	0.24725	0.03955	0	0	0.09975	0	0	31.32003	23.74565	3.6361	0	0.24725	0	0	0.03955	0	0
Healthy	11.5957	38.08723	0.07277	0.78302	0.03609	0.02182	0	0.1009	0	0	34.40311	11.5957	38.08723	0.07277	0.78302	0.02182	0	0.03609	0	0
Healthy	23.7461	2.1211	0.09781	6.05088	0.01564	0.15338	0	0.23356	0	0	32.22107	23.7461	2.1211	0.09781	6.05088	0.15338	0.56772	0.01564	0	0
Healthy	0	0	0.00228	0	0	0	0	0	0	0	0.00421	0	0	0.00228	0	0	0	0	0	0
D009765	44.97811	8.23769	0.70302	4.17206	0.25708	0.1379	0	0.44814	0	0	16.92939	44.97811	8.23769	0.70302	4.17206	0.1379	0	0.25708	0	0
D009765	9.2255	5.30753	8.12458	4.53419	5.56296	17.9789	0	0	0	0	18.07796	9.2255	5.30753	8.12458	4.53419	17.9789	0	5.56296	0	0
Healthy	6.29628	2.76636	0	1.03638	0.239	0	0	0	0	0	76.934	6.29628	2.76636	0	1.03638	0	0	0.239	0	0
Healthy	9.17758	5.1976	30.34293	0.87382	0.20832	0.14577	0	0.54942	0	0	30.14135	9.17758	5.1976	30.34293	0.87382	0.14577	0	0.20832	0	0
Healthy	14.61272	1.29254	0.94641	0	0.22944	0	0	0.05353	0	0	51.78164	14.61272	1.29254	0.94641	0	0	0	0.22944	0	0.02991
Healthy	2.98327	44.34057	0	6.29325	0.27293	0	6.80856	2.78651	0	1.79016	20.864	2.98327	44.34057	0	6.29325	0	5.73709	0.27293	6.80856	0
Healthy	6.81091	3.93361	0.31477	0.11404	0.09411	8.13114	0	0	0	0	28.48077	6.81091	3.93361	0.31477	0.11404	8.13114	0	0.09411	0	0.11538
Healthy	4.22041	3.02655	0	0	0.05285	0	0	0.02503	0	0	51.84977	4.22041	3.02655	0	0	0	0	0.05285	0	0
Healthy	4.69129	1.77502	0.35379	0.55358	0	0	0	0.36642	0	0	58.45059	4.69129	1.77502	0.35379	0.55358	0	0	0	0	0
Healthy	1.72415	4.01979	0	1.93644	0	0	0	0	0	0	34.98531	1.72415	4.01979	0	1.93644	0	0	0	0	0
Healthy	23.80849	11.419	2.84119	0.03075	1.15313	0.03008	0	0	0.0599	0	41.37463	23.80849	11.419	2.84119	0.03075	0.03008	0	1.15313	0	0
Healthy	5.97067	16.19465	0	0.26486	0.13671	0.56197	0	0.00047	0	0	50.62838	5.97067	16.19465	0	0.26486	0.56197	0	0.13671	0	0.01149
Healthy	0.69477	5.29132	0.0952	0.13634	0.03061	0	0	0.02461	0	0	53.70747	0.69477	5.29132	0.0952	0.13634	0	0	0.03061	0	0
Healthy	4.99754	0	0.34483	0	0	1.37537	0	0.00036	0	0	83.57456	4.99754	0	0.34483	0	1.37537	0	0	0	0
Healthy	22.44835	0	0	0.2972	0	0	0	0.52282	0	6.54936	38.40784	22.44835	0	0	0.2972	0	0	0	0	0.11416
Healthy	22.19163	9.57316	11.145	0	0	0	0	0.01656	0.00759	0.01412	12.58155	22.19163	9.57316	11.145	0	0	0	0	0	0.08943
D009765	56.31281	0.17489	0	0.51978	0	0	0	0.58255	0	1.96616	35.39484	56.31281	0.17489	0	0.51978	0	0.35539	0	0	0
Healthy	1.35342	1.94873	3.65866	1.28065	0	0.05846	0	0	0	0	56.04423	1.35342	1.94873	3.65866	1.28065	0.05846	0.6732	0	0	0
Healthy	22.92103	2.0456	11.6705	6.54725	1.39747	0	0	0.01845	0.06049	4.0675	7.24285	22.92103	2.0456	11.6705	6.54725	0	1.51831	1.39747	0	0.03959
Healthy	50.82137	8.53969	0.73248	1.79932	0.25778	0	0	0.01137	0	0	12.82694	50.82137	8.53969	0.73248	1.79932	0	0.41172	0.25778	0	0.09832
Healthy	2.29972	0	74.0906	0	4.75024	0	0	0	0	0	6.84049	2.29972	0	74.0906	0	0	0	4.75024	0	0
Healthy	20.32889	6.07693	0.15337	1.38653	0.21746	0.02786	0	0	0	0	58.77108	20.32889	6.07693	0.15337	1.38653	0.02786	0	0.21746	0	0.01185
Healthy	25.33694	0.88408	1.1159	0.36687	2.24086	1.73321	1.36651	0.20711	0	0.00484	21.77528	25.33694	0.88408	1.1159	0.36687	1.73321	0	2.24086	1.36651	0
Healthy	9.96944	18.6226	0.00246	0.01021	0	0	0	0.00797	0	0.01811	42.52113	9.96944	18.6226	0.00246	0.01021	0	0	0	0	0.00771
Healthy	14.53917	12.98347	0.00029	0.33011	1.87375	7.46565	0	0.03567	0	0	31.47574	14.53917	12.98347	0.00029	0.33011	7.46565	2.58859	1.87375	0	0.02832
Healthy	31.00509	11.8049	0.18946	0.07511	0	0.09818	0	0.17285	0.17258	0	36.64733	31.00509	11.8049	0.18946	0.07511	0.09818	0.04879	0	0	0.00331
Healthy	3.40973	1.74923	1.08547	1.02664	0.44293	0	0	0	0	0.03567	37.71148	3.40973	1.74923	1.08547	1.02664	0	0	0.44293	0	0
Healthy	15.06191	5.00311	38.26172	3.07398	0.32167	0	0	1.12563	0	0	23.74907	15.06191	5.00311	38.26172	3.07398	0	0	0.32167	0	0.0312
Healthy	20.85388	11.57147	10.0008	0.04045	0.3159	0	1.38538	0	0.70379	0	44.01196	20.85388	11.57147	10.0008	0.04045	0	0	0.3159	1.38538	0
D009765	14.37617	10.66675	2.27391	5.52276	0.55998	0	1.3296	0.06457	0	0	4.79034	14.37617	10.66675	2.27391	5.52276	0	0	0.55998	1.3296	0.00303
D009765	7.69566	6.30252	26.35251	0.32842	7.14375	0	0	0.23104	0	0	0.56873	7.69566	6.30252	26.35251	0.32842	0	0	7.14375	0	0.12612
Healthy	5.77072	0.49075	6.76928	2.67182	0.81273	6.54328	0	0	0	0	20.01302	5.77072	0.49075	6.76928	2.67182	6.54328	25.1723	0.81273	0	0.20443
Healthy	29.14473	6.4091	0.30703	2.49902	0	0.76858	0.88013	0.03848	0	0	24.3082	29.14473	6.4091	0.30703	2.49902	0.76858	0	0	0.88013	0.00983
D009765	18.1319	4.48036	0.26046	0.6859	0.28203	0	0	2.88371	0	0	40.13826	18.1319	4.48036	0.26046	0.6859	0	0	0.28203	0	0
D009765	14.97845	10.19254	2.15786	5.8288	0.64271	0	1.19643	0.06465	0	0	4.94898	14.97845	10.19254	2.15786	5.8288	0	0	0.64271	1.19643	0
Healthy	18.13691	7.72123	9.42454	0	0	0.94624	0	0.00477	0	0.06141	38.33966	18.13691	7.72123	9.42454	0	0.94624	0	0	0	0.01306
Healthy	12.8056	6.62613	0.92343	2.15907	0	2.87693	0	0.94072	0	0	29.70881	12.8056	6.62613	0.92343	2.15907	2.87693	0	0	0	0.03192
Healthy	0	0	77.76857	0	0	0	0	0	0	0	7.32202	0	0	77.76857	0	0	0	0	0	0
Healthy	17.67872	4.49488	13.49806	2.47199	0	0.05151	0	0.31	0	0	37.69111	17.67872	4.49488	13.49806	2.47199	0.05151	0	0	0	0
Healthy	12.90721	1.48862	0.04287	0.90266	0	0.11621	0	0	0	0	46.75806	12.90721	1.48862	0.04287	0.90266	0.11621	0.05076	0	0	0
D009765	42.89871	11.97223	2.96676	10.0045	3.52925	1.9127	0.35272	0.72448	0	0	6.06335	42.89871	11.97223	2.96676	10.0045	1.9127	0	3.52925	0.35272	0
Healthy	28.61221	6.34382	10.4945	7.48327	0	1.77402	3.54093	0.04387	0	0	8.42294	28.61221	6.34382	10.4945	7.48327	1.77402	0	0	3.54093	0.07108
Healthy	13.96411	8.38122	0.1036	3.34168	0.19052	0	3.84709	0.73435	0.5042	0.49088	29.72166	13.96411	8.38122	0.1036	3.34168	0	0	0.19052	3.84709	0
Healthy	21.23129	6.94266	0.48572	0.01244	0.01378	5.50325	1.79344	0	0	0	12.62268	21.23129	6.94266	0.48572	0.01244	5.50325	0.05808	0.01378	1.79344	0
D009765	7.69468	0	0	6.26206	0	0	0	0	0	0	69.06217	7.69468	0	0	6.26206	0	0	0	0	0
D009765	43.34919	4.96445	0	0.71831	0	0.10289	1.31149	4.17877	0	0	22.47079	43.34919	4.96445	0	0.71831	0.10289	0	0	1.31149	0
D009765	20.87393	0.70884	0.18428	3.05197	1.44287	0	0	0.44522	0	0	12.0096	20.87393	0.70884	0.18428	3.05197	0	0	1.44287	0	0.09538
Healthy	52.59742	2.95687	0.12523	1.38913	0.05756	0.55641	0	0.72541	0.23414	0	19.43855	52.59742	2.95687	0.12523	1.38913	0.55641	0.1082	0.05756	0	0
Healthy	10.98274	28.18338	0	0.79366	0.53123	0	12.4621	0.10257	0	0.57755	31.91916	10.98274	28.18338	0	0.79366	0	0.09203	0.53123	12.4621	0
Healthy	39.77654	4.89424	12.15454	0.29263	0.83719	0.93483	0	0.00258	0.39169	1.96503	12.98109	39.77654	4.89424	12.15454	0.29263	0.93483	0	0.83719	0	0
Healthy	39.62724	0	26.13642	0	0.00537	0	0	3.47651	0	0.23515	0.00116	39.62724	0	26.13642	0	0	0	0.00537	0	0.04783
Healthy	1.457	7.2462	47.76307	0.0632	0.69723	0	0.11165	0	0.59566	0	19.56969	1.457	7.2462	47.76307	0.0632	0	0.00083	0.69723	0.11165	0
D009765	27.15265	10.2074	1.48756	0	4.61036	0.31035	4.18924	0	0	0	20.58676	27.15265	10.2074	1.48756	0	0.31035	0	4.61036	4.18924	0
Healthy	11.18939	3.59579	0	0.25814	0.02949	0	0	0.00703	0	0	67.73399	11.18939	3.59579	0	0.25814	0	0	0.02949	0	0
D009765	3.33295	11.94127	1.4101	16.33933	0.55352	6.39413	0	0.03015	0.00138	0.55204	18.4043	3.33295	11.94127	1.4101	16.33933	6.39413	0.36651	0.55352	0	0.00797
Healthy	1.72893	0.98283	0.18969	0	0	1.85231	0	0	0	0	83.19387	1.72893	0.98283	0.18969	0	1.85231	0	0	0	0
Healthy	38.8167	0.86701	0	0	0	0	0	6.35549	0	0	24.27551	38.8167	0.86701	0	0	0	7.54448	0	0	0
Healthy	8.44434	10.43843	5.17142	3.16843	1.18845	0.71933	0	0.08378	0.13683	0	19.26815	8.44434	10.43843	5.17142	3.16843	0.71933	0	1.18845	0	0.13295
D009765	15.76763	5.84736	0.48843	5.27285	0.08357	0.24772	0	0.04156	1.57121	0	29.03705	15.76763	5.84736	0.48843	5.27285	0.24772	0	0.08357	0	0.02548
Healthy	0	0	6.59575	0	0	0	0	0	0	0	0.03436	0	0	6.59575	0	0	0	0	0	0
D009765	27.42997	1.49333	0.47811	3.49188	2.2022	0	0	1.37599	0	0	4.49823	27.42997	1.49333	0.47811	3.49188	0	0	2.2022	0	0.48192
Healthy	24.73501	8.07146	0.25903	4.77997	0	0.01764	1.23038	0.09034	0.007	0.31268	38.21478	24.73501	8.07146	0.25903	4.77997	0.01764	1.70994	0	1.23038	0.21191
Healthy	9.69299	1.95808	0	0	0	0.70276	0	0	0	0	63.87995	9.69299	1.95808	0	0	0.70276	0	0	0	0
Healthy	23.67886	11.5235	2.80303	3.65171	0.67645	0	0	0.02874	0	0	26.42138	23.67886	11.5235	2.80303	3.65171	0	1.80075	0.67645	0	0.05825
Healthy	12.33075	1.46189	0.02023	0	0	0	0	0.51735	0	0	29.92045	12.33075	1.46189	0.02023	0	0	0	0	0	0
D009765	12.50821	9.65098	0.13167	0	2.00636	48.891	0	0	1.61861	0	4.76948	12.50821	9.65098	0.13167	0	48.891	0	2.00636	0	1.04951
Healthy	2.06269	4.19445	0.02352	1.94291	0	0	0	0	0	0	34.79275	2.06269	4.19445	0.02352	1.94291	0	0	0	0	0
Healthy	5.91702	3.30467	4.05241	1.07099	0	0.09043	0	0	0	0	46.90884	5.91702	3.30467	4.05241	1.07099	0.09043	0.04311	0	0	0
Healthy	10.32986	11.28753	4.15836	0.04162	0.61169	0.98179	0	0.5634	0.05257	2.79265	30.68269	10.32986	11.28753	4.15836	0.04162	0.98179	0	0.61169	0	0.03859
Healthy	46.34829	1.53945	0	0	0	0	0	0.76987	0	0	27.85964	46.34829	1.53945	0	0	0	0	0	0	0
Healthy	6.27347	2.34681	0.14517	4.80684	0.38363	23.484	2.52302	0.21724	0	0	20.3233	6.27347	2.34681	0.14517	4.80684	23.484	2.20838	0.38363	2.52302	0
Healthy	4.55439	4.13225	3.63884	0.94061	0	0.90006	0	0	0	0	33.35016	4.55439	4.13225	3.63884	0.94061	0.90006	0.91984	0	0	0
Healthy	5.77806	3.61009	4.25504	1.02405	0	0.11704	0	0	0	0	45.14646	5.77806	3.61009	4.25504	1.02405	0.11704	0.06314	0	0	0.00443
Healthy	25.99537	10.20938	0	1.33943	0	0	3.95932	0	0	0	50.4625	25.99537	10.20938	0	1.33943	0	0	0	3.95932	0
Healthy	6.25106	0.47776	0.00788	0	0	0	0	0.03373	0	0	87.56983	6.25106	0.47776	0.00788	0	0	0	0	0	0
Healthy	18.21306	4.42476	1.25183	1.26566	0.02019	0	0	0.32	0	0	49.94599	18.21306	4.42476	1.25183	1.26566	0	0	0.02019	0	0
Healthy	15.24503	24.1703	5.34989	0.82095	0	0	0	0	0	0	2.75743	15.24503	24.1703	5.34989	0.82095	0	0	0	0	0
Healthy	5.14392	1.86857	0.40903	0.52165	0	0	0	0.27242	0	0	55.57526	5.14392	1.86857	0.40903	0.52165	0	0	0	0	0
Healthy	1.1663	3.8008	0.12091	0.91323	0.08428	0	0	0	0	0.50213	54.33304	1.1663	3.8008	0.12091	0.91323	0	0	0.08428	0	0
Healthy	24.27811	10.05209	0.22601	0	2.53666	1.91177	1.91706	3.5968	0	0	25.45826	24.27811	10.05209	0.22601	0	1.91177	0	2.53666	1.91706	1.92975
Healthy	14.13543	1.40551	0.89222	0	0.23918	0	0	0.07183	0	0	52.38883	14.13543	1.40551	0.89222	0	0	0	0.23918	0	0.0123
