p	Proteobacteria	Firmicutes	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes_C	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	-0.999088937868777	-5	1.64796730935212	0.767879087701276	-0.991357252434715	-5	-5	-5	-1.24123945609002
Healthy	-5	-5	1.59439929128072	1.40436788267485	-0.783464642581642	-0.219819551797359	0.0558597642979701	1.19431477032722	-1.57528166266843
Healthy	1.21619916612133	-0.845697780315335	1.61538794443253	1.2300635056576	-5	-5	-5	-0.48537256758866	-5
D007234	2.00000004342945	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.244037017036314	-0.989530430203608	1.93830958188606	0.883333177521008	-0.65380355627079	-5	-5	-5	-1.0073581301216
Healthy	-5	-0.938698343793955	1.09571109663366	1.83420763729357	-5	0.710003908849681	-2.0301183562535	0.506717392419689	-5
Healthy	-0.471276076739006	-0.849304948857286	1.88332170105324	0.835315711892788	-0.0908452901915744	0.815167165939307	-5	-5	-0.998699066979582
Healthy	0.243191885767495	1.2620379575553	0.990601217280949	1.39121518967295	1.40463413468082	0.379401614039029	-5	0.0200254863257827	-5
Healthy	1.19097649680895	0.335205073740825	1.62516320091162	1.28459404298254	0.832149832685325	0.336809830185024	-5	-5	-1.43937612545007
Healthy	-0.890826578574528	-0.617982957425132	1.83470604885608	0.865290568604777	-0.411392195257313	0.802783300182877	-5	-5	-5
Healthy	0.776060890414528	-1.01295971302073	1.87756621627172	0.73434690347996	-0.09233609087964	-5	-5	-5	-0.69216179584344
Healthy	1.12155820285983	-0.654998961821958	1.52954173713065	1.07126582915093	-5	1.0643010907268	-0.264648654831209	-0.21511893041391	-5
Healthy	0.155405883408257	-1.85047298624565	1.72075193832482	1.38189538704128	-0.674217602484195	-0.647335200348899	0.282975385635692	-1.70289634985074	-1.03428102975578
Healthy	0.361376481869873	-0.498803757972911	1.75082293228829	1.14788152240164	0.714474779825987	-1.708409174342	-5	-5	-5
Healthy	-0.652923803930265	-0.201985035648513	1.30595723893257	1.60449356953884	1.00132301522928	0.610621841297843	-5	-5	-1.17947015147648
Healthy	-2.03105031901866	0.376981866455769	1.54381968098756	1.52805960109978	0.265280194825055	0.352346553933043	-0.0582550850508751	-5	-0.548014111051091
Healthy	0.0660723575773765	-5	1.73847446323237	1.33111923301633	0.48119029174785	-5	0.263893965288644	-0.265648292705235	-5
Healthy	0.585749411171379	-0.703290943824397	1.82034604693572	1.24428503948943	-0.29654525468797	0.679156150418852	-5	-5	-1.70929775671215
Healthy	-0.641284886197868	-5	1.81557104127818	0.998936849760302	-5	-5	0.886332206961341	-5	-5
D007234	1.6415492627268	0.291377731638522	-5	-5	-5	-2.48945498979339	-5	-5	-5
Healthy	0.138826693810669	-1.19348086591929	1.88378086390612	0.934940600473388	-0.493008181276385	-5	-5	-5	-1.35872424276809
Healthy	-0.361580635137367	-5	1.72431978848234	1.20670501205503	-0.435191955313397	-5	0.728773262075445	-5	-0.488584592791225
D007234	1.82594015053927	-0.48268531433523	1.34737763870735	0.448723320423936	-0.583043454609657	-5	-5	-5	-5
Healthy	-0.21175383062718	-2.53461714855158	1.88066745045934	0.924075016220443	-5	0.430155711970019	-5	-5	-2.14146280243036
Healthy	0.329157781394064	0.390341518926754	1.64240941377882	1.34583072467652	0.958706235858076	-0.823069915549494	0.676698181121668	-2.14508697769214	-1.04793440981495
D007234	-1.29524909570933	1.6463043074845	-5	0.712889507360099	0.38516460572894	1.61403525645518	-5	-5	-5
D007234	1.70923357032375	0.608318463958115	-5	0.497761479209718	-5	-1.89483057200067	-5	-5	-5
Healthy	0.124950679542338	-0.447623844747437	1.73645522766992	0.857495929293535	-0.146593849083456	0.968602946685977	0.855072517386656	-5	-0.747244028911427
Healthy	0.272560963861557	-1.57121748850305	1.56350540995057	1.71085495437172	0.433424180357174	-0.0872732432574975	-1.49620931694282	-1.22929523178422	-0.829591588274682
Healthy	-5	0.485269866168583	0.341693638960031	1.92861657958856	0.566215868865457	-0.581019618754964	-5	0.317892088957648	-5
Healthy	-0.266626163055293	-0.614500972847943	1.94935604251243	0.420922339593397	-0.827718238544999	0.527299866339773	-5	-5	-5
D007234	1.38518088567486	1.67572473873082	-5	-5	0.0746007020993304	-5	-5	-5	-5
Healthy	-1.11025022473596	-0.312506711255048	1.74462456359356	1.3854107076947	0.323330493050036	0.150049945162385	-5	-5	-5
Healthy	0.761782798918629	-1.7680209731685	1.84810070904581	1.07077166602148	-0.291324207273463	-5	-5	-5	-5
Healthy	0.855023401569893	-1.77806440017199	1.76411057214773	1.23613552968257	-0.133411418224968	-5	-5	-5	-5
Healthy	-1.1253442674019	-1.67964596718233	1.6043401214296	1.57366723433078	0.0886498475552681	0.730517420590717	-5	-5	-5
Healthy	0.473590604448907	-1.26656197290894	1.81002063010515	1.44068479603106	-1.1114274031424	-5	-5	-5	-0.258422985219577
Healthy	0.801618402870708	-0.237839297913818	1.84441000712758	1.01115709631296	-0.570506113271258	0.66482994114309	-5	-5	-5
D007234	1.85983273310574	0.790607421869212	-5	-1.75300930075845	1.15285866938761	0.0585664641234095	-5	-5	-5
D007234	-0.165751013292747	-0.882264820669503	-5	-1.13590442657575	-5	-1.48611681438891	-5	-5	-5
Healthy	-0.978852064279005	-5	1.62280463482383	1.03464409575721	0.457235270138838	-5	1.23550344900574	-5	0.209152951593855
Healthy	1.89967569522853	-0.869827111107464	0.286391343147528	0.720720628024159	0.840820962009722	-5	0.547602429785681	-5	-5
Healthy	0.310674198718182	-0.526542227184554	1.8012357228892	1.45599459811076	-0.121294415041161	-2.09636748391576	-5	-5	-5
D007234	0.957177568304955	0.450604714554838	-5	-5	-0.442252258358532	1.71139981313583	-5	-5	-5
Healthy	0.954119441900728	-5	1.70747606876486	1.48797178851542	-1.88706002391592	0.896930011763117	-5	-5	-5
Healthy	-5	1.08418899343258	1.27434700337415	1.74857987849733	0.809848474946142	0.147960609057186	-5	-5	-5
D007234	1.85985024469951	-5	-5	-0.149985145008677	0.982523141244534	-5	-5	-5	-5
D007234	1.95829194600039	-2.3767507096021	-5	-1.93779419118029	-2.02548830726267	-5	-5	-5	-5
Healthy	-1.15645578805436	0.0754119076576232	0.870742663294291	1.63908099170895	0.717063564385476	0.300127898364073	-5	-5	-5
Healthy	-5	-5	1.83312510965263	1.33484102540248	-0.973099191109745	-5	-1.16966800654804	-5	-5
Healthy	0.94718709417019	-2.70774392864352	1.64097954636543	1.3597381818911	-5	0.183338186289204	0.483737027872602	-0.242004572723122	-1.3763372926438
Healthy	0.276783384700269	-0.153743320221921	1.24469661240851	1.61706736835744	-0.408067671442274	0.884927840363339	0.262472447950243	-0.819845440546652	-1.49039429538844
D007234	1.65911129711532	0.498223686206172	-2.98716277529483	-1.04778894189133	-1.65033401590337	-1.85823676972421	-5	-5	-5
Healthy	0.00609363020820083	-0.465237994969973	1.82668575568211	0.642475402199867	0.114677691010878	-1.19517932127884	-2.3585258894959	-5	-0.394608750110711
Healthy	-0.951519352526498	-0.0678104461845136	1.49530395216766	0.903364048891955	0.388291297070502	-0.195438069037582	-0.286727919126105	-5	-0.093761957868654
Healthy	-5	-0.0862603017850711	1.30897098745708	1.56021985014056	0.730400283762543	0.677345019721607	1.40411516877084	-5	-5
Healthy	-1.74836177955179	-1.63413778459744	1.8275738990396	1.19586009384911	0.244675350767503	-1.88306035344924	-0.268604655755548	-1.57823159879308	-1.03198428600636
D007234	1.89812168536395	0.0274760037362272	-2.17327747983101	-5	-1.25539412458576	-2.88272870434424	-5	-5	-5
Healthy	0.246786537772904	0.102519458368337	1.62909671283614	1.26322169366765	0.537542065326809	0.264165892216258	0.71558638787792	-0.299469343021408	-0.525710873834504
Healthy	1.9366017988212	-0.640297291725886	-1.28692967414436	-3.02227639471115	-1.64282774227697	-5	-5	-5	-5
Healthy	0.724212769403576	-0.793470948317269	1.78802829919445	1.40732273783472	-0.749604396942884	-5	-5	-5	-0.791881259261723
Healthy	0.65769916511523	0.559402646841045	-1.71399287792053	-0.560398916165654	1.95903576077372	-1.37212230542003	-2.07468790850035	-5	-5
D007234	1.86301065082249	-1.39072582759541	-5	-5	-5	-1.82073553566097	-5	-5	-5
Healthy	-0.162676764352586	-5	1.96814495463693	0.4591194599369	-0.926831737734898	-5	0.221849618204452	-5	-5
Healthy	-0.945885099489414	-5	1.63732748922239	0.525187387787583	-0.935317433771488	-5	-5	-5	-1.497163361379
Healthy	-0.534498180058329	-0.601625913848644	1.75295206948262	0.723788859050945	0.00264978214118588	1.17950037362933	-5	-5	-1.94846160948467
D007234	1.93426053410918	-1.45247142354022	-5	-5	-5	-1.58720357128346	-5	-5	-5
Healthy	-0.222551427179631	-0.97802554488994	1.71731485160876	1.379915458851	0.168291188851266	-5	0.0238900543559375	-5	-0.677801386448108
Healthy	-0.930516906065389	-2.35457773065091	1.78570949869202	1.45827727272622	-1.51356952114557	0.537612598757124	-1.96899571863646	-5	-5
Healthy	-0.41002807048314	-2.2572748686953	1.84856983556758	1.01247361443207	0.638220610167626	0.459641231058366	-0.830707725120064	-1.26833066817136	-1.12592425477697
Healthy	0.185063118628386	-1.26560025747943	1.92204983052155	0.488405457367657	-0.708253859175793	-5	-0.0782823188484275	-5	-5
Healthy	0.449094075274832	-1.14721513131945	1.57222816092954	1.6775069439896	-0.500560370798258	-5	-3.14266750356873	-5	-1.24703013497092
Healthy	-1.31202537996544	1.051093840473	1.31736058768831	1.66913940664896	-5	-5	-5	-5	-5
D007234	1.9521938469459	-0.714127772930743	-5	-2.53461714855158	-5	-1.84436036624022	-5	-5	-5
Healthy	-0.265152184721705	0.582984408651994	1.69391056216295	1.50651274410758	-0.21655381358882	-0.596827984507749	-5	-5	-1.75870261289001
Healthy	-1.33320131633383	0.0569048513364726	0.862428959956688	1.82704989750399	0.157045550202625	0.945026679940939	-5	0.577774343999618	-1.8153085691824
D007234	1.99855186541205	-1.55830486435928	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	0.558182780051332	1.87591343904048	1.32709541653146	-5	-5	-5	-5
Healthy	-0.939906816175532	-1.13153190097901	1.81917871144198	0.887815275486838	-0.408490191005346	-0.0641250998316844	1.02199551080134	-5	-0.504608316733061
D007234	1.94475239382343	0.400050753777775	-5	-5	-0.138119247498902	-5	-5	-5	-5
Healthy	-5	-0.522227791650743	1.88965420652834	0.994225179864961	-0.199152378124986	-1.16723569505947	-5	-1.01282549891246	0.176233105419458
Healthy	0.592966876255435	0.271353622102484	1.35740003085252	1.3453164744199	1.56030125884964	0.174135431793646	-5	-5	-5
D007234	1.91306425972663	0.200585136402808	-5	-5	-2.30980391997149	-5	-5	-5	-5
Healthy	-0.377734155008477	0.376482058819104	1.01821768096015	1.71787046537739	0.399303288568354	-5	0.81419430479598	-5	-2.44855000202712
D007234	-5	0.504330832624116	-5	-5	1.9113406133114	1.01855113225646	-5	-5	-5
Healthy	0.459898869322942	-0.0564411855707237	1.64695609540824	1.5841822493836	-0.359508625054454	0.109159910732136	-2.15490195998574	0.260731872147808	-1.9515581964496
Healthy	-0.529648320654182	-5	1.70267966728539	1.60943496080477	-0.475292388205987	-5	-5	-5	-5
D007234	1.77771101463729	-5	-5	0.345275684620778	1.5387309109158	-2.17069622716897	-5	-5	-5
D007234	1.84644128081941	-1.68277265082358	-5	0.246360687642744	0.464174964976396	-0.522386823570525	-5	-5	-5
Healthy	-0.0902675076251021	0.416265954074958	1.76331049352414	1.42360430573151	-5	0.504940923792709	-5	-5	-5
D007234	1.82020047394485	1.51233599394682	-5	-2.09312646527793	-5	-1.54867419151048	-5	-5	-5
Healthy	-0.169789980446389	1.146950244924	1.27892180034509	1.61380631605831	0.605494671806049	-5	-5	0.485932845201798	-5
Healthy	0.624558470873253	0.215629633457334	-5	1.54674409485113	-1.40837896178668	0.816328150203432	-5	-5	-5
Healthy	0.414679264466649	-0.536584848478778	1.34369035064213	1.49694057445299	-0.442204166394372	0.0852691663062547	-5	-5	-5
D007234	1.90404980212876	-0.396098168268329	-2.27572413039921	-1.24427755509654	-3.63827216398241	1.17984065027152	-5	-5	-5
Healthy	-0.444603223193737	-0.26085504067402	1.65574909221612	0.822281216656299	0.283931854794183	0.482997854050922	-0.878112014896319	-5	-0.177773059405061
Healthy	0.433228828459711	1.32789385998954	1.25929923269997	0.962872011646389	0.590845177209597	0.899838005126567	-5	-5	-5
Healthy	-1.09946901754724	-0.747316838067802	1.80432102081899	1.26968452668662	-0.254987701328606	-1.24695343837347	-5	-5	-1.15620680167409
