group	Gammaproteobacteria		Bacteroidia	Gammaproteobacteria	Verrucomicrobiae	Methanobacteria	Desulfovibrionia	
Healthy	0.2106		39.73911	0.2106	2.98314	1.67696	0.1039	
Healthy	0.09557		65.75268	0.09557	10.41	0	0.33848	
Healthy	0.27484		56.41676	0.27484	0	0	0.0425	
Healthy	3.08931		46.58744	3.08931	0	0.05882	0.13362	
Healthy	0.16428		59.46027	0.16428	4.66138	0.16213	0.77618	
Healthy	0.86782		56.5792	0.86782	0	0	0.0132	
Healthy	2.57426		46.11877	2.57426	0.10078	0	0.00124	
Healthy	0.00203		97.67362	0.00203	0.00431	0	0	
Healthy	0.17823		70.63059	0.17823	0	0	0	
Healthy	0.8243		45.27481	0.8243	3.29025	2.94825	0	
Healthy	0.01818		29.47014	0.01818	23.1101	2.14605	0.65749	
Healthy	0.27735		44.41535	0.27735	7.09147	0	0.1094	
Healthy	0.02241		36.30805	0.02241	0	0.02465	0	
Healthy	0		18.17723	0	0	0	0	
Healthy	0		42.50091	0	0	0	0	
Healthy	1.24412		85.49418	1.24412	0	0	0	
Healthy	0.17416		63.68496	0.17416	0	0	0.05044	
Healthy	4.2841		92.81289	4.2841	0.55019	0	0	
Healthy	4.1579		92.94877	4.1579	0.55513	0	0	
Healthy	2.56184		49.73983	2.56184	0.38836	0	0.10707	
Healthy	0.3374		76.96651	0.3374	0	0	0.07095	
Healthy	2.50738		45.9343	2.50738	0.10918	0.00287	0	
Healthy	0.07875		74.91638	0.07875	0.2125	0	0	
Healthy	2.5813		51.54426	2.5813	0	0	0	
Healthy	0.20324		66.92907	0.20324	0	0	0	
Healthy	0.46694		11.35751	0.46694	0	0	0	
Healthy	0.14013		33.89588	0.14013	0	0	0	
Healthy	1.64109		86.92476	1.64109	0	0	0.09375	
Healthy	2.44306		71.0787	2.44306	0	0	0.03142	
Healthy	0		26.51604	0	0	0	0	
Healthy	6.19712		34.73166	6.19712	0	0.08105	0.0062	
Healthy	0.72719		14.1769	0.72719	0.09373	0.18576	0.08154	
Healthy	0.53971		58.04866	0.53971	8.71159	0	0.55816	
Healthy	3.14031		26.85938	3.14031	1.21439	0.4182	0.34092	
Healthy	2.78783		1.70617	2.78783	0	4.59177	0	
Healthy	1.72334		22.14347	1.72334	0	0.11191	0	
Healthy	0		0.35748	0	0	0	0	
Healthy	0.47493		89.29252	0.47493	0	0	0.00129	
Healthy	0		80.38068	0	0	0	0	
Healthy	0.00056		20.33218	0.00056	19.023	0	0.19041	
Healthy	3.22871		57.19523	3.22871	1.22072	0	0	
Healthy	55.0788		28.87276	55.0788	0.00039	0	0	
Healthy	1.25345		54.53618	1.25345	7.01615	0	0.19078	
Healthy	0.23517		79.23344	0.23517	0	0	0	
Healthy	0.57325		38.75978	0.57325	11.9695	0	0	
Healthy	0.98133		29.53286	0.98133	2.81759	0.20726	0	
Healthy	3.81454		7.31188	3.81454	4.32216	0	0.06318	
Healthy	35.06305		33.23081	35.06305	0	0	0	
Healthy	7.37478		41.87328	7.37478	0.49181	2.44739	0	
Healthy	2.99685		69.54234	2.99685	0	0.00825	1.21704	
Healthy	0.12406		28.72289	0.12406	0	0.21268	0	
Healthy	0.69686		18.12975	0.69686	1.23974	4.87042	0	
Healthy	1.2838		36.17394	1.2838	30.6252	0	0	
Healthy	1.15581		65.70584	1.15581	0	0	0	
Healthy	0.37923		45.01472	0.37923	0.57529	3.47638	0	
Healthy	0.05193		7.75441	0.05193	0	0	0	
Healthy	3.06927		63.99492	3.06927	0	0	0.55837	
Healthy	33.33013		25.16801	33.33013	0.00032	0	0.0392	
Healthy	3.02483		70.46586	3.02483	0	0.01845	1.4564	
Healthy	1.07871		15.74434	1.07871	0	0	0	
Healthy	0.7445		75.927	0.7445	3.84496	0	0.0151	
Healthy	6.77258		0.01052	6.77258	0	0	0	
Healthy	1.15883		27.96087	1.15883	0.79342	0	0	
Healthy	0.11834		66.09812	0.11834	10.3809	0	0.33033	
Healthy	2.30696		25.51014	2.30696	0	0.79834	0.07805	
Healthy	1.28625		42.76044	1.28625	0.1126	0	0	
Healthy	0		18.16758	0	0	0	0	
Healthy	0.04987		69.40911	0.04987	3.13991	0	0	
Healthy	3.46633		36.09966	3.46633	6.58545	0	0.07362	
