o	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Selenomonadales	Coriobacteriales	Enterobacterales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales	Methanobacteriales	Acidaminococcales
Healthy	1.31879954964682	1.26187639673694	0.784475357123432	1.10904437714116	0.129016019910109	-5	-0.4678318683063	1.34347831167545	-1.34208406317004	0.150243577592424	-1.29191918953177	-0.0989123766000521	0.290828977408293
Healthy	1.10018575831703	1.59537506542604	1.06557971472845	0.436447310914848	-0.559515979176601	-5	-0.139763839938269	0.336385677323575	-5	-5	0.678835107291026	-5	-5
Healthy	1.46493613135373	0.640088704941548	0.716054286730303	-5	-0.722757627218642	-5	-5	0.811735155939139	-0.142926951366022	-5	-5	-0.265824467335679	0.0206802558933171
Healthy	1.53452703352098	1.3757118865383	0.94218868195857	0.99456129217834	-1.48558507941963	-5	-0.856080061614163	-1.0395292224657	-5	-5	-0.321836849737658	-5	-5
Healthy	1.82816042852175	1.18324449723243	0.424537003174977	-5	-5	-5	-5	-0.981674054597079	-5	-5	-5	-5	0.515312075477326
Healthy	1.66400962634643	1.01488034167546	1.31977084357145	-5	-5	-5	-0.863279432843593	-1.00117418095971	-0.606021397348228	-5	-5	-5	-5
Healthy	1.32580085766442	1.15191322113061	0.461255349847157	-0.460986665060487	-0.731913695552616	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.5976974889962	1.14402562286898	1.159734081827	-0.215925022521303	-0.817328613324521	-5	-1.02447628703967	-0.69387532926347	-1.10941133229451	-1.42875714943978	-1.65521487736734	-0.194444773478747	0.427232859115983
Healthy	1.23406807784543	1.42342201427606	1.30502982953019	1.38646596861784	-0.74816718137136	-5	-0.0468639369858433	-0.662620616304181	-5	-5	-5	-5	-5
Healthy	1.54045311221858	1.25318772119131	0.910535829660712	0.530503213925169	-2.57348873863542	-5	-0.341330501793832	-5	-1.12644690648638	-5	-5	-0.743787541434838	-5
D037841	1.7421611248179	0.940691761092087	1.00853715191201	0.5852282915695	-0.0859320008333142	-5	0.597189311221184	-0.623788149717327	-0.691563652832347	-5	-1.3777859770337	-5	-5
Healthy	1.75494401147996	0.584881660330662	1.00110734089234	0.750233691942234	-1.60467360693065	-5	-0.0893435844122668	-5	-0.986109939671561	-5	-5	-1.09044397075882	-5
Healthy	1.73383868006618	1.20437505574366	0.794184003829024	-0.687653360969147	-0.885355661097721	-0.292634245878962	0.163846875794205	-5	-1.09642170633695	-5	-5	-5	-5
Healthy	1.39257878095216	1.31487020916473	-1.30838812578558	1.40112833208387	-0.532717552381859	-5	0.759851342542993	-0.0375264840391993	-1.81958736716168	-5	-5	-5	-1.53017798402184
Healthy	1.80276490252706	0.826166189386517	0.875434017573925	-0.299330889371745	-1.75300930075845	-5	-0.683903790324869	-1.10729336219433	-0.812310106474816	-5	-5	-0.726790316599669	-5
Healthy	1.71674927159693	1.33867697157123	0.613046472501289	-0.587875593826683	-0.251145532354061	-5	-1.06068046892176	-1.01475320919714	-1.03123695180275	-5	-5	-1.15187248943213	0.310272618148416
Healthy	1.60690102497749	1.2825602605898	1.07617495679094	-0.328716051374985	0.0209162281357402	-5	-0.423336216585005	-0.820419486604591	-5	-5	-1.57528166266843	-5	-5
Healthy	1.68234249553608	0.969957045245668	0.913765123927758	0.768325030057909	-1.78041547378575	-5	-0.0285803382281341	-0.366814432940472	-2.91721462968355	-5	-5	-5	-5
Healthy	1.74789136461658	1.13142200053863	0.992561912049238	0.749569366032057	-1.05359686610095	-5	0.234745000628051	-1.95233580539844	-1.23121395309199	-5	-1.87095494011204	-0.276363751548955	-3.09691001300806
Healthy	1.8861083213193	0.464564059655464	0.570101416289806	-0.181859917724294	-5	-5	-0.844998163768747	-1.01831727262871	-1.10325338439259	-5	-5	-5	-5
Healthy	0.99071082098826	-0.7247577694441	-2.41680122603138	1.72967106334891	0.0871458327523663	-5	-0.920782564253433	1.21639737630927	-0.879919865870547	-0.384186672726646	-5	-5	-1.77211329538633
Healthy	1.67301168634137	1.11621643709677	1.08531270277569	-0.00137890022102005	-0.721863993284522	-5	-5	-5	-1.05276239212933	-5	-5	0.459439232218998	-5
Healthy	1.94992288585992	0.0459094670350095	0.162409060221068	-5	-0.63339028960757	-5	-0.81121208736253	-0.423232628157107	-2.59859945921846	-5	-5	-5	-5
D037841	1.74466357941772	1.04500359624496	0.20093800453544	0.0380555698989131	-0.847497619538874	-5	-0.895512888687605	-0.616076971047839	-0.871439193440679	-5	-2.99139982823808	-5	-5
