group	Bacteroidaceae	Enterobacteriaceae	Dialisteraceae	Veillonellaceae	Oscillospiraceae	Erysipelatoclostridiaceae		Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
D003424	0.28087	2.20806	0	0.8683	1.07908	0.05926		0.11459	0	0	0	0	0	1.07908	0	0	0
D003424	44.15087	6.59934	7.54955	0.12878	0	0.04978		0	0	7.54955	8.92469	0	0	0	0	0	0
Healthy	10.67673	0.1118	0.61502	0	0.53887	0		14.67782	5.62385	0.61502	1.9336	0	1.24073	0.53887	0.80581	0	0.01499
Healthy	18.87722	0	4.75712	0	0.27181	0.01785		0.42444	0.68543	4.75712	0	0	0	0.27181	0	0.08385	0
Healthy	46.32682	0	0	0.01308	0.09268	0		13.99989	0.63357	0	0	0.0264	0.38018	0.09268	0.09289	0	0
Healthy	27.71683	0.61563	0	0	0.03116	0.98088		8.47845	7.85793	0	3.19204	0.50179	0.22602	0.03116	0.29804	0	0
Healthy	0.05164	86.41751	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	34.59584	0	0	0	0.19885	0		20.27064	0	0	2.48727	0	0.02688	0.19885	0.16147	0.1511	0.04561
Healthy	0.00012	3.966	0	0.04244	0.25159	0		0.01919	0	0	0	0	0	0.25159	0	0.00219	0
Healthy	83.77259	0.09795	0	0	0.08128	0		1.42524	0	0	1.99692	0	0	0.08128	0	0	0
Healthy	23.28354	0	0	0	1.25366	0		15.98344	0.1764	0	3.44508	0	0.11605	1.25366	0.03182	0	0
Healthy	28.01658	0	15.1182	0	0.25381	0		15.10948	0	15.1182	12.6988	0	0.571	0.25381	0.01125	0	0
Healthy	39.59788	0.08321	0	0	0.08686	0		5.89204	0.07202	0	4.55688	0	0.14202	0.08686	0.20998	0.00602	0.06628
Healthy	57.95917	0	3.44835	0	0.10013	0		0.8965	0.07529	3.44835	0.04919	0	0.01375	0.10013	0	0	0
Healthy	45.98027	0.15123	2.88164	0	0.02179	0		16.07393	0.96809	2.88164	3.20915	0.0539	0	0.02179	0.07482	0.00226	0.02796
Healthy	64.4191	0	0	0	0.12854	0		6.16719	0.65772	0	4.11412	0	0.13383	0.12854	0	0	0.00691
Healthy	28.08373	2.8125	0	0	0.48259	0		5.44351	2.3538	0	0.52356	0	0.24	0.48259	0.05661	0.05421	0
Healthy	16.79646	0	0	0	0	8.60814		0	0	0	0.15386	0	0	0	0	0	0
Healthy	21.19058	0	0	0.25302	0.01974	0.84799		20.28008	1.70945	0	5.44263	0	0.23481	0.01974	0.01742	0.03483	0
Healthy	6.09663	0	0	0	0	0.07633		0.36649	5.97462	0	0.24568	3.78245	0.17433	0	0.01529	0	0
Healthy	3.61561	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	52.81819	0	0	0	1.31228	0		10.3322	0	0	0.74068	0	0.24373	1.31228	0.31288	0	0.01168
Healthy	60.23069	0	0	0	3.44475	0.10067		9.98651	0.00984	0	3.25057	0.09708	0.63218	3.44475	1.50048	0	0
