group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	10.05209	2.17787	0	0		28.65617	0	1.91177	0	0	0	
Healthy	1.44559	0	0	0		63.79876	0.0024	0	0.15651	0	0.06513	
Healthy	27.37284	0	0	0		53.12384	0	0.02478	1.28454	0	0.037	
Healthy	1.62637	0	0	0		79.20896	3.23865	0	0.26069	0	0	
Healthy	5.28558	6.37382	0	0		30.60738	0	20.014	0.03316	0.54614	0.65549	
Healthy	2.42457	0	0	0.09037		56.25764	0	0.00383	0.01474	0	0	
D001172	27.62945	0.0767	0.35659	0		44.75052	0.00049	1.07328	0.42227	0	0	
Healthy	2.55632	0	0	0		44.45977	0	0	0.1002	0	0.05737	
Healthy	1.23345	0	0	0		39.3006	0.59117	1.13725	0	15.6428	0.02658	
Healthy	3.76713	16.4109	0	0.35363		41.24657	0	0	0.04035	0.32705	0	
Healthy	3.5952	1.67377	0	0		86.758	0	0	0.08025	0	0.09831	
Healthy	9.34538	0	0	0		12.46553	5.12865	0.00932	0	3.21156	0	
Healthy	8.07052	0	0	0.28594		32.27683	0	0.46621	1.15039	0.11285	0.00189	
Healthy	3.06323	0	0	0		64.17502	0	0	0.19017	0	0.06104	
Healthy	3.85686	0.03895	0	0		76.44017	6.53381	0	0.29889	0	0.10029	
Healthy	8.70302	1.75061	0	0		9.7859	2.39552	0	0	1.04718	0	
Healthy	4.12956	6.51836	0.01561	0.04743		42.18549	0.00473	0	8.98905	0	0.03635	
Healthy	8.65562	0.68054	0	0		42.13047	1.95053	0.4713	2.89444	0.14447	0.0481	
Healthy	47.21609	0	0	0		0	0	17.4263	0	0	0	
Healthy	19.83051	0.40379	0	0.20194		32.80466	5.37393	0	0	0.15253	0	
Healthy	4.3862	0	0	0		68.34488	6.35013	0	0.12857	0	0	
Healthy	2.11122	0.01729	0	0		75.43383	0	0	5.95389	0	0.20315	
Healthy	1.01702	0.6727	0	0.05314		56.49432	0.00129	0	0.04209	0	0.03612	
Healthy	7.10371	12.8542	0	0		33.84867	11.5958	0.54368	0.37574	0.60936	0	
Healthy	19.62191	0.00825	0	0		52.57168	0.22524	1.91855	1.42197	0.01981	0.0924	
Healthy	8.99262	2.29463	0	0.09932		56.34078	0.01956	0	0.0035	0	0	
Healthy	14.11143	0.21558	0	0.0908		20.22819	4.07963	0	0.00678	0	0.06614	
Healthy	0	0.74512	0	0.03828		68.44359	0.13021	0	0.77874	0	0	
Healthy	1.47871	4.12779	0	0		92.1473	0	0.53649	0	0	0	
Healthy	17.74577	0	0	0		34.97998	0	0.87446	0.0093	0	0.28312	
Healthy	16.13124	1.83545	0.25317	0		23.00519	1.29797	3.051	0	3.06931	0	
Healthy	7.44577	0	0	0.12217		54.76138	0	1.83608	1.16431	0.54243	0	
Healthy	3.85957	2.77557	0	0		66.122	4.777	0	1.07698	0	0.01952	
Healthy	4.07635	0	0	0		64.06188	0	0	3.18134	0	0.24434	
Healthy	4.49464	0.12423	0	0		65.39898	0	7.69718	0.10417	0	0	
Healthy	4.00816	0	0	0		64.13532	0	0	3.01158	0	0.33779	
Healthy	16.72682	0.01484	0.11321	0		14.14777	0	1.18295	0.16203	0	0.04101	
Healthy	21.95867	0.04559	0.03056	0.41789		18.69823	0	0.00566	0	0	0	
Healthy	2.70927	1.37665	0	0.0709		76.52103	0	0	0	0	0.04377	
Healthy	8.46934	0.04487	0	0		53.00535	0	5.35516	0.39005	0	0.32464	
Healthy	24.37807	0.16489	0	0.4104		12.99612	0	0.02702	0.04103	1.70278	0	
Healthy	21.56004	2.31023	0	0.06758		24.87301	0.1432	0	0.21396	0.81474	0.09504	
Healthy	29.23761	0	0	0		28.73911	0	0	0	9.23471	0	
Healthy	12.30482	0	11.5426	0		24.27956	0.0031	14.9065	0.04026	0	0.00212	
Healthy	7.55734	0.04317	0	0		75.23177	0	0.28653	0	0	0	
Healthy	8.80501	8.48501	0.06041	0.66049		62.65267	0.02726	0	0.30935	0	0.02153	
Healthy	3.7618	0.07032	0.0638	0		33.92343	0	0	0.39488	0.89622	0	
Healthy	6.4736	0.74286	0	0		60.8361	0.13071	5.74457	2.38969	0	0	
Healthy	6.34267	0.6011	0	0		75.97442	2.69249	0	0.013	0	0.00721	
Healthy	33.30098	0.47299	0.00038	0.14908		22.48595	4.71729	0	0.18365	0	0	
D001172	0.20927	35.23804	6.11821	0		12.75289	0.00516	0	0	0	0	
Healthy	4.61086	2.12948	0	0.13647		43.89442	0.15028	4.75004	0.00433	0.00715	0.08954	
