group	Ruminococcaceae	Marinifilaceae	Streptococcaceae	Lactobacillaceae	Pasteurellaceae	Desulfovibrionaceae	Eggerthellaceae	Veillonellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	18.29438	0	0.60443	0	0	0	0.21516	0	0.01342	0	8.09311	0.61624	17.15839	0	0	0	0.60443	0.5723	0	0
Healthy	2.75889	0	0	0	0	0	0	0	0	0	18.30054	0.03482	0.55983	0	0	0	0	0	0	0.42578
Healthy	8.58561	1.80602	0.00195	0	0.06709	0.04203	0	0	0	0	9.47397	15.23831	3.29959	0	0.10558	8.78787	0.00195	0	0	0.16582
Healthy	28.78528	0.70656	0.03976	0	0.12678	0.03232	0	0	0.39724	0	11.74589	2.87028	0.47797	0.71302	0.16735	0.08859	0.03976	0.11145	0	0.02847
Healthy	1.26394	0.79541	0.04975	0	0	0.40307	0.00975	0	0	0	0.2867	20.00155	0.68619	1.00992	2.88154	0.0042	0.04975	0.29282	0	0.081
Healthy	0.82616	0	0.29215	0	0	0.80581	0	0	0	0	1.01616	14.67782	5.62385	0.1118	1.9336	0	0.29215	0.56328	0	0.01499
Healthy	10.02603	0	0.22287	0	0	0	0.08385	0	0	0	25.34291	0.42444	0.68543	0	0	0	0.22287	0.57913	0	0
Healthy	5.53352	1.94002	0.02321	0	0	0.09289	0	0.01308	0	0	9.43879	13.99989	0.63357	0	0	0.01784	0.02321	0	0	0
Healthy	4.09189	2.21731	0	0	0.01449	0.29804	0	0	0.0182	0	6.33331	8.47845	7.85793	0.61563	3.19204	0.67731	0	0.28536	0	0
Healthy	0	0	0	0.22892	0	0	0	0	0	0	0.00094	0	0	86.41751	0	0	0	0	0.22892	0
Healthy	3.79106	0.83263	0.09358	0	0.11696	0.16147	0.1511	0	0	0	21.55607	20.27064	0	0	2.48727	5.18226	0.09358	0.0673	0	0.04561
Healthy	0	0	0.00367	3.58269	0.0088	0	0.00219	0.04244	0.02357	0	0	0.01919	0	3.966	0	0	0.00367	0.02798	3.58269	0
Healthy	1.07413	0	0	0	0	0	0	0	0	0	1.72277	1.42524	0	0.09795	1.99692	0.58962	0	0	0	0
Healthy	0.74249	0.67172	0	0	0	0.03182	0	0	0	0	1.17854	15.98344	0.1764	0	3.44508	0.11326	0	0	0	0
Healthy	0.81966	0.79281	0.25024	0	0	0.01125	0	0	0	0	4.22058	15.10948	0	0	12.6988	0.26844	0.25024	0	0	0
Healthy	10.96303	0	0	0	0	0.20998	0.00602	0	0	0	12.86174	5.89204	0.07202	0.08321	4.55688	0.51581	0	0.10518	0	0.06628
Healthy	2.1399	0	0.00441	0	0	0	0	0	0	0	26.41081	0.8965	0.07529	0	0.04919	0.11734	0.00441	0	0	0
Healthy	3.55799	0.77438	0.00552	0	0	0.07482	0.00226	0	0	0	5.7435	16.07393	0.96809	0.15123	3.20915	0.23778	0.00552	0	0	0.02796
Healthy	0.93393	0.14977	0.04713	0	0	0	0	0	0	0	1.35877	6.16719	0.65772	0	4.11412	1.5313	0.04713	0.00711	0	0.00691
Healthy	18.12004	0.67975	0.04653	0	0	0.05661	0.05421	0	0.00354	0	26.62906	5.44351	2.3538	2.8125	0.52356	0	0.04653	0.02471	0	0
Healthy	0.12429	0	0	0	0	0	0	0	0	0	46.55662	0	0	0	0.15386	0.04874	0	2.64033	0	0
Healthy	5.30787	0.7634	2.29794	0.52882	0.08119	0.01742	0.03483	0.25302	0	0	25.0635	20.28008	1.70945	0	5.44263	0.46186	2.29794	0.15335	0.52882	0
Healthy	4.28916	0	0	0	0	0.01529	0	0	0	0	56.88681	0.36649	5.97462	0	0.24568	0.04642	0	1.06366	0	0
Healthy	62.9997	0	0	0	0	0	0	0	0	0	12.1476	0	0	0	0	0	0	0	0	0
Healthy	3.43183	1.11619	0.04301	0	0	0.31288	0	0	0	0	2.9794	10.3322	0	0	0.74068	0.11483	0.04301	0.03085	0	0.01168
Healthy	2.17847	0.87961	0	0	0	1.50048	0	0	0	0	4.23484	9.98651	0.00984	0	3.25057	0	0	0.19977	0	0
Healthy	5.66478	0	0.9221	0	3.85851	0	0.0955	1.2947	1.16392	0	13.98492	1.62392	1.33345	0	0	0.0586	0.9221	0.86835	0	0
Healthy	14.94631	0.23793	0.15545	0	0.00058	0.00355	0.49385	0	0	0	22.45504	5.21067	14.60672	0	0.62205	0.09116	0.15545	0.98615	0	0
Healthy	8.10271	0	0.38092	0.00868	0.14273	0.01117	0.18648	0.05609	0.28618	0.00033	25.21853	6.3769	4.71234	0.88276	0	1.77066	0.38092	0.07916	0.00868	0
Healthy	5.37472	0	0	0	0.19515	0	0.01904	0	0.05986	0	29.12875	4.58862	6.0946	0	0	0.1002	0	0	0	0
Healthy	1.35423	0	0.8025	0	0.81232	0	0	0	0	0	20.95243	0	4.21521	0	0.20778	0	0.8025	1.5817	0	0
Healthy	2.67302	0	0.20201	2.24067	0	0	0.51527	0	0	0	38.42361	4.0178	0	0.0911	4.13991	0.16065	0.20201	0.05851	2.24067	0
Healthy	0	0	1.28005	0	0.32966	0	0.03904	6.23289	0.01366	0	35.15934	0	0	3.81252	0	0.00158	1.28005	0.07394	0	0
Healthy	8.95456	0	0.23032	0	0.44799	0	0.13451	1.20495	0.17413	0.0396	22.27209	0	0	0.47522	0	1.67502	0.23032	0.00254	0	0
Healthy	2.58941	0	0.0582	0	0	0.66408	0.0223	0	0	0	0.65685	21.39859	2.25608	0.34649	2.14547	0.01275	0.0582	0.49025	0	0.11682
Healthy	0.93829	0	16.77604	0.39151	0	0	0	0	0	0	6.95679	2.14488	1.28553	2.71161	0	0	16.77604	1.19138	0.39151	0
Healthy	8.27035	0.85088	0.17892	0	0	0.06978	0.11806	0.05662	0	0	10.2726	0.92332	0	0.07952	0	0	0.17892	0	0	0
Healthy	0.71987	0	0	0	0	0.00756	0	0	0	0	6.52439	8.27981	5.52631	0.08088	2.67909	0.0234	0	0	0	0
Healthy	17.86356	1.447	0.27012	0	0.12773	0	0.00776	0.0363	0.25	0.04553	17.31738	0.57703	0.00231	0.03375	3.83289	0.08772	0.27012	1.14247	0	0.00357
Healthy	3.93808	0	0	0	0	0.45505	0.15215	0	0	0	0.38881	1.20878	1.98079	10.2181	0	0.28406	0	0.13551	0	0
Healthy	3.3535	1.07194	0.05589	0	0	0.33848	0	0	0	0	3.13409	9.70905	0	0	0.76415	0.09557	0.05589	0.0128	0	0.01321
Healthy	17.47799	0.62491	0.45117	0	0	0.00124	0.04004	0	0	0	8.78889	10.36282	0.07926	0.06381	1.78582	2.51045	0.45117	0.40667	0	0.02264
Healthy	1.67666	0.60288	0	0	0	0	0.00233	0	0	0	1.4222	14.5598	0.17536	0.06157	0	0.11666	0	0.02247	0	0
Healthy	1.132	0	0	0	0	0.1094	0.02894	0.02424	0.00258	0	4.3198	4.97954	4.53107	0	5.12769	0.27735	0	0.17455	0	0
Healthy	3.44451	1.44036	0.01403	0	0.0175	0	0.00077	0.00465	0	0	38.69933	1.25534	0.10581	0	0.39095	0.00491	0.01403	1.34329	0	0
Healthy	18.91641	0	0	0	0	0	0	0	0.92052	0	24.09166	1.26871	11.7396	0	0	0	0	0	0	0
Healthy	0.23802	0	0	0.00794	0	0	0	0	0	0	37.42848	1.04566	3.13501	0	0.7484	0	0	1.12109	0.00794	0.49074
Healthy	1.42733	0	0	0	0	0.05044	0.02643	0	0	0	14.87514	7.21136	0	0	2.78245	0.17416	0	0.04651	0	0
Healthy	1.45529	0	0.01292	0	0	0	0	0	0	0	0.64545	0	0	4.2841	0	0	0.01292	0	0	0
Healthy	11.38099	0.92049	0.34776	0.01283	0.01667	0.10707	0.00714	0	0	0	20.44622	10.80823	0.49975	0	1.35632	2.54517	0.34776	0.14758	0.01283	0.07048
