group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	1.26659	0	0	0	0	0.51129	0	0	0	0	0	0	0	0	0	0.0036	0.04256	0.06136	0.45853	0
Healthy	1.57628	0	0	0	0	0.7355	0	0	0	0	0	0	0	0	0	0	0.0511	0.08017	0.60269	0
Healthy	0	0	5.34871	0.00935	0	0.03641	0	0	0	0	16.7736	2.56626	0.08798	0	0.04344	0.07222	0.00397	0.27957	0.67525	0.17733
Healthy	0	2.54147	0	0	0	0	0	0	0	0	1.1377	0.27637	0.02841	0.07736	0	0	0.00558	0.08851	3.92911	0.07619
Healthy	0	19.8318	4.62199	0	0	0	0	0	0	0	0.77652	0	0	0.03571	0	0.0202	0.10783	0.04586	0.46258	0
Healthy	1.35819	0	0	0	0	0.14686	0	0	0	0	0	1.06684	0	0	0	0	0.08284	0	0	0
Healthy	0	0.51686	0	0.07356	0	0	0.02013	0.00802	0	0	3.13531	0	0.46926	0	0	0	0.37972	0.09467	0	0
Healthy	0	0	0	0.09022	0	0	0.00553	0	0.00194	0.01042	0.99371	1.5587	0.12008	0	0	0	0.00667	0.0048	0.03893	0
Healthy	0	0	5.07885	0.00665	0	0	0	0	0	0	14.3866	0.0013	0	0	0	0	0.03479	0	0.04932	0
Healthy	0.22843	2.87576	0	0	0	0	0	0	0	0	1.73722	11.9056	0.57718	3.88243	2.16324	0.49361	0.89391	0.72437	0	0.9074
Healthy	0	3.3162	1.99584	0.09717	0	0.19679	0	0.01837	0	0	0	17.0343	0.60249	0	0	0	0.01181	0.43377	0.00174	1.48147
Healthy	0	0	0	0	0	0	0	0	0	0	2.49676	0.55983	0.79118	0.10638	0.79534	0.62703	0.49574	0.66445	0.45683	0.68194
Healthy	2.12965	0	0	0	0	0	0	0	0	0	0.55787	3.29959	0.9126	0	2.08235	0.78451	0.09135	0.29839	0.19989	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.56277	0.10202	0.13232	0.07817	0.50451	0.27715	0.03854	0.1194	0.5646	0.08105
Healthy	0	6.22055	0.03571	0	0	0	0	0	0.01167	0	0.0614	0.68619	0.00178	0.3138	0.05919	0	0.01505	0.04908	0.00586	0.01672
Healthy	0	1.01059	0.61502	0	0	0	0	0	0	0	0	5.08415	0.15205	0.9938	0	0	0.0062	0.32589	0.09596	0.07593
Healthy	0	12.9052	4.75712	0.13052	0	0.07283	0.00163	0.00992	0.00184	0.0011	0.00314	0	4.4287	0	10.319	5.67344	0.10502	2.57677	0.48495	0
Healthy	0	0.01619	0	0	0	0	0.03156	0	0	0	5.39703	0.63357	0	0.38018	0.39147	0.02105	0.74578	0.23815	1.88206	0.04307
