group	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Enterobacteriaceae	Selenomonadaceae	Streptococcaceae	Pasteurellaceae	Peptostreptococcaceae	Veillonellaceae	Micrococcaceae	Burkholderiaceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	50.28392	8.98741	5.15639	0.00409	0	0.25644	2.29054	0.09932	0.01956	0.02165	0.0035	0.25644	0	0	0.03527	0.00715	0.01956	2.29054	0	0.09932
Healthy	12.62376	8.82855	9.82654	0.02165	0	0.54071	0.19393	0.0908	0.01217	0	0.00678	0.54071	0	0	0.02503	0.06233	0.01217	0.19393	0	0.0908
Healthy	21.2982	17.63019	0.73193	0	0	2.28461	0	0	0	0	0.0093	2.28461	0.73212	2.25084	0.08713	0	0	0	0.003	0
Healthy	23.61452	4.71969	2.58432	0	0	0	0	0.12217	0	0	1.16431	0	0.38165	0	0	0	0	0	0	0.12217
Healthy	53.80599	3.75877	0.50518	0	0	0.19801	2.77557	0	0.29998	0	1.07698	0.19801	0	0	0	0	0.29998	2.77557	0	0
Healthy	52.2867	4.47824	0	0	0	0	0.12423	0	0	0	0.10417	0	0	0	0	0	0	0.12423	0	0
Healthy	75.92255	2.57906	0.00669	1.37665	0	0.06404	0	0.0709	0	0	0	0.06404	0.3144	0	0	0	0	0	0	0.0709
Healthy	12.59197	8.38082	0.13549	0.04487	0	0	0	0	0	0	0.39005	0	0.14095	0	0	0	0	0	0	0
Healthy	36.92951	4.26482	0	0.36631	0	0.00291	0.23479	0	0.20284	0	0.013	0.00291	0	0	0	0	0.20284	0.23479	0	0
Healthy	29.16371	4.45408	8.07662	2.12948	0	1.47116	0	0.13647	0.00824	0.00327	0.00433	1.47116	0.71644	0	0.08093	0	0.00824	0	0.90454	0.13647
Healthy	50.26182	4.01289	0.02207	1.06216	0	0	0	0	0	0	0.2712	0	0.68097	0	0.35675	0	0	0	0	0
Healthy	25.14316	38.17465	2.3021	0	0.35345	0.02683	0.01462	0	0.00209	0	1.85847	0.02683	0.35797	0.19254	0	0	0.00209	0.01462	0	0
Healthy	2.1963	22.10912	0	0	0	0	0	0.26971	0	0	0	0	3.68311	0.2624	1.933	1.12381	0	0	0	0.26971
Healthy	85.81464	0.89925	0	0.42965	0	0.21585	0	0	0.02362	0	0.11156	0.21585	0.14868	0	0.02708	0	0.02362	0	0	0
Healthy	51.51814	4.91281	1.87214	0	0	0.04828	0.04188	0.26029	0	0	0.03569	0.04828	0.23323	0	0.43867	0	0	0.04188	0	0.26029
Healthy	62.86016	8.9483	0	0	0	0	0.07776	0	0	0	5.7003	0	0	0	0.01705	0	0	0.07776	0	0
Healthy	49.18147	11.35242	0	0	0	0.00451	0.06544	0	0	0	7.09637	0.00451	0	0	0.01215	0	0	0.06544	0	0
Healthy	37.50399	12.27917	1.19003	0.04705	0	0	0.02787	0	0.028	0	0	0	0	0	0.0136	0	0.028	0.02787	0.0073	0
Healthy	31.8271	3.55185	0	0	0	0	0	0	0	0	2.9757	0	0.07736	0	0.05412	0	0	0	0	0
Healthy	56.57897	4.86156	0.23312	0	0	0.5783	0	0	0	0	6.33312	0.5783	0.03571	0	0	0	0	0	0	0
Healthy	13.35822	7.68045	2.71886	0.04178	0	0	0	0	0	0	0.0632	0	0	0	0	0	0	0	0	0
Healthy	1.71228	0.47981	5.45435	78.76377	0	0.10271	0	0	0	0	0.02799	0.10271	1.46902	0	0.00569	0.00448	0	0	0	0
Healthy	63.27551	6.64148	0.74589	1.82617	0	0.01597	0.04462	0.25312	0.008	0	0.17411	0.01597	0	0	0.00545	0.14062	0.008	0.04462	0.02608	0.25312
Healthy	50.98894	9.53526	0.01296	2.4214	0	0	0.67165	0.16683	2.80187	0	5.90439	0	0	0	0	0	2.80187	0.67165	0	0.16683
Healthy	17.48899	25.28152	2.57185	0	0	0.78156	0	0	0	0	0	0.78156	3.88243	1.40591	11.3576	0	0	0	0	0
Healthy	6.53995	18.29438	4.99535	0	0	0.60443	0	0.01342	0	0	0	0.60443	0.00219	0	0.5723	0.00243	0	0	0	0.01342
Healthy	67.63594	2.75889	0	0	0	0	0	0	0	0	0	0	0.10638	0	0	0	0	0	0	0
Healthy	25.70038	8.58561	0	0	0	0.00195	0.06709	0	0	0	8.78787	0.00195	0	1.52523	0	0	0	0.06709	0	0
Healthy	12.94768	28.78528	0.3126	0.71302	1.66926	0.03976	0.12678	0.39724	0	0	0.08859	0.03976	0.07817	6.00307	0.11145	0.55065	0	0.12678	0	0.39724
Healthy	37.01449	1.26394	0.32681	1.00992	0	0.04975	0	0	0	0	0.0042	0.04975	0.96563	0.02808	0.29282	0	0	0	0	0
Healthy	10.67673	0.82616	1.20433	0.1118	0	0.29215	0	0	0	0	0	0.29215	1.24073	0.02259	0.56328	0	0	0	0	0
Healthy	18.87722	10.02603	5.29069	0	0	0.22287	0	0	0	0	0	0.22287	0	0	0.57913	0.01785	0	0	0	0
Healthy	46.32682	5.53352	1.37642	0	0	0.02321	0	0	0.01308	0	0.01784	0.02321	0.38018	0	0	0	0.01308	0	0	0
Healthy	27.71683	4.09189	3.22177	0.61563	1.34287	0	0.01449	0.0182	0	0	0.67731	0	0.22602	0	0.28536	0.98088	0	0.01449	0	0.0182
Healthy	0.05164	0	0.02275	86.41751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22892	0
Healthy	34.59584	3.79106	0	0	0	0.09358	0.11696	0	0	0	5.18226	0.09358	0.02688	0	0.0673	0	0	0.11696	0	0
Healthy	0.00012	0	89.8523	3.966	0	0.00367	0.0088	0.02357	0.04244	0	0	0.00367	0	0	0.02798	0	0.04244	0.0088	3.58269	0.02357
Healthy	83.77259	1.07413	0.11834	0.09795	0	0	0	0	0	0	0.58962	0	0	0	0	0	0	0	0	0
Healthy	23.28354	0.74249	0	0	0	0	0	0	0	0	0.11326	0	0.11605	0	0	0	0	0	0	0
Healthy	28.01658	0.81966	0.43511	0	0	0.25024	0	0	0	0	0.26844	0.25024	0.571	0	0	0	0	0	0	0
Healthy	39.59788	10.96303	1.32525	0.08321	0	0	0	0	0	0	0.51581	0	0.14202	0	0.10518	0	0	0	0	0
Healthy	57.95917	2.1399	0.01689	0	0	0.00441	0	0	0	0	0.11734	0.00441	0.01375	0	0	0	0	0	0	0
Healthy	45.98027	3.55799	4.34504	0.15123	0	0.00552	0	0	0	0	0.23778	0.00552	0	0	0	0	0	0	0	0
Healthy	64.4191	0.93393	0.06193	0	0	0.04713	0	0	0	0	1.5313	0.04713	0.13383	0	0.00711	0	0	0	0	0
Healthy	28.08373	18.12004	0.0216	2.8125	0	0.04653	0	0.00354	0	0	0	0.04653	0.24	0	0.02471	0	0	0	0	0.00354
Healthy	16.79646	0.12429	0	0	0	0	0	0	0	0	0.04874	0	0	0	2.64033	8.60814	0	0	0	0
Healthy	21.19058	5.30787	0.33771	0	0	2.29794	0.08119	0	0.25302	0	0.46186	2.29794	0.23481	0	0.15335	0.84799	0.25302	0.08119	0.52882	0
Healthy	6.09663	4.28916	1.2613	0	0	0	0	0	0	0	0.04642	0	0.17433	8.81102	1.06366	0.07633	0	0	0	0
Healthy	3.61561	62.9997	21.2371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	52.81819	3.43183	0.14666	0	0	0.04301	0	0	0	0	0.11483	0.04301	0.24373	0.86272	0.03085	0	0	0	0	0
Healthy	60.23069	2.17847	0	0	0	0	0	0	0	0	0	0	0.63218	0.06803	0.19977	0.10067	0	0	0	0
Healthy	21.04416	5.66478	35.90039	0	0	0.9221	3.85851	1.16392	1.2947	0	0.0586	0.9221	0.3371	0	0.86835	0	1.2947	3.85851	0	1.16392
Healthy	3.37515	14.94631	0.03459	0	0	0.15545	0.00058	0	0	0	0.09116	0.15545	1.97032	0	0.98615	1.22214	0	0.00058	0	0
Healthy	37.40606	8.10271	0.24421	0.88276	0	0.38092	0.14273	0.28618	0.05609	0.00033	1.77066	0.38092	0	1.22966	0.07916	0.04188	0.05609	0.14273	0.00868	0.28618
Healthy	44.30969	5.37472	0	0	0	0	0.19515	0.05986	0	0	0.1002	0	0.31569	0	0	0	0	0.19515	0	0.05986
Healthy	57.65788	1.35423	0	0	0	0.8025	0.81232	0	0	0	0	0.8025	0	3.19845	1.5817	0.22354	0	0.81232	0	0
Healthy	10.76303	2.67302	0.26781	0.0911	0	0.20201	0	0	0	0	0.16065	0.20201	3.24867	0	0.05851	0	0	0	2.24067	0
Healthy	0	0	0	3.81252	0	1.28005	0.32966	0.01366	6.23289	0	0.00158	1.28005	0	0	0.07394	0	6.23289	0.32966	0	0.01366
Healthy	22.0643	8.95456	0.18712	0.47522	0	0.23032	0.44799	0.17413	1.20495	0.0396	1.67502	0.23032	0	0	0.00254	0.05781	1.20495	0.44799	0	0.17413
Healthy	15.46975	2.58941	1.20908	0.34649	0	0.0582	0	0	0	0	0.01275	0.0582	0.6914	0.06831	0.49025	0	0	0	0	0
Healthy	15.45515	0.93829	1.62673	2.71161	2.56205	16.77604	0	0	0	0	0	16.77604	2.27129	2.97004	1.19138	2.91725	0	0	0.39151	0
Healthy	58.28202	8.27035	0.43785	0.07952	0	0.17892	0	0	0.05662	0	0	0.17892	0	0	0	0	0.05662	0	0	0
Healthy	19.05947	0.71987	35.20264	0.08088	0	0	0	0	0	0	0.0234	0	1.0791	0	0	0.02407	0	0	0	0
