group	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Veillonellales	Coriobacteriales	Erysipelotrichales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	1.4222	1.86091	0.27682	0	5.89113	0.00233	0.02247	0		70.63059	1.4222	0.06157	0	0.11666	0.02247	0	0	0	0
Healthy	4.3198	6.73183	5.34259	0	17.72904	0.70893	0.17455	0.00258		44.41535	4.3198	0	0	0.27735	0.17455	0	0	0.1094	0.00258
Healthy	38.69933	3.63925	0.1995	0.01403	0.00465	0.05945	5.19517	0		36.30805	38.69933	0.0175	0.01403	0.00491	5.19517	0	0	0	0
Healthy	24.09166	30.65601	5.93464	0	5.0839	1.71217	0	0.92052		18.17723	24.09166	0	0	0	0	0	0	0	0.92052
Healthy	37.42848	3.37303	0	0.00794	0	0	1.95468	0		42.50091	37.42848	0	0.00794	0	1.95468	2.18475	0	0	0
Healthy	14.87514	1.47712	0.92934	0	0.01411	0.23525	0.04651	0		63.68496	14.87514	0	0	0.17416	0.04651	0	0	0.05044	0
Healthy	0.64545	1.54077	0	0.01292	0	0	0	0		92.81289	0.64545	4.2841	0.01292	0	0	0	0	0	0
Healthy	20.44622	11.96651	0.61728	0.36059	1.21706	0.12868	0.14758	0		49.73983	20.44622	0.01667	0.36059	2.54517	0.14758	0.00113	0	0.10707	0
Healthy	11.94382	31.88632	0.01142	0.10367	1.15201	0	0	0		51.54426	11.94382	0.47737	0.10367	2.10393	0	0	0	0	0
D015212	39.32376	16.74044	0	3.79701	0.0006	1.24698	0.10216	0		26.508	39.32376	0.12217	3.79701	0	0.10216	0	0	0	0
Healthy	2.68635	0.77931	0	0	0	0	0	0		71.0787	2.68635	2.0968	0	0.34626	0	0	0	0.03142	0
Healthy	32.47023	13.63179	10.94462	0	5.62249	0	0	0		26.51604	32.47023	0	0	0	0	0	0	0	0
D015212	13.48901	21.17823	0.00238	0.18483	0	0.74513	0.0164	0		35.4315	13.48901	0.11909	0.18483	0.16426	0.0164	0	0	0.01504	0
Healthy	51.48479	17.91611	0.53641	0.20263	0.00396	0.16698	1.34631	0		14.1769	51.48479	0.09698	0.20263	0.63021	1.34631	1.31009	0	0.08154	0
Healthy	4.28305	4.47132	0.49856	0	0.46112	0.253	0	0		58.04866	4.28305	0.02507	0	0.51464	0	0	0	0.55816	0
Healthy	38.09029	21.15368	0.40697	0.34649	0	1.54102	0	0		22.14347	38.09029	1.49435	0.34649	0	0	1.07483	0.22899	0	0
Healthy	6.73804	0.39654	25.6546	0.45334	0	1.31584	0	0		0.35748	6.73804	0	0.45334	0	0	0	0	0	0
Healthy	12.91336	1.73887	0	0	0	0	0.53907	0		80.38068	12.91336	0	0	0	0.53907	0	0	0	0
Healthy	21.6924	25.92229	0.19456	0	0	3.69281	0.1903	0		20.33218	21.6924	0	0	0.00056	0.1903	0	0	0.19041	0
Healthy	0.0105	0.00433	7.18306	0.00765	0.03501	0.0026	0	0.23549		28.87276	0.0105	55.0788	0.00765	0	0	0	0	0	0.23549
Healthy	14.063	5.64434	10.5799	0	0	0.78351	1.18442	0		38.75978	14.063	0.57325	0	0	1.18442	0.01608	0	0	0
Healthy	41.68406	7.35678	0.58931	0.7126	0.46493	0.4209	1.65472	4.42379		29.53286	41.68406	0.91179	0.7126	0.06954	1.65472	0	0	0	4.42379
Healthy	11.91339	3.242	0	0	0	0.00433	0.73283	0		33.23081	11.91339	33.3132	0	0	0.73283	0	1.74985	0	0
Healthy	26.02128	4.27652	0.13293	0.02733	0	0	1.85933	0		41.87328	26.02128	5.37164	0.02733	0	1.85933	0	2.00314	0	0
Healthy	3.89694	7.01832	0.74931	0.04903	0	0.64273	0.17372	0		69.54234	3.89694	0	0.04903	2.99685	0.17372	0	0	1.21704	0
Healthy	57.26534	0.76115	0	0.34273	0.38925	0	0	0		28.72289	57.26534	0.09139	0.34273	0.03267	0	0	0	0	0
D015212	56.15037	6.2448	0.33671	0.73117	15.34065	0.00582	1.02739	0.01116		7.44092	56.15037	1.23017	0.73117	0	1.02739	0	0	0	0.01116
Healthy	2.30841	0.10838	0.1845	0	11.06571	0	0	0		65.70584	2.30841	1.15581	0	0	0	0	0	0	0
Healthy	64.4011	14.55616	0.0008	0.0318	0.21678	0.47668	0.02408	0		7.75441	64.4011	0.05193	0.0318	0	0.02408	0.00015	0	0	0
Healthy	11.56562	8.83526	2.78263	1.51516	0.01516	1.11166	0.04376	0.20169		25.16801	11.56562	26.87573	1.51516	0	0.04376	0	6.4544	0.0392	0.20169
Healthy	1.72941	3.83581	1.21132	0	0	0.1628	0.00174	0		75.927	1.72941	0	0	0.7445	0.00174	0	0	0.0151	0
Healthy	46.51861	9.83849	2.04031	0.4968	0.13564	0.59299	0.00415	0.1088		27.96087	46.51861	0.76155	0.4968	0.06486	0.00415	0	0.33242	0	0.1088
Healthy	3.10588	4.70989	0.11984	0.05237	0	0.22282	0.00808	0		66.09812	3.10588	0	0.05237	0.11834	0.00808	0.87857	0	0.33033	0
Healthy	25.5392	20.96904	1.03523	8.14983	0.2242	1.03937	0.13303	0.07247		25.51014	25.5392	2.10237	8.14983	0.20459	0.13303	0	0	0.07805	0.07247
Healthy	12.06107	47.80958	0	0	0	1.79807	0	0		18.16758	12.06107	0	0	0	0	0	0	0	0
D015212	26.2585	8.11546	7.10638	0.70757	0.16635	1.09288	4.98919	0		31.79376	26.2585	0.01793	0.70757	0.07262	4.98919	0	0	0.0158	0
Healthy	0.68422	7.98813	0.12056	0.03648	0	0.03568	0.03735	0		78.57875	0.68422	0.09832	0.03648	0.0657	0.03735	0	0	0.0016	0
Healthy	18.72938	4.49598	0	0	0	0.12192	0.06825	0		64.93079	18.72938	0	0	1.07337	0.06825	0	0	0.40904	0
Healthy	5.48461	6.84934	6.99607	0.01927	0.22665	0.65339	0.8809	0.0581		39.03604	5.48461	9.39904	0.01927	0.21451	0.8809	0	4.54617	0.18958	0.0581
Healthy	1.21892	1.32719	0	0.20842	3.58941	0.13178	0.02311	0		88.7654	1.21892	0.38656	0.20842	0.11966	0.02311	0	0	0.00253	0
Healthy	11.90134	0.49666	0	0.07356	0	0	0.01034	0		79.91048	11.90134	2.90482	0.07356	0.07877	0.01034	0	0	0.0383	0
Healthy	6.58367	6.98856	0.57014	0.00636	0.38466	0.1822	0.02486	0		64.14272	6.58367	0.13452	0.00636	1.39314	0.02486	0	0	0.13826	0
Healthy	3.07898	8.76396	0.01179	0.01559	2.03817	0.0593	0.51579	0.00271		38.36526	3.07898	5.3394	0.01559	0.03034	0.51579	0	0.05478	0.35495	0.00271
Healthy	1.71238	3.69428	1.06722	0	0	0.1128	0	0		80.84169	1.71238	0.00402	0	0.70225	0	0	0	0.02838	0
Healthy	13.19326	6.67228	1.57348	0.75851	0.01218	0.29588	1.03495	0.08429		25.1195	13.19326	0.00781	0.75851	0.88008	1.03495	22.5247	0.00368	0.37016	0.08429
