group	Phocaeicola	Enterocloster	Dialister	Veillonella	Ruminococcus_B	Faecalimonas	Clostridium_Q	Flavonifractor	Muricomes	Longicatena	Alistipes	Ruminococcus_H	Lachnospira	Barnesiella	Coprococcus	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	1.07094	0	0.61502	0	0	0	0	0.15037	0	0	14.31076	5.08415	0.0736	1.9336	0	0	0.15037	0.36706	0	0
Healthy	1.92243	10.72712	4.75712	0	0.13052	0	0.00485	0.08746	0.00396	0.52614	0.42444	0	0	0	0	0	0.08746	0	0	0.07283
Healthy	10.58898	0.39147	0	0.01308	0	0	0	0.09268	0	0	13.99989	0.63357	0.66425	0	0	0.0264	0.09268	0	0	0
Healthy	5.62575	1.36094	0	0	0	0	0	0.03116	0	0	8.47845	7.85793	1.57754	3.19204	0	0.50179	0.03116	0	0.09934	0
Healthy	0.0068	0	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	10.2104	0	0	0	0	0	0	0.14498	0	0	20.26434	0	1.29331	2.48727	6.25718	0	0.14498	0.0063	0.023	0.1511
Healthy	0	0	0	0.04244	0	0	0	0.25159	0	0.02798	0.01919	0	0	0	0	0	0.25159	0	0	0
Healthy	18.97382	1.07384	0	0	0	0	0.38907	0.08128	0.06906	0	1.42524	0	0.1908	1.99692	0	0	0.08128	0	0	0
Healthy	11.9362	1.09337	0	0	0	0	0.02266	1.25366	0	0	15.98344	0	0	3.44508	0	0	1.25366	0	0	0
Healthy	13.79589	0.04741	15.1182	0	0	0	0	0.25381	0	0	15.10948	0	0	12.6988	0	0	0.25381	0	0	0
Healthy	17.70478	0.58052	0	0	0	0	0.02605	0.08686	0	0	5.8663	0.06967	2.83954	4.55688	0	0	0.08686	0.02574	0	0.00602
Healthy	10.51132	0.47482	3.44835	0	0	0	0	0.10013	0	0	0.8965	0.07529	4.8395	0.04919	8.60889	0	0.10013	0	0.06872	0
Healthy	8.83403	0.04264	2.88164	0	0	0	0	0.02179	0	0	16.04646	0.96809	0.4358	3.20915	0.63658	0.0539	0.02179	0.02747	0	0.00226
Healthy	32.29022	0.00963	0	0	0.00185	0	0	0.1212	0	0.00235	6.13869	0.65772	0.09964	4.11412	0	0	0.1212	0.0285	0	0
Healthy	16.13012	0.14049	0	0	0.0157	0.04977	0.01224	0.00865	0	0.01801	5.44351	2.3538	1.88011	0.52356	4.43838	0	0.00865	0	0.11152	0
Healthy	3.94452	0.30085	0	0	0	0	0	0	0	0	0	0	2.80579	0.15386	6.45857	0	0	0	0	0
Healthy	6.10688	0.30949	0	0.25302	0	0	0	0.01974	0	0	20.28008	1.63394	8.45562	5.44263	4.84963	0	0.01974	0	0.23379	0.03483
Healthy	0.6599	0.36316	0	0	0	0.01282	0	0	0.01663	0	0.27958	5.97462	0.51605	0.24568	5.34157	3.7275	0	0.08691	0.07185	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.39884	0.04387	0	0	0	0	0	1.31228	0	0	10.28757	0	0.7973	0.74068	0	0	1.31228	0.04463	0	0
Healthy	5.52146	0.37487	0	0	0	0	0	0.13412	0	0	8.59861	0.00984	0.18836	3.25057	0	0.09708	0.13412	1.3879	0	0
D003424	9.62603	0	0	0	0.00551	0	0	0.06399	0	0	6.22605	0	0.92605	0	0	0	0.06399	0	0	0
Healthy	11.06781	0.28899	0.19855	1.2947	0	0	0	0	0	0	1.62392	1.33345	0.47265	0	0	0	0	0	0.19834	0.0955
Healthy	1.1377	1.12486	0	0	0.8993	1.15388	0.00579	0.11742	0.00591	0.59191	5.15366	13.6181	0.61106	0.62205	0	0	0.11742	0.05701	0	0.40741
Healthy	16.30022	0.98337	0	0.05609	0.57964	0.31519	0	0.03588	0.06166	0.07364	6.33041	4.71234	2.07854	0	5.23849	1.62145	0.03588	0.04649	0	0.15492
Healthy	27.07242	0.41058	0	0	0	0	0	0.02712	0	0	4.32853	6.0794	1.62764	0	0	0	0.02712	0.26009	0	0.01904
Healthy	0.44252	0.07476	0	0	0	0	0	0	0	0	0	4.21521	1.74379	0.20778	0	0	0	0	0	0
Healthy	3.32276	2.01212	0	0	0	0	0	0	0	0	4.0178	0	0.65336	4.13991	13.7132	3.06148	0	0	0.59075	0.51527
Healthy	0	0.44703	0.05242	6.23289	27.9887	2.02445	0.17018	0.04332	4.07451	0.07394	0	0	0	0	0	0	0.04332	0	0	0
Healthy	0	1.09541	0	1.20495	16.5662	0	0.92036	0	0	0.00254	0	0	0	0	0	0	0	0	0	0
Healthy	1.47047	0.08203	2.97255	0	0	0	0.02305	0.20774	0	0.02371	21.21031	2.11964	0.20448	2.14547	0	0	0.20774	0.18828	0	0
D003424	21.7359	0.99749	0	0	0	0	0	0.19064	0.00781	0.02849	10.89684	0	0.00778	2.31895	0	0	0.19064	0	0	0
Healthy	5.05938	0.19451	0	0	0	0	0	0	0	0	2.14488	1.28553	0.04834	0	0	0	0	0	0	0
Healthy	46.0316	0.11559	0	0.05662	0.0303	0.01235	0	0.06439	0.00123	0	0.72472	0	4.07745	0	0	0	0.06439	0.1986	0.05872	0.11806
Healthy	10.89811	0.05055	12.9858	0	0	0	0	0.07299	0	0	8.27981	5.52631	0	2.67909	0	0	0.07299	0	0	0
Healthy	0.91743	3.12286	4.58123	0.0363	0	0	0	0	0.00189	0.00403	0.38998	0.00231	1.03158	3.83289	0	0	0	0.18705	0.07321	0
Healthy	0.38277	0.08032	2.60171	0	0	0	0.01988	0.05826	0.04164	0.10487	1.20878	1.95838	0.00667	0	0	0	0.05826	0	0	0
Healthy	3.4087	0.04111	0	0	0	0	0	1.33726	0	0	9.69106	0	0.81608	0.76415	0	0	1.33726	0.01799	0.02139	0
Healthy	10.34301	0.28181	5.94604	0	0	0	0	0.05911	0	0	9.00838	0.07926	2.07597	1.78582	0.64977	0	0.05911	1.35444	0.22769	0.04004
Healthy	28.1758	0.01072	5.89113	0	0.55343	0	0	0.00889	0	0.02247	14.2955	0	0	0	0	0	0.00889	0.2643	0	0.00233
Healthy	7.85631	0.17447	17.7048	0.02424	0.00856	0	0	0.14954	0.01123	0	4.85341	4.46956	0	5.12769	0	0	0.14954	0.12613	0.02476	0
Healthy	1.81614	0.4664	0	0.00465	0	0	0	0.08893	0	0.00342	1.25469	0.09014	2.14127	0.39095	7.15462	0.02465	0.08893	0.00065	0.17589	0.00077
Healthy	14.20044	0.66465	5.0839	0	0	0	0	0	0	0	1.26871	11.7396	0	0	0	0	0	0	0	0
Healthy	6.56319	0.79934	0	0	0	0	0	0	0	0	1.04566	3.13501	2.0898	0.7484	0	0	0	0	0.0507	0
Healthy	12.92692	0.02036	0.01411	0	0.0593	0	0	0.04979	0.02943	0	7.19544	0	0	2.78245	0	0	0.04979	0.01592	0	0.02643
Healthy	8.86103	0.61109	0	0	0	0	0.03436	0.08548	0	0	0	0	0	0	0	0	0.08548	0	0	0
